PublishDate,Sentence,Score
2018-05-02T07:14:00.000Z,具漲價題材的被動元件、矽晶圓族群為盤面強勢指標，華新集團MLCC廠華新科 (2492) 、信昌電 (6173) 法說下午登場，在買盤力挺下一度漲停，國巨 (2327) 、禾伸堂(306)亦同步勁揚；環球晶 (6488) 、中美晶 (5483) 維持高檔；敬鵬 (2355) 平鎮廠傳出陸續復工，帶動股價爆量收高；離岸風電遴選名單出爐後，概念股呈現利多出盡，上緯投控 (3708) 、世紀鋼 (9958) 雙雙跌停，華城 (1519) 、大亞 (1609) 跟進重摔，表現相對弱勢。,6
2018-05-02T02:56:00.000Z,其中，漲價題材的矽晶圓、被動元件今天在盤面上仍相對強勢，環球晶 (6488) 、中美晶 (5483) 穩在盤上，華新科 (2492) 一度漲停，禾伸堂 (3026) 、國巨 (2327) 漲幅超過3%；風電概念在離岸風電遴選名單出爐後，股價有利多出盡的跡象，台船 (2208) 相對強勢穩在盤上，但上緯投控 (3708) 、世紀鋼 (9958) 跌停，華城 (1519) 、大亞 (1609) 跌幅不小。,2
2018-05-03T03:20:00.000Z,在科技股方面，亞系外資給予「優於大盤」評等的12檔個股包括台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 、南亞科 (2408) 、環球晶 (6488) 、亞德客-KY (1590) 、力成 (6239) 、中美晶 (5483) 、智邦 (2345) 、京元電子 (2449) 、樺漢 (6414) 、信驊 (5274) 。,2
2018-05-02T07:14:00.000Z,具漲價題材的被動元件、矽晶圓族群為盤面強勢指標，華新集團MLCC廠華新科 (2492) 、信昌電 (6173) 法說下午登場，在買盤力挺下一度漲停，國巨 (2327) 、禾伸堂(306)亦同步勁揚；環球晶 (6488) 、中美晶 (5483) 維持高檔；敬鵬 (2355) 平鎮廠傳出陸續復工，帶動股價爆量收高；離岸風電遴選名單出爐後，概念股呈現利多出盡，上緯投控 (3708) 、世紀鋼 (9958) 雙雙跌停，華城 (1519) 、大亞 (1609) 跟進重摔，表現相對弱勢。,6
2018-05-02T02:56:00.000Z,其中，漲價題材的矽晶圓、被動元件今天在盤面上仍相對強勢，環球晶 (6488) 、中美晶 (5483) 穩在盤上，華新科 (2492) 一度漲停，禾伸堂 (3026) 、國巨 (2327) 漲幅超過3%；風電概念在離岸風電遴選名單出爐後，股價有利多出盡的跡象，台船 (2208) 相對強勢穩在盤上，但上緯投控 (3708) 、世紀鋼 (9958) 跌停，華城 (1519) 、大亞 (1609) 跌幅不小。,2
2018-05-03T03:20:00.000Z,在科技股方面，亞系外資給予「優於大盤」評等的12檔個股包括台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 、南亞科 (2408) 、環球晶 (6488) 、亞德客-KY (1590) 、力成 (6239) 、中美晶 (5483) 、智邦 (2345) 、京元電子 (2449) 、樺漢 (6414) 、信驊 (5274) 。,2
2018-05-10T02:06:00.000Z,台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 、國巨 (2327) 、環球晶 (6488) 、中美晶 (5483) 等重點個股走勢，將是後續台股電子類股指標。,0
2018-05-14T07:16:00.000Z,台股今日由電子股吹反彈號角，減資題材加持的鴻海 (2317) 扮領頭羊強彈，缺貨漲價題材股依舊強強滾，被動元件族群國巨 (2327) 、華新科 (2492) 、禾伸堂 (3026) 、大毅 (2478) 及矽晶圓族群環球晶 (6488) 、台勝科 (3532) 、合晶 (6182) 、嘉晶 (3016) 、中美晶 (5483) 聯袂漲停，以及股王大立光 (3008) 盤中轉強帶動玉晶光 (3406) 走揚，加上中低價股錸德 (2349) 、中環 (2323) 、達方 (8163) 同飆漲停，使台股開高走高，盤中大漲逾百點強攻10970.24點，終場加權指數上漲93.41點為10952.39點，呈現日K連7紅走勢，成交值縮至1435.29億元。,11
2018-05-14T07:16:00.000Z,缺貨漲價題材持續當道，被動元件族群龍頭股國巨 (2327) 4月每股盈餘7.43元驚豔市場，帶動華新科 (2492) 、禾伸堂 (3026) 、蜜望實 (8043) 及達方 (8163) 同步漲停，日電貿 (3090) 、奇力新 (2456) 及堡達 (3537) 緊跟在後；矽晶圓族群受惠矽晶圓恐將缺貨到2021年，環球晶 (6488) 、台勝科 (3532) 、合晶 (6182) 、嘉晶 (3016) 、中美晶 (5483) 全面漲停。,6
2018-05-16T07:11:00.000Z,　近日表現火紅的被動元件股王國巨 (2327) 強登千元後出現漲多拉回，禾伸堂 (3026) 、大毅 (2478) 跟進下殺，納入MSCI全球標準型指數的華新科 (2492) 力守平盤；今日資金轉進矽晶圓族群點火，環球晶 (6488) 、合晶 (6182) 、台勝科 (3532) 、嘉晶 (3016) 、中美晶 (5483) 等盤中均創波段新高價，惟環球晶觸及「6」字頭歷史天價後一路拉回至平盤；記憶體族群南亞科 (2408) 強攻百元新高價，帶動旺宏 (2337) 、華邦電 (2344) 聯袂衝高；蘋果三天王鴻海 (2317) 下挫逾1.5%、台積電 (2330) 收平、大立光 (3008) 守住4000元大關。,7
