PublishDate,Sentence,Score
2018-08-02T07:27:00.000Z,矽晶圓族群受到紫光併購法矽晶圓廠消息衝擊，概念股環球晶 (6488) 、中美晶 (5483) 、合晶 (6182) 及嘉晶 (3016) 臉色鐵青。,0
2018-08-02T07:27:00.000Z,矽晶圓族群受到紫光併購法矽晶圓廠消息衝擊，概念股環球晶 (6488) 、中美晶 (5483) 、合晶 (6182) 及嘉晶 (3016) 臉色鐵青。,0
2018-08-07T07:08:00.000Z,漲價概念股矽晶圓、被動元件跌深後反彈，華新科 (2492) 7月營收及獲利同步登頂，帶動股價亮燈漲停，激勵國巨 (2327) 、禾伸堂 (3026) 、奇力新 (2456) 、大毅 (2478) 聯袂大漲；環球晶 (6488) 重返500元大關，帶動中美晶 (5483) 、台勝科 (3532) 、合晶 (6182) 攜手勁揚。,9
2018-08-10T03:18:00.000Z, 今日盤面還是以題材股表現為主，節能、遊戲、網通股為今強勢指標，節能族群有茂迪 (6244) 強彈近4%，合晶 (6182) 漲幅也逾1%；公平會與高通進行訴訟和解，234億元天價罰緩一口氣降低到27.3億元，高通也承諾在台持續投資，有利於5G、IoT等產業發展，帶動網通股今強勢走揚，智邦 (2345) 大漲約3%，正文 (4906) 、啟碁 (6285) 、仲琦 (2419) 等齊揚；遊戲產業正值旺季，橘子 (6180) 第二季稅後盈餘成長18.53倍，單季EPS達3.09元，創下歷史新高，也帶動今股價走強。,18
2018-08-13T07:13:00.000Z,矽晶圓族群今年來營運雖繳出亮麗成績單，惟法人認為已充分反應利多，環球晶 (6488) 、台勝科 (3532) 與合晶 (6182) 盤中紛紛中箭倒地。,3
2018-08-13T02:13:00.000Z, 17.合晶 (6182) ：Q2報喜，惟外資上周五賣超，股價下滑近4%。,-1
2018-08-20T06:56:00.000Z,漲價概念股的矽晶圓族群成空方箭靶，環球晶 (6488) 、台勝科 (3532) 、漢磊 (3707) 、合晶 (6182) 跌勢慘重，被動元件三巨頭國巨 (2327) 、華新科 (2492) 、禾伸堂 (3026) 獲買盤強力拉抬聯袂收高。,1
2018-08-21T02:56:00.000Z, 在盤面焦點方面，電子權值股的股王大立光 (3008) 今日多頭僅能勉強守在平盤之上，台積電 (2330) 、鴻海 (2317) 多空在平盤附近展開攻防，被動元件指標股的國巨 (2327) 及華新科 (2492) 今日壓在平盤下方整理，合晶 (6182) 及環球晶 (6488) 昨日投信雖站賣方，但今日股價反彈，維持小漲格局。,1
2018-08-21T02:08:00.000Z, 15.合晶 (6182) ：矽晶圓領跌，昨拉出長黑K線，晨盤人氣回籠，股價處平盤之上。,-2
2018-08-30T02:12:00.000Z, 16.合晶 (6182) ：產品價格仍有機會維持高檔，早盤甩土洋法人對作局面，漲2%觸及49.15元。,2
