PublishDate,Sentence,Score
2018-12-03T02:10:00.000Z, 13.環球晶 (6488) ：看好2019年矽晶圓供需仍緊，價格續看漲，目前掌握簽訂長約的客戶重高達80％至90％，2019年合約價確定比今年高，股價漲7.79%。,5
2018-12-03T02:10:00.000Z, 15.中美晶 (5483) ：因持有環球晶股權而受惠，近期矽晶圓股看俏，法人開始加碼，股價漲5.44%。,3
2018-12-03T01:18:00.000Z,　里昂同時降評環球晶與世界先進至「賣出」，推測未來12個月合理是230與55元。,0
2018-12-05T05:58:00.000Z, 此外，本波強彈的漲價概念股像是被動元件的國巨 (2327) 、矽晶圓的環球晶 (6488) 等熱門族群今日大多都遭壓回。,3
2018-12-05T03:04:00.000Z,本波強彈的漲價概念股像是被動元件的國巨 (2327) 、矽晶圓的環球晶 (6488) 以及MOSFET族群今日大都壓回。,3
2018-12-05T01:21:00.000Z,其中，台積電 (2330) 下跌逾3%、鴻海 (2317) 下跌約1.7%、大立光 (3008) 下跌3.7%，近期反彈力道強勁的被動元件、矽晶圓也難免受到衝擊，國巨 (2327) 、華新科 (2492) 、環球晶 (6488) 、中美晶 (5483) 股價走勢也難擋短線空方力道。,-2
2018-12-12T07:17:00.000Z,MOSFET等缺貨題材股人氣強強滾，大中 (6435) 今年拚賺1股本，股價率先衝漲停，帶動杰力 (5299) 、富鼎 (8261) 、尼克森 (3317) 、嘉晶 (3016) 火力全開；二極體族群不惶多讓，強茂 (2481) 、麗正 (2302) 、統懋 (2434) 亮燈漲停，被動元件、矽晶圓族群國巨 (2327) 、華新科 (2492) 、環球晶 (6488) 、合晶 (6182) 緊跟在後聯袂走高。,6
2018-12-12T06:58:00.000Z, 除了台積電、鴻海以及股王大立光 (3008) 等蘋概股力挺多頭外，人氣股指標被動元件的國巨 (2327) 、華新科 (2492) 今早亦穩步上揚，大中 (6435) 領軍MOSFET，環球晶 (6488) 、合晶 (6182) 等矽晶圓族群強攻，櫃買市場表現更為有勁。,3
2018-12-12T03:11:00.000Z, 除了台積電 (2330) 、鴻海 (2317) 以及股王大立光 (3008) 力挺多頭外，人氣股指標被動元件的國巨 (2327) 、華新科 (2492) 今早亦穩步上揚，大中 (6435) 領軍MOSFET，環球晶 (6488) 、合晶 (6182) 等矽晶圓族群強攻，櫃買市場表現更為有勁。,3
2018-12-13T07:13:00.000Z,美中貿易戰在華為財務長獲保釋後出現緩和氣氛，隔夜美股四大指數全數收紅，亞股早盤呈現歡樂氣氛，台股改由集團股作帳股扮演領頭羊，惟雙王大立光 (3008) 、台積電 (2330) 熄火轉為觀望，被動元件國巨 (2327) 、華新科 (2492) 、禾伸堂 (3026) 及矽晶圓族群環球晶 (6488) 、台勝科 (3532) 等拉回拖累，令指數漲幅受到壓抑，相對日港等亞股表現溫和，最後一盤獲大單敲進，終場加權指數上漲42.31點為9858.76點，收復10日線，成交值為1119.87億元。,7
2018-12-18T00:16:00.000Z,　精華前3季每股稅後盈餘24.75元，略高於去年同期的每股23.68元，而且為上櫃公司每股獲利首位，還高於環球晶的22.66元以及牧德的22.4元。,2
2018-12-24T07:15:00.000Z,矽晶圓族群受到里昂看衰拖累，中美晶 (5483) 、環球晶 (6488) 、台勝科 (3532) 、合晶 (6182) 臉色鐵青。,-2
2018-12-27T02:08:00.000Z, 24.環球晶 (6488) ：大尺寸矽晶圓都依長期簽約出貨，沒有降價疑慮，股價漲4.17%。,-4
2018-12-27T23:38:00.000Z,美股強彈激勵27日台股帶量大漲，外資單日買超76.1億元，主要買超欣興 （3037） 、台積電 （2330） 、微星 （2377） 、面板雙虎等都有明顯漲勢，而外資加碼上櫃的環球晶 （6488） 、穩懋 （3105） 、中美晶 （5483） 等，也都亮麗漲勢，今封關日表現仍受到市場關注。,12
2018-12-27T23:38:00.000Z,　至於上櫃股，環球晶及穩懋居前兩大，其次宣德、中美晶。,0
2018-12-27T23:38:00.000Z,前十大個股還有：由田、泰博、光環、富喬、兆利、中裕等，環球晶攻堅漲停，穩懋、中美晶、由田、光環、兆利等都漲逾3％。,2
