PublishDate,Sentence
2017-02-03T11:30:00.000Z,在各大期指表現上，雖然股王大立光與權值龍頭台積電並無表現，不過聯發科傳出與原相合作打入中國車用後視鏡供應鏈，股價止跌反彈逾 1%，上季財報亮眼與法說展望樂觀的日月光則續漲 2.6%，電子期收漲 0.59%；傳產族群中，中鋼 2 月下旬開出的第 2 季盤價預期將溫和調漲，鋼鐵族群表現強勢，而中國水泥雖進入淡季但報價仍然持穩，台泥上漲近 2%，非金電期上漲 1.05%；金融股則漲跌互見，表現較為溫吞。
2017-02-03T11:30:00.000Z,在各大期指表現上，雖然股王大立光與權值龍頭台積電並無表現，不過聯發科傳出與原相合作打入中國車用後視鏡供應鏈，股價止跌反彈逾 1%，上季財報亮眼與法說展望樂觀的日月光則續漲 2.6%，電子期收漲 0.59%；傳產族群中，中鋼 2 月下旬開出的第 2 季盤價預期將溫和調漲，鋼鐵族群表現強勢，而中國水泥雖進入淡季但報價仍然持穩，台泥上漲近 2%，非金電期上漲 1.05%；金融股則漲跌互見，表現較為溫吞。
2017-02-13T07:44:00.000Z,電子、非金電持續挑戰 2015 年高點區、金融沿 5 日線上漲1. 電子股：電子指數週一以上漲 2.40 點的 391.37 點作收，將挑戰 394.84 點的 2015 年高點壓力；週一較強的電子股包括: IC 製造的 3532 台勝科、2337 旺宏、3707 漢磊、2408 南亞科、3016 嘉晶、2344 華邦電、6488 環球晶、2330 台積電；IC 設計的 3227 原相、8096 擎亞、3443 創意、5351 鈺創、6138 茂達、3035 智原、4966 譜瑞 - KY、4968 立積；封測的 6451 訊芯 - KY、3374 精材、2369 菱生、3567 逸昌、2449 京元電；PA 的 8086 宏捷科、3105 穩懋、2455 全新；LED 的 2340 光磊、3591 艾笛森、3031 佰鴻、2448 晶電；被動元件的 3236 千如、2456 奇力新、6173 信昌電、2472 立隆電、2492 華新科；PCB 的 5439 高技、4958 臻鼎 - KY、2402 毅 嘉、6269 台郡… 等。
2017-04-23T01:13:00.000Z,法人也預期，包括聯發科、盛群及原相等IC設計廠第2季在工作天數回升下，業績可望同步較第1季成長；其中，聯發科因手機市場去化庫存速度緩慢，恐將影響第2季業績回升力道恐將相對疲弱。
2017-04-23T01:13:00.000Z,除第2季營運展望外，聯發科新產品效益、製程技術推進情況、毛利率何時能回升也將備受市場關注；而原相遊戲機產品出貨情況將是法人關注重點。
2017-05-21T01:39:00.000Z,感測晶片廠原相 (3227) 在包括遊戲機、安防、心跳量測與電競滑鼠晶片產品出貨同步成長帶動下，第2季營收可望季增2位數百分點，幅度將達10%至15%。
2017-08-01T07:02:00.000Z,台股今日受到聯發科 (2454) 挾績優題材爆量攻頂，帶動IC設計原相 (3227) 、智原 (3035) 、驊訊 (6237) 等齊力上攻，穩住權值大軍陣腳，配合造紙、鋼鐵等傳產股點火助攻，指數開低走高，盤中指數最高來到10470.03點，惟尾盤雙王台積電 (2330) 、大立光 (3008) 遭賣單調節雙雙翻黑，略為收斂指數漲幅，終場加權指數上漲9.96點為10437.29點，五日線得而復失，成交值放大至1101.73億元。
2017-08-01T07:02:00.000Z,　電子股方面，聯發科 (2454) 第2季毛利率反轉回升，終止連11季下滑窘況，激勵股價爆量攻漲停，IC設計族群躍居盤面焦點，海德威 (3268) 同步攻頂，原相 (3227) 、智原 (3035) 、驊訊 (6237) 等攜手大漲；機殼股可成 (2474) 及鎧勝-KY (5264) 於蘋果法說會前先表態，股價雙雙大漲站回5日均線。
2017-08-02T05:45:00.000Z,  電子今日吸金，法說後股價強漲的聯發科 (2454) 今早仍走穩，原相 (3227) 也續強勢。
2017-08-02T01:59:00.000Z,  今日早盤以蘋概股表現最強勁，大立光、台積電以及鴻海領軍，可成 (2474) 、台郡 (6269) 等齊攻，另外，法說後股價強漲的聯發科 (2454) 今早仍走穩，原相 (3227) 也續強勢。
2017-08-02T01:48:00.000Z,  15.原相 (3227) ：Q2淨利季增1.29倍，上半年EPS 2.13元，激勵開盤股價直衝逾8%，續創波段新高價。
2017-08-04T10:40:00.000Z,感測晶片廠原相 (3227) 第2季獲利表現亮麗，單季獲利超越去年整年度獲利水準，激勵股價連日大漲，本週市值增加32.7億元，增幅逼近3成，為本週市值增幅最大的半導體股。
2017-08-01T07:02:00.000Z,台股今日受到聯發科 (2454) 挾績優題材爆量攻頂，帶動IC設計原相 (3227) 、智原 (3035) 、驊訊 (6237) 等齊力上攻，穩住權值大軍陣腳，配合造紙、鋼鐵等傳產股點火助攻，指數開低走高，盤中指數最高來到10470.03點，惟尾盤雙王台積電 (2330) 、大立光 (3008) 遭賣單調節雙雙翻黑，略為收斂指數漲幅，終場加權指數上漲9.96點為10437.29點，五日線得而復失，成交值放大至1101.73億元。
2017-08-01T07:02:00.000Z,　電子股方面，聯發科 (2454) 第2季毛利率反轉回升，終止連11季下滑窘況，激勵股價爆量攻漲停，IC設計族群躍居盤面焦點，海德威 (3268) 同步攻頂，原相 (3227) 、智原 (3035) 、驊訊 (6237) 等攜手大漲；機殼股可成 (2474) 及鎧勝-KY (5264) 於蘋果法說會前先表態，股價雙雙大漲站回5日均線。
2017-08-02T05:45:00.000Z,  電子今日吸金，法說後股價強漲的聯發科 (2454) 今早仍走穩，原相 (3227) 也續強勢。
2017-08-02T01:59:00.000Z,  今日早盤以蘋概股表現最強勁，大立光、台積電以及鴻海領軍，可成 (2474) 、台郡 (6269) 等齊攻，另外，法說後股價強漲的聯發科 (2454) 今早仍走穩，原相 (3227) 也續強勢。
2017-08-02T01:48:00.000Z,  15.原相 (3227) ：Q2淨利季增1.29倍，上半年EPS 2.13元，激勵開盤股價直衝逾8%，續創波段新高價。
2017-08-04T10:40:00.000Z,感測晶片廠原相 (3227) 第2季獲利表現亮麗，單季獲利超越去年整年度獲利水準，激勵股價連日大漲，本週市值增加32.7億元，增幅逼近3成，為本週市值增幅最大的半導體股。
2017-08-07T06:56:00.000Z,IC設計族群同樣活蹦亂跳，原相 (3227) 亮紅燈；凌陽 (2401) 衝高離漲停板僅一步之遙。
2017-08-07T01:55:00.000Z,台股今天焦點股除了權值股、光學強勢上攻外，IC設計等半導體族群也群起上攻，指標股凌陽 (2401) 拉上漲停價16.75元，原相 (3227) 、尼克森 (3317) 、創意 (3443) 、譜瑞 (4966) 、矽力-KY (6415) 漲勢凌厲，也是內資著墨較深的電子次族群。
2017-09-02T02:20:00.000Z,　據統計，有仁寶、台積電、華邦電、奇鋐、台達電、新普、國巨、瑞儀、宣德、玉晶光、雙鴻、原相、致茂等13檔個股，擁蘋果利多題材十足，將大閃金光。
2017-09-02T02:20:00.000Z,　據統計，有仁寶、台積電、華邦電、奇鋐、台達電、新普、國巨、瑞儀、宣德、玉晶光、雙鴻、原相、致茂等13檔個股，擁蘋果利多題材十足，將大閃金光。
2017-09-06T01:51:00.000Z,  今早以中小型飆股、營收亮麗股、本周發動的太陽能族群表現最亮麗，神盾 (6462) 、原相 (3227) 持續攀高，大立光 (3008) 、可成 (2474) 兩檔蘋概股挾業績利多上攻，中美晶 (5483) 、合晶 (6182) 、綠能 (3519) 等全面大漲，以及今國光 (6209) 、佳凌 (4976) 等光學股早盤仍強勢。
2017-09-13T06:17:00.000Z,  相對而言，上櫃的中小型電子股仍有不少個股突圍；穩懋 (3105) 、原相 (3227) 續強，威剛 (3260) 也重啟漲勢。
2017-10-31T07:10:00.000Z,　受惠iPhone X預購需求強勁，蘋果股價再創波段新高，蘋概股三劍客台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 開高後雖往平盤附近靠攏，仍帶動可成 (2474) 、鎧勝-KY (5264) 與玉晶光 (3406) 強勁反彈，權值股聯發科 (2454) 有望取代高通躋身蘋果概念股，激勵股價強勢衝高；旺宏 (2337) 、原相 (3227) 受惠任天堂Switch銷售表現超預期，今日雙雙唱高調；華東 (8110) 受惠美光、華邦釋出大單，動能至少延續到明年中，股價帶量急漲逾3%；勝品電通 (6556) 上櫃首日飆漲5成，蜜月行情亮眼。
2017-10-31T06:26:00.000Z,近期表現偏弱的中小型電子股則有部分族群出現轉強跡象，IC設計族群包括原相 (3227) 、類比科 (3438) 、尼克森 (3317) 、聯發科 (2454) 大漲，被動元件凱美 (5317) 、斐成 (3313) 、華容 (5328) 走出自己的一條路。
2017-10-31T07:10:00.000Z,　受惠iPhone X預購需求強勁，蘋果股價再創波段新高，蘋概股三劍客台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 開高後雖往平盤附近靠攏，仍帶動可成 (2474) 、鎧勝-KY (5264) 與玉晶光 (3406) 強勁反彈，權值股聯發科 (2454) 有望取代高通躋身蘋果概念股，激勵股價強勢衝高；旺宏 (2337) 、原相 (3227) 受惠任天堂Switch銷售表現超預期，今日雙雙唱高調；華東 (8110) 受惠美光、華邦釋出大單，動能至少延續到明年中，股價帶量急漲逾3%；勝品電通 (6556) 上櫃首日飆漲5成，蜜月行情亮眼。
2017-10-31T06:26:00.000Z,近期表現偏弱的中小型電子股則有部分族群出現轉強跡象，IC設計族群包括原相 (3227) 、類比科 (3438) 、尼克森 (3317) 、聯發科 (2454) 大漲，被動元件凱美 (5317) 、斐成 (3313) 、華容 (5328) 走出自己的一條路。
2017-11-20T07:00:00.000Z,台積電 (2330) 證實接受歐盟初期調查，上周五隨美股大漲反彈站回10700點的台股，今天台股雖然以小紅開出，但台積電及鴻海 (2317) 走弱，蘋果概念股亦處於整理，而具漲價題材的被動元件股如：國巨 (2327) 及法人力挺的穩懋 (3105) 盤中股價創高後收低，衝擊到市場信心，在欠缺多頭司令下，台股指數開高走低，多頭轉向本土資金掛帥的中小型股及生技股表現，立康 (6242) 、尼克森 (3317) 、生達 (1720) 、麗豐-KY (4137) 、三福化 (4755) 、友華 (4120) 、科懋 (6496) 、宏齊 (6168) 、原相 (3227) 、中化生 (1762) 等漲停板作收，中小型股讓OTC指數與台股指數脫鉤。
2017-11-29T02:14:00.000Z,今日由穩懋 (3105) 持續創新高，環球晶 (6488) 上攻，原相 (3227) 、宏捷科 (8086) 等大漲。
2017-12-06T07:00:00.000Z,　蘋概三雄股王大立光 (3008) 因12月業績估下滑，今日賣壓湧現一度急殺跌停，台積電 (2330) 、鴻海 (2317) 同步走疲，衝擊多頭信心；惟3D感測族群表現格外搶眼，致茂 (2360) 、全新 (2455) 、原相 (3227) 、敦南 (5305) 逆勢走高；貿聯-KY (3665) 、美琪瑪 (4721) 、宜鼎 (5289) 等中型電子股亦強勢走高。
2017-12-19T07:08:00.000Z,年底作帳集團股相對有撐，台塑集團台塑 (1301) 、南亞 (1303) 、台化 (1326) 、台塑化 (6505) 全面收紅；泛華碩集團華碩 (2357) 、和碩 (4938) 、鎧勝-KY (5264) 、祥碩 (5269) 逆勢走高；聯電家族聯電 (2303) 、原相 (3227) 、聯傑 (3094) 、智原 (3035) 、聯陽 (3014) 等紅光滿面。
2017-12-19T06:28:00.000Z,  時序適逢年底，集團作帳股行情發燙，今日泛華碩 (2357) 集團有華碩、和碩 (4938) 、鎧勝-KY (5264) 及祥碩 (5269) 等表現優於大盤，另外，泛宏碁 (2353) 集團的緯創 (3231) 也相對有撐；聯電 (2303) 家族中，除聯電相對抗跌外，原相 (3227) 漲幅也逾1%，還有聯傑 (3094) 、智原 (3035) 、聯陽 (3014) 等股價有不錯表現。
2017-12-19T02:55:00.000Z,  外資年底態度縮手，集團作帳行情動起來，內資表現活躍，台股籌碼面呈現內外資不同調，這也使得中小型股較有表現空間，受惠積層陶瓷電容器(MLCC)報價連續4度調漲，華新科 (2492) 大漲約5.5%，國巨 (2327) 、禾伸堂 (3026) 亦同步大漲逾3%，族群展開比價行情；年底作帳行情啟動，華新集團、台塑集團及大同集團都已經展開一波作帳行情，泛宏碁 (2353) 集團股價近期也有輪動轉強跡象，緯創 (3231) 今早股價突破5日及10日線，宏碁 (2353) 則在這波漲到22.15元後，拉回整理，啟碁 (6285) 股價沿5日線向上，挑戰季線反壓；聯電 (2303) 家族中，聯電盤中小漲0.6%，原相 (3227) 受惠Switch明年揮軍大陸市場，今一度大漲3%。
2018-01-26T07:13:00.000Z,　台積電 (2330) 5奈米晶圓18廠今日動土，惟多頭不買單股價持續下修，打擊多頭士氣，股王大立光 (3008) 擺脫探底陰霾反彈逾2%，鴻海 (2317) 則止跌回穩收在平盤；記憶體族群因DRAM市況持續穩健，南亞科 (2408) 、華邦電 (2344) 雙雙勁揚；挖礦概念股人氣火紅，曜越 (3540) 、撼訊 (6150) 亮燈漲停，華擎 (3515) 、雙鴻 (3324) 、麗臺 (2465) 同步走高；AI概念股持續發燒，智原 (3035) 率先攻頂，帶動原相 (3227) 、凌陽 (2401) 、鈺創 (5351) 、創意 (3443) 等同步飆高。
