PublishDate,Sentence
2018-04-13T02:48:00.000Z,  強勢題材股今多以電子股為主，燿華 (2367) 傳接獲蘋果大單，股價大漲7.5%，中環 (2323) 第二季樂觀看好淡季不淡，一度衝上漲停，金麗科開發28奈米HPC單晶片前景看好，攻頂漲停，金融股今相對弱勢，呈現跌多漲少，大型金控股僅有中信金 (2892) 、玉山金 (2884) 小漲震盪。
2019-11-05T07:05:56.000Z,大型半導體龍頭股漲風也吹到上櫃中小型半導體族群，台星科 （3265） 、金麗科 （3228） 攻上漲停，漲勢止不住。
2019-11-05T07:05:00.000Z,大型半導體龍頭股漲風也吹到上櫃中小型半導體族群，台星科 （3265） 、金麗科 （3228） 攻上漲停，漲勢止不住。
2019-11-05T04:25:37.000Z,美股四大指數4日同步創歷史新高，費城半導體指數更強漲2.19％，台股今（5）日由台積電 （2330） 及聯發科 （2454） 等大型半導體龍頭股領軍大漲，而市場資金也開始輪動至上櫃中小型半導體族群，台星科 （3265） 、金麗科 （3228） 攻上漲停，至近午盤時，上櫃半導體指數更大漲1.33％，成為盤面最亮眼的類股。
2019-11-05T04:25:37.000Z,"
而上櫃中小型半導體股今日漲勢非凡，台星科、金麗科漲停，宏捷科不畏遭警示仍大漲5％以上、環球晶、穩懋、典範等都大漲3％以上，群聯、威剛等也上揚逾2％。"
2019-11-05T04:25:00.000Z,美股四大指數4日同步創歷史新高，費城半導體指數更強漲2.19％，台股今（5）日由台積電 （2330） 及聯發科 （2454） 等大型半導體龍頭股領軍大漲，而市場資金也開始輪動至上櫃中小型半導體族群，台星科 （3265） 、金麗科 （3228） 攻上漲停，至近午盤時，上櫃半導體指數更大漲1.33％，成為盤面最亮眼的類股。
2019-11-05T04:25:00.000Z,　而上櫃中小型半導體股今日漲勢非凡，台星科、金麗科漲停，宏捷科不畏遭警示仍大漲5％以上、環球晶、穩懋、典範等都大漲3％以上，群聯、威剛等也上揚逾2％。
2019-11-12T07:08:07.000Z,"
今日上市個股漲幅排行中，新世紀 (3383) 、得力 (1464) 、中視 (9928) 、旺旺保 (2816) 、欣巴巴 (9906) 居前列；上櫃部分，鴻翊 (3521) 、新盛力 (4931) 、大綜 (3147) 、力致 (3483) 、金麗科 (3228) 紅咚咚。"
2019-11-12T07:08:00.000Z, 今日上市個股漲幅排行中，新世紀 (3383) 、得力 (1464) 、中視 (9928) 、旺旺保 (2816) 、欣巴巴 (9906) 居前列；上櫃部分，鴻翊 (3521) 、新盛力 (4931) 、大綜 (3147) 、力致 (3483) 、金麗科 (3228) 紅咚咚。
2019-11-14T02:12:11.000Z,"
10.晶電 (2448) ：外資連3日賣超後，昨轉買超3228張，股價漲3.49%。"
2019-11-14T02:12:00.000Z, 10.晶電 (2448) ：外資連3日賣超後，昨轉買超3228張，股價漲3.49%。
2021-02-09T10:16:46.000Z,台積電董事長劉德音持有台積電1291萬3114股，將可獲3228萬元股息。
2021-03-17T01:36:54.000Z,台積電董事長劉德音持股1291萬3114股，估計將有3228萬元股息入袋；總裁魏哲家持股717萬9207股，也將有1794萬元入袋。
2021-10-18T23:53:01.000Z,台股矽智財（IP）族群有力旺、世芯-KY、創意、晶心科、金麗科、愛普*、M31、智原等。
2021-11-30T14:11:12.000Z,金管會今天公布本國銀行資產品質統計，截至今年10月底止，國銀放款總餘額達33兆3228億元，月增1797億元；存款總額達47兆6525億元，月增3547億元。
2021-11-30T14:11:12.000Z,金管會今天公布本國銀行資產品質統計，截至今年10月底止，國銀放款總餘額達33兆3228億元，月增1797億元；存款總額達47兆6525億元，月增3547億元。
