PublishDate,Sentence
2017-01-11T07:35:00.000Z,金融沿 5 日線上漲、電子狹幅震盪、非金電挑戰 5 日線1. 電子股：電子指數週三以下跌 0.64 點的 374.60 點作收，近期在 373.78~377.47 點間狹幅整理；週三較強的電子股包括: IC 設計的 3529 力旺、6462 神盾、5269 祥碩、2379 瑞昱、6202 盛群、3035 智原；封測的 8150 南茂、3374 精材、3264 欣銓； PC 相關的 3231 緯創、3005 神基、2377 微星、2382 廣達、2352 佳世達、3706 神達；LED 的 3346 麗清、6271 同欣電、2301 光寶科；電腦周邊的 3032 偉訓、2421 建準、5264 鎧勝 - KY、6188 廣明；光通訊的 6426 統新、4984 科納 - KY、3363 上詮、3163 波若威；網通的 2345 智邦、3596 智易；被動元件的 2327 國巨、6175 立敦、2478 大毅、2456 奇力新… 等。
2017-02-14T06:59:00.000Z,欣銓 (3264) 去年第四季淡季營收逆創新高，今年1月營收亦創同期新高，首季營運可望淡季續強，今爆出8128張大量，股價收在25.5元、漲幅4.5%。
2017-03-02T00:48:00.000Z,4.電子股：電子指數週三以下跌3.88點的390.22點作收，將回測月線；週三較強的電子股包括:  IC設計的3014聯陽、8096擎亞、3259鑫創、6415矽力-KY、6138茂達、6411晶焱、3094聯傑、2436偉詮電；IC製造的2337旺宏、2338光罩、5347世界；封測的3567逸昌、6257矽格、3264欣銓、3374精材；資訊服務的3029零壹、6214精誠、2427三商電、2480敦陽科；IPC的3416融程電、3088艾訊、3479安勤、8050廣積、3022威強電；電源相關的3078僑威、6412群電；被動元件的2492華新科、2327國巨、2375智寶、3026禾伸堂；PCB的6141柏承、3044健鼎、5439高技…等。
2017-03-02T00:48:00.000Z,4.電子股：電子指數週三以下跌3.88點的390.22點作收，將回測月線；週三較強的電子股包括:  IC設計的3014聯陽、8096擎亞、3259鑫創、6415矽力-KY、6138茂達、6411晶焱、3094聯傑、2436偉詮電；IC製造的2337旺宏、2338光罩、5347世界；封測的3567逸昌、6257矽格、3264欣銓、3374精材；資訊服務的3029零壹、6214精誠、2427三商電、2480敦陽科；IPC的3416融程電、3088艾訊、3479安勤、8050廣積、3022威強電；電源相關的3078僑威、6412群電；被動元件的2492華新科、2327國巨、2375智寶、3026禾伸堂；PCB的6141柏承、3044健鼎、5439高技…等。
2017-04-07T00:58:00.000Z,日期：2017年 4月 7日※本日焦點股智邦、台塑、宜鼎、綠悅-KY、欣銓、榮化、威剛、旺矽、光寶科、第一金、金像電、久威、雷科、新光鋼、聖暉、聯穎、晶采※昨日盤勢解析聯邦公開市場委員會(FOMC)會議記錄顯示聯準會(Fed)考慮縮減資產負債表規模，引發貨幣環境將日趨緊縮的疑慮，週三美股四大指數下跌。
2017-04-25T00:17:00.000Z,測試大廠欣銓 （3264） 於大陸南京轉投資的測試廠已於21日動土，預計最快今年底前可完成廠房建置並移入機台開始試產，明年上半年可望進入量產。
2017-04-25T00:17:00.000Z,欣銓南京廠產能主要配合晶圓代工龍頭台積電 （2330） 的南京12吋晶圓廠，將承接台積電釋出的晶圓測試代工訂單。
2017-04-25T00:17:00.000Z,　欣銓去年合併營收62.60億元，創下歷史新高，歸屬母公司稅後淨利8.93億元，每股淨利1.92元，欣銓已決定今年每普通股將配發1.25元現金股利，以昨（24）日股價收盤價24.25元計算，現金殖利率達5.2％。
2017-04-25T00:17:00.000Z,　欣銓去年底宣布收購測試廠全智科63.8％股權，今年3月再度宣布以每股24元現金對價，收購全智科其餘在外流通股權，全智科將在第3季正式成為欣銓百分之百持股子公司。
2017-04-25T00:17:00.000Z,而欣銓受惠於合併全智科營收，3月合併營收月增10.1％達6.33億元，創下單月營收歷史新高紀錄，第1季合併營收18.01億元，較去年同期大增40.7％並為季度營收次高紀錄。
2017-04-25T00:17:00.000Z,　欣銓為了爭取晶圓測試代工商機，近幾年大動作進行全球化布局，包括在新加坡及韓國均設有營運據點，爭取當地晶圓代工大廠後段代工訂單。
2017-04-25T00:17:00.000Z,而隨著晶圓代工龍頭台積電決定赴大陸南京設立12吋晶圓廠，欣銓也決定跟進，21日在南京浦口開發區正式舉行動土開工典禮。
2017-04-25T00:17:00.000Z,　據了解，欣銓的南京測試廠主要是台積電配套項目，設立在南京浦口經濟開發區橋林園區，廠房占地達80畝，總投資金額達1.35億美元，將興建總樓地板面積達2.75萬平方公尺的廠房，預計最快今年底前可以完成廠房建置並移入機台。
2017-04-25T00:17:00.000Z,欣銓南京廠主要建置晶圓測試產能，主要承接台積電釋出的16奈米晶圓測試代工訂單，所以是屬於高階測試生產線。
2017-04-25T00:17:00.000Z,　此外，欣銓南京廠也可望爭取到大陸紫光集團南京12吋晶圓廠的後段測試代工訂單。
2017-04-25T00:17:00.000Z,由於紫光未同步投資後段測試生產線，業界認為，欣銓南京廠可望在明年之後開始承接紫光南京廠的後段測試代工訂單。
2017-05-12T06:43:00.000Z,  電子股今日可以說是以具財報、消息題材做支撐的中小型個股領軍，包括明泰 (3380) 、南茂 (8150) 、欣銓 (3264) 、嘉澤 (3533) 、貿聯-KY (3665) 等業績資優生。
2017-06-27T01:37:00.000Z,  4.欣銓 (3264) ：Q2不淡、H2營運旺，激勵早盤股價衝上28.3元，為2015年7月來最高。
2017-11-17T01:42:00.000Z,  18.欣銓 (3264) ：昨外資逢低買超3210張，帶動今早股價彈升近5%。
2018-01-31T02:06:00.000Z,  2.欣銓 (3264) ：昨外資加入本土法人賣超行列，早盤股價續跌逾3%。
2018-01-31T02:06:00.000Z,  2.欣銓 (3264) ：昨外資加入本土法人賣超行列，早盤股價續跌逾3%。
2018-02-12T02:14:00.000Z,  2.欣銓 (3264) ：9日獲外資、自營商擴大買超，激勵早盤股價彈升逾3%。
2018-02-21T02:12:00.000Z,  2.欣銓 (3264) ：具汽車電子題材，早盤股價以34.2元開紅盤、漲幅約5%。
2018-09-01T02:33:00.000Z,　觀察昨日獲投信買超的漲幅前十大櫃買中小型股，博智亮燈漲停，其餘漲幅1.12～3.54％不等，其中，投信買超加百裕最多，達921張，欣銓買超320張次之，譜瑞-KY雖僅買超13張，不過投信已連7日加碼206張。
2018-09-03T03:54:00.000Z, 美國總統川普樂此不疲在全球玩貿易戰，國際股市也隨之起舞，今天亞股及台股再受貿易戰影響，陸股走弱再度面臨2700點保衛戰，亞股全面走跌，台股也無法倖免，雖然股王—大立光 (3008) 及台積電 (2330) 力守紅盤，尤其是台積電希望延續上周強勢，扮演「一夫當關，萬夫莫敵」領軍台股上攻，但內資人氣指標的被動元件及矽晶圓個股今天再度遭逢空軍摜壓，華新科 (2492) 失守300元關卡，國巨 (2327) 、信昌電 (6173) 、禾伸堂 (3026) 等同步下挫，矽晶圓的環球晶 (6488) 等也回測低點，資金轉向具業績題材及太陽能等中小型股，國碩 (2406) 及基泰 (2538) 盤中漲停，順德 (2351) 、台肥 (1722) 、青雲 (5386) 、欣銓 (3264) 、智易 (3596) 及美食-KY (2723) 等逆勢走高，截至11點30分為止，加權股價指數為10986.01點，下跌77.93點，成交量為726.91億元；OTC指數為141.82點，下跌1.71點，成交量為175.35億元。
2018-09-01T02:33:00.000Z,　觀察昨日獲投信買超的漲幅前十大櫃買中小型股，博智亮燈漲停，其餘漲幅1.12～3.54％不等，其中，投信買超加百裕最多，達921張，欣銓買超320張次之，譜瑞-KY雖僅買超13張，不過投信已連7日加碼206張。
2018-09-03T03:54:00.000Z, 美國總統川普樂此不疲在全球玩貿易戰，國際股市也隨之起舞，今天亞股及台股再受貿易戰影響，陸股走弱再度面臨2700點保衛戰，亞股全面走跌，台股也無法倖免，雖然股王—大立光 (3008) 及台積電 (2330) 力守紅盤，尤其是台積電希望延續上周強勢，扮演「一夫當關，萬夫莫敵」領軍台股上攻，但內資人氣指標的被動元件及矽晶圓個股今天再度遭逢空軍摜壓，華新科 (2492) 失守300元關卡，國巨 (2327) 、信昌電 (6173) 、禾伸堂 (3026) 等同步下挫，矽晶圓的環球晶 (6488) 等也回測低點，資金轉向具業績題材及太陽能等中小型股，國碩 (2406) 及基泰 (2538) 盤中漲停，順德 (2351) 、台肥 (1722) 、青雲 (5386) 、欣銓 (3264) 、智易 (3596) 及美食-KY (2723) 等逆勢走高，截至11點30分為止，加權股價指數為10986.01點，下跌77.93點，成交量為726.91億元；OTC指數為141.82點，下跌1.71點，成交量為175.35億元。
2018-11-28T23:40:00.000Z,同時，為了爭取當地後段封測訂單，包括矽品、京元電等擴建蘇州據點產能，欣銓及日月光則在南京設廠。
2019-06-27T02:03:00.000Z,1.欣銓 (3264) ：獲外資連續回補買超6個交易日，推升早盤股價漲至28.85元，登近1.5月波段新高。
2019-06-27T02:03:00.000Z,1.欣銓 (3264) ：獲外資連續回補買超6個交易日，推升早盤股價漲至28.85元，登近1.5月波段新高。
2020-03-06T02:01:00.000Z,  2.欣銓 (3264) ：2月營收月增5.61%、年增32.67%，昨雖外資轉賣超，惟本土法人續買超，早盤股價逆漲逾1%。
2020-04-30T10:48:34.000Z,"
上櫃公司評鑑前5%公司包括環球晶 (6488) 、穩懋 (3105) 、世界 (5347) 、中美晶 (5483) 、台微體 (4152) 、東洋 (4105) 、頎邦 (6147) 、明安 (8938) 、崑鼎 (6803) 、新鼎 (5209) 、欣銓 (3264) 、龍巖 (5530) 、萬潤 (6187) 、崇越電 (3388) 、智擎 (4162) 等35家上櫃公司。"
2020-04-30T10:48:34.000Z,"
上櫃公司評鑑前5%公司包括環球晶 (6488) 、穩懋 (3105) 、世界 (5347) 、中美晶 (5483) 、台微體 (4152) 、東洋 (4105) 、頎邦 (6147) 、明安 (8938) 、崑鼎 (6803) 、新鼎 (5209) 、欣銓 (3264) 、龍巖 (5530) 、萬潤 (6187) 、崇越電 (3388) 、智擎 (4162) 等35家上櫃公司。"
