PublishDate,Sentence
2017-05-25T00:57:00.000Z,日期：2017年 5月25日※本日焦點股榮創、隆達、晶電、智冠、先進光、同亨、晶焱、GIS-KY、牧德、江申、裕融、凡甲、IET-KY※昨日盤勢解析德國五月份 IFO 商業景氣指數優於預期、來到 114.6 點，創 1991 年來新高；歐洲經濟數據強勁，週二科技、汽車股表態，德、法股市上漲，英股小跌。
2017-10-15T02:10:00.000Z,　另外，本周較重要的影響因素還有科技公司與中小型股法說會、海外說明會及新股買賣等，前者有工信、南亞科、華友聯、力山、IET-KY以及光罩等公司，將陸續舉行法說會，而同欣電、美時、立積、康控-KY、精測等有排定海外說明會行程，第3季業績表現及對第4季營運展望，攸關個股行情表現。
2018-11-13T07:15:00.000Z,　蘋果新機銷售慘淡股價重挫5%，衝擊台灣蘋果鏈台積電 (2330) 、鴻海 (2317) 、可成 (2474) 、玉晶光 (3406) 、美律 (2439) 倒成一片，股王大立光 (3008) 神來一筆逆轉翻紅大漲5%，站回3200元大關；3D感測供應商Lumentum遭下修財測，拖累國內PA雙雄穩懋 (3105) 、全新 (2455) 跳空跌停開出，宏捷科 (8086) 、環宇-KY (4991) 、IET-KY (4971) 等臉色凝重。
2019-05-17T04:51:00.000Z, 至於「華為手機概念」台股名單則有：晶技 (3042) 、嘉聯益 (6153) 、台光電 (2383) 、聯茂 (6213) 、台燿 (6274) 、群創 (3481) 、大立光 (3008) 、信驊科 (5274) 、璟德 (3152) 、敦泰 (3545) 、聯發科 (2454) 、聯詠 (3034) 、瑞昱 (2379) 、宏捷 (8086) 、環宇-KY (4991) 、台積電 (2330) 、穩懋 (3105) 、日月光投控 (3711) 、頎邦 (6147) 、京元電 (2449) 、大聯大 (3702) 、金像電 (2368) 、IET-KY (4971) 、聯亞 (3081) 、全新 (2455) 、雙鴻 (3324) 、奇鋐 (3017) 、超眾 (6230) 、景碩 (3189) 、健鼎 (3044) 、南電 (8046) 。
2019-05-17T04:36:00.000Z, 至於「華為手機概念」台股名單則有：晶技 (3042) 、嘉聯益 (6153) 、台光電 (2383) 、聯茂 (6213) 、台燿 (6274) 、群創 (3481) 、大立光 (3008) 、敦泰 (3545) 、聯發科 (2454) 、聯詠 (3034) 、瑞昱 (2379) 、台積電 (2330) 、日月光投控 (3711) 、京元電 (2449) 、大聯大 (3702) 、金像電 (2368) 、IET-KY (4971) 、聯亞 (3081) 、全新 (2455) 、雙鴻 (3324) 、奇鋐 (3017) 、超眾 (6230) 、景碩 (3189) 、健鼎 (3044) 、南電 (8046) 。
2019-06-10T07:21:00.000Z,　此外，緯創、昂寶-KY、台光電、亞光、燿華、IET-KY、華通、頎邦、致伸、全新、聯貿-KY、閎康、英業達及嘉聯益等都各大漲3～4％以上。
2019-07-20T03:09:00.000Z,　　據台積電法說會所示，5G的加速部署是第三季業績進一步提升的動能之一，並提及5G基礎建設、智慧手機需求強勁，樂觀看待下半年；而國內PA族群在華為事件後，因中國積極「去美化」擁優勢，市場賦予高度期待，隨龍頭擦亮5G前景，包括宏捷科、穩懋、全新、環宇-KY、IET-KY等19日盤中全面翻紅。
2019-07-24T05:56:00.000Z,另外，IET-KY (4971) 今天盤中漲幅也超過6%，環宇- KY (4991) 漲幅則在2%上下、人氣見到增溫。
2020-01-02T07:14:12.000Z,以及5G元年正式來臨，上櫃的砷化鎵族群股價回神，龍頭股穩懋股價大漲收復300元大關，全新 (2455) 、宏捷科、環宇-KY、英特磊IET-KY等都集體上漲演出。
2020-01-02T07:14:00.000Z,以及5G元年正式來臨，上櫃的砷化鎵族群股價回神，龍頭股穩懋股價大漲收復300元大關，全新 (2455) 、宏捷科、環宇-KY、英特磊IET-KY等都集體上漲演出。
2020-01-02T07:14:12.000Z,以及5G元年正式來臨，上櫃的砷化鎵族群股價回神，龍頭股穩懋股價大漲收復300元大關，全新 (2455) 、宏捷科、環宇-KY、英特磊IET-KY等都集體上漲演出。
2020-01-02T07:14:00.000Z,以及5G元年正式來臨，上櫃的砷化鎵族群股價回神，龍頭股穩懋股價大漲收復300元大關，全新 (2455) 、宏捷科、環宇-KY、英特磊IET-KY等都集體上漲演出。
