PublishDate,Sentence
2017-01-24T00:49:00.000Z,※弱勢股：以個別修正或漲多拉回為主，諸如億豐 (8464) 、神盾 (6462) 、祥碩 (5269) 、信驊 (5274) 、茂林-KY (4935) 、炎洲 (4306) 等。
2017-03-15T06:56:00.000Z,IC設計股上演股王爭霸戰，矽力 (6415) 法說會前開飆4.5%，信驊 (5274) 挾量衝天價、守住股王寶座。
2017-03-22T00:59:00.000Z,o弱勢股：1.IC設計漲多拉回，信驊 (5274) 、敦泰 (3545) 、晶心科 (6533) 、晶焱 (6411) 、茂達 (6138) 下跌。
2017-06-01T00:57:00.000Z,※強勢股：1.IC      設計個股表現，信驊 (5274) 、神盾 (6462) 、新唐 (4919) 、虹冠電 (3257) 、類比科 (3438) 上漲。
2017-06-01T00:57:00.000Z,※強勢股：1.IC      設計個股表現，信驊 (5274) 、神盾 (6462) 、新唐 (4919) 、虹冠電 (3257) 、類比科 (3438) 上漲。
2017-06-29T00:58:00.000Z,5.其他個別修正或漲多拉回者，諸如網家 (8044) 、信驊 (5274) 、凌華 (6166) 、茂迪 (6244) 、鈊象 (3293) 、勝麗 (6238) 、?矬? (8349) 、雄獅 (2731) 、亞翔 (6139) 等。
2018-01-17T03:29:00.000Z,受到亞系外資拉高伺服器管理系統單晶片廠信驊 (5274) 目標價上看1100元，信驊今天開高上漲8.47%，股價創下歷史新高的845元，成交量400餘張。
2018-04-09T07:06:00.000Z,信驊因主攻大陸網咖市場的新產品iCafe extender IC以及360度視頻解決方案，具有較高的毛利率貢獻，亞系外資將其目標價由777元調升到1170元，看好信驊將成為台股下任「千金」，其股價低調表態，在850元附近蓄勢。
2018-05-03T03:20:00.000Z,在科技股方面，亞系外資給予「優於大盤」評等的12檔個股包括台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 、南亞科 (2408) 、環球晶 (6488) 、亞德客-KY (1590) 、力成 (6239) 、中美晶 (5483) 、智邦 (2345) 、京元電子 (2449) 、樺漢 (6414) 、信驊 (5274) 。
2018-05-03T03:20:00.000Z,在科技股方面，亞系外資給予「優於大盤」評等的12檔個股包括台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 、南亞科 (2408) 、環球晶 (6488) 、亞德客-KY (1590) 、力成 (6239) 、中美晶 (5483) 、智邦 (2345) 、京元電子 (2449) 、樺漢 (6414) 、信驊 (5274) 。
2018-05-10T07:12:00.000Z,　盤面上聚焦股后爭霸戰，國巨 (2327) 尾盤攻上漲停以845元榮登股后寶座，精華 (1565) 收810元窮追不捨、精測 (6510) 以800元緊跟在後，信驊 (5274) 翻黑收789元敬陪末座。
2018-05-15T00:41:00.000Z,  投資組合的8檔科技股包括：聯發科 (2454) 、南亞科 (2408) 、旺宏 (2337) 、信驊科 (5274) 、台達電 (2308) 、聯亞 (3081) 、全新 (2455) 、樺漢 (6414) 。
2018-06-07T07:05:00.000Z,美股在科技及金融股走強助威下，周三四大指數同步收高，台股今日持續受到鼓舞，早盤一度攻抵11261.68點，距離今年1月23日創下的11270高點僅差9點，盤面上以被動元件族群國巨 (2327) 、禾伸堂 (3026) 、華新科 (2492) 及高價股精測 (6510) 、精華 (1565) 、信驊 (5274) 等強撐人氣，特斯拉概念股貿聯-KY (3665) 、原相 (3227) 、美琪瑪 (4721) 、康普 (4739) 、和大 (1536) 亦不遑多讓火力全開，加上金融股持續登高力挺多方，終場加權指數上漲49.92點11251.75點，成交值放大至1876.85億元。
