PublishDate,Sentence
2017-03-08T04:36:00.000Z,盤面上電子股漲勢集中半導體，在台積電帶領下，環宇 - KY 大漲逾 8%，威剛、聯發科、同欣電、茂達、京元電、旺宏、家登、頎邦等，股價也有 1% 以上漲幅。
2017-07-17T01:41:00.000Z,已經確定與會的台廠包括:台積電 (2330) 、鴻海 (2317) 、日月光 (2311) 、可成 (2474) 、華碩 (2357) 、頎邦 (6147) 、致茂 (2360) 、友達 (2409) 、英業達 (2356) 、旺宏 (2337) 、東洋 (4105) 、美食-KY (2723) 、國泰金 (2882) 、富邦金 (2881) 等近百家業者。
2017-11-27T07:05:00.000Z,封測廠頎邦 (6147) 因法人看好第四季營運持穩高檔，今日放量開飆，早盤一度飆升8.92％至63.5元，創2015年7月以來近2年5個月高點，無奈大盤表現不佳，市場追價力道降溫，股價收60.2元，漲幅縮至3.2%。
2018-01-20T06:51:00.000Z,　據統計，包括台積電、日月光、頎邦、開發金、中信金、永豐金、台新金、富邦金、群創、友達等10個股，今年來獲法人頻頻敲進，激勵股價持續上揚，今年來漲幅5.4～17.5％，勝過大盤漲幅4.7％，氣勢不凡。
2018-08-29T02:17:00.000Z, 13.頎邦 (6147) ：H2營運可望大幅跳升，長線亦看發展利多，法人喊買，早盤放量漲逾4%，站穩所有短均。
2018-09-04T00:07:00.000Z,市場普遍看好6.1吋款項，此款報價約700美金，預估將賣的最好，其次是6.5吋OLED價格預估1000美金，相關推薦個股部分，維持台積電 (2330) 、大立光 (3008) 、頎邦 (6147) 、臻鼎 (4958) 、台虹 (8039) 、訊芯-KY (6451) 的買進建議。
2018-09-04T00:07:00.000Z,市場普遍看好6.1吋款項，此款報價約700美金，預估將賣的最好，其次是6.5吋OLED價格預估1000美金，相關推薦個股部分，維持台積電 (2330) 、大立光 (3008) 、頎邦 (6147) 、臻鼎 (4958) 、台虹 (8039) 、訊芯-KY (6451) 的買進建議。
2018-09-17T06:59:00.000Z,而其他蘋概股可成 (2474) 、和碩 (4938) 、嘉聯益 (6153) 、頎邦 (6147) 則相對有撐。
2018-09-17T04:33:00.000Z,可成 (2474) 、和碩 (4938) 、嘉聯益 (6153) 、頎邦 (6147) 、臻鼎 (4958) 早盤維持在平盤上下游走，大立光、GIS-KY (6456) 、美律 (2439) 、康控 (4943) 、台郡 (6269) 跌幅在1%左右。
2018-10-15T10:11:00.000Z,中資天風證券知名蘋果分析師郭明錤的最新研究報告指出，iPhone XR換機需求將優於預期，10月開始改善供應，上修今年第4季iPhone XR出貨約10%至3600萬台到3800萬台，明年第1季iPhone供應鏈可望淡季不淡，受惠台廠包括台積電、大立光 (3008) 、美律 (2439) 、可成 (2474) 、聯德控股-KY (4912) 、欣興 (3037) 、頎邦 (6147) 。
