PublishDate,Sentence
2017-10-03T01:58:00.000Z,  2.久元 (6261) ：昨獲土洋法人聯手買超128張，爆量拉出一根紅棒，今早追價買盤持續湧入，股價攀上64.3元、漲幅逾6%。
2017-10-03T01:58:00.000Z,  2.久元 (6261) ：昨獲土洋法人聯手買超128張，爆量拉出一根紅棒，今早追價買盤持續湧入，股價攀上64.3元、漲幅逾6%。
2019-03-22T02:12:00.000Z, 3.久元 (6261) ：短均走揚吸引買盤目光，早盤不理外資持續偏空操作，量增再漲逾5%。
2019-04-17T02:08:00.000Z, 2.久元 (6261) ：外資本月以來持續買超，推升股價持續沿5日線走升，早盤再登47.8元波段新高。
2019-12-06T02:20:54.000Z,"
4.久元 (6261) ：11月營收3.48億元，月增10.90%、年增15.49%，早盤人氣升溫，股價續漲逾2%。"
2019-12-06T02:20:00.000Z, 4.久元 (6261) ：11月營收3.48億元，月增10.90%、年增15.49%，早盤人氣升溫，股價續漲逾2%。
2019-12-09T02:25:00.000Z, 3.久元 (6261) ：11月營收月增10.90%、年增15.49%，外資持續買超，今早挾量續漲逾2.5%。
2019-12-10T02:08:00.000Z, 2.久元 (6261) ：11月營收月增10.90%、年增15.49%，外資連日買超，今早股價續漲逾3.5%，登4個月來高位。
2019-12-16T02:05:00.000Z, 4.久元 (6261) ：外資12月2日以來日日買超，推升股價同步揚升，今早量能再升溫，股價躍過50關達51.9元、漲幅逾6.5%。
2020-01-07T02:10:02.000Z,1.久元 (6261) ：外資自12月初以來持續買超，多頭休兵兩日後，今早重擂戰鼓，股價逆漲逾1%，意圖收復5日線。
2020-01-07T02:10:00.000Z,1.久元 (6261) ：外資自12月初以來持續買超，多頭休兵兩日後，今早重擂戰鼓，股價逆漲逾1%，意圖收復5日線。
2020-02-14T02:01:00.000Z,  2.久元 (6261) ：外資連日買超，今公布1月營收3.13億元，月增10.17%、年增20.35%，激勵早盤股價一度衝上53.1元、漲幅近7%。
2020-02-17T02:10:00.000Z,  5.久元 (6261) ：1月營收月增10.17%、年增20.35%，外資14日擴大買超322張，激勵股價逆漲逾1.5%，企圖挑戰前高。
