PublishDate,Sentence
2017-02-10T00:23:00.000Z,　聯電廈門12吋晶圓廠已於去年11月進入量產，從2015年3月動土到完成客戶認証、正式生產只花費20個月的時間，廈門地理位置能讓聯電更靠近中國客戶群，對龐大中國半導體市場提供全方位的技術資源與晶圓製造服務，並有效率地協助客戶新的設計定案導入量產。
2017-03-06T03:40:00.000Z,亞系外資今出具大中華區半導體策略研究報告表示，去年第4季末，半導體庫存天數約69到70天，比過去5年平均值66天還高出3到4天，但尚未達到警戒水位。
2017-03-13T03:14:00.000Z,　美國升息腳步漸近，上周新台幣隨亞幣走貶，外資亦轉為賣超，讓已連兩周處於弱勢的台股更形疲弱，上周五台股在外資賣超權值股下，一度重挫跌破9600點關卡，所幸尾盤時在金融類股拉抬下，指數守住9600點關卡，今天台股在上周五美股收紅，股王—大立光 (3008) 及台積電 (2330) 早盤開高下，以小紅開出，2月合併營收表現出色的光學元件股—先進光 (3362) 及佳凌 (4976) ，以及買盤力挺的統新 (6426) 、大中 (6435) 、建錩 (5014) 及台光電 (2383) 等強攻漲停板，台燿 (6274) 、揚明光 (3504) 、精材 (3374) 、國巨 (2327) 及有軋空味道的玉晶光 (3406) 大漲，加上調漲價格的永豐餘 (1907) 強勢大漲，以及水泥類股轉強，帶動台股指數開高走高，盤中直逼5日線，截至10點55分為止，加權股價指數為9682.27點，上漲54.38點，成交量為416.2億元；OTC指數為134.98點，上漲0.96點，成交量為150.62億元。
2017-03-13T23:49:00.000Z,昨（14）日台積電回神大漲3元收在186.5元，不僅扮演推升大盤指數上漲0.72％功臣，更帶旺半導體指數強漲1.83％，茂達 （6138） 、茂矽 （2342） 、大中 （6435） 跟著漲停表態。
2017-03-13T23:49:00.000Z,"　IC設計廠茂達搭上董監改選題材，近日買盤不手軟，外資更是連6日買超，喊進逾3,500張，昨日亮燈漲停45元，委買單高掛2,900張；大中是茂達的轉投資事業，受惠下游拉貨緊俏，3月營運動能可望回升，全年營收拚雙位數成長，近日成交量熱絡，昨日跳空鎖漲。"
2017-06-07T06:34:00.000Z,另外，瑞信持續看壞瑞儀(6176)，認為該公司較難從iPad尺寸變大中獲利。
2017-06-20T01:49:00.000Z,  8.鴻海 (2317) ：麥格理證券大中華區科技產業研究團隊主管張博凱發出的226頁鴻海大報告，預言鴻海是未來世界的整合者（Integrator for tomorrow’s world），揭露鴻海九大事業、全球足跡、四大優勢、四大新市場，鴻海股價漲2.74%。
2017-06-27T04:17:00.000Z,埃森哲大中華區主席莊泉娘(Chuan Neo Chong)表示，中國已在AI發展中大幅邁進，埃森哲的研究顯示AI有望成為經濟增長趨緩的強力補救措施。
2017-10-25T06:26:00.000Z,中小型的電子次族群更是強者恆強，像是喊漲的矽晶圓股中美晶 (5483) 、合晶 (6182) 續漲，金氧半場效電晶體MOSFET的尼克森 (3317) 、大中 (6435) 、富鼎 (8261) 同步飆高。
2017-10-27T07:08:00.000Z,　iPhone X預購即將啟動，蘋概股由台積電 (2330) 率先表態，概念股康控-KY (4943) 一度漲停，惟大立光 (3008) 、鴻海 (2317) 、美律 (2439) 、嘉聯益 (6153) 由紅翻黑，可成 (2474) 、鴻準 (2454) 、F-TPK (3673) 亦同步走跌，台郡 (6269) 法說會後呈現利多出盡重挫跌停；金氧半場效電晶體(MOSFET)在旺季效應加持下，概念股成當紅炸子雞，尼克森 (3317) 、大中 (6435) 、富鼎 (8261) 盤中齊觸頂表現搶眼；面板雙虎因旺季進入尾聲，友達 (2409) 、群創 (3481) 齊步走跌；受到特斯拉砍單衝擊，供應鏈和大 (1536) 、貿聯-KY (3665) 、乙盛-KY (5243) 等齊聲哀號。
2017-10-27T06:04:00.000Z,  權值股無力支撐使得台股加權指數漲幅收斂，反倒是中小型題材股表現較為活躍，金氧半場效電晶體(MOSFET)旺季缺貨效益持續發燒，尼克森 (3317) 、大中 (6435) 、富鼎 (8261) 今一度全數再攻上漲停，捷敏-KY (6525) 繼昨創下掛牌以來新高後，今股價續強，但午盤後也受到大盤影響，漲幅收斂到約1.5%。
2017-10-27T03:07:00.000Z,  其餘電子族群表現，IC設計為近期多頭聚焦重鎮，金氧半場效電晶體(MOSFET)在旺季效應帶動下，3檔概念股尼克森 (3317) 、大中 (6435) 、富鼎 (8261) 再度拉上漲停，已經是連續第二個交易日亮燈，其餘鈺創 (5351) 也大漲5%，祥碩 (5269) 、昂寶-KY (4947) 、晶宏 (3142) 等也全面走揚。
2017-11-17T02:52:00.000Z,  今日盤面續強族群包括IC設計、PCB、被動元件等，IC設計龍頭聯發科 (2545) 漲幅逾2%，其中MOSFET(金氧半場效電晶體)概念股在第四季產業旺季，持續喊漲空間上看一成下，尼克森 (3317) 漲停，富鼎 (8261) 、大中 (6435) 亦大漲約3.5%；被動元件除價漲行情外，集團年底作帳行情也是一大重點，龍頭股國巨 (2327) 為首，今年MLCC產業漲勢超過預期，國巨市值創減資後新高，今股價大漲逾8%，帶動禾伸堂 (3026) 更是一度直逼漲停，華新科 (2492) 亦上漲約4%。
2017-12-14T05:22:00.000Z,蘋果季報顯示，2017年度第4季美洲營收年增14%(季增13%)至230.99億美元、高居各市場之冠，遙遙領先排名第二的歐洲(130.09億美元)以及排名第三的大中華地區(98.01億美元)。
2017-12-25T07:06:00.000Z,　蘋果新機換機潮不如預期，市場傳出明年首季將大砍供應鏈訂單，股王大立光嚇跌至4000元，衝擊高價股買氣急凍，鴻海 (2317) 、可成 (2474) 、和碩 (4938) 同步走軟，權值股台積電 (2330) 、群創 (3481) 、友達 (2409) 於平盤附近震盪整理；MOSFET概念股在華碩 (2357) 小金雞杰力 (5299) 未上櫃先轟動下掀起比價效應，大中 (6435) 、富鼎 (8261) 雙雙大漲；印刷電路板族群受惠原料報價喊漲、明年展望佳，達邁 (3645) 、燿華 (2367) 、台虹 (8039) 、亞電 (4939) 人氣強強滾。
2018-01-02T02:18:00.000Z,  12.大中 (6435) ：傳Q1將調漲MOSFET報價，早盤量增價漲逾4%。
2018-01-02T02:18:00.000Z,  12.大中 (6435) ：傳Q1將調漲MOSFET報價，早盤量增價漲逾4%。
2018-01-23T07:10:00.000Z,華碩小金雞杰力上櫃搶搭金氧半場效電晶體(MOSFET)缺貨漲價題材，開盤參考價50元，股價飆漲60%以上，最高達81.5元，也帶動相關族群掀起比價效應，尼克森 (3317) 漲停、大中 (6435) 大漲4%、富鼎 (8261) 漲幅也逾2%。
2018-03-02T00:08:00.000Z,　在2018年全球銀行品牌價值500大中，國內共有19家銀行入榜，成績最佳的是中信銀，排名181名，但比前一年退後20名，其次是玉山銀排名192名，第一銀行則排名217名；7家公股銀行都有入榜，民營銀行則有12家，但有些是以金控名稱擠入排行，如台新金、開發金及元大。
2018-03-02T00:08:00.000Z,　在2018年全球銀行品牌價值500大中，國內共有19家銀行入榜，成績最佳的是中信銀，排名181名，但比前一年退後20名，其次是玉山銀排名192名，第一銀行則排名217名；7家公股銀行都有入榜，民營銀行則有12家，但有些是以金控名稱擠入排行，如台新金、開發金及元大。
2018-03-21T06:22:00.000Z,MOSFET(金氧半場效電晶體)在市場需求旺盛下，漲價題材持續，尼克森 (3317) 、大中 (6435) 等也全都大漲。
2018-05-30T07:11:00.000Z,漲價題材股持續火熱，矽晶圓族群由環球晶 (6488) 領攻，帶動嘉晶 (3016) 、合晶 (6182) 逆勢走揚；MOSFET概念股杰力 (5299) 、富鼎 (8261) 、大中 (6435) 剽悍大漲相對吸睛；光碟片族群錸德 (2349) 再飆漲停，激勵中環 (2323) 、鈺德 (3050) 跟進走高。
2018-05-30T06:03:00.000Z,亦具漲價題材的MOSFET杰力 (5299) 、富鼎 (8261) 、大中 (6435) 等亦持續強勢。
2018-05-30T01:46:00.000Z,亦具漲價題材的MOSFET杰力 (5299) 、富鼎 (8261) 、大中 (6435) 等亦持續強勢。
2018-06-01T07:03:00.000Z,近來強勢族群被動元件、矽晶圓以及MOSFET開高回檔，被動元件龍頭股國巨 (2327) 一度壓回平盤附近，即吸引低接買盤，股價回漲3%以上；矽晶圓的漢磊 (3707) 、中美晶 (5483) 、合晶 (6182) 、嘉晶 (3016) 、台勝科 (3532) 拉回，不過MOSFET的大中 (6435) 、杰力 (5299) 力抗空方，反敗為勝。
2018-06-01T05:53:00.000Z,  盤面持續輪動，近來強勢族群被動元件、矽晶圓以及MOSFET今出現開高回檔，被動元件龍頭股國巨 (2327) 早盤股價彈升3.26%，盤中即壓回平盤附近，其他包括大毅 (2478) 、禾伸堂 (3026) 、華容 (5328) 、九豪 (6127) 、蜜望實 (8043) 等亦漲幅收斂，矽晶圓的漢磊 (3707) 、中美晶 (5483) 、合晶 (6182) 、嘉晶 (3016) 、台勝科 (3532) ，以及MOSFET的大中 (6435) 、杰力 (5299) 、富鼎 (8261) ，看好MOSFET缺貨看到明年的杰力，繼昨日攻上掛盤新高後，今早盤後翻黑壓回整理，杰力也公布4月獲利，單月稅後淨利1700萬元，EPS為0.49元。
2018-05-30T07:11:00.000Z,漲價題材股持續火熱，矽晶圓族群由環球晶 (6488) 領攻，帶動嘉晶 (3016) 、合晶 (6182) 逆勢走揚；MOSFET概念股杰力 (5299) 、富鼎 (8261) 、大中 (6435) 剽悍大漲相對吸睛；光碟片族群錸德 (2349) 再飆漲停，激勵中環 (2323) 、鈺德 (3050) 跟進走高。
2018-05-30T06:03:00.000Z,亦具漲價題材的MOSFET杰力 (5299) 、富鼎 (8261) 、大中 (6435) 等亦持續強勢。
2018-06-01T07:03:00.000Z,近來強勢族群被動元件、矽晶圓以及MOSFET開高回檔，被動元件龍頭股國巨 (2327) 一度壓回平盤附近，即吸引低接買盤，股價回漲3%以上；矽晶圓的漢磊 (3707) 、中美晶 (5483) 、合晶 (6182) 、嘉晶 (3016) 、台勝科 (3532) 拉回，不過MOSFET的大中 (6435) 、杰力 (5299) 力抗空方，反敗為勝。
2018-06-01T05:53:00.000Z,  盤面持續輪動，近來強勢族群被動元件、矽晶圓以及MOSFET今出現開高回檔，被動元件龍頭股國巨 (2327) 早盤股價彈升3.26%，盤中即壓回平盤附近，其他包括大毅 (2478) 、禾伸堂 (3026) 、華容 (5328) 、九豪 (6127) 、蜜望實 (8043) 等亦漲幅收斂，矽晶圓的漢磊 (3707) 、中美晶 (5483) 、合晶 (6182) 、嘉晶 (3016) 、台勝科 (3532) ，以及MOSFET的大中 (6435) 、杰力 (5299) 、富鼎 (8261) ，看好MOSFET缺貨看到明年的杰力，繼昨日攻上掛盤新高後，今早盤後翻黑壓回整理，杰力也公布4月獲利，單月稅後淨利1700萬元，EPS為0.49元。
2018-06-11T07:07:00.000Z,市場關注川金會發展，亞股今早漲跌互見，台股在蘋概股台積電 (2330) 、鴻海 (2317) 熄火，權值股表現平平下，指數呈現震盪走低，一度下探11118.81點，盤面以股后國巨 (2327) 領漲的被動元件族群以及矽晶圓族群嘉晶 (3016) 、環球晶 (6488) 、中美晶 (5483) 同步走強，二線光學股玉晶光 (3406) 、亞光 (3019) 和MOSFET概念股大中 (6435) 、富鼎 (8261) 與尼克森 (3317) 亦強勢大漲，支撐指數力守11100點之上，終場加權指數下跌7.19點為11149.23點，成交值縮至1531.26億元。
2018-06-11T07:07:00.000Z,蘋概三雄大立光 (3008) 、台積電 (2330) 及鴻海 (2317) 表現偏弱，盤面上以被動元件、矽晶圓、二線光學及MOSFET概念股最為強勢，被動元件股由股后國巨 (2327) 領軍，智寶 (2375) 、奇力新 (2456) 、信昌電 (6173) 聯袂漲停，矽晶圓族群嘉晶 (3016) 、環球晶 (6488) 、中美晶 (5483) 攜手勁揚，二線光學族群玉晶光 (3406) 、亞光 (3019) 同步走高，MOSFET缺貨題材持續發酵，概念股大中 (6435) 、富鼎 (8261) 與尼克森 (3317) 同飆漲停。
2018-06-12T07:15:00.000Z,中小型題材股表現亮眼，二線光學股華晶科 (3059) 、佳凌 (4976) 、揚明光 (3504) 亮燈漲停，矽晶圓族群漢磊 (3707) 、合晶 (6182) 、中美晶 (5483) 同步放閃；MOSFET概念股富鼎 (8261) 、大中 (6435) 、尼克森 (3317) 全面勁揚。
2018-06-12T06:45:00.000Z,  被動元件龍頭股國巨 (2327) 儘管法說會釋出好消息，更有外資首次納入追蹤個股，但今股價卻是震盪走低，一度跌停，反倒是5月營收連2月創新高的奇力新 (2445) ，大漲站上200元大關，另外，二線被動元件股漲勢也相當威風，華容 (5238) 、智寶 (2375) 收在漲停；MOSFET概念股尼克森 (3317) 、大中 (6435) 、富鼎 (8261) 持續走揚，大中再創新高，富鼎則一度拉第二根漲停，站上短波新高價。
2018-06-12T02:01:00.000Z,  今台股資金依舊逗留在中小型個股，成交量前三名依序為華邦電 (2344) 、中環 (2323) 、華晶科 (3059) ，華晶科受惠營運題材加上私募等消息交持下，股價再度攀上新高，最高達39.75元，除華晶科外，其餘二線光學股中佳凌 (4976) 連兩日攻上漲停，股價創下新高，玉晶光 (3406) 漲幅逾3%，揚明光 (3504) 、先進光 (3362) 走高等亦走揚；矽晶圓族群今也扮演強勢指標股之一，漢磊 (3707) 大漲逾8%，合晶 (6128) 大漲逾7%，中美晶 (5483) 漲幅也逾3%；被動元件方面，儘管龍頭股國巨 (2327) 拉回第三支黑K，但智寶 (2375) 、華容 (5328) 漲停，大毅 (2478) 漲幅逾7%；MOSFET概念股，富鼎 (8261) 再奔漲停，大中 (6435) 續創新高，股價大漲逾8%，杰力 (6299) 、尼克森 (3317) 也同步續揚。
2018-06-15T07:26:00.000Z,矽晶圓族群環球晶 (6488) 、合晶 (6182) 同步拉回，MOSFET概念股尼克森 (3317) 、大中 (6435) 、富鼎 (8261) 漲多回檔。
2018-06-27T06:59:00.000Z,MOSFET族群的大中 (6435) 、尼克森 (3317) 、富鼎 (8261) 等聯袂上攻，無奈投資人落袋為安賣盤出動，漲幅全數吐回。
2018-06-27T06:49:00.000Z,同為前波多頭悍將MOSFET族群的大中 (6435) 、尼克森 (3317) 等亦開高走低。
2018-06-27T02:57:00.000Z,同為前波多頭悍將MOSFET族群的大中 (6435) 、尼克森 (3317) 、富鼎 (8261) 等亦再度聯袂上攻。
2018-07-16T06:25:00.000Z,在上週隨全球股市反彈收復季線的台股今天只演了三分之一場好戲，台股開盤在上週五美股持續攻高帶動以紅盤開出，上週舉行法說會釋出樂觀訊息的股王—大立光 (3008) 盤中股價攻抵5130元，創下波段新高，生技類股、矽晶圓及Mosfet相關個股亦強出頭，佐登-KY (4190) 、慕康生醫 (5398) 及晟德 (4123) 盤中股價強攻漲停板，葡萄王 (1707) 、大江 (8436) 、寶齡 (1760) 、美時 (1795) 等收高，大中 (6435) 、尼克森 (3317) 、台勝科 (3532) 、合晶 (6182) 、環球晶 (6488) 強攻，讓台股早盤一度攻抵10890點，直逼10900點。
2018-07-16T03:52:00.000Z,  大陸與美國貿易戰利空逐漸鈍化，美股、陸股及亞股均在上星期強勢反彈，尤其是美國科技類股Nasdaq指數再創新高，搭配上週四法說會的股王—大立光 (3008) 釋出正面訊息，激勵台股擺脫之前頹勢，跟隨全球股市強力反彈，延續上週五以長紅收復季線氣勢，今天台股再由生技類股、矽晶圓及Mosfet相關個股領軍，佐登-KY (4190) 、慕康生醫 (5398) 強攻漲停板，葡萄王 (1707) 、大江 (8436) 、寶齡 (1760) 、美時 (1795) 等強勢上攻，大中 (6435) 、台勝科 (3532) 、合晶 (6182) 、環球晶 (6488) 強攻，帶動櫃買指數強勢走高，儘管受到陸股及港股走弱拖累，台積電 (2330) 休息，致使台股指數在中場過後由紅翻黑，但多頭企圖力守季線，指數在平盤附近游走，截至11點30分為止，加權股價指數為10860.4點，小跌4.14點，成交量為758.72億元；OTC指數為153.09點，上漲1.28點，成交量為258.72億元。
2018-07-24T06:33:00.000Z,MOSFET廠大中 (6435) 股價收在138.5元，漲4元，順利完成填息。
2018-07-24T02:41:00.000Z,  盤面上，MOSFET行情大好，原先就因為第三季傳統消費性電子旺季而進行漲價，最新又傳出大陸中興因獲美國解禁並重啟營運後，使得當地系統廠全面釋出MOSFET急單，激勵今日概念股全面走強，其中，大中 (6435) 今除息，開盤參考價134.5元，配息3.5元，開盤即填息，表現精彩，富鼎 (8261) 勁揚5%、尼克森 (3317) 4%，杰力 (5299) 也大漲約4.5%。
2018-08-29T07:12:00.000Z,MOSFET在供貨將持續短缺效應下，帶動相關概念股齊聲高唱，杰力 (5299) 、大中 (6435) 雙雙大漲，尼克森 (3317) 、富鼎 (8261) 等個股亦同步上漲。
