PublishDate,Sentence
2017-03-22T00:59:00.000Z,4.其他個股表現者，諸如台勝科 (3532) 、緯創 (3231) 、智邦 (2345) 、譜瑞-KY (4966) 、玉晶光 (3406) 、耕興 (6146) 、長華科 (6548) 、潤隆 (1808) 、友訊 (2332) 等。
2017-06-07T06:09:00.000Z,周四美國聯邦調查局（FBI）前局長科米（James Comey）將赴參議院情報委員會，就川普的「通俄門」事件發表證詞，歐洲央行將召開政策會議，以及準備脫歐的英國將舉行議會選舉，可能牽動近期國際股市之表現。
2017-06-07T01:28:00.000Z,不過，周四美國聯邦調查局（FBI）前局長科米（James Comey）將赴參議院情報委員會，就川普的「通俄門」事件發表證詞，歐洲央行將召開政策會議，以及準備脫歐的英國將舉行議會選舉，均使國際股市周二已趨於謹慎。
2017-06-08T06:58:00.000Z,前FBI局長科米證詞沒殺傷力加上金融股走揚，帶動周三美股全面收高，台股今日在台積電 (2330) 續創新高帶動下，全場維持高檔震盪走勢，並堅守五日線，終場加權指數上漲15點為10225.78點，成交值縮至829.13億元；明日收周線，周K線可望連續3周收紅。
2018-04-08T06:38:00.000Z,　櫃買中心與群益金鼎證於12、13日，在香港舉辦「櫃買市場海外法人說明會2018 Taiwan CEO Day」，攜手川寶 (1595) 、瓦城 (2729) 、穩懋 (3105) 、帛漢 (3299) 、聚積 (3527) 、亞通 (6179) 、益得 (6461) 、生華科 (6492) 、精測 (6510) 、長華科 (6548) 、生展 (8279) 、群聯 (8299) 、弘帆 (8433) 、綠河-KY (8444) 、光隆 (8916) 、森鉅 (8942) 及汎德永業 (2247) 等17家公司，涵蓋電子零組件、觀光、半導體、通信網路、生技醫療、光電、電腦及周邊設備、貿易百貨及電機機械等各產業指標企業，被看好將吸引外資買盤投入櫃買市場。
2018-04-27T03:00:00.000Z,CNBC報導(見此)，英特爾執行長科再奇(Brian Krzanich)26日在財報電話會議上坦承，該公司10奈米製程技術偏離正常的幅度有點多，10%的調整因子(scaling factor)看來雖不高，但在奈米界會造成很大差別。
2018-04-27T03:00:00.000Z,CNBC報導(見此)，英特爾執行長科再奇(Brian Krzanich)26日在財報電話會議上坦承，該公司10奈米製程技術偏離正常的幅度有點多，10%的調整因子(scaling factor)看來雖不高，但在奈米界會造成很大差別。
2018-06-22T06:39:00.000Z,值此敏感時刻，執行長科再奇(Brian Krzanich、見圖)鬧出辦公室戀情，違反公司政策，被迫請辭，英特爾股價聞訊走低。
2018-06-22T06:39:00.000Z,MarketWatch、金融時報報導，英特爾執行長科再奇和員工爆出陳年緋聞，英特爾有明文規定，禁止主管和直接或間接呈報職員發展親密關係。
2019-01-19T00:06:00.000Z,此外，英特爾前執行長科再奇（Brian Krzanich）去年因個人行為不當去職後，新舵手尚未浮上檯面。
2019-02-21T03:56:00.000Z,　另外選出的標的，包括裕日車 (2227) 、廣隆 (1537) 、聖暉 (5536) 、保瑞藥 (6472) 、伸興 (1558) 、長科 (6548) 等。
2019-03-19T23:39:00.000Z,另外，採半年配的公司有長華電材、長科二家，而有線電視業者大豐電也決定從明年度開始轉為半年配，合計六家公司股利均拍板將採「一年多配」的新制度。
2019-03-19T23:39:00.000Z,　其中，台積電、尚凡、長華電材及長科今年全年現金股利上看10元以上，股價較低的興富發及大豐電按19日收盤價計算，107年現金殖利率則分別達7.16％及6.87％，也頗具吸引力。
2019-06-25T23:50:00.000Z,美股收低，道瓊工業指數下跌179.32點或0.67%，以26548.22點作收。
2019-12-26T13:57:00.000Z,今年來跌幅前20名個股當中，跌幅最大逾8成，最少也下跌4成，產業分布包括電子、生醫、餐飲族群；其中跌幅前5名依序為LED原材料廠長科* (6548) 下跌88.2%、餐飲連鎖店天蔥 (2740) 下跌70.76%、生醫公司康呈 (6236) 下跌66.52%、資訊服務軟體設計商通訊-KY (6404) 下跌63.12%、生醫廠亞獅康-KY (6497) 下跌63.52%。
2020-02-06T09:11:53.000Z,"
8.聯發科 (2454) ：每股成交價384.52元，成交量17萬314股，成交金額6548萬9139元。"
