PublishDate,Sentence
2017-10-20T09:19:00.000Z,DBP.FOUN.2330.2353.2454.2412.3545.6244.6568.台積電30週年系列報導（中央社記者張建中新竹2017年10月20日電）台積電 (2330) 成立滿30週年，人才開枝散葉，不僅宏?? (2353) 董事長陳俊聖曾是台積電全球業務暨行銷資深副總經理，聯發科 (2454) 共同執行長蔡力行更曾是台積電董事長張忠謀的接班人選。
2017-10-20T09:19:00.000Z,今年宏?眭悛F會後，陳俊聖接替即將退休的黃少華，出任宏?硌釣?齱C除蔡力行與陳俊聖外，觸控晶片廠敦泰 (3545) 董事長胡正大與太陽能廠茂迪 (6244) 董事長張秉衡都曾是台積電的副總經理，射頻晶片廠宏觀 (6568) 董事長林坤禧也曾是台積電資深副總經理暨資訊長。
2018-11-23T02:24:00.000Z, 這家亞系外資表示，預估台積電因智慧型手機訂單調整，包括新iPhone訂單下砍、Android陣營趨緩等因素，下修明年首季營收預估，將季減16%，加上台積電其他的工業、車用和加密貨幣等客戶可能考量宏觀風險，恐將跟進調整。
2018-11-30T07:28:00.000Z,而感測器出貨爆發的矽創 (8016) 以及搶賺5G財的立積 (4968) 、宏觀 (6568) 、超眾 (6230) 、仲琦 (2419) 、智邦 (2345) 、正文 (4906) 、友訊 (2332) 、台揚 (2314) 、中磊 (5388) 等利多推升股價走高。
2018-12-03T03:54:00.000Z, 　台新2000高科技基金經理人沈建宏表示，由於中美貿易戰暫時休兵，且目前美元指數高檔有限，熱錢回流美國趨勢預計可以暫時告一段落，股市可望有一波反彈，但是宏觀來看，受到經濟成長趨緩、企業獲利衰退與熱錢動能消退的影響，這波股市多頭在2018年逐漸淡出，2019年將是修正與調整的一年，並且預期從2019年下半年開始迎接5G與選舉年帶動的題材。
2018-11-30T07:28:00.000Z,而感測器出貨爆發的矽創 (8016) 以及搶賺5G財的立積 (4968) 、宏觀 (6568) 、超眾 (6230) 、仲琦 (2419) 、智邦 (2345) 、正文 (4906) 、友訊 (2332) 、台揚 (2314) 、中磊 (5388) 等利多推升股價走高。
2018-12-03T03:54:00.000Z, 　台新2000高科技基金經理人沈建宏表示，由於中美貿易戰暫時休兵，且目前美元指數高檔有限，熱錢回流美國趨勢預計可以暫時告一段落，股市可望有一波反彈，但是宏觀來看，受到經濟成長趨緩、企業獲利衰退與熱錢動能消退的影響，這波股市多頭在2018年逐漸淡出，2019年將是修正與調整的一年，並且預期從2019年下半年開始迎接5G與選舉年帶動的題材。
2019-01-07T03:48:00.000Z,　台新2000高科技基金經理人沈建宏表示，從宏觀角度來看，2019年是一個狀似沉潛卻蘊含機會的階段，外部因素經濟成長趨緩，不確定因素增加，資金開始收緊；內部因素面臨企業獲利下修，而這些利空從2018下半年開始陸續反應，目前評價已經下修，不過，市場信心脆弱，對於升息與貿易戰的議題仍如驚弓之鳥，2019年確實面對經濟成長趨緩、企業獲利下修的考驗，且包含人工智慧、物聯網、5G等殺手級應用尚未形成氣候，科技業的獲利動能在2019上半年將出現空窗期。
2019-04-25T02:03:00.000Z, 19.宏觀 (6568) ：大啖8K4K商機，下半年將可望迎放量出貨潮，業績重返成長軌道，股價上漲近1.5%。
2019-06-21T01:57:00.000Z,SEMI表示，終端市場應用不斷擴大，推動對先進半導體所需設備的需求，但受宏觀經濟環境影響，市場持續波動。
2019-11-13T09:00:00.000Z,  張為策表示，台灣的電費是亞洲最便宜的，經濟成長率今年是四小龍之首，用宏觀的角度來看，台灣有很多東西是不太健康的，例如電費一直是由政府在補助，這會誤導民眾。
2019-11-13T03:50:00.000Z, 張為策表示，台灣的電費是亞洲最便宜的，經濟成長率今年是四小龍之首，用宏觀的角度來看，台灣有很多東西是不太健康的，例如電費一直是由政府在補助，這會誤導民眾。
2019-12-15T03:36:00.000Z,廖哲宏觀察，回顧下半年以來，市場主流始終聚焦在電子業，傳產股以內需股表現相對較好。
2019-12-16T04:33:00.000Z,聯發科 (2454) 執行長今(16)日針對「台灣半導體產業在世界科技鏈中的策略地位」發表演說，蔡力行表示，從宏觀角度來看，世界經濟在2002年會是分野，藉由無線通信將對於世界有巨大影響與改變，包括美國、大陸、台灣等經濟體也明顯受到鼓舞。
2019-12-16T04:33:00.000Z, 面對2020年，蔡力行表示，從宏觀角度來看，世界經濟在2002年會是分野，最重要是互聯網開始，藉由無線通信將對於世界有巨大影響與改變，由GDP角度來看，成長斜率增加2.5倍，但半導體產業、互聯網無線通訊產業的成長更大，也跟全球成長持續呈現正相關，由成長過程中看到，包括美國、大陸、台灣等經濟體也明顯受到鼓舞。
2021-11-01T00:32:45.000Z,  市場參與者密切關注企業應對勞動力短缺、價格壓力上升和供應鏈堵塞的能力，強勁的財報季幫助他們擺脫喜憂參半的宏觀經濟圖景的影響；聯準會(Fed)很快將開始削減其債券購買計劃規模，Fed將在11月3日發布最新政策聲明。
2021-11-01T00:32:45.000Z,  市場參與者密切關注企業應對勞動力短缺、價格壓力上升和供應鏈堵塞的能力，強勁的財報季幫助他們擺脫喜憂參半的宏觀經濟圖景的影響；聯準會(Fed)很快將開始削減其債券購買計劃規模，Fed將在11月3日發布最新政策聲明。
