PublishDate,Sentence
2019-09-02T09:20:10.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.兆豐新光R1 (01003T) ：每股成交價14.98元，成交量293萬股，成交金額4389萬1400元。"
2019-09-02T09:20:10.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.兆豐新光R1 (01003T) ：每股成交價14.98元，成交量293萬股，成交金額4389萬1400元。"
2019-12-18T09:14:17.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.兆豐新光R1 (01003T) ：每股成交價18.5元，成交量1350萬股，成交金額2億4975萬元。"
2019-12-23T09:14:22.000Z,證交所公告今日單一證券鉅額成交，股票名稱：1.兆豐新光R1 (01003T) ：每股成交價18.5元，成交量2000萬股，成交金額3億7000萬元。
2020-01-02T09:14:16.000Z,證交所公告今日單一證券鉅額成交，股票名稱：1.兆豐新光R1 (01003T) ：每股成交價18.5元，成交量1500萬股，成交金額2億7750萬元。
2020-01-02T09:14:16.000Z,證交所公告今日單一證券鉅額成交，股票名稱：1.兆豐新光R1 (01003T) ：每股成交價18.5元，成交量1500萬股，成交金額2億7750萬元。
2020-01-15T09:15:04.000Z,證交所公告今日單一證券鉅額成交，股票名稱：1.兆豐新光R1 (01003T) ：每股成交價18.5元，成交量771萬股，成交金額1億4263萬5000元。
2020-02-03T09:11:39.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.兆豐新光R1 (01003T) ：每股成交價18.5元，成交量1305萬6000股，成交金額2億4153萬6000元。"
2020-02-03T09:11:39.000Z,"
4.兆豐新光R1 (01003T) ：每股成交價18.5元，成交量358萬3000股，成交金額6628萬5500元。"
2020-02-03T09:11:39.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.兆豐新光R1 (01003T) ：每股成交價18.5元，成交量1305萬6000股，成交金額2億4153萬6000元。"
2020-02-03T09:11:39.000Z,"
4.兆豐新光R1 (01003T) ：每股成交價18.5元，成交量358萬3000股，成交金額6628萬5500元。"
2020-02-07T09:16:01.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.兆豐新光R1 (01003T) ：每股成交價18元，成交量690萬股，成交金額1億2420萬元。"
2020-02-27T09:17:17.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.兆豐新光R1(01003T)：每股成交價18.65元，成交量1024萬3000股，成交金額1億9103萬1950元。"
2020-02-27T09:17:17.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.兆豐新光R1(01003T)：每股成交價18.65元，成交量1024萬3000股，成交金額1億9103萬1950元。"
2020-04-06T09:14:29.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.兆豐新光R1 (01003T) ：每股成交價18.06元，成交量380萬股，成交金額6862萬8000元。"
2020-04-08T09:11:58.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.兆豐新光R1 (01003T) ：每股成交價18.06元，成交量360萬1000股，成交金額6503萬4060元。"
2020-05-20T09:16:37.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.兆豐新光R1 (01003T) ：每股成交價19元，成交量2648萬股，成交金額5億312萬元。"
2020-06-08T09:08:02.000Z,2.兆豐新光R1 (01003T) ：每股成交價19.1元，成交量606萬9000股，成交金額1億1591萬7900元。
