PublishDate,Sentence,Score
2017-10-05T06:54:00.000Z,  至於中鋼 （2002） 上漲0.82％，台灣大 （2882） 、國泰金 （2882） 亦上漲約0.5％，鴻海 （2317） 、台塑 （1301） 、日月光 （2311） 、兆豐金 （2886） 以平盤作收。,1
2017-10-11T07:07:00.000Z,國慶連假期間，美股表現續強，周二道瓊指數再創新高！台股今日展開補漲行情，在台積電 (2330) 再創天價，記憶體族群與金融、台塑集團助攻下，盤中指數大漲逾百點，最高攻抵10668.49點，終場加權指數上漲108.38點為10641.19點，改寫27年來新高，也創下連續百日登萬點的最長紀錄，成交值放大至1508.83億元。,10
2017-10-11T07:07:00.000Z,台塑四寶Q3財報亮眼，Q4獲外資看好盈利動能可期，激勵台塑 (1301) 、台化 (1326) 、南亞 (1303) 同步攻高，台塑化 (6505) 則小跌約0.5%。,5
2017-10-11T07:07:00.000Z,台股國慶長假後的首個交易日，受惠台積電開高登高，盤中與收盤分別以233.5元及233元雙創歷史天價，激勵短多奮勇衝高，加上國泰金、台塑集團等權值股穩盤，使盤中高點10668.49點與收盤指數10641.19點，也雙創近27年新高水準。,8
2017-10-11T06:42:00.000Z,加上台塑四寶以及金融股上攻，台股早盤即漲逾百點，指數最高10668點，突破9月19日高點，也創下27年來新高。,5
2017-10-11T06:42:00.000Z,  今日在台積電大漲，國泰金 (2882) 、富邦金 (2881) 等大型金控權值股助攻，以及台塑 (1301) 、台化 (1326) 、南亞 (1303) 等台塑集團塑化權值股大漲，台股加權指數再創新高。,7
2017-10-11T02:47:00.000Z,  今日在台積電大漲，國泰金 (2882) 、富邦金 (2881) 等大型金控權值股助攻，以及台塑 (1301) 、台化 (1326) 、南亞 (1303) 等台塑集團塑化權值股大漲，台股加權指數再創新高。,7
2017-10-27T01:49:00.000Z,最青睞個股有9檔：台達電 (2308) 、美律 (2439) 、鴻海 (2317) 、聯發科 (2454) 、日月光 (2311) 、億豐 (8464) 、台塑 (1301) 、長榮 (2603) 、中鋼 (2002) ；而最不青睞個股則有：晶電 (2448) 、同致 (3552) 、臻鼎-KY (4958) 、宏達電 (2498) 、友達 (2409) 、群創 (3481) 。,1
2017-10-31T07:10:00.000Z,傳產股方面，台塑集團台塑 (1301) 、南亞 (1303) 台塑化 (6505) 聯袂走揚，拌穩盤要角；力山 (1515) 10月營收戰新高，今日爆量大漲8.6%，領漲電機股。,6
2017-10-31T07:10:00.000Z,台股今日在台塑集團、鴻海等權值股輪漲下，使加權股價指數開高後欲小不易，盤中高點一度來到10829點，終場雖未守住10800點，但加權指數仍創下近27年收盤新高水準。,3
2017-10-31T07:10:00.000Z,傳產股方面，台塑集團台塑 (1301) 、南亞 (1303) 台塑化 (6505) 聯袂走揚，拌穩盤要角；力山 (1515) 10月營收戰新高，今日爆量大漲8.6%，領漲電機股。,6
2017-10-31T07:10:00.000Z,台股今日在台塑集團、鴻海等權值股輪漲下，使加權股價指數開高後欲小不易，盤中高點一度來到10829點，終場雖未守住10800點，但加權指數仍創下近27年收盤新高水準。,3
