PublishDate,Sentence,Score
2017-12-04T03:59:00.000Z,亞系外資看好的12檔科技股個股包括台積電 (2330) 、鴻海 (2317) 、日月光 (2311) 、南亞科 (2408) 、亞德客-KY (1590) 、英業達 (2356) 、力成 (6239) 、矽力-KY (6415) 、譜瑞-KY (4966) 、京元電子 (2449) 、樺漢 (6414) 、啟?? (6285) 。,1
2017-12-04T03:59:00.000Z,亞系外資看好的12檔科技股個股包括台積電 (2330) 、鴻海 (2317) 、日月光 (2311) 、南亞科 (2408) 、亞德客-KY (1590) 、英業達 (2356) 、力成 (6239) 、矽力-KY (6415) 、譜瑞-KY (4966) 、京元電子 (2449) 、樺漢 (6414) 、啟?? (6285) 。,1
2017-12-05T03:00:00.000Z,周一美股道瓊指數再創高，惟科技股走跌，那斯達克指數重挫逾1%，影響台股大盤今早開盤下跌43.49點，以10607.62點開出，季線10645點得而復失，隨後在台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 、華邦電 (2344) 、南亞科 (2408) 等電子權值股全面走弱之下，大盤指數一度滑落至10568.86點，所幸金融類股及時回神，加上紡織、橡膠類股力爭上游，多頭一度回防10600關卡，惟股王大立光走勢震盪、忽漲忽跌，影響大盤指數隨之起伏。,1
2017-12-05T02:27:00.000Z,1.南亞科 (2408) ：昨本土法人擴大賣超，加上昨夜美光股價大跌逾2%，影響早盤股價重挫近4%，70元大關告急。,-1
2017-12-06T02:20:00.000Z,  2.南亞科 (2408) ：外資昨擴大買超+美光昨夜股價強彈3.28%，早盤彈升逾1.5%，收復5日線。,4
2017-12-07T07:00:00.000Z,　蘋概股三雄今日漲跌互見，大立光 (3008) 、鴻海 (2317) 出現止跌訊號，台積電 (2330) 卻翻黑下挫衝擊多頭信心，其餘蘋果鏈華通 (2313) 、台郡 (6269) 、臻鼎-KY (4958) 挾11月亮眼業績強彈，燿華 (2367) 更是亮燈漲停鎖到底；DRAM族群南亞科 (2408) 11月營收繳佳績帶動股價回穩，華邦電 (2344) 以小跌作收。,5
2017-12-07T02:21:00.000Z,1.南亞科 (2408) ：11月營收衝8年新高，早盤不理外資昨轉賣超，股價逆漲逾3%。,1
2017-12-12T06:27:00.000Z,南亞 (1303) 收在平盤74.2元。,0
2017-12-13T03:05:00.000Z,  旺宏 (2337) 隨著土洋法人重新買超，尤其自營商大舉加碼推升股價持續強彈；DRAM的南亞科 (2408) 、華邦電 (2344) 亦呈現穩健上揚的格局。,5
2017-12-14T03:51:00.000Z,  大摩點選的台股「加碼」個股包括：鴻海 (2317) 、聯發科 (2454) 、台達電 (2308) 、可成 (2474) 、南亞科 (2408) 、緯創 (3231) 、台郡 (6269) 、祥碩 (5269) 、玉山金 (2884) 、中租-KY (5871) 、台塑 (1301) 、台灣大 (3045) 、遠傳 (4904) 、儒鴻 (1476) 、和大 (1536) 、智伸科 (4551) 、巨大 (9921) 、美食-KY (2723) 等。,2
2017-12-19T07:08:00.000Z,年底作帳集團股相對有撐，台塑集團台塑 (1301) 、南亞 (1303) 、台化 (1326) 、台塑化 (6505) 全面收紅；泛華碩集團華碩 (2357) 、和碩 (4938) 、鎧勝-KY (5264) 、祥碩 (5269) 逆勢走高；聯電家族聯電 (2303) 、原相 (3227) 、聯傑 (3094) 、智原 (3035) 、聯陽 (3014) 等紅光滿面。,4
2017-12-20T06:42:00.000Z,加上前波最強勢的記憶體族群包括旺宏 (2337) 、華邦電 (2344) 、南亞科 (2408) 今早均強勢上揚，電子股仍是台股重心所在。,1
2017-12-25T07:12:00.000Z,外資放長假，台北股市持續橫盤震盪，權值股多無明顯表現，台積電 (2330) 、中華電 (2412) 力守平盤；鴻海 (2317) 、國泰金 (2882) 、富邦金 (2881) 與聯發科 (2454) 等則多小跌整理；台塑四寶除台塑化 (6506) 平盤作收外，另外三寶台塑 (1301) 、南亞 (1303) 與台化 (1326) 小漲作收。,2
2017-12-25T07:06:00.000Z,台股今日受制股王大立光開高殺低，牽制短多追價意願，加上鴻海、聯發科 (2454) 、南亞科 (2408) 與統一 (1216) 等權值股演出不振，使指數量縮收跌，惟仍力守在10500點之上。,-4
2017-12-26T06:38:00.000Z,  傳產權值股擔綱穩盤要角，由中鋼 （2002） 、台化 （1326） 力收紅盤，台塑 （1301） 、南亞 （1303） 、統一超 （2912） 持穩平盤。,3
2017-12-26T03:09:00.000Z,  傳產權值股走勢相對持穩，中鋼 （2002） 、台塑 （1301） 力守平盤之上，南亞 （1303） 、台化 （1326） 則呈現平盤至小跌0.2％。,0
2017-12-28T02:15:00.000Z,  4.南亞科 (2408) ：低接買盤轉趨積極，推升今早股價突破5日線、半年線，漲逾3%達76.7元。,5
2017-12-29T07:17:00.000Z,原物料題材股持續發燒，塑化股以台塑集團台化 (1326) 、台塑 (1301) 、南亞 (1303) 及二線族群台苯 (1310) 、台達化 (1309) 表現較強；紡織股遠東新 (1402) 、力益 (1443) 、宏遠 (1460) 、聚隆 (1466) 攜手走高；鋼鐵股在第一銅 (2009) 亮燈漲停推升類指向上攀高；造紙股永豐餘 (1907) 受惠春節旺季及原料短缺帶動類股一片紅通通。,7
2017-12-29T06:18:00.000Z,傳產股台塑 (1301) 、南亞 (1303) 分別上漲1.86%、0.91%，原物料族群的台化 (1326) 、台苯 (1310) 也大漲2.49%、1.57%。,2
2017-12-29T02:52:00.000Z,傳產股台塑 (1301) 上漲逾1%，南亞 (1303) 、台塑化 (6505) 分別上漲約1%、0.5%。,1
2017-12-29T02:27:00.000Z,  新台幣強升，原物料題材股今獲多頭青睞，塑化股有台塑四寶登高一呼，台化 (1326) 大漲逾3%，台塑 (1301) 、南亞 (1303) 漲幅也達1%，二線塑化股漲幅更是突出，台達化 (1309) 、國喬 (1312) 大漲逾4.5%，台苯 (1310) 亦上揚3%；紡織股中則有遠東新 (1402) 、力益 (1443) 大漲約2%，宏遠 (1460) 、聚隆 (1466) 等漲幅也近1.5%，另外，造紙股中的永豐餘 (1907) 受惠春節旺季，以及原料短缺，量增價揚4%。,8
