PublishDate,Sentence
2016-12-30T12:42:00.000Z,市值前10名個股依次為：台積電 (2330) 、鴻海 (2317) 、台塑化 (6505) 、中華電 (2412) 、國泰金 (2882) 、台塑 (1301) 、南亞 (1303) 、台化 (1326) 、富邦金 (2881) 、大立光 (3008) 。
2016-12-30T07:01:00.000Z,台塑四寶漲幅整齊，台塑化 (6505) 大漲逾5%，台塑 (1301) 、台化 (1326) 、南亞 (1303) 攜手走高。
2016-12-30T06:08:00.000Z,  石油輸出國組織(OPEC)與非OPEC雙方所成功達成減產協議，將於2017年1月1日正式生效，激勵向來對國際原油敏感度頗高的塑化、油電股表現，今台塑四寶漲幅整齊，台塑化 (6505) 大漲逾5%，台塑 (1301) 、台化 (1326) 漲幅也近1.5%，南亞 (1303) 漲幅則約1%。
2017-01-04T10:17:00.000Z,市值前10名個股依次為：台積電 (2330) 、鴻海 (2317) 、台塑化 (6505) 、中華電 (2412) 、國泰金 (2882) 、台塑 (1301) 、台化 (1326) 、南亞 (1303) 、富邦金 (2881) 、大立光 (3008) 。
2017-01-05T11:43:00.000Z,在各大期指表現上，雖然台積電與鴻海等權值股表現平平，但在大立光大漲逾 7% 激勵下，電子期收漲 0.74%；金融龍頭國泰金上揚逾 1%，推升金融期上漲 0.58%；傳產族群則在台塑化、南亞為主的塑化類股帶動下，非金電期以上漲 0.82% 作收。
2017-01-05T08:16:00.000Z,成交值前10名個股依次為：大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 、群創 (3481) 、葡萄王 (1707) 、富邦上証正2（00633L）、友達 (2409) 、晶電 (2448) 、玉晶光 (3406) 、南亞 (1303) 。
2017-01-05T08:16:00.000Z,市值前10名個股依次為：台積電 (2330) 、鴻海 (2317) 、台塑化 (6505) 、中華電 (2412) 、國泰金 (2882) 、南亞 (1303) 、台塑 (1301) 、台化 (1326) 、大立光 (3008) 、富邦金 (2881) 。
2017-01-06T08:26:00.000Z,市值前10名個股依次為：台積電 (2330) 、鴻海 (2317) 、台塑化 (6505) 、中華電 (2412) 、國泰金 (2882) 、南亞 (1303) 、台塑 (1301) 、台化 (1326) 、大立光 (3008) 、富邦金 (2881) 。
2017-01-09T11:48:00.000Z,市值前10名個股依次為：台積電 (2330) 、鴻海 (2317) 、台塑化 (6505) 、中華電 (2412) 、國泰金 (2882) 、南亞 (1303) 、台塑 (1301) 、台化 (1326) 、大立光 (3008) 、富邦金 (2881) 。
2017-01-10T08:52:00.000Z,市值前10名個股依次為：台積電 (2330) 、鴻海 (2317) 、台塑化 (6505) 、中華電 (2412) 、國泰金 (2882) 、南亞 (1303) 、台塑 (1301) 、台化 (1326) 、大立光 (3008) 、富邦金 (2881) 。
2017-01-10T07:05:00.000Z,台塑四寶台塑 (1301) 、南亞 (1303) 、台化 (1326) 、台塑化 (6505) 去年獲利逾2000億元，年終獎金上看6個月，股價不漲反跌。
2017-01-11T11:24:00.000Z,市值前10名個股依次為：台積電 (2330) 、鴻海 (2317) 、台塑化 (6505) 、中華電 (2412) 、國泰金 (2882) 、南亞 (1303) 、台塑 (1301) 、台化 (1326) 、大立光 (3008) 、富邦金 (2881) 。
2017-01-11T07:35:00.000Z,鉅亨台北資料中心◆盤勢分析1. 週二美股漲跌互見，其中 Nasdaq 走揚再創歷史新高，週三亞股漲跌互見，台股早盤則以上漲 20.53 點的 9370.17 點開出後，一度走高到 9384 點，但在台積電、可成、和碩等蘋概股，台塑、南亞、台塑化等台塑集團股，與造紙、生技等類股等走軟下，指數震盪走低拉回平盤上下震盪，終場台股以小跌 3.90 點的 9345.74 點作收，成交量 728.42 億元。
2017-01-12T10:26:00.000Z,市值前10名個股依次為：台積電 (2330) 、鴻海 (2317) 、台塑化 (6505) 、中華電 (2412) 、國泰金 (2882) 、南亞 (1303) 、台塑 (1301) 、台化 (1326) 、大立光 (3008) 、富邦金 (2881) 。
2017-01-13T09:56:00.000Z,市值前10名個股依次為：台積電 (2330) 、鴻海 (2317) 、台塑化 (6505) 、中華電 (2412) 、國泰金 (2882) 、南亞 (1303) 、台塑 (1301) 、台化 (1326) 、大立光 (3008) 、富邦金 (2881) 。
2017-01-13T06:47:00.000Z,集團股則由台塑集團撐盤，台塑、台化收紅，南亞及台塑化也維持平盤作收。
2017-01-17T11:32:00.000Z,市值前10名個股依次為：台積電 (2330) 、鴻海 (2317) 、台塑化 (6505) 、中華電 (2412) 、國泰金 (2882) 、大立光 (3008) 、南亞 (1303) 、台化 (1326) 、台塑 (1301) 、富邦金 (2881) 。
2017-01-18T10:56:00.000Z,市值前10名個股依次為：台積電 (2330) 、鴻海 (2317) 、台塑化 (6505) 、中華電 (2412) 、大立光 (3008) 、國泰金 (2882) 、南亞 (1303) 、台塑 (1301) 、台化 (1326) 、富邦金 (2881) 。
