PublishDate,Sentence
2018-07-05T07:07:00.000Z,塑化族群隨報價趨緩表現疲軟，僅台塑化 (6505) 挾油價攀揚概念題材一枝獨秀，南亞 (1303) 、三芳 (1307) 、勝悅-KY (1340) 表現抗跌。
2018-07-13T04:49:00.000Z,根據《5G經濟》研究報告指出，台灣在現有產業結構與政策環境下，透過5G科技，可望在2035年締造1340億美元商品與服務的總產值，並帶動51萬個就業機會。
2018-07-18T00:19:00.000Z,台北股市17日收在10778.99點，下跌38.46點，成交值新台幣1340.51億元。
2019-04-23T02:07:00.000Z, 18.勝悅-KY (1340) ：奧運商機強強滾，營運可望添翼，股價自低檔連彈三日，早盤大漲4%，站回20元。
2019-08-20T07:03:00.000Z,台塑 (1301) 、南亞 (1303) 、台化 (1326) 跌深反彈，漲幅約1%，華夏 (1305) 、中石化 (1314) 、勝悅-KY (1340) 等群起呼應，推升塑膠類股收高近1%。
2019-08-20T02:07:00.000Z, 19.勝悅-KY (1340) ：今日除權息，配息0.2元及配股1元，早盤跳空開高約2%，朝填權息路邁進。
2019-09-19T02:05:42.000Z,"
27.勝悅-KY (1340) ：昨獲外資買超力挺，早盤吸引買盤進駐，股價走揚6%，站上1個月高峰。"
2019-09-19T02:05:00.000Z, 27.勝悅-KY (1340) ：昨獲外資買超力挺，早盤吸引買盤進駐，股價走揚6%，站上1個月高峰。
2020-10-26T02:37:05.000Z,"
鴻海 (2317) 今天第一盤成交1785股、聯發科 (2454) 也有1340股的成交量。"
2021-05-31T07:51:03.000Z,台積電已將iSystem物聯網智慧節能控制系統導入晶圓15B廠80種製程、588台生產機台所屬的2351台真空幫浦、805台現址式尾氣處理系統，年度省電1340萬度、減少1萬3800公噸碳排放量，創造8500萬元的節能效益。
2021-05-31T07:51:03.000Z,台積電已將iSystem物聯網智慧節能控制系統導入晶圓15B廠80種製程、588台生產機台所屬的2351台真空幫浦、805台現址式尾氣處理系統，年度省電1340萬度、減少1萬3800公噸碳排放量，創造8500萬元的節能效益。
