PublishDate,Sentence,Score
2017-04-06T01:02:00.000Z,櫃買指數上漲0.9%，漲/跌家數達384/258家，形成價漲量縮、純陽長紅K，持續收在五日均線之上，延續反彈趨勢。,0
2017-04-06T01:02:00.000Z,櫃買指數週三在電子族群上漲帶動下，日K量縮反彈，勉強收復各級均線，整體格局未脫離三月份以來的橫盤區間震盪，在長天期的均線仍為多頭排列的情況下，緩步盤堅有利長多發展，中小型題材股可留意財報表現、擇優操作。,4
2017-04-07T00:58:00.000Z,櫃買指數下跌0.03%，漲/跌家數達307/333家，形成價跌量增、長上影十字小黑K，持續收在五日均線之上，為反彈過程中遇壓拉回。,1
2017-04-07T00:58:00.000Z,櫃買指數週四受生技醫療拉回拖累，日K帶量收上影形成近似墓碑線的空方型態，目前月線(MA20)仍扣抵高值(135.64點)，因此月線之上壓力相對沉重，整體格局未脫離三月份以來箱型區間震盪，中小型題材股多空分歧，個股宜留意基本面、汰弱留強。,-4
2017-04-18T00:28:00.000Z,櫃買指數震盪劇烈，呈現開高走低，尾盤跌幅收斂，相較加權指數弱勢，率先跌破季線，關注能否快速站回，目前中小型個股看法轉為保守，波動度恐相對劇烈，若能回到季線之上，中小型個股方能轉強，屆時擇股操作較佳。,-7
2017-04-19T00:41:00.000Z,櫃買指數相較加權指數強勢，但因先前跌深，反彈較為強勁，率先跌破季線，關注能否快速站回，目前中小型個股看法轉為保守，波動度恐相對劇烈，若能回到季線之上，中小型個股方能轉強，屆時擇股操作較佳。,-1
2017-04-20T00:59:00.000Z,櫃買指數下跌0.16%，漲/跌家數達217/432家，形成價跌量增、紡錘狹幅小黑K，收復五日均線，延續反彈格局。,0
2017-04-20T00:59:00.000Z,櫃買指數週三由於穩懋 (3105) 、精測 (6510) 、寶雅 (5904) 等權值上漲撐盤，日K補量勉強收在五日均線之上、延續128.60點(4/17)以來的反彈格局，表現相對加權指數強勢，但受制於季線及上檔(2/17~4/14)頭肩頂型態反壓，研判後勢仍待盤整築底，中小型股可留意跌深反彈、擇優低接。,0
2017-04-20T00:40:00.000Z,櫃買指數相較加權指數強勢，但因先前跌深，才有較抗跌表現，率先跌破季線，關注能否快速站回，目前中小型個股看法轉為保守，波動度恐相對劇烈，若能回到季線之上，中小型個股方能轉強，屆時擇股操作較佳。,-2
2017-04-21T06:05:00.000Z,不過，櫃買指數表現相對偏弱，內資似乎還有點戒慎恐懼，分析師認為，上市櫃公司第1季財報將在5月15日前公布，下週起可望有公司開始揭露第1季獲利狀況，匯損對獲利的衝擊將逐漸在盤面蔓延，所幸櫃買指數有提前落底的跡象，短線有機會開始築底。,-1
2017-04-21T00:46:00.000Z,櫃買指數盤中一度強勢挑戰頸線壓力，不過無功而返，翻黑表現，目前中小型個股看法轉為保守，波動度恐相對劇烈，若能回到季線之上，中小型個股方能轉強，屆時擇股操作較佳。,-3
2017-04-20T23:52:00.000Z,"　國泰證期顧問處經理蔡明翰指出，昨日台股震盪，跌勢明顯收斂，但櫃買指數開高走低，顯示市場信心轉弱，加上近日呈現價量背離走勢，未來需關注指數是否跌破3月10日9,562點，可能形成M頭走勢，對於多方表態較為不利，預估在量能未放大前，指數大幅反彈機會不大，短線承接力道將來自於肩負穩盤角色的官股券商。",-5
2017-04-24T01:00:00.000Z,櫃買指數上漲   0.51%，漲/跌家數達431/200 家，形成價漲量縮、帶上影小紅 K，收復五日均線，延續狹幅區間盤整。,-1
2017-04-24T01:00:00.000Z,櫃買指數週五受半導體、光電等電子權值反彈上漲帶動，日  K 量縮收小紅、未脫離五日狹幅區間，受制於上檔將近兩個月(2/17~4/13)的頭部型態反壓，研判後勢仍待盤整築底，中小型股可留意跌深價值浮現、擇優操作。,0
