PublishDate,Sentence,Score
2017-04-09T02:40:00.000Z,只是法人依然看好大立光未來營運前景，預期隨著新款iPhone零組件備貨將於第2季末啟動，中國大陸品牌智慧手機也將於5、6月逐步放量，大立光第2季營運可望先蹲後跳。,3
2017-04-10T07:01:00.000Z,光通訊族群受惠大陸瞄準非洲拚光纖，統新 (6426) 衝上漲停，眾達-KY (4977) 呈現小漲。,4
2017-04-10T06:28:00.000Z,隨著聯電 (2303) 廈門子公司聯芯的28奈米先進製程計畫在今年第二季正式量產，TrendForce旗下拓墣產業研究院指出，中國大陸本土晶圓代工廠今年將衝刺在28奈米最先進製程的佈局，進度最快的大陸本土晶圓代工廠為中芯國際與華力微電子，然而，隨著外資紛紛於中國大陸設立晶圓廠，本土晶圓代工廠面臨技術、人才、市場上的直接競爭壓力。,1
2017-04-10T06:28:00.000Z,  拓墣指出，中國大陸本土純晶圓代工廠商目前最先進的量產製程為28奈米，根據統計，中芯國際28奈米晶圓產品2016年的年晶圓產能全球占比不足1%，與28奈米製程市占率分別為66.7%、16.1%與8.4%的前三大純晶圓代工廠商台積電 (2330) 、格羅方德、聯電仍有較大差距。,-1
2017-04-10T06:28:00.000Z,根據外資廠商進駐大陸的技術佈局習慣，一般會授權（N-1）代的技術，然而，這些技術往往又會對同期中國本土廠商產品造成很大的衝擊。,2
2017-04-10T06:28:00.000Z,在量產速度上，聯芯成為大陸領先。,3
2017-04-10T06:28:00.000Z,  拓墣指出，未來隨著各外資廠商新廠的落成投產，等待大陸本土廠商的將是來自各外資廠商在技術、人才、市場等多方面資源的直接競爭，中國大陸晶圓代工廠先進製程佈局將全面開戰。,1
2017-04-11T06:59:00.000Z,自行車零組件廠大陸「共享單車」訂單滿手，加上歐美修補市場進入旺季等雙利多助攻下，桂盟 (5306) 、日馳 (1526) 3月與首季營收大躍進，激勵日馳 (1526) 衝上漲停、桂盟 (5306) 跟進走揚。,9
2017-04-11T06:40:00.000Z,自行車零組件廠在大陸「共享單車」訂單滿手，以及歐美修補市場進入旺季等雙利多助攻下，桂盟 (5306) 、日馳 (1526) 3月與首季營收均大幅成長，在好業績助攻下，今日馳爆量收漲停，桂盟跟著逆漲1.6%。,5
2017-04-10T23:09:00.000Z,　　展望第二季，台積電10奈米產能與訂單放量跡象並不顯著，尤其市場最關注的蘋果A11用核心處理器訂單預計真正開始量產出貨時間會始自7月份，加上台積電先前已經提前預告，第二季會有庫存調節的疑慮，另外近期中國大陸手機廠推出新機出現遞延等，因此整體來看，台積電第二季營運表現也不會太理想，單季營收很有可能持續走滑，但預計到下半年將出現顯著強彈的走勢。,2
2017-04-12T06:14:00.000Z,分析師表示，台股外有美股陷入高檔整理，加上包括敘利亞及北韓有地緣政治風險及美國即將公布匯率操縱國名單等壓力，內有第1季財報匯損疑慮揮之不去，短線走勢偏弱，不過部分族群突圍而出，面板雙虎在中國大陸廠商可望轉單摯友達 (2409) 、群創 (3481) 下強漲，光學族群也有玉晶光 (3406) 、亞光 (3019) 續強表現。,-2
2017-04-12T01:37:00.000Z,  市場原樂觀預期iPhone 8將提早上市，但受到指紋辨識器等關鍵零組件生產遭遇瓶頸，上半年仍難看到實際量產，由於電子業淡季效應，近期大陸手機廠商開始調整庫存，相關零組件供應商三月起營收年增率開始轉弱，預期在5月15日公佈第一季財報前，不利於相關股價走揚。,1
2017-04-13T07:13:00.000Z,　　至於庫存水位(DOI)的部分，依舊偏高，比季節性水準需求高，第一季和第二季都會一直處在庫存調節的狀態下，尤其第二季PC和智慧型手機仍會繼續庫存調節，但需求部分，中國大陸的智慧型手機需求是平穩的，因此由供需變化來看，預估Fabless的庫存水位會在第三季會回到正常性季節水準。,5
2017-04-13T07:07:00.000Z,　　台積電提到，受限於淡季效應，加上庫存調節，再者，中國大陸手機市場疲弱，為此預估，以美金對台幣30.5元計算，第二季營收會落在2130億元到2160億元間，季減8%到9%。,-2
2017-04-14T02:04:00.000Z,隨著獲利擴增，將誘使記憶體供應商增加新產能，此外，中國大陸也積極搶進記憶體產業，顧能預期，2019年記憶體市場恐將反轉修正。,4
2017-04-18T06:24:00.000Z,觀察族群類股，沈建宏建議可留意半導體供應鏈、蘋果iPhone大改款、具核心競爭力關鍵科技零組件，以及中國大陸產業政策等相關族群。,0
2017-04-20T06:14:00.000Z,富邦投顧觀察，外有地緣政治緊張使美歐股市走弱，內則有財報匯損疑慮，對台股影響負向，短線盤面維持類股輪動，以光學、網通、面板、中國大陸相關及LED等類股為主；考量大盤近期反彈上攻短期均線未果且跌落季線，短線偏弱修正，仍有測底壓力。,-7
2017-04-23T01:55:00.000Z,廖哲宏認為，iPhone 8仍是今年投資主軸，即使碰到新規格或出貨時程可能出現不如預期或遞延等雜音，仍舊不可能扭轉市場對iPhone上市的期待，以及既有使用iPhone族群的換機需求；中國大陸多款新機的推出，亦有助於已經整理多時的中國大陸手機供應鏈出現新需求，進而有利庫存調整步調。,1
2017-04-23T01:55:00.000Z,趙憲成分析，產業方面，全球工業型機器人市場，及全球自動化市場規模持續增長，台灣工業機器人供應鏈可望受惠；2017至2020年全球將有62座新晶圓廠計畫投產，半導體可持續關注；此外，iPhone 8相關新供應鏈可在第2季下旬留意布局時點；車用市場目前以新能源與大卡車市場成長較大，中國大陸乘用車購置稅減至7.5%，預估整體車市年度仍成長，相關車用及ADAS、節能、輕量化相關的車用電子概念股可留意。,5
2017-04-24T08:39:00.000Z,張忠謀指出，中國大陸市場4G+智慧手機、遊戲機汰換與升級，及人工智慧等新興應用產品需求各技術世代的支援，台積電正是這些技術的領導者，得以積極參與這些半導體產業中快速發展的領域。,5
2017-04-24T02:47:00.000Z,  可成繼1月宣布增資大陸子公司1億美元後，4月初再公告五筆設備採購進度，今年的資本支出手筆可望重返百億大關，以具體投資行動宣示金屬機殼的主流地位。,3
2017-04-24T02:47:00.000Z,法人看好今年歐洲及中國大陸工業4.0發酵，將是業績成長主力。,3
2017-04-25T00:33:00.000Z,董事長張忠謀表示，因大陸市場在4G+智慧手機、遊戲機汰換與升級，以及人工智慧等新興應用產品需要各技術世代的支援。,3
2017-04-25T00:17:00.000Z,測試大廠欣銓 （3264） 於大陸南京轉投資的測試廠已於21日動土，預計最快今年底前可完成廠房建置並移入機台開始試產，明年上半年可望進入量產。,3
2017-04-25T00:17:00.000Z,而隨著晶圓代工龍頭台積電決定赴大陸南京設立12吋晶圓廠，欣銓也決定跟進，21日在南京浦口開發區正式舉行動土開工典禮。,5
2017-04-25T00:17:00.000Z,　此外，欣銓南京廠也可望爭取到大陸紫光集團南京12吋晶圓廠的後段測試代工訂單。,0
