PublishDate,Sentence
2017-12-05T02:27:00.000Z,  5.力麗 (1444) ：投資印尼萬隆廠明年H1綜效顯現，昨獲土洋法人聯手買超1805張，今早放量強漲近5%。
2019-10-04T09:11:54.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.寶徠 (1805) ：每股成交價9元，成交量250萬股，成交金額2250萬元。"
2019-10-04T09:11:54.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.寶徠 (1805) ：每股成交價9元，成交量250萬股，成交金額2250萬元。"
2019-10-16T09:14:03.000Z,"
2.寶徠 (1805) ：每股成交價8.8元，成交量100萬股，成交金額880萬元。"
2019-11-07T07:15:42.000Z,"
外資已連19日買超達1610億元，今年來外資累計買超已達1805億元，投信、自營商則已經連2日賣超。"
2019-11-07T07:15:00.000Z,　外資已連19日買超達1610億元，今年來外資累計買超已達1805億元，投信、自營商則已經連2日賣超。
2020-01-15T09:15:04.000Z,4.寶徠 (1805) ：每股成交價9元，成交量180萬股，成交金額1620萬元。
2020-01-31T09:13:24.000Z,"
4.寶徠 (1805) ：每股成交價9元，成交量100萬股，成交金額900萬元。"
2020-01-31T09:13:24.000Z,"
4.寶徠 (1805) ：每股成交價9元，成交量100萬股，成交金額900萬元。"
2020-02-07T09:16:01.000Z,"
2.寶徠 (1805) ：每股成交價9.5元，成交量100萬股，成交金額950萬元。"
2020-02-20T07:11:00.000Z,至於得標買主興富發 (2542) 股價穩健上漲，股價漲1.2%至45.75元；潤隆 (1808) 也同步上揚，類股中寶徠 (1805) 、全坤建 (2509) 、聯上發 (2537) 、愛山林 (2540) 、皇昌 (2543) 等個股也穩步向前，然類股指數後繼無力，翻黑收跌0.17%。
2020-04-06T09:14:29.000Z,"
4.統一 (1216) ：每股成交價67.89元，成交量26萬6000股，成交金額1805萬8740元。"
