PublishDate,Sentence
2017-12-29T06:30:00.000Z, (依上述事實發生日期間之累計訂單總金額)4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關係人者，得免揭露其姓名）:達欣工程股份有限公司；與公司關係：無。
2018-01-02T02:58:00.000Z,分析師表示，新台幣持續升值力道，刺激外資匯入買股，受惠新台幣升值題材的營建股鋒頭最健，類股指數漲幅超過0.6%，包括冠德 (2520) 、宏盛 (2534) 、達欣工 (2535) 、台開 (2841) 走勢強勁，同樣受惠的金融股僅國泰金 (2882) 表現較強勢。
2017-12-29T06:30:00.000Z, (依上述事實發生日期間之累計訂單總金額)4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關係人者，得免揭露其姓名）:達欣工程股份有限公司；與公司關係：無。
2018-01-02T02:58:00.000Z,分析師表示，新台幣持續升值力道，刺激外資匯入買股，受惠新台幣升值題材的營建股鋒頭最健，類股指數漲幅超過0.6%，包括冠德 (2520) 、宏盛 (2534) 、達欣工 (2535) 、台開 (2841) 走勢強勁，同樣受惠的金融股僅國泰金 (2882) 表現較強勢。
2018-11-08T07:11:00.000Z,而另一祭庫藏股的聯上發 (2537) 今上演大反彈戲碼，高漲一度觸及漲停，鄉林 (5531) 、潤隆 (1808) 、國建 (2501) 、國產 (2504) 、冠德 (2520) 、京城 (2524) 、宏璟 (2527) 、達欣工 (2535) 、基泰 (2538) 、日勝生 (2547) 、順天 (5525) 等營建個股今走勢盤堅，其類股指數收漲0.92%。
2018-12-24T09:17:00.000Z,　(依上述事實發生日期間之累計訂單總金額)4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關係人者，得免揭露其姓名）:達欣工程股份有限公司；與公司關係：無。
2018-12-25T01:21:00.000Z,（中央社記者張建中新竹2018年12月25日電）晶圓代工廠台積電 (2330) 積極擴產，達欣工程 (2535) 營運受惠，今年接獲台積電超過新台幣50億元訂單。
2020-03-19T00:45:19.000Z,而期間內外資仍買超217檔上市個股，其中榮成 (1909) 以2.6萬張，最受關愛，景碩 (3189) 亦獲買超逾2萬張排次位，隨後依序為金像電 (2368) 、嘉聯益 (6153) 、正隆 (1904) 、中環 (2323) 、智邦 (2345) 、奇力新 (2456) 、世紀鋼 (9958) 、台郡 (6269) 、宏達電 (2498) 、致茂 (2360) 、中橡 (2104) 、大成鋼 (2027) 、佳格 (1227) 、達新工 (2535) 、敦泰 (3545) 、泰鼎-KY (4927) 、中興電 (1513) 、葡萄王 (1707) 、大毅 (2478) 、世芯-KY (3661) 、國產 (2504) 、嘉晶 (3016) 、新日興 (3376) 、康控-KY (4943) 、神達 (3706) 、大同 (2371) 、新昌化 (4725) 、緯穎 (6669) 、強茂 (2481) 、台汽電 (8926) 、南電 (8046) 、晶電 (2448) 、帆宣 (6196) 、台虹 (8039) 、東貝 (2499) 、揚智 (3041) 、復盛應用 (6670) 、晶彩科 (3535) 、揚明光 (3504) 、晶豪科 (3006) 、美時 (1795) 、日電貿 (3090) 、茂矽 (2342) 之62檔買超逾2000張，買超逾千張則共計92檔，然92檔獲外資銀彈僅12檔期間呈現漲幅正成長，圓展 (3669) 1月30日以來漲幅達34.59%、台勝科 (3532) 26.54%、凌華 (6166) 23.63%、茂矽19.6%、世紀鋼16.06%、金像電15.76%、敦泰9.49%、嘉晶8.3%、葡萄王5.99%、南電5.78%、泰鼎-KY 2.43%、正隆1.3%。
2020-11-29T23:48:40.000Z,台積電（2330）擴廠進駐南科，衛星廠群聚效應已提升周邊不動產價值，並帶動工程營造及建材等需求；包括環泥（1104）、南紡（1440）、達欣工（2535）、國產建材實業（2504）等在南科周邊有大筆土地資產、承攬新建工程及供貨水泥、預拌混凝土的「南科擴廠受惠概念股」，預期在台積電及科技大廠擴廠效應發威下，今、明二年營運可望持續走揚。
2020-11-29T23:48:40.000Z,台積電南科廠辦工程主要承攬營造廠達欣工指出，台積電南科廠、國巨高雄MLCC新廠都是達欣工承覽興建；目前仍有多家科技大廠的營造工程在手，工程案量滿手。
2020-11-29T23:48:40.000Z,受惠科技廠辦工程案量的增加，達欣工目前握有350億元以上的在建未入帳的工程案量，預估可維持三～五年的營運成長。
2020-11-29T23:48:40.000Z,台積電（2330）擴廠進駐南科，衛星廠群聚效應已提升周邊不動產價值，並帶動工程營造及建材等需求；包括環泥（1104）、南紡（1440）、達欣工（2535）、國產建材實業（2504）等在南科周邊有大筆土地資產、承攬新建工程及供貨水泥、預拌混凝土的「南科擴廠受惠概念股」，預期在台積電及科技大廠擴廠效應發威下，今、明二年營運可望持續走揚。
2020-11-29T23:48:40.000Z,台積電南科廠辦工程主要承攬營造廠達欣工指出，台積電南科廠、國巨高雄MLCC新廠都是達欣工承覽興建；目前仍有多家科技大廠的營造工程在手，工程案量滿手。
2020-11-29T23:48:40.000Z,受惠科技廠辦工程案量的增加，達欣工目前握有350億元以上的在建未入帳的工程案量，預估可維持三～五年的營運成長。
