PublishDate,Sentence
2018-03-27T07:06:00.000Z,潤泰新 (9945) 配息加減資，股東每股可領回6元現金，多頭樂不可支，領軍集團股潤弘 (2597) 、日友 (8341) 等跟進走高。
2018-12-06T02:06:00.000Z, 6.潤弘 (2597) ：前三季獲利已超過去年全年，Q4旺季繼續助攻，早盤攻高逾3.8%，突破50元。
2019-02-12T02:09:00.000Z, 9.潤弘 (2597) ：受惠政府拚全力協助台商回台，建廠題材再度浮上檯面，早盤大漲4%。
2019-05-27T07:13:00.000Z,電子族群仍處於弱勢整理，而傳產股今日身任穩盤大臣，營建的潤隆 (1808) 、國建 (2501) 、國產 (2504) 、全坤建 (2509) 、太子 (2511) 、冠德 (2520) 、京城 (2524) 、宏璟 (2527) 、宏盛 (2534) 、華建 (2530) 、基泰 (2538) 、宏普 (2536) 、皇翔 (2545) 、華固 (2548) 、日勝生 (2547) 、台開 (2841) 、潤弘 (2597) 、隆大 (5519) 、長虹 (5534) 等以及金融股的王道銀 (2897) 、三商壽 (2867) 、富邦金 (2881) 皆成為資金流入的避風港，呈現貿易戰下，資金由科技轉進傳產股。
2019-07-02T02:17:00.000Z, 9.潤弘 (2597) ：今除息首日，股價漲近2.5%。
2019-07-02T02:17:00.000Z, 9.潤弘 (2597) ：今除息首日，股價漲近2.5%。
2019-10-28T09:13:51.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.潤弘 (2597) ：每股成交價58.6元，成交量7288萬1000股，成交金額42億7082萬6600元。"
2019-12-03T09:14:36.000Z,"
8.華通 (2313) ：每股成交價48.45元，成交量260萬股，成交金額1億2597萬元。"
2019-12-03T09:14:36.000Z,"
8.華通 (2313) ：每股成交價48.45元，成交量260萬股，成交金額1億2597萬元。"
2020-06-03T09:14:54.000Z,"
16.聯發科 (2454) ：每股成交價490.1元，成交量5萬3000股，成交金額2597萬5300元。"
2020-06-03T09:14:54.000Z,"
16.聯發科 (2454) ：每股成交價490.1元，成交量5萬3000股，成交金額2597萬5300元。"
