PublishDate,Sentence
2017-03-30T07:04:00.000Z,傳產股方面，SM價格出現止跌回彈，帶動台苯 (1310) 、國喬 (1312) 雙雙走揚；台中建商總太 (3056) 、櫻花建 (2539) 、順天 (5525) 、富宇 (4907) 、豐謙 (5523) 今年喜迎交屋潮，股價強守紅盤，相對大盤強勢。
2017-03-30T07:04:00.000Z,傳產股方面，SM價格出現止跌回彈，帶動台苯 (1310) 、國喬 (1312) 雙雙走揚；台中建商總太 (3056) 、櫻花建 (2539) 、順天 (5525) 、富宇 (4907) 、豐謙 (5523) 今年喜迎交屋潮，股價強守紅盤，相對大盤強勢。
2017-06-27T10:34:00.000Z,證交所表示，6月28日將有志聯 (2024) 、互盛電 (2433) 、華票 (2820) 、遠見 (3040) 、總太 (3056) 、永新-KY (4557) 、台塑化等7檔股票辦理除息交易；其中，台塑化發行市值將減少約新台幣571億元。
2017-09-13T06:59:00.000Z,傳產股方面，營建股在台中上市櫃建商第3季喜迎交屋潮激勵下相對有撐，富宇 (4907) 強攻漲停，總太 (3056) 力守紅盤。
2019-01-22T07:11:00.000Z,而長虹 (5534) 納入台灣中型100，今拉出長紅K線，營運股今也熱滾滾，宏盛 (2534) 、太子 (2511) 、日勝生 (2547) 、華固(25480)、總太 (3056) 齊心上拱，營運類股指數上漲0.7%。
2019-01-22T06:50:00.000Z, 在盤面表現方面，長虹 (5534) 挾著獲利優異，納入台灣中型100指數成分股，獲多頭買盤青睞，股價收在83.8元，漲幅逾3.8%，宏盛 (2534) 、總太 (3056) 、達麗 (6177) 全數收紅；群電 (6412) 去年營收首度突破300億元，外資看好今年持續成長，調高目標價至56元，激勵今天股價盤中飆漲至48.5元、收47.5元，爆出8087張成交量；浩鼎 (4174) 案正式宣告落幕，新藥族群中的基亞 (3176) 、台微體 (4152) 等聯袂收紅。
2019-02-26T02:18:00.000Z, 8.總太 (3056) ：推案+交屋爆發，法人看今年營收挑戰逾45億元，股價走高2%。
2019-04-23T07:03:00.000Z,總太 (3056) 今年台中3建案幾乎銷售一空，第三季起挹注營收將大爆發，業績帶動股價，量價齊揚下，收高逾2.5%。
2019-05-22T07:10:00.000Z,今日外資(不含外資自營商)賣超111.2144億元，投信買超8.1246億元，自營商賣超4.3056億元，三大法人賣超107.39億元。
2019-10-23T02:06:06.000Z,"
9.總太 (3056) ：交屋潮帶動近期業績，今年EPS有機會挑戰3～4元，開盤後衝漲2.5%，締造2014年7月以來新高價。"
2019-10-23T02:06:00.000Z, 9.總太 (3056) ：交屋潮帶動近期業績，今年EPS有機會挑戰3～4元，開盤後衝漲2.5%，締造2014年7月以來新高價。
2019-12-05T07:08:05.000Z,今日漲幅前段班，由漲停的工信 (5521) 以及國揚 (2505) 、總太 (3056) 領軍的營運股漲逾0.8%；日廠推微型MLCC新品攻5G手機，台灣主要MLCC廠商為被動元件龍頭國巨 (2327) 、華新科 (2492) ，雖然盤中漲幅收斂，仍雙雙收紅，以及定穎 (6251) 、宏致 (3605) 、力銘 (3593) 、信邦 (3023) 等聯手強悍上漲，推升電子零件股收漲0.49%。
2019-12-05T07:08:00.000Z,今日漲幅前段班，由漲停的工信 (5521) 以及國揚 (2505) 、總太 (3056) 領軍的營運股漲逾0.8%；日廠推微型MLCC新品攻5G手機，台灣主要MLCC廠商為被動元件龍頭國巨 (2327) 、華新科 (2492) ，雖然盤中漲幅收斂，仍雙雙收紅，以及定穎 (6251) 、宏致 (3605) 、力銘 (3593) 、信邦 (3023) 等聯手強悍上漲，推升電子零件股收漲0.49%。
2020-01-06T09:17:15.000Z,"
13.聯發科 (2454) ：每股成交價424.57元，成交量7萬2000股，成交金額3056萬9040元。"
2020-02-13T07:06:00.000Z,水泥、食品、營建、觀光股也不遑多讓，均紅盤作收局面，台泥 (1101) 、亞泥 (1102) 、總太 (3056) 、宏盛 (2534) 、六福 (2705) 等皆受多頭青睞，營建股的三發地產 (9946) 前兩日受董座家庭紛擾，今日股價反彈收高。
2020-02-13T02:03:00.000Z,  20.總太 (3056) ：業績題材持續發酵，買盤支持反彈，漲幅一度逼近4%。
2021-12-27T23:40:06.000Z,此外，水湳經貿園區（含單元八重劃區），預期2022年將是建商的推案重心之一，包括總太、陸府、豐邑、鉅虹、國聚等建商都伺機進場推案；尤其是「中央公園特區」，總太地產明年一口氣推出「總太至境」、「總太兼得」雙豪宅預售案，總銷約150億元；其中，位於中央公園首排的「總太至境」，每坪單價將挑戰三位數，科技業主管將是潛在客層。
