PublishDate,Sentence
2017-02-06T03:02:00.000Z,  營建資產股已沉寂一段相當長時間，台幣升破31元大關，激勵營建資產股多單湧入，冠德 (2520) 早盤挾量衝上漲停，達22.45元，創波段新高，台開 (2841) 、工信 (5521) 和國揚 (2505) 更是在早盤大單敲進下漲停鎖死，國建 (2501) 、中工 (2515) 和太設 (2506) 漲幅飆漲逾8%，日勝生 (2547) 、台火 (9902) 大漲逾5%。
2017-02-07T09:40:00.000Z,資產營建股近期受惠台幣升值題材而上攻，但今日包括 (2505) 國揚、(5521)工信、(2520)冠德、(5534)長虹見漲幅收斂；中小型股當中以太陽能股表現突出，包括 (6443) 元晶、(3519)綠能、(3016)嘉晶等皆以漲停作收。
2017-09-12T06:15:00.000Z,  台積電在典禮上的致詞全文如下：  兩岸企業家峰會盛副理事長、魏副秘書長，國台辦鄭副主任、張局長，工信部彭副司長，江蘇省李書記、吳省長，南京市張書記、繆市長以及各位特邀來參加典禮的設備商夥伴及貴賓們，大家好！
2017-09-12T06:15:00.000Z,  因此，我要再次感謝國台辦、工信部、兩岸峰會以及江蘇省、南京市、江北新區、浦口區，在建廠期間的各種協助。
2017-10-15T02:10:00.000Z,　另外，本周較重要的影響因素還有科技公司與中小型股法說會、海外說明會及新股買賣等，前者有工信、南亞科、華友聯、力山、IET-KY以及光罩等公司，將陸續舉行法說會，而同欣電、美時、立積、康控-KY、精測等有排定海外說明會行程，第3季業績表現及對第4季營運展望，攸關個股行情表現。
2018-03-30T07:13:00.000Z,長虹 (5534) 宣布配息6.2元，股利稱霸營建同業，但股價淡定，與華固 (2548) 、興富發 (2542) 等高價營建股處於平盤之上，中小型營建股反而表現突出，力麒 (5512) 、全坤建 (2509) 鎖在漲停板，宏盛 (2534) 、工信 (5521) 漲幅超過3%。
2018-03-30T07:13:00.000Z,長虹 (5534) 宣布配息6.2元，股利稱霸營建同業，但股價淡定，與華固 (2548) 、興富發 (2542) 等高價營建股處於平盤之上，中小型營建股反而表現突出，力麒 (5512) 、全坤建 (2509) 鎖在漲停板，宏盛 (2534) 、工信 (5521) 漲幅超過3%。
2018-08-08T00:41:00.000Z,由於美國第2季企業財報亮麗，暫時轉移投資人對日益惡化貿易戰的注意力，全球股市上揚，歐股全面收高；倫敦FTSE 100指數上漲0.7%、以7718.48點作收，法蘭克福DAX 30指數上漲0.4%、收在12648.19點，巴黎CAC 40指數上漲0.8%、收5521.31點。
2018-08-15T00:33:00.000Z,"香港經濟通通訊社8月13日報導，中國工信部旗下信通院公布，2018年7月智慧型手機出貨量年減16.3%至3,415.4萬支、1-7月出貨量年減17.6%。"
2019-03-19T07:04:00.000Z,營建股走勢分化，因砂石、預拌混凝土、鋼筋等原物料價格上漲，加上人力成本增加，成本壓力浮現，營造股的新亞建 （2516） 、工信 （5521） 壓低，另一方面，宏盛 (2534) 、基泰 (2538) 、皇昌 (2543) 、欣陸 (3703) 、興富發 (2542) 逆勢走高。
2019-05-28T07:03:00.000Z,昨日表現亮眼的營建股今早續強，國建 (2501) 仍是領頭羊，強拉半根漲停板，國產 (2504) 、台開 (2841) 、工信 (5521) 漲幅皆在2%以上，惟漲多投資人落袋為安，多檔個股紅翻黑，類股指數漲轉跌。
2019-06-10T07:23:00.000Z,中國工信部6月6日宣布，正式發放4張5G商用執照，散熱族群今日大喜，泰碩、雙鴻 (3324) 雙雙爆量漲停作收。
2019-09-20T02:14:37.000Z,"
7.工信 (5521) ：外資連兩日買超，早盤交投火熱，股價衝上7.36元、漲幅逾6%，拉出一根長紅棒。"
2019-09-20T02:14:00.000Z, 7.工信 (5521) ：外資連兩日買超，早盤交投火熱，股價衝上7.36元、漲幅逾6%，拉出一根長紅棒。
2019-10-17T07:17:02.000Z,"
資產題材成為多方追捧目標，營建類股熱情開演，鄉林 (5531) 、工信 (5521) 強勢收鎖漲停，欣巴巴 (9906) 亦衝漲逾8%，其他個股如冠德 (2520) 、國建 (2501) 、中工 (2515) 、皇普 (2528) 、聯上發 (2537) 、基泰 (2538) 、日勝生 (2547) 、台開 (2841) 、昇陽 (3266) 等均漲幅達2%以上，該類股指數收漲0.99%，列居上市漲幅第三名，登上7月1日以來之三個半月高點。"
2019-10-17T07:17:00.000Z,　資產題材成為多方追捧目標，營建類股熱情開演，鄉林 (5531) 、工信 (5521) 強勢收鎖漲停，欣巴巴 (9906) 亦衝漲逾8%，其他個股如冠德 (2520) 、國建 (2501) 、中工 (2515) 、皇普 (2528) 、聯上發 (2537) 、基泰 (2538) 、日勝生 (2547) 、台開 (2841) 、昇陽 (3266) 等均漲幅達2%以上，該類股指數收漲0.99%，列居上市漲幅第三名，登上7月1日以來之三個半月高點。
2019-10-18T08:04:00.000Z, 除美國外，大陸工信部正式於6月發照之後，大陸三大電信商2019年5G基地台建置目標從原本的8~10萬台增加至10~20萬台，預期在三大電信商同步啟動建置之下，2020年的大陸5G基地台的建置數量將達到60~80萬台，全球數量將達到100~120萬台，其中5~10萬台為mmWave基地台，其餘全為Sub-6GHz基地台，ASP將落在2.5萬3萬美金，且預期2021年中國5G基地台需求將超過100萬台，ASP將下降至2萬~2.5萬美金。
