PublishDate,Sentence
2018-11-12T07:04:00.000Z,今日外資(不含外資自營商)買超10.6219億元，投信賣超2.3557億元，自營商賣超10.0804億元，三大法人賣超1.81億元。
2020-05-14T23:51:26.000Z,"
事實上，今年以來台股已除息31家，共計有群電、豐達科、神基、東科-KY、百容、台燿、創惟、豆府、聯成、中櫃、宜進、白紗科、欣雄、泰金寶-DR、統領、凱羿-KY、寶雅、大學光等18家完全填權息，占比近六成，群光、耿鼎、興農、聚鼎等也朝著完全填息腳步邁向，僅有至上、廣穎、富旺等幾檔個股貼息；整體而言台股完全填權息的行情值得期待，也激勵台股投資人參與除權息的熱度。"
2021-03-25T23:41:17.000Z,」 台積電指出，目前台中共有6個營建工地，包含勤美集團、成中恆營造、富旺國際、惠宇建設、寶輝建設及大松建設等，在水情緊張之際主動與台積電聯繫，避免流失地下水資源。
2021-04-03T08:43:58.000Z,因應政府相關單位限水政策，晶圓代工廠台積電 (2330) 部分廠區計劃微幅提升水車載水量，提高用水彈性，並配合勤美集團及富旺國際等建商主動提供建案工地地下水，每天出動水車取水，珍惜與善用水資源。
2021-04-03T08:43:58.000Z,因應政府相關單位限水政策，晶圓代工廠台積電 (2330) 部分廠區計劃微幅提升水車載水量，提高用水彈性，並配合勤美集團及富旺國際等建商主動提供建案工地地下水，每天出動水車取水，珍惜與善用水資源。
2021-10-12T01:48:31.000Z,營建商富旺(6219)公布9月合併營收0.59億元，第三季合併營收2.69億元，年減49.5%，累計前9月合併營收18.75億元，年增7.64%。
2021-10-12T01:48:31.000Z,主要係受惠於世界之翼、匯幸福、站前大時代等已完工之成屋銷售業績認列，富旺指出，受惠台積電設廠，高雄兩案順銷入帳可期，累計前9月簽約戶數年增近100%。
2021-10-12T01:48:31.000Z, 富旺表示，隨著疫情逐步趨緩，剛性購屋需求的民眾買氣逐步回籠，累計前9月簽約戶數年增率94%，而在低利環境、通膨升溫、游離資金充沛、南科廠商投資、台積電進駐等效應以及原料與營建成本均漲之情形，帶動置產族出籠，下半年房市區域重心從過去著重北部有明顯往南移的情形，可見具有未來成長空間的相對低價區、具有科技話題的南部區域成為了房市焦點。
2021-10-12T01:48:31.000Z, 高科技產業設廠催動就業人口南遷持續增加，富旺看準斗南和楠梓的交通樞紐優勢及產業發展前景，已超前布局於雲林及高雄地帶，並推出包括雲林「國際園首」、高雄「微美居鉑金特區」與「御金特區」等合計總銷金額高達51億元，建案平均銷售率已近七成，尤其是高雄兩個案因台積電進駐設廠，目前已銷售330戶成績亮眼，而雲林也於9月中開工動土。
2021-10-12T01:48:31.000Z, 展望第四季及全年營運，富旺表示，今年本業營運優於去年之表現深具信心。
