PublishDate,Sentence
2017-03-22T05:54:00.000Z,  蔡力行博士在加入聯發科之前，於2014年~2016年在中華電信 (2412) 擔任董事長暨執行長，於2011年~2014年擔任台積電 (2330) 策略投資「台積太陽能股份有限公司」及「台積固態照明股份有限公司」董事長暨執行長，於2001年~2011年依序擔任台積電總經理暨營運長、總經理暨總執行長、新事業總經理等職，進入台積電前並曾於美國惠普公司半導體部門服務多年，經歷相當完整而豐富。
2017-06-19T00:28:00.000Z,這6家公司分別是超微(AMD)、Cray Inc.(泰坦超級電腦製造商)、惠普企業(Hewlett Packard Enterprise，HPE)、IBM、英特爾(Intel Corp.)以及輝達(NVIDIA Corp.)。
2017-07-21T00:03:00.000Z,這6家公司分別是超微(AMD)、Cray Inc.(泰坦超級電腦製造商)、惠普企業(Hewlett Packard Enterprise，HPE)、IBM、英特爾(Intel Corp.)以及輝達(NVIDIA Corp.)。
2017-08-28T03:44:00.000Z,PC龍頭惠普(HP)財報會議表示，記憶體價格飛漲，衝擊獲利，估計未來記憶體價格還會續揚。
2017-09-30T06:22:00.000Z,此一趨勢不利惠普(HP)，2017年惠普提前鎖定記憶體價格，毛利未受太大打擊。
2017-09-30T06:22:00.000Z,今年惠普PC營收年增9%，毛利率僅減少1%。
2017-09-30T06:22:00.000Z,然而，2018年記憶體價格下滑會使得PC均價走跌，惠普營收將走平。
2017-09-30T06:22:00.000Z,此種情況可能有利蘋果惠普(HPQ)29日股價下跌0.05%收在19.96美元，今年至今上漲34.50%。
2017-09-30T06:22:00.000Z,此一趨勢不利惠普(HP)，2017年惠普提前鎖定記憶體價格，毛利未受太大打擊。
2017-09-30T06:22:00.000Z,今年惠普PC營收年增9%，毛利率僅減少1%。
2017-09-30T06:22:00.000Z,然而，2018年記憶體價格下滑會使得PC均價走跌，惠普營收將走平。
2017-09-30T06:22:00.000Z,此種情況可能有利蘋果惠普(HPQ)29日股價下跌0.05%收在19.96美元，今年至今上漲34.50%。
2018-01-08T05:57:00.000Z,MoneyDJ新聞 2018-01-08 13:57:58 記者 賴宏昌 報導NVIDIA Corporation 7日在2018年美國拉斯維加斯消費電子展(CES)發表「大尺寸遊戲顯示器(Big Format Gaming Displays；BFGD)」BFGD是NVIDIA與硬體夥伴宏??(2353)、華碩(2357)以及惠普(HP)攜手打造，整合NVIDIA G-SYNC技術與全球最先進串流播放裝置NVIDIA SHIELD，提供全球首見大螢幕PC遊戲體驗。
2019-08-08T06:16:00.000Z,楊光磊為美國加州大學柏克萊分校電機電腦博士，曾擔任美國麻省理工學院林肯國家實驗中心研究員，並陸續於惠普及新加坡半導體任職，還擔任華邦電研發副處長。
2019-10-02T07:07:02.000Z,"
台股精神領袖台積電 (2330) 今日呈現創新高後壓回，股王大立光 (3008) 在美控告惠普、先進光 (3362) 及新鉅科 (3630) 侵權，大立光 (3008) 股價表現淡定，先進光 (3362) 及新鉅科 (3630) 雙雙收黑。"
2019-10-02T07:07:00.000Z,　台股精神領袖台積電 (2330) 今日呈現創新高後壓回，股王大立光 (3008) 在美控告惠普、先進光 (3362) 及新鉅科 (3630) 侵權，大立光 (3008) 股價表現淡定，先進光 (3362) 及新鉅科 (3630) 雙雙收黑。
2019-10-02T06:34:00.000Z,（中央社記者韓婷婷台北2019年10月2日電）台股雙王台積電 (2330) 、大立光 (3008) 近期再度發動專利戰，台積電瞄準格羅方德，大立光這次則是狀告惠普，箭指先進光及新鉅科，受此訊息衝擊，2檔個股今天均弱勢下跌。
2019-10-02T06:34:00.000Z,大立光於9月25日向美國東德州地方法院控告美國筆電大廠惠普（HP）及光學鏡頭廠先進光 (3362) 、新鉅科技 (3630) 涉及侵害大立光持有的4件專利。
2019-10-02T06:34:00.000Z,大立光這次發動的專利戰，瞄準的是筆電產品，主張構成侵權的產品，包括惠普旗下15款筆記型電腦產品所使用的鏡頭，相關侵權鏡頭主要由先進光及新鉅科供應。
