PublishDate,Sentence
2017-03-28T03:12:00.000Z,台積電開盤再度觸及195元天價，帶動台股今開平高走堅，盤中指數在5日線約9906點和10日線約9890點區間量縮震盪，不過盤中電子翻黑，大盤力守平盤之上。
2017-05-08T03:47:00.000Z,　上周五歐美股市連袂衝高，且法國總統大選結果符合市場預期，亞洲主要股市除陸股外，指數多上演走高，讓上周五殺低的台股在盤前展現樂觀氣氛，一開盤也在台積電股價開高，並登上200元關卡下以高盤開出，季報出色的GIS-KY (6456) 、大宇資 (6111) ，以及股價整理已久的雙鴻 (3324) 等盤中股價強攻漲停板，環球晶圓 (6488) 、景碩 (3189) 、先進光 (3362) 等盤中大漲，帶動台股指數一度衝高至9960點，不過，股王—大立光 (3008) 拉回，宏達電 (2498) 及同致 (3552) 等弱勢，且傳產股普遍走跌，加上萬點關前逢高減碼賣壓持續湧現，讓台股指數開高走低，指數回防9900點，截至11點30分，加權股價指數為9906.45點，小漲6.51點，成交量為497.35億元；OTC指數為131.97點，下跌0.29點，成交量為173.37億元。
2018-05-02T07:14:00.000Z,今日外資(不含外資自營商)賣超60.6246億元，投信買超4.5522億元，自營商賣超19.9906億元，三大法人賣超76.06億元。
2018-05-02T07:14:00.000Z,今日外資(不含外資自營商)賣超60.6246億元，投信買超4.5522億元，自營商賣超19.9906億元，三大法人賣超76.06億元。
2018-11-02T07:14:00.000Z,川習1號晚間通話，貿易戰露曙光，緩和投資人的恐慌情緒，周四美股四大指數齊漲，周五亞股亦同步跟漲，激勵台股持股信心，今開盤報9871.4點，上揚26.66點或0.27%，惟蘋果將停止公布iPhone手機、Mac季度銷量，引發市場憂慮，連帶影響台灣蘋概股價，大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 三雄開低，大盤一度下滑至平盤之下，隨後三雄回神走高，被動元件、矽晶圓等跌深股持續強彈，尾盤甩高至9900點，終場收盤報9906.59點，漲61.85點或0.63%，成交金額1521.32億元，量能明顯放大，本周台股翻紅止連四黑，周漲417.41點。
2018-11-02T06:41:00.000Z,蘋果財報不如預期，盤後大跌6%，惟川普、習近平熱線，美中貿易之爭露出曙光，帶動亞股全面大反彈，新台幣強勢噴出大漲，午盤強升1.59角，暫收30.767元，台股今開高震盪走低後，櫃買強指數連5紅，強彈上月線，加權指數尾盤拉高，終場收漲61.85點、報在9906.59點、成交量為1521.32億元；台股周線翻紅、本周台股收漲417.41點。
2018-11-02T07:14:00.000Z,川習1號晚間通話，貿易戰露曙光，緩和投資人的恐慌情緒，周四美股四大指數齊漲，周五亞股亦同步跟漲，激勵台股持股信心，今開盤報9871.4點，上揚26.66點或0.27%，惟蘋果將停止公布iPhone手機、Mac季度銷量，引發市場憂慮，連帶影響台灣蘋概股價，大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 三雄開低，大盤一度下滑至平盤之下，隨後三雄回神走高，被動元件、矽晶圓等跌深股持續強彈，尾盤甩高至9900點，終場收盤報9906.59點，漲61.85點或0.63%，成交金額1521.32億元，量能明顯放大，本周台股翻紅止連四黑，周漲417.41點。
2018-11-02T06:41:00.000Z,蘋果財報不如預期，盤後大跌6%，惟川普、習近平熱線，美中貿易之爭露出曙光，帶動亞股全面大反彈，新台幣強勢噴出大漲，午盤強升1.59角，暫收30.767元，台股今開高震盪走低後，櫃買強指數連5紅，強彈上月線，加權指數尾盤拉高，終場收漲61.85點、報在9906.59點、成交量為1521.32億元；台股周線翻紅、本周台股收漲417.41點。
2018-11-05T03:58:00.000Z,　就技術面來看，上周五台股受到川普故意釋放中美貿易戰可望達成協議激勵衝高，不過中場過後，被動元件等漲價概念股賣壓湧現，指數一度壓回平盤以下，不過尾盤買盤刻意作價拉抬，終場台股以9906.59點作收，累計一周大漲417.41點，漲幅4.4%，周線收紅，終止周線連四黑，5日均量1242億元，櫃買指數則大漲7.8%，以118.5點作收；今天台股隨亞股因白宮經濟顧問否認中美貿易戰將達成和解利空衝擊，指數開低走低，一度失守9800點，不過逢低買盤強勁；受到全球股市走揚的激勵，上周台股連5日漲，指數從低點反彈至上星期五高點上漲逾500點，致使5日、10日短期均線及KD指標翻揚呈現短多格局；不過台股自10月2日出現下殺，周線經歷連續四黑K，雖然上周首度出現強勁反彈，但是多頭趨勢已經破壞，在萬點整數關卡到10300點附近形成沈重反壓，短期不宜有太高期待，尤其是中美貿易戰，無論美國或是大陸都有各自堅持的立場，雙方協議條件能否獲得共識難以論斷，再從總經數據來看，除中美貿易戰變數，大陸及新興國家經濟數據不佳，讓美國等國際大廠對新一季財測看法保守，在欠缺基本面支撐下，不利台股多頭續攻，由於台股向上面臨月線反壓，且10月11日爆量跳空大跌，指數摜破萬點的套牢壓力仍未解除，指數重新挑戰萬點仍面臨重重壓力，若國際股市未見重大利空，預估本周台股指數在9700點到10000點之間震盪。
2018-11-07T03:21:00.000Z,　截至11點，加權指數上漲48.88點、為9873.83點，盤中最高上漲81.15點至9906.10點。
2018-11-26T07:15:00.000Z,　國民黨九合一選舉大勝，7縣市「綠地變回藍天」，韓流成功翻轉高雄振奮資產、營建與觀光股，包括中石化 (1314) 、京城 (2524) 、華榮 (1608) 、國揚 (2505) 、愛山林 (2540) 、欣巴巴 (9906) 、華園 (2702) 、六福 (2705) 、國賓 (2704) 、鳳凰 (5706) 、雄獅 (2731) 等歡聲雷動。
2019-07-08T07:22:21.000Z,"
今日集中市場漲幅前10名為:吉祥全 (2491) 漲9.99%、星通 (3025) 漲9.93%、鼎炫-KY (8499) 漲9.90%、茂林-KY (4935) 漲9.52%、欣巴巴 (9906) 漲9.22%、羅麗芬 (6666) 漲8.85%、佳能 (2374) 漲8.75%、中化生 (1762) 漲8.45%、虹堡 (5258) 漲7.75%、台表科 (6278) 漲7.13%。"
2019-07-08T07:22:00.000Z, 今日集中市場漲幅前10名為:吉祥全 (2491) 漲9.99%、星通 (3025) 漲9.93%、鼎炫-KY (8499) 漲9.90%、茂林-KY (4935) 漲9.52%、欣巴巴 (9906) 漲9.22%、羅麗芬 (6666) 漲8.85%、佳能 (2374) 漲8.75%、中化生 (1762) 漲8.45%、虹堡 (5258) 漲7.75%、台表科 (6278) 漲7.13%。
2019-07-15T07:05:00.000Z, 今日集中市場十大漲幅為：傳奇 (4994) 漲9.98%、綠悅-KY (1262) 漲9.96%、慧友 (5484) 漲9.89%、大魯閣 (1432) 漲9.87%、欣巴巴 (9906) 漲9.81%、華園 (2702) 漲9.79%、旺宏 (2337) 漲8.83%、揚智 (3041) 漲8.82%、承業 (4164) 漲7.71%、健策 (3653) 漲7.59%。
2019-07-15T07:05:00.000Z, 盤面上，國民黨總統初選民調今日公布，高雄市長韓國瑜領先群雄勝出，「高雄概念股」歡聲雷動，包括飯店業者華園一開盤即跳鎖漲停，帶動高野 (2736) 觸及漲停、國賓 (2704) 盤中爆量飆漲9.47％；此外，高雄建商多頭亦積極表態，欣巴巴爆量漲停，京城 (2524) 及隆大 (5519) 均跟漲收高，演出慶賀行情。
2019-10-17T07:17:02.000Z,"
資產題材成為多方追捧目標，營建類股熱情開演，鄉林 (5531) 、工信 (5521) 強勢收鎖漲停，欣巴巴 (9906) 亦衝漲逾8%，其他個股如冠德 (2520) 、國建 (2501) 、中工 (2515) 、皇普 (2528) 、聯上發 (2537) 、基泰 (2538) 、日勝生 (2547) 、台開 (2841) 、昇陽 (3266) 等均漲幅達2%以上，該類股指數收漲0.99%，列居上市漲幅第三名，登上7月1日以來之三個半月高點。"
2019-10-17T07:17:00.000Z,　資產題材成為多方追捧目標，營建類股熱情開演，鄉林 (5531) 、工信 (5521) 強勢收鎖漲停，欣巴巴 (9906) 亦衝漲逾8%，其他個股如冠德 (2520) 、國建 (2501) 、中工 (2515) 、皇普 (2528) 、聯上發 (2537) 、基泰 (2538) 、日勝生 (2547) 、台開 (2841) 、昇陽 (3266) 等均漲幅達2%以上，該類股指數收漲0.99%，列居上市漲幅第三名，登上7月1日以來之三個半月高點。
