PublishDate,Sentence
2019-08-15T07:09:00.000Z,在外資護盤下，凌巨 (8105) 、三發地產 (9946) 、GIS-KY (6456) 、啟碁 (6285) 、光群雷 (2461) 、矽創 (8016) 之6檔獲外資連4日買超，買超皆超過3000張，進而推升股價樂呵呵。
2019-09-11T02:17:15.000Z,"
13.三發地產 (9946) ：8月營收年增2.5倍，股價走高2%，成為營建股焦點。"
2019-09-11T02:17:00.000Z, 13.三發地產 (9946) ：8月營收年增2.5倍，股價走高2%，成為營建股焦點。
2019-11-07T07:15:42.000Z,而財報或展望利多股，如辛耘 (3583) 、台船 (2208) 、智伸科 (4551) 、卜蜂 (1215) 、鼎炫-KY (8499) 、聯詠 (3034) 、傳奇 (4994) 、泰鼎-KY (4927) 、三發地產 (9946) 、光群雷 (2461) 、南茂 (8150) 、慶豐富 (9935) 、潤泰材 (8463) 等齊步喜孜孜。
2019-11-07T07:15:00.000Z,而財報或展望利多股，如辛耘 (3583) 、台船 (2208) 、智伸科 (4551) 、卜蜂 (1215) 、鼎炫-KY (8499) 、聯詠 (3034) 、傳奇 (4994) 、泰鼎-KY (4927) 、三發地產 (9946) 、光群雷 (2461) 、南茂 (8150) 、慶豐富 (9935) 、潤泰材 (8463) 等齊步喜孜孜。
2019-11-18T04:10:06.000Z,全球股市樂觀看待中美貿易戰將有好的成果，在資金浪潮下，上週五美股收盤再創新高，讓在上週遭逢高檔獲利了結賣壓的台股今天延續上週五反彈氣勢，儘管爭奪三千金股后的精測 (6510) 、矽力-KY (6415) 及信驊 (5274) 今天漲跌互見，股王—大立光 (3008) 亦在平盤附近整理，但台積電 (2330) 緩步走高，星寶國際 (6130) 盤中股價漲停，京鼎 (3413) 、友威科 (3580) 、三發地產 (9946) 、優群 (3217) 、台嘉碩 (3221) 、信紘科 (6667) 等中小型股續強，帶動台股指數開平走高，順利站上11550點。
2019-11-18T04:10:00.000Z,全球股市樂觀看待中美貿易戰將有好的成果，在資金浪潮下，上週五美股收盤再創新高，讓在上週遭逢高檔獲利了結賣壓的台股今天延續上週五反彈氣勢，儘管爭奪三千金股后的精測 (6510) 、矽力-KY (6415) 及信驊 (5274) 今天漲跌互見，股王—大立光 (3008) 亦在平盤附近整理，但台積電 (2330) 緩步走高，星寶國際 (6130) 盤中股價漲停，京鼎 (3413) 、友威科 (3580) 、三發地產 (9946) 、優群 (3217) 、台嘉碩 (3221) 、信紘科 (6667) 等中小型股續強，帶動台股指數開平走高，順利站上11550點。
2020-02-13T07:06:00.000Z,水泥、食品、營建、觀光股也不遑多讓，均紅盤作收局面，台泥 (1101) 、亞泥 (1102) 、總太 (3056) 、宏盛 (2534) 、六福 (2705) 等皆受多頭青睞，營建股的三發地產 (9946) 前兩日受董座家庭紛擾，今日股價反彈收高。
2020-03-19T00:45:19.000Z,獲外資買超逾千張卻下跌上市股，興能高 (6558) 期間跌53.38%、康普 (4739) 跌50.34%、三發地產 (9946) 50.1%，晶彩科、美時、訊芯-KY (6451) 、佳凌、今國光 (6209) 、高力 (8996) 、晶鼎 (3413) 、台表科 (6278) 、動力-KY (6591) 、揚明光，均跌幅逾4%以上。
2021-02-02T08:53:38.000Z,張旭嵐分析，台南部分蛋黃區開發早，土地庫存有限，一些具發展潛力的新興重劃區便成為投資人的新焦點，除了吸引建商進駐推案也搶地當庫存，像近期備受矚目的平實營區，就有高雄豪宅建商前進造鎮，總銷上看 180 億元；而仁德二空新村 B 區都更案，更吸引了包括遠雄 (5522-TW)、華友聯 (1436-TW)、達麗 (6177-TW)、三發 (9946-TW) 等建商搶標，最終由新竹理銘開發 (6212-TW) 標下 1.2 萬坪的土地開發權。
2021-02-02T08:53:38.000Z,張旭嵐分析，台南部分蛋黃區開發早，土地庫存有限，一些具發展潛力的新興重劃區便成為投資人的新焦點，除了吸引建商進駐推案也搶地當庫存，像近期備受矚目的平實營區，就有高雄豪宅建商前進造鎮，總銷上看 180 億元；而仁德二空新村 B 區都更案，更吸引了包括遠雄 (5522-TW)、華友聯 (1436-TW)、達麗 (6177-TW)、三發 (9946-TW) 等建商搶標，最終由新竹理銘開發 (6212-TW) 標下 1.2 萬坪的土地開發權。
2021-05-05T07:54:37.000Z,統計處指出，去年製造業上市櫃公司個體營收淨額達16兆9946億元，年增3.3%；稅後淨利為1兆6155億元，年增30.3%，淨利率9.5%，較108年增加2個百分點。
