PublishDate,Sentence,Score
2017-11-02T02:20:00.000Z,路透社、金融時報報導，曠視科技1日宣布，新一輪融資募得4.6億美元，金主包括中國國營的中國風險資本基金公司(China State-Owned Venture Capital Fund)、俄中主權財富基金共同成立的俄中投資基金(Russia China Investment Fund)、阿里巴巴關係企業螞蟻金服、鴻海(2317)等。,3
2017-11-02T00:12:00.000Z,紐約時報9月16日報導，微軟利用Altera的現場可程式邏輯閘陣列(FPGA)晶片來協助改善Bing搜尋服務的機器學習演算法。,4
2017-11-02T02:20:00.000Z,路透社、金融時報報導，曠視科技1日宣布，新一輪融資募得4.6億美元，金主包括中國國營的中國風險資本基金公司(China State-Owned Venture Capital Fund)、俄中主權財富基金共同成立的俄中投資基金(Russia China Investment Fund)、阿里巴巴關係企業螞蟻金服、鴻海(2317)等。,3
2017-11-02T00:12:00.000Z,紐約時報9月16日報導，微軟利用Altera的現場可程式邏輯閘陣列(FPGA)晶片來協助改善Bing搜尋服務的機器學習演算法。,4
2017-11-07T07:25:00.000Z,MoneyDJ新聞 2017-11-07 15:25:16 記者 賴宏昌 報導紐約時報6日報導，握有蘋果(Apple Inc.)、推特(Twitter)、Lyft龐大股權的瓦利德王子(Alwaleed bin Talal)上週末遭逮捕，與沙烏地阿拉伯主權財富基金「公共投資基金(PIF)」有合作關係的軟銀(Softbank)、WeWork、Slack以及優步(Uber)都不願發表評論。,4
2017-11-17T01:57:00.000Z,路透社、英國金融時報報導，委內瑞拉週二(11月14日)遭標準普爾(S&P)正式判定違約後，國際掉期與衍生工具協會(ISDA)也跟著在週四認定該國及其公營的委內瑞拉石油公司(PDVSA)已經違約。,0
2017-11-21T03:35:00.000Z,電子時報（DigiTimes）日前引述台灣LED上游供應鏈消息報導，蘋果持續縮減在台灣桃園龍潭的MicroLED研發團隊規模，主要是Micro LED的轉移技術有一些問題。,-3
2017-11-22T01:02:00.000Z,"CNBC、Slate引述金融時報報導，鴻海鄭州廠聘用了3,000名鄭州城軌交通學校(Zhengzhou Urban Rail Transit School)學生，組裝iPhone X。",0
2017-11-23T06:03:00.000Z,英國金融時報22日報導，TOBAM創辦人Yves Choueifaty表示，如果比特幣基金規模沒有在2-3年內成長至4億美元之上的話、他將會感到失望。,-3
2017-11-24T01:35:00.000Z,韓國時報23日報導，南韓金融監督院(Financial Supervisory Service，FSS)9月才剛上任的主管Choe Heung-sik對記者表示，由於該機構並未將虛擬貨幣認定為法定貨幣，因此並無監管虛幣交易所的打算。,1
2017-11-29T01:26:00.000Z,英國金融時報10月22日報導(見此)，貝爾福特在接受專訪時聲稱，比特幣堪稱是史上最大騙局，將在許多人面前爆掉，其嚴重程度，比他過去的所有作為都要糟糕。,-2
