PublishDate,Sentence
2017-07-17T06:53:00.000Z,  儘管台積電 (2330) 及大立光 (3008) 法說會失靈，且蘋果iPhone 8傳出因良率偏低，恐延後上市，但經過上週五的拉回整理，外資未改變對台積電及大立光正面看法，大立光及台積電今天止跌反彈，穩住市場信心，中小型股延續上週五上櫃股王—精測 (6510) 創新高氣勢，盤中富堡 (8929) 、智崴 (5263) 、佳邦 (6284) 、同泰 (3321) 、康樂-KY (4154) 、系微 (6231) 等強攻漲停板，柏承 (6141) 、祥碩 (5269) 、東聯 (1710) 、鴻碩 (3092) 、皇普 (2528) 、光耀 (3666) 、神基 (3005) 衝高，台股指數一度攻高至10490點。
2019-04-30T02:01:00.000Z, 13.智崴 (5263) ：獲北京企業三套體感模擬遊樂設備訂單，營運添柴，今早勁揚半根漲停板。
2019-05-02T02:11:00.000Z, 17.智崴 (5263) ：今年展望好樂觀，毛利率有望突破50%，買氣大增衝漲停。
2019-05-03T02:11:00.000Z, 17.智崴 (5263) ：一早重訊，急撇中資色彩，股價未受影響穩健向上，將叩關200元。
2019-05-02T23:34:00.000Z,　反觀盤面其它強勢指標股致茂、智崴、台虹等，漲勢較為分散且不具有族群性，而弱勢股大都屬財報不佳的個股。
2019-04-30T02:01:00.000Z, 13.智崴 (5263) ：獲北京企業三套體感模擬遊樂設備訂單，營運添柴，今早勁揚半根漲停板。
2019-05-02T02:11:00.000Z, 17.智崴 (5263) ：今年展望好樂觀，毛利率有望突破50%，買氣大增衝漲停。
2019-05-03T02:11:00.000Z, 17.智崴 (5263) ：一早重訊，急撇中資色彩，股價未受影響穩健向上，將叩關200元。
2019-05-02T23:34:00.000Z,　反觀盤面其它強勢指標股致茂、智崴、台虹等，漲勢較為分散且不具有族群性，而弱勢股大都屬財報不佳的個股。
2019-05-07T06:59:00.000Z, 在盤面表現方面，連動陸港股ETF股表現強勢，成為盤面上吸睛焦點；欣興 (3037) 昨日獲外資逆勢加碼逾9700張，晨盤股價漲幅一度逾4.5%；投信昨日加碼最多的奇鋐 (3017) ，股價開高走高，一度衝至46.8元創新高後，賣壓出現開始拉回，中止連4紅；聯合再生 (3576) 4月營收出色，盤中股價漲幅逼近5%；至於外資、投信聯袂加碼的智崴 (5263) 漲幅維持在5.5%以上；三洋電 (1614) 挾著將出售泰山廠，每股貢獻有機會高達52元，今日股價跳空漲停鎖在31元，至10:30有7.7萬張買單排隊搶要買。
2019-05-07T02:37:00.000Z, 在盤面表現方面，連動陸港股ETF股表現強勢，成為盤面上吸睛焦點；欣興 (3037) 昨日獲外資逆勢加碼逾9700張，晨盤股價漲幅一度逾4.5%；投信昨日加碼最多的奇鋐 (3017) ，股價開高走高，一度衝至46.8元創新高後，賣壓出現開始拉回，中止連4紅；聯合再生 (3576) 4月營收出色，盤中股價漲幅逼近5%；至於外資、投信聯袂加碼的智崴 (5263) 漲幅維持在5.5%以上；三洋電 (1614) 挾著將出售泰山廠，每股貢獻有機會高達52元，今日股價跳空漲停鎖在31元，至10:30有7.7萬張買單排隊搶要買。
2019-05-07T02:04:00.000Z, 27.智崴 (5263) ：今年獲利挑戰一個股本且中資疑慮說開，股價回歸基本面，早盤強拉半根漲停，創11個月高點。
2019-07-08T02:32:34.000Z,"
21.智崴 (5263) ：「英雄傳說：星之軌跡」手遊登陸告捷，股價結束震盪格局，再拉第二根紅棒，創近7個月高價。"
2019-07-08T02:32:00.000Z, 21.智崴 (5263) ：「英雄傳說：星之軌跡」手遊登陸告捷，股價結束震盪格局，再拉第二根紅棒，創近7個月高價。
2019-08-28T07:16:04.000Z,遊戲族群抓住暑假尾巴，昱泉 (6169) 、歐買尬 (3687) 雙雙漲停，網龍 (3083) 、宇峻 (3546) 、辣椒 (4946) 、智崴 (5263) 、智冠 (5478) 、橘子 (6180) 同聲走揚。
2019-08-28T07:16:00.000Z,遊戲族群抓住暑假尾巴，昱泉 (6169) 、歐買尬 (3687) 雙雙漲停，網龍 (3083) 、宇峻 (3546) 、辣椒 (4946) 、智崴 (5263) 、智冠 (5478) 、橘子 (6180) 同聲走揚。
2019-09-23T02:09:50.000Z,"
18.智崴 (5263) ：上週末電競基地體驗日超人氣，股價修正結束，一早彈升3%。"
2019-09-23T02:09:00.000Z, 18.智崴 (5263) ：上週末電競基地體驗日超人氣，股價修正結束，一早彈升3%。
2020-01-03T01:52:00.000Z, 6.智崴 (5263) ：City Park客戶可望收割，法人估今年EPS大增4成，股價逐漸脫離底部，早盤走高1%。
2020-01-03T01:52:00.000Z, 6.智崴 (5263) ：City Park客戶可望收割，法人估今年EPS大增4成，股價逐漸脫離底部，早盤走高1%。
2020-01-17T02:18:56.000Z,"
15.智崴 (5263) ：再添新客戶，今年營運高飛，股價盤堅走揚1%。"
2020-01-17T02:18:00.000Z,  15.智崴 (5263) ：再添新客戶，今年營運高飛，股價盤堅走揚1%。
