PublishDate,Sentence
2018-06-26T02:59:00.000Z,華研 (8446) 挾著業績出色，前5月每股盈餘4.27元，盤中爆量攻上漲停；宏達電 (2498) 今股東會，決議不配股利，董事長王雪紅表示將全面衝刺虛擬實境(VR)、擴增實境(AR)、人工智慧(AI)、高速連線(5G)和區塊鏈(Blockchain)等新興科技，盤中股價跌近1.5%，相對大盤抗跌。
2018-06-26T02:14:00.000Z,  12.華研 (8446) ：前5月每股盈餘4.27元，Q2未除權前盈餘每股盈餘上看3元以上，盤中爆量攻上漲停。
2018-09-26T07:07:00.000Z,台灣女子天團S.H.E約滿閃人，衝擊文創股華研 (8446) 跳空跌停鎖到底，摔落9個月新低價。
2019-09-29T07:26:01.000Z,寶華研究院公布今年最新經濟成長率由2.1％升至2.3％，配合資金回流助攻，加上台灣明年逢總統選舉，第四季資金行情仍可期待。
2019-09-29T07:26:01.000Z,寶華研究院公布今年最新經濟成長率由2.1％升至2.3％，配合資金回流助攻，加上台灣明年逢總統選舉，第四季資金行情仍可期待。
2019-10-25T02:04:05.000Z,"
12.華研 (8446) ：H2旺季+今年獲利可望創高賺逾1股本，股價穩健盤堅，走高上130元創反彈高點。"
2019-10-25T02:04:00.000Z, 12.華研 (8446) ：H2旺季+今年獲利可望創高賺逾1股本，股價穩健盤堅，走高上130元創反彈高點。
2020-04-08T00:05:52.000Z,至於9日至4月底前將除權息的個股有宜進、群光、世鎧、群電、耿鼎、廣穎、大學光、華研、台燿、統領、至上、聚鼎、晉椿、雅茗-KY等個股，其中僅有統領、大學光的現金殖利率低於3％以外，其他都超過3％，IC通路商至上達8.65％。
2020-04-08T00:05:52.000Z,娛樂業的華研現金殖利率也有8.65％，因華研也採半年配，此次每股配發4.5元現金股利，因此以整年度每股配發9元來推算現金殖利率。
2021-04-08T23:47:53.000Z,至於4月底前將除息的23檔個股中，光明、燦星網、宜進、至上、尚凡、泰金-KY、華研、仁寶、智易、群光、東森、巨路及台燿等13檔個股現金殖利率皆大逾4％，若同時具備較優的營運表現，更有機會股利、價差兩頭賺。
