PublishDate,Sentence
2017-01-09T05:51:00.000Z,英國金融時報報導，Waymo(Alphabet旗下自駕車公司)執行長John Krafcik 8日在底特律車展宣布，旗下自駕車所有的感應器硬體都是自行開發。
2017-01-19T05:42:00.000Z,今日美國報當時報導，消息人士透露，川普與科技界大老們同意每季碰面一次。
2017-01-19T05:42:00.000Z,PayPal共同創辦人、德國裔創投家彼得提爾(Peter Thiel)日前在接受紐約時報專訪時提到上個月的科技圓桌會議。
2017-01-20T06:43:00.000Z,英國金融時報(FT)10日報導，Convergex首席市場策略師Nicholas Colas表示，生技股在新的一年反彈，與「一月效應」有關；第一年跌最多的股票，隔一年往往會反彈，先前投資人為了稅務因素賠本賣出，如今又進場撿回。
2017-02-02T03:18:00.000Z,英國金融時報1日報導，白宮國家貿易委員會主席納瓦洛(Peter Navarro，或稱：納瓦羅)在受訪時表示，長期而言依賴外國零件對美國生產線來說不是一件好事。
2017-02-02T03:18:00.000Z,英國金融時報1日報導，白宮國家貿易委員會主席納瓦洛(Peter Navarro，或稱：納瓦羅)在受訪時表示，長期而言依賴外國零件對美國生產線來說不是一件好事。
2017-02-17T23:11:00.000Z,印度時報報導，卡納塔克邦政府2月2日發表聲明歡迎蘋果計畫在當地開始生產產品的計畫。
2017-03-03T03:32:00.000Z,　日前《電子時報》報導，經濟部工業局曾找數家記憶體相關業者，以及晶圓代工業者，商討是否有機會聯手為台灣爭取到NAND Flash產業落地深耕。
2017-03-03T03:32:00.000Z,　日前《電子時報》報導，經濟部工業局曾找數家記憶體相關業者，以及晶圓代工業者，商討是否有機會聯手為台灣爭取到NAND Flash產業落地深耕。
2017-03-07T01:50:00.000Z,　自由時報引用可靠消息來源指出，台積電與鴻海已簽保密條款，共同競標東芝半導體，鴻海董事長郭台銘上週以「非常有誠意、有信心」出面表態，而台積電董事長張忠謀也以「正在觀察中」回應，並未否認。
2017-03-29T02:35:00.000Z,英國金融時報曾報導，紫光集團因擔心美國外資投資委員會(CFIUS)可能會展開調查而放棄收購美國數據儲存技術公司Western Digital股權。
2017-03-29T02:35:00.000Z,紐約時報報導，白宮國家貿易委員會主席納瓦洛(Peter Navarro)3月6日在全美商業經濟協會(NABE)發表演說時問在場觀眾一個問題：中國企業可以美國設廠、自由地從事商業活動，為何想在中國設廠的美國企業就得跟中國夥伴合資、賭上可能喪失智慧財產的風險？＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。
2017-04-04T23:52:00.000Z,英國金融時報報導，西班牙人民銀行在宣布帳目稽核顯示壞帳提列金額不足後、執行長Pedro Larena隨即宣布辭職。
2017-04-26T04:06:00.000Z,英國金融時報4月16日報導，羅斯在受訪時痛批國際貨幣基金組織(IMF)主席拉加德(Christine Lagarde)等人指控美國實施貿易保護主義是「一派胡言、垃圾談話。
2017-04-26T04:06:00.000Z,英國金融時報4月16日報導，羅斯在受訪時痛批國際貨幣基金組織(IMF)主席拉加德(Christine Lagarde)等人指控美國實施貿易保護主義是「一派胡言、垃圾談話。
2017-06-08T05:32:00.000Z,韓國時報、ETNews 2016年6月14日報導，三星電機新推的技術也是扇出型晶圓級封裝(Fan-Out Wafer Level Packaging；FoWLP)的一種，不需印刷電路板(PCB)就可封裝晶片，未來有望爭取蘋果青睞。
2017-06-12T05:59:00.000Z,MoneyDJ新聞 2017-06-12 13:59:31 記者 賴宏昌 報導英國金融時報10日報導，人工智慧(AI)晶片開發商NVIDIA Corporation 9日盤中最高曾上漲5.4%、當時市值逼近1千億美元大關。
2017-06-27T04:17:00.000Z,紐約時報6月12日報導，包括百度、騰訊、滴滴出行等中國科技大廠都已在美國設立AI實驗室。
2017-07-03T07:04:00.000Z,今日外資賣超3.2485億元，投信賣超4.6816億元，自營商買超3.8923億元，三大法人賣超4.03億元。
2017-07-03T07:04:00.000Z,今日外資賣超3.2485億元，投信賣超4.6816億元，自營商買超3.8923億元，三大法人賣超4.03億元。
2017-07-12T00:36:00.000Z,"根據嘉實XQ全球贏家系統報價，截至台北時間12日上午8點12分為止，三星跌0.08%至2,448,000韓圜，表現遜於大盤(KOSPI指數)的上揚0.09%(8:12時報價)。"
2017-07-20T02:43:00.000Z,英國金融時報7月12日報導，根據CB Insights、PwC公布的分析報告，2017年第2季亞洲科技新創企業募資金額達到193億美元、較第1季增加一倍以上，同一時間美國科技新創企業籌資額也季增27%至184億美元。
2017-07-28T07:07:00.000Z,英國金融時報6月報導，根據德國研究機構IOT Analytics的統計，截至去年為止總共有超過360家企業提供物聯網平台。
2017-08-04T02:25:00.000Z,不過如今山寨版如雨後春筍般不斷冒出，就連比特幣本身都一分而二，虛胖情況讓人不禁質疑，是否類似全球金融海嘯前的銀行體系？CNBC、金融時報報導，比特幣問世八年之後，原本純粹性漸失，當前仿冒品猖獗、投機橫行。
2017-08-04T02:25:00.000Z,不過如今山寨版如雨後春筍般不斷冒出，就連比特幣本身都一分而二，虛胖情況讓人不禁質疑，是否類似全球金融海嘯前的銀行體系？CNBC、金融時報報導，比特幣問世八年之後，原本純粹性漸失，當前仿冒品猖獗、投機橫行。
2017-08-07T07:44:00.000Z,（中央社記者張建中新竹2017年8月7日電）自由時報報導，國內長期供電不穩，恐迫使台積電 (2330) 籌設中的3奈米新廠出走美國。
2017-08-07T07:44:00.000Z,自由時報報導指出，台積電籌建新廠，未來還需210萬瓩新增用電需求，儘管政府力推太陽能與風力發電，但發電情況不穩定，國內長期供電不穩，恐將迫使台積電3奈米新廠出走美國。
2017-08-17T08:09:00.000Z,Coindesk、路透社、金融時報報導，澳洲金融犯罪監管機構Austrac，本月初對澳洲銀行龍頭---澳洲聯邦銀行(Commonwealth Bank of Australia，CBA)展開調查，指控該行違法洗錢、資助恐怖主義，犯法次數超過五萬次以上。
2017-09-07T03:24:00.000Z,"MoneyDJ新聞 2017-09-07 11:13:23 記者 賴宏昌 報導紐約時報報導，美國眾議院6日朝推進無人駕駛汽車發展跨出一大步、無異議通過「SELF DRIVE Act, H.R. 3388」法案。"
2017-09-14T06:14:00.000Z,《The Verge》當時報導，為了加快AI應用在智慧型手機上的執行速度、相關企業正嘗試各種的可能性。
2017-10-26T03:21:00.000Z,紐約時報9月16日報導，英特爾(Intel Corp.)在兩年前斥資167億美元併購FPGA廠商Altera。
2017-10-31T02:49:00.000Z,韓聯社、路透社、金融時報報導，三星電子31日公布Q3財報，營收大增29.7%至62兆韓圜。
2017-11-02T02:20:00.000Z,路透社、金融時報報導，曠視科技1日宣布，新一輪融資募得4.6億美元，金主包括中國國營的中國風險資本基金公司(China State-Owned Venture Capital Fund)、俄中主權財富基金共同成立的俄中投資基金(Russia China Investment Fund)、阿里巴巴關係企業螞蟻金服、鴻海(2317)等。
2017-11-02T00:12:00.000Z,紐約時報9月16日報導，微軟利用Altera的現場可程式邏輯閘陣列(FPGA)晶片來協助改善Bing搜尋服務的機器學習演算法。
2017-10-31T02:49:00.000Z,韓聯社、路透社、金融時報報導，三星電子31日公布Q3財報，營收大增29.7%至62兆韓圜。
2017-11-02T02:20:00.000Z,路透社、金融時報報導，曠視科技1日宣布，新一輪融資募得4.6億美元，金主包括中國國營的中國風險資本基金公司(China State-Owned Venture Capital Fund)、俄中主權財富基金共同成立的俄中投資基金(Russia China Investment Fund)、阿里巴巴關係企業螞蟻金服、鴻海(2317)等。
2017-11-02T00:12:00.000Z,紐約時報9月16日報導，微軟利用Altera的現場可程式邏輯閘陣列(FPGA)晶片來協助改善Bing搜尋服務的機器學習演算法。
2017-11-07T07:25:00.000Z,MoneyDJ新聞 2017-11-07 15:25:16 記者 賴宏昌 報導紐約時報6日報導，握有蘋果(Apple Inc.)、推特(Twitter)、Lyft龐大股權的瓦利德王子(Alwaleed bin Talal)上週末遭逮捕，與沙烏地阿拉伯主權財富基金「公共投資基金(PIF)」有合作關係的軟銀(Softbank)、WeWork、Slack以及優步(Uber)都不願發表評論。
2017-11-17T01:57:00.000Z,路透社、英國金融時報報導，委內瑞拉週二(11月14日)遭標準普爾(S&P)正式判定違約後，國際掉期與衍生工具協會(ISDA)也跟著在週四認定該國及其公營的委內瑞拉石油公司(PDVSA)已經違約。
2017-11-21T03:35:00.000Z,電子時報（DigiTimes）日前引述台灣LED上游供應鏈消息報導，蘋果持續縮減在台灣桃園龍潭的MicroLED研發團隊規模，主要是Micro LED的轉移技術有一些問題。
2017-11-22T01:02:00.000Z,"CNBC、Slate引述金融時報報導，鴻海鄭州廠聘用了3,000名鄭州城軌交通學校(Zhengzhou Urban Rail Transit School)學生，組裝iPhone X。"
2017-11-23T06:03:00.000Z,英國金融時報22日報導，TOBAM創辦人Yves Choueifaty表示，如果比特幣基金規模沒有在2-3年內成長至4億美元之上的話、他將會感到失望。
2017-11-24T01:35:00.000Z,韓國時報23日報導，南韓金融監督院(Financial Supervisory Service，FSS)9月才剛上任的主管Choe Heung-sik對記者表示，由於該機構並未將虛擬貨幣認定為法定貨幣，因此並無監管虛幣交易所的打算。
2017-11-29T01:26:00.000Z,英國金融時報10月22日報導(見此)，貝爾福特在接受專訪時聲稱，比特幣堪稱是史上最大騙局，將在許多人面前爆掉，其嚴重程度，比他過去的所有作為都要糟糕。
2017-12-11T03:23:00.000Z,英國金融時報11日報導(見此)，總部位於東京的日本比特幣交易所BitFlyer執行長Yuzo Kano受訪時說，他們的顧客多是住在日本大型都市的散戶、年齡在20-50歲之間，雖然當中有一部分人是採取買進並持有策略，許多人則是買進後又繼續加碼購入。
2017-12-11T03:23:00.000Z,印度《經濟時報》(The Economic Times)9日報導(見此)，墨比爾斯在接受專訪時指出，全球金融市場依舊面臨風險，除了北韓問題外，另一個重大風險就是區塊鏈和雲端。
2018-01-08T03:58:00.000Z,路透社、華爾街日報、金融時報報導，維權股東Jana Partners和加州教師退休基金(The California State Teachersˋ Retirement System、CalSTRS)，上週六(6日)致信蘋果，指稱兒童和青少年使用手機，可能有意料之外的副作用，要求蘋果對此展開研究，並提供新設定，限制孩童使用智慧機的時間和接觸內容。
2018-01-12T03:38:00.000Z,CNBC、韓國時報報導，週四南韓司法部長朴相基(Park Sang-ki)痛批比特幣是泡沫，最終會破滅，太多人想從虛幣一夕致富，這些錢應該用於投資產業，他們不會坐視國家財富外流，正在草擬法案禁止虛幣交易，並關閉交易所。
2018-01-15T04:07:00.000Z,MoneyDJ新聞 2018-01-15 12:07:44 記者 賴宏昌 報導紐約時報1月14日報導，根據CB Insights的統計，2017年創投家對晶片新創企業的投資金額超過15億美元、幾乎是兩年前的一倍。
2018-01-15T04:07:00.000Z,英國金融時報10日報導，挪威央行投資管理公司(Norges Bank Investment Management，NBIM)向挪威財政部爭取、希望能夠獲准投資私募股權。
2018-01-23T06:35:00.000Z,MoneyDJ新聞 2018-01-23 14:35:16 記者 賴宏昌 報導英國金融時報22日報導，Stapleton Capital將公司名稱改為「Blockchain Worldwide」。
2018-01-23T04:55:00.000Z,Coindesk、金融時報報導，路易達孚22日宣布，與中國農產品加工商山東渤海實業，共同試行新的區塊鏈數位平台，去年12月出售了6萬噸的美國黃豆至中國。
2018-01-29T01:11:00.000Z,日本時報1月27日報導，朝日新聞1月11日指出，金融業比其他產業更容易導入AI。
2018-02-05T03:31:00.000Z,MacRumors、金融時報報導，蘋果官網論壇(見此)有數百名用戶表示，iX螢幕反應鈍，電話鈴聲響起之後，螢幕仍舊一片黑，不會顯示來電者身分、也不會出現接聽和拒接的選項，螢幕最久要10秒後才有反應，導致用戶無法即時接聽電話。
2018-02-27T00:20:00.000Z,紐約時報記者Nathaniel Popper取得Circle內部機密資料，指稱Circle買下Poloniex後，將向當局登記立案，目標打造美國第一家獲得管制的虛幣交易所(USˋs first regulated crypto exchange)。
2018-02-27T00:20:00.000Z,紐約時報記者Nathaniel Popper取得Circle內部機密資料，指稱Circle買下Poloniex後，將向當局登記立案，目標打造美國第一家獲得管制的虛幣交易所(USˋs first regulated crypto exchange)。
2018-03-27T03:19:00.000Z,　自由時報報導，屏東牡丹鄉昨日啟用「多功能復健中心」，基金會董事長張淑芬本擬親自出席，但因帶團到花蓮拚觀光，活絡地方經濟，所以由執行長葉慶煌代表。
2018-03-28T03:17:00.000Z,據自由時報報導，史宜恩日前來台，與張忠謀會面，並與台灣半導體業者閉門會談，據與會者轉述，史宜恩多次強調台灣半導體業是美國的重要盟友，盼雙方加強合作關係。
2018-03-28T03:17:00.000Z,華爾街日報引述知情消息人士報導說，美國財政部長梅努欽（Steven Mnuchin）和美國貿易代表萊特海澤（Robert Lighthizer）已告知中國，應購買更多美國半導體；金融時報則披露，中國已允諾，將削減對台灣與南韓半導體採購訂單，改為擴大向美國採購。
2018-05-07T03:42:00.000Z,　不像巴菲特對中美貿易戰表現淡定，張忠謀在接受金融時報訪問表示，美中貿易糾紛可能殃及蘋果供應鏈。
2018-05-07T01:57:00.000Z,"根據嘉實XQ全球贏家系統報價，截至台北時間7日上午9點15分為止，Sony大漲2.24%至5,197日圓，表現遠優於日經225指數的下跌0.51%(09:15時報價)，稍早最高漲至5,225日圓、漲幅達2.79%。"
