PublishDate,Sentence
2017-01-23T06:57:00.000Z,台泥集團董事長辜成允今晨辭世，信昌化 (4725) 、中橡 (2104) 齊聲走跌，台泥 (1101) 穩軍心翻紅收高。
2017-01-23T02:54:00.000Z,台泥集團 (1101) 董事長辜成允今晨過世，台泥 (1101) 、信昌化 (4725) 、中橡 (2104) 股價小跌1.2%至1.5%左右開出，台泥盤中翻紅，股價平穩。
2017-08-02T01:48:00.000Z,  16.中橡 (2104) ：全年獲利估增3成，推升早盤走揚逾1%，收復5日線。
2017-08-02T01:48:00.000Z,  16.中橡 (2104) ：全年獲利估增3成，推升早盤走揚逾1%，收復5日線。
2017-11-17T01:42:00.000Z,  13.中橡 (2104) ：碳煙毛利率連5季逾1成，早盤買盤點火，激勵股價高漲逾4%，登兩個月新高價。
2018-01-02T02:18:00.000Z,  17.中橡 (2104) ：業內外皆美，獲利看俏，推升早盤走揚逾4.5%，站穩所有短均。
2018-01-02T02:18:00.000Z,  17.中橡 (2104) ：業內外皆美，獲利看俏，推升早盤走揚逾4.5%，站穩所有短均。
2018-11-15T07:20:00.000Z,國際油價反彈，塑膠、橡膠股吃香，台塑 (1301) 、台聚 (1304) 、台苯 (1310) 、中石化 (1314) 、東陽 (1319) 、中橡 (2104) 股價昂首上揚。
2019-01-18T02:00:00.000Z, 18.中橡 (2104) ：去年每股盈餘4.14元，且旗下電池事業營運旺，晨盤續帶量上揚2.5%，股價再刷4個月新高價。
2019-08-05T01:22:00.000Z,　反觀外資在5月6日至8月2日賣超力道來洞悉，面板雙虎群創 (3481) 、友達 (2409) 難得同台名列一、二名，分別調節68.9萬、56.8萬張，三、四名則由金融股搶下，開發金 (2883) 、國泰金 (2882) 分別遭外資賣超30.5萬、28.9萬張，第五名則是蘋概三雄之一的鴻海 (2317) 、賣超逾22.9萬張，隨後依序為中信金 (2891) 、中鋼 (2002) 、彰銀 (2801) 、彩晶 (6116) 、日月光投控 (3711) 、中石化 (1314) 、台化 (1326) 、華新 (1605) 、聯詠 (3034) 、英業達 (2356) 、晶電 (2448) 、宏碁 (2353) 、廣達 (2382) 、南亞 (1303) 、長榮航 (2618) 、頎邦 (6147) 、可成 (2474) 、大聯大 (3702) 、潤泰拳 (2915) 、和碩 (4938) 、國際中橡 (2104) 、美律 (2439) 、致伸 (4915) 、中鴻 (2014) 、中光電 (5371) 。
2019-08-21T07:16:00.000Z,傳產股中以橡膠股表現較突出，中橡 (2104) 、華豐 (2109) 成領漲雙箭頭。
2019-09-28T05:21:00.000Z,　篩選13檔營收績優生，包含台積電、南亞科、廣達、華通、揚智、日月光投控、義隆、群光、微星、佳格、鎧勝-KY、夆典、國際中橡等。
2019-09-28T05:21:00.000Z,　篩選13檔營收績優生，包含台積電、南亞科、廣達、華通、揚智、日月光投控、義隆、群光、微星、佳格、鎧勝-KY、夆典、國際中橡等。
2020-02-12T00:41:51.000Z,"個股重大訊息：
1.中橡 （2104） ：今日暫停交易。"
2020-02-13T09:17:07.000Z,"
7.國際中橡 (2104) ：每股成交價30.6元，成交量88萬2000股，成交金額2698萬9200元。"
2020-02-13T07:06:00.000Z,國際中橡 (2104) 認列治療龐貝氏症權利金卻未收到款，股價重挫收跌逾7.5%，拖累橡膠股收跌0.62%。
2020-02-13T02:03:00.000Z,  11.中橡 (2104) ：提列13.9億減損，侵蝕去年獲利，股價重傷爆量跌逾7%，摔入波段新低點。
2020-02-24T09:17:44.000Z,"
9.國際中橡 (2104) ：每股成交價26.45元，成交量57萬股，成交金額1507萬6500元。"
2020-03-10T06:59:00.000Z,然而沙國和俄羅斯的油價戰，導致塑化行情不妙，橡膠、油電燃氣類股指數續跌，雙雙寫下波段低點，南港 (2101) 、申豐 (6582) 跌幅曾逾3%，泰豐 (2102) 、台橡 (2103) 、中橡 (2104) 、厚生 (2107) 、台塑化 (6505) 、台汽電 (8926) 、大台北 (9908) 、新海 (9926) 等黯然演出。
2020-03-19T00:45:19.000Z,而期間內外資仍買超217檔上市個股，其中榮成 (1909) 以2.6萬張，最受關愛，景碩 (3189) 亦獲買超逾2萬張排次位，隨後依序為金像電 (2368) 、嘉聯益 (6153) 、正隆 (1904) 、中環 (2323) 、智邦 (2345) 、奇力新 (2456) 、世紀鋼 (9958) 、台郡 (6269) 、宏達電 (2498) 、致茂 (2360) 、中橡 (2104) 、大成鋼 (2027) 、佳格 (1227) 、達新工 (2535) 、敦泰 (3545) 、泰鼎-KY (4927) 、中興電 (1513) 、葡萄王 (1707) 、大毅 (2478) 、世芯-KY (3661) 、國產 (2504) 、嘉晶 (3016) 、新日興 (3376) 、康控-KY (4943) 、神達 (3706) 、大同 (2371) 、新昌化 (4725) 、緯穎 (6669) 、強茂 (2481) 、台汽電 (8926) 、南電 (8046) 、晶電 (2448) 、帆宣 (6196) 、台虹 (8039) 、東貝 (2499) 、揚智 (3041) 、復盛應用 (6670) 、晶彩科 (3535) 、揚明光 (3504) 、晶豪科 (3006) 、美時 (1795) 、日電貿 (3090) 、茂矽 (2342) 之62檔買超逾2000張，買超逾千張則共計92檔，然92檔獲外資銀彈僅12檔期間呈現漲幅正成長，圓展 (3669) 1月30日以來漲幅達34.59%、台勝科 (3532) 26.54%、凌華 (6166) 23.63%、茂矽19.6%、世紀鋼16.06%、金像電15.76%、敦泰9.49%、嘉晶8.3%、葡萄王5.99%、南電5.78%、泰鼎-KY 2.43%、正隆1.3%。
2020-04-01T09:14:50.000Z,"
5.鴻海 (2317) ：每股成交價70.14元，成交量30萬股，成交金額2104萬2000元。"
2020-04-01T09:14:50.000Z,"
5.鴻海 (2317) ：每股成交價70.14元，成交量30萬股，成交金額2104萬2000元。"
2020-04-06T09:14:29.000Z,"
5.國際中橡 (2104) ：每股成交價20.9元，成交量83萬5000股，成交金額1745萬1500元。"
2020-04-29T09:12:08.000Z,5.國際中橡 (2104) ：每股成交價23.1元，成交量78萬股，成交金額1801萬8000元。
2020-04-29T09:12:08.000Z,5.國際中橡 (2104) ：每股成交價23.1元，成交量78萬股，成交金額1801萬8000元。
