PublishDate,Sentence
2017-12-05T03:00:00.000Z,  盤面上，正新 (2105) 印度廠預期最快明年上半年達到年產600萬條的滿載規模，今日領軍衝鋒，匯聚多頭人氣，股價漲幅約在2.3%，華豐 (2109) 漲勢緊跟在後，其餘個股紛紛揚升，推升橡膠股指數漲幅超過1.4%。
2017-12-25T07:06:00.000Z,傳產股方面，輪胎廠華豐 (2109) 因健信以東華企業名義取得2席法人董事，激勵股價爆量攻頂，成為橡膠股領先指標。
2017-12-25T03:48:00.000Z,輪胎廠華豐 (2109) 因為明年因為有新產能開出，預期將增添營運動能，強勢開盤後攻高漲停。
2019-08-21T07:16:00.000Z,傳產股中以橡膠股表現較突出，中橡 (2104) 、華豐 (2109) 成領漲雙箭頭。
2019-10-15T07:56:22.000Z,電子股由權值王台積電 (2330) 領軍上揚，而橡膠股不遑多讓，不畏國際油價下挫，持續維持高檔強勢，類股指數續攻至281.74點，站穩5日線、寫下波段新高點，收漲1.03%，位居上市類股漲幅第一，其中泰豐 (2102) 、南港 (2101) 多日來股價堅挺，今日與台橡 (2103) 、正新 (2105) 、建大 (2106) 、厚生 (2107) 、南帝 (2108) 、華豐 (2109) 等橡膠個股，再創類股股價新佳話。
2019-10-15T07:56:00.000Z,電子股由權值王台積電 (2330) 領軍上揚，而橡膠股不遑多讓，不畏國際油價下挫，持續維持高檔強勢，類股指數續攻至281.74點，站穩5日線、寫下波段新高點，收漲1.03%，位居上市類股漲幅第一，其中泰豐 (2102) 、南港 (2101) 多日來股價堅挺，今日與台橡 (2103) 、正新 (2105) 、建大 (2106) 、厚生 (2107) 、南帝 (2108) 、華豐 (2109) 等橡膠個股，再創類股股價新佳話。
2020-03-02T02:23:09.000Z,"
27.華豐 (2109) ：遭列警示股，1月每股盈餘0.05元，外資加大賣超力道，早盤續跌逾3.5%。"
2020-03-02T02:23:00.000Z,  27.華豐 (2109) ：遭列警示股，1月每股盈餘0.05元，外資加大賣超力道，早盤續跌逾3.5%。
2020-03-02T02:23:09.000Z,"
27.華豐 (2109) ：遭列警示股，1月每股盈餘0.05元，外資加大賣超力道，早盤續跌逾3.5%。"
2020-03-02T02:23:00.000Z,  27.華豐 (2109) ：遭列警示股，1月每股盈餘0.05元，外資加大賣超力道，早盤續跌逾3.5%。
2020-06-03T09:14:54.000Z,"
10.智邦 (2345) ：每股成交價224.41元，成交量9萬4000股，成交金額2109萬4540元。"
2020-06-03T09:14:54.000Z,"
10.智邦 (2345) ：每股成交價224.41元，成交量9萬4000股，成交金額2109萬4540元。"
2021-04-16T00:45:27.000Z,※券商推薦股：群聯(1)、美利達(1)、環球晶(1)、鈺齊-KY(1)、聯發科(1)、華航(1)、建大(1)、正新(1)、華豐(1)。
2021-04-16T00:45:27.000Z,建大、正新、華豐。
