PublishDate,Sentence,Score
2018-03-02T00:08:00.000Z,"由英國品牌顧問公司Brand Finance發表的全球品牌價值500大排名，2018年名次出爐，台灣今年有台積電 (2330) 、中華電信 (2412) 、富邦人壽及國泰人壽入榜，以台積電213名成績最佳，且比去年的249名前進；而全球品牌價值前五大則分別是亞馬遜、蘋果、谷歌、三星跟臉書，前三名品牌價值都在1,200億美元以上。",2
2018-03-02T00:08:00.000Z,　不過台灣今年入榜的4家企業，即台積電、319名的中華電信及382名的富邦人壽等3家都被標上中國籍且用中共五星旗為代表，僅國泰人壽是以中華民國國旗標註，但排名463名。,0
2018-03-02T00:08:00.000Z,"由英國品牌顧問公司Brand Finance發表的全球品牌價值500大排名，2018年名次出爐，台灣今年有台積電 (2330) 、中華電信 (2412) 、富邦人壽及國泰人壽入榜，以台積電213名成績最佳，且比去年的249名前進；而全球品牌價值前五大則分別是亞馬遜、蘋果、谷歌、三星跟臉書，前三名品牌價值都在1,200億美元以上。",2
2018-03-02T00:08:00.000Z,　不過台灣今年入榜的4家企業，即台積電、319名的中華電信及382名的富邦人壽等3家都被標上中國籍且用中共五星旗為代表，僅國泰人壽是以中華民國國旗標註，但排名463名。,0
2018-03-22T07:58:00.000Z,不過，目前中小學普遍缺乏專業師資，明年度課程起跑前，國立交通大學將組織相關資源，配合課綱提供輔助教材，並結合國立成功大學及其他各校協助，從今年暑假開始在各縣市開設師培課程，建立教師認證評估學分制度；北台灣由交大與新北市、新竹縣市率先合作，成大帶頭負責中南部與花東地區師資訓練，並由社團法人中華民國愛自造者學習協會協助配合，預計一年內完成首批1000名師資培訓。,9
2018-03-23T07:11:00.000Z,　川普對陸課徵逾500億美元關稅，蘋果恐受中美貿易戰波及，供應鏈大立光 (3008) 大跌5%收在3400元，台郡 (6269) 、臻鼎-KY (4958) 、新日興 (3376) 、良維 (6290) 等青筍筍；電子權值股普遍走疲，台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 、日月光 (2311) 、中華電 (2412) 、群創 (3481) 、友達 (2409) 等全數下挫。,-2
2018-03-23T02:43:00.000Z,  台股今權值帶頭領跌，股王大立光 (3008) 開低震盪，跌幅一度逾3%，最低達3400元，股價創下今年以來新低，台積電 (2330) 走跌約2%，鴻海 (2317) 跌幅則在1.5%附近，其餘聯發科 (2454) 、日月光 (2311) 、中華電 (2412) 、群創 (3481) 、友達 (2409) 等也全數走跌。,-4
2018-03-26T07:16:00.000Z,台股今日受惠股王大立光跌深反彈，與聯發科、國泰金、台塑化 (6505) 、中華電 (2412) 、台灣大 (3045) 等集團股力挺多方，使加權股價指數震盪翻紅，10800點失而復得。,1
2018-03-30T06:46:00.000Z,  中華電 （2412） 收漲1.35％，表現亦相對強勢，可成 （2474） 、日月光 （2311） 開高走低，終場分別收黑1.8％、0.47％。,-1
2018-03-30T02:44:00.000Z,中華電 （2412） 亦一度漲逾1％。,1
2018-03-30T06:46:00.000Z,  中華電 （2412） 收漲1.35％，表現亦相對強勢，可成 （2474） 、日月光 （2311） 開高走低，終場分別收黑1.8％、0.47％。,-1
2018-03-30T02:44:00.000Z,中華電 （2412） 亦一度漲逾1％。,1
