PublishDate,Sentence
2017-01-11T00:58:00.000Z,4.其他個別修正或漲多拉回者，諸如東陽 (1319) 、和大 (1536) 、碩天 (3617) 、建準 (2421) 、僑威 (3078) 、精成科 (6191) 、英瑞-KY (1592) 、明基材 (8215) 、弘塑 (3131) 等。
2017-02-22T04:07:00.000Z,生技醫療族群表現也強勢，葡萄王、達爾膚大漲逾 6%，生展、基因、生泰、佰研、東陽、中裕等，也力守 1% 漲幅之上。
2017-06-27T01:03:00.000Z,2.塑化轉強，南亞 (1303) 、台塑 (1301) 、台化 (1326) 、東陽 (1319) 等上漲。
2017-06-29T00:58:00.000Z,日期：2017年 6月29日※本日焦點股高力、聯電、聯傑、創意、牧德、友達、全宇-KY、敦泰、材料-KY、TPK-KY、廣越、利勤、和鑫、宏捷科、東陽※昨日盤勢解析歐洲央行總裁德拉吉表示寬鬆政策太早退場恐傷經濟，顯示歐洲經濟仍脆弱，週二西歐三大指數拉回。
2017-10-16T06:53:00.000Z,東陽 (1319) 9月自結合併稅前盈餘3.04億元，為歷年同期新高，也是首次在第3季創下單月稅前淨利超越3億元的佳績，股價在62元上方得到支撐，多方轉強開攻，收漲在64元。
2018-09-20T06:31:00.000Z,大立光 (3008) 目標價遭降，鴻海 (2317) 持續回測前低，台股開高震盪收低，但台積電 (2330) 、壽險金控股力撐，跌幅不致擴大，終場以10831.41點作收，下跌25.86點，跌幅0.24％，成交金額1319.94億元。
2018-10-08T07:04:00.000Z,財報利多股東陽 (1319) 、智邦 (2345) 、漢平 (2488) 、智原 (3035) 皆獲漲升。
2018-10-09T07:02:00.000Z,汽車股三陽工業 (2206) 加速開發資產、塑膠股東陽 (1319) AM外銷旺季，股價同步上漲。
2018-11-15T07:20:00.000Z,國際油價反彈，塑膠、橡膠股吃香，台塑 (1301) 、台聚 (1304) 、台苯 (1310) 、中石化 (1314) 、東陽 (1319) 、中橡 (2104) 股價昂首上揚。
2018-11-19T07:15:00.000Z,川普擬取消加徵進口車關稅，汽車零組件股應聲大漲，特斯拉概念股也大催油門，電機股的麗清 (3346) 亮燈漲停，貿聯-KY (3665) 漲逾半根漲停，和泰車 (2207) 、車王電 (1533) 、怡利電 (2497) 、和大 (1536) 、東陽 (1319) 、康普 (4739) 等全體勁揚，汽車、電機股成今日主力軍之一。
2019-02-11T10:25:00.000Z,台股豬年今天開紅盤，在美股春節期間上漲帶動下補漲，加權指數終場漲71.99點或0.72%，收10004.25點，成交值新台幣1319.69億元。
2019-02-11T07:31:00.000Z,農曆年期間美股驚驚漲，科技股出現強勁反彈，加上Fed再釋鴿派談話、貿易戰現轉圜利多消息激勵，股王大立光 (3008) 元月營收優於預期，權王台積電 (2330) ADR上漲逾4％，台股金豬年開紅盤展開補漲行情，在雙王掛帥領攻下，指數再登萬點大關，包括蘋果鏈、散熱、5G及風電族群氣勢如虹，聯發科 (2454) 、可成 (2474) 、祥碩 (5269) 等高價股漲勢兇猛，推助指數一路護守萬點城池，終場加權股價指數上漲71.99點為10004.25點，成交值為1319.69億元；櫃買指數也不遑多讓大漲1.38%，突破去年12月初的前高130.96點。
2019-02-11T06:46:00.000Z, 農曆年前退場的資金積極搶進蘋果概念股、散熱、5G及風電相關個股，市場看好的神盾 (6462) 、台表科 (6278) 、嘉晶 (3016) 、泰鼎-KY (4927) 、興能高 (6558) 、亞德客-KY (1590) 、美時 (1795) 、廣明 (6188) 、M31 (6643) 及雙鴻 (3324) 強攻漲停板作收，超眾 (6230) 、健策 (3653) 及聯茂 (6213) 同步攀高，在權值股及中小型股聯袂走強下，台股指數一度大漲約百點，不過尾盤時，金融類股等走跌，且華航 (2610) 罷工拖累觀光類股及運輸類股，台股指數小幅壓回，所幸仍驚險守住萬點關卡，為金豬紅盤日留下收紅及登萬點的雙喜，成交量也放大至1300億元，呈現價量齊揚，終場加權股價指數為10004.25點，上漲71.99點，成交量為1319.69億元；OTC指數為131.71點，上漲1.8點，成交量為318.96億元。
2019-02-11T06:20:00.000Z,一如市場預期，豬年開紅盤日台股在台積電 (2330) 及大立光 (3008) 2大精神指標領漲下出現補漲行情，以10029.84點開出，盤中最高10065.52點，最低9988.83點，收盤漲71.99點，為10004.25點，漲幅0.72%，成交金額新台幣1319.69億元。
2019-02-20T07:12:00.000Z,台股今日由台積電 (2330) 點火啟動高股息行情，領軍大立光 (3008) 、鴻海 (2317) 、國巨 (2327) 、日月光投控 (3711) 、聯發科 (2454) 等權值股同步勁揚，加上金融、面板和光通訊元件族群聯手助攻，推升指數大漲逾百點，受到台指期拉高結算影響，指數一路向上墊高，終場加權股價指數收在今日最高10272.46點，上漲120.2點，改寫近4月最高，成交值放大至1319.89億元。
2019-02-20T06:52:00.000Z,美股續穩，台股由台積電 (2330) 等蘋概三雄領軍，金融股助攻，台指期拉高結算，台股收盤大漲120點，收在今天最高10272點，並填補去年10月跳空缺口，全日成交值放大到1319億餘元。
2019-02-21T02:12:00.000Z, 3.台積電 (2330) ：昨三大法人聯手買超13198張，加上ADR昨夜收漲1.4%、合台幣每股約240.42元，推升早盤股價續漲至236元。
2019-07-24T07:08:00.000Z,台股萬一關卡近關情怯，在台積電 (2330) 後繼無力，以及近期強勢的記憶體族群南亞科 (2408) 、旺宏 (2337) 、華邦電 (2344) 拉回整理，傳產股中的水泥、油電、航運、塑膠、貿易類也全數走疲，拖累指數開高走低，陷入10900點保衛戰，盤面上以矽晶圓族群的嘉晶 (3016) 、台勝科 (3532) 、昇陽半 (8028) 、環球晶 (6488) 以及IC族群中的智原 (3035) 、力成 (6239) 、致茂 (2360) 等表現相對吸睛，終場加權股價指數下跌11.5點為10935.76點，成交值為1319.01億元。
2019-07-24T06:33:00.000Z,今天成交值擴大至1319億元。
2019-07-24T06:33:00.000Z,台股終場下跌11.5點，收在10935.76點，成交值新台幣1319億元。
2019-09-11T07:07:01.000Z,而亞系外資出具台股最新策略，預估台股下季在10000-11200點區間震盪，而明年台股區間為9900-11400點，遴選的台股組合包括：東陽 (1319) 、中信金 (2891) 、穩懋、信邦 (3023) 、大立光、全新 (2455) 、建準 (2421) 、研華 (2395) 、鴻海、台達電 (2308) 之十名悍將。
2019-09-11T07:07:00.000Z,而亞系外資出具台股最新策略，預估台股下季在10000-11200點區間震盪，而明年台股區間為9900-11400點，遴選的台股組合包括：東陽 (1319) 、中信金 (2891) 、穩懋、信邦 (3023) 、大立光、全新 (2455) 、建準 (2421) 、研華 (2395) 、鴻海、台達電 (2308) 之十名悍將。
2019-12-25T06:01:00.000Z,傳統產業股今天普遍走揚，隨著特斯拉（Tesla）股價攀高，車展即將於28日登場，和泰車 (2207) 與裕日車 (2227) 股價同步走高，東陽 (1319) 等汽車零組件廠也有不錯表現，帶動汽車類股指數漲0.94%。
2020-03-10T01:57:00.000Z,  9.東陽 (1319) ：2月營收年增15%，AM業績寫同期新高，推升早盤股價開低走高，表現抗跌。
2020-05-14T23:51:26.000Z,"
緊接著5月下旬至6月底前共計有大田、京城銀、光明、上奇、東元、鑫創電子、東和鋼鐵、湯石照明、美亞、台積電、達新、所羅門、東陽、光寶科、卜蜂等現金殖利率高於3％以上的個股將除息。"
