PublishDate,Sentence
2018-03-06T01:50:00.000Z,  比特幣報價自2月底開始一路向上走揚，衝上萬元美金大關，3月4日盤中最高一度衝高至11512.60美元，短期漲幅近2成。
2019-11-18T02:08:27.000Z,"
33.瑞利 (1512) ：Q3財報淨值低於股本十分之三，明起變更交易方式，早盤賣壓出籠，股價跌停創波段新低。"
2019-11-18T02:08:00.000Z, 33.瑞利 (1512) ：Q3財報淨值低於股本十分之三，明起變更交易方式，早盤賣壓出籠，股價跌停創波段新低。
2019-11-19T02:21:07.000Z,"
22.瑞利 (1512) ：今起交易變更，採行分盤集合競價，早盤續跌停，跌至4.11元創低。"
2019-11-19T02:21:00.000Z, 22.瑞利 (1512) ：今起交易變更，採行分盤集合競價，早盤續跌停，跌至4.11元創低。
2019-12-12T07:06:50.000Z,台積電、大立光分別領軍半導體、光電類股強漲，雖尾盤部分權值股賣壓出籠，漲幅略微收斂，周四終場仍收漲135.65點或1.16%，報11836.42點，成交金額1512.18億元。
2019-12-12T07:06:00.000Z,台積電、大立光分別領軍半導體、光電類股強漲，雖尾盤部分權值股賣壓出籠，漲幅略微收斂，周四終場仍收漲135.65點或1.16%，報11836.42點，成交金額1512.18億元。
2020-01-03T09:23:37.000Z,8.山隆 (2616) ：每股成交價30.25元，成交量50萬股，成交金額1512萬5000元。
2020-01-03T09:23:37.000Z,8.山隆 (2616) ：每股成交價30.25元，成交量50萬股，成交金額1512萬5000元。
2020-02-17T09:13:37.000Z,"
6.聯發科 (2454) ：每股成交價398元，成交量3萬8000股，成交金額1512萬4000元。"
2020-02-17T09:13:37.000Z,"
22.日友 (8341) ：每股成交價260.86元，成交量5萬8000股，成交金額1512萬9880元。"
2020-02-17T09:13:37.000Z,"
23.日友 (8341) ：每股成交價260.81元，成交量5萬8000股，成交金額1512萬6980元。"
2020-02-19T09:17:27.000Z,"
4.台泥 (1101) ：每股成交價42.29元，成交量35萬7535股，成交金額1512萬155元。"
2020-04-28T09:19:06.000Z,"
6.台積電 (2330) ：每股成交價296.5元，成交量5萬1000股，成交金額1512萬1500元。"
2020-06-03T09:14:54.000Z,"
4.台達電 (2308) ：每股成交價149.72元，成交量10萬1000股，成交金額1512萬1720元。"
2020-06-03T09:14:54.000Z,"
4.台達電 (2308) ：每股成交價149.72元，成交量10萬1000股，成交金額1512萬1720元。"
2020-12-02T21:51:44.000Z,週三 (2 日) 新一輪刺激法案樂觀情緒，輝瑞利多疫苗消息，推動價值股上漲，原油反彈提振能源股，但小非農數據不佳抑制漲幅，標普、費半兩大指數連續兩個交易日寫下歷史新高，台積電 ADR 自昨日百美元歷史高點回落。
2020-12-02T21:51:44.000Z,週三 (2 日) 新一輪刺激法案樂觀情緒，輝瑞利多疫苗消息，推動價值股上漲，原油反彈提振能源股，但小非農數據不佳抑制漲幅，標普、費半兩大指數連續兩個交易日寫下歷史新高，台積電 ADR 自昨日百美元歷史高點回落。
2021-06-10T23:35:42.000Z,若以台積電4月及5月營收表現推算，法人預估6月營收將介於1427～1512億元之間，單月營收將創下歷史新高。
2021-09-22T04:42:34.000Z,至於2025年全球晶圓代工總產值則為1512億美元。
2021-09-22T04:42:34.000Z,至於2025年全球晶圓代工總產值則為1512億美元。
