PublishDate,Sentence
2017-04-07T00:58:00.000Z,※未來注意事項1.週五(4/7)台股法說會或業績發表會公司：正新 (2105) 、國光生 (4142) 、群聯 (8299) 、大億 (1521) 、堤維西 (1522) 、麗清 (3346) 等。
2017-06-09T07:01:00.000Z,盤面上聚焦5月績優股，大將 (1453) 、建準 (2421) 亮燈漲停，緯創 (3231) 、大億 (1521) 、泰博 (4736) 、凌華 (6166) 等聯袂勁揚。
2017-06-09T06:10:00.000Z,  目前時序正值5月營收公布旺季，也使得部分營收亮眼股獲多頭青睞，績優股包括有建準 (2421) 攻上漲停，緯創 (3231) 、飛捷 (6202) 、大億 (1521) 、大將 (1453) 、泰博 (4736) 、凌華 (6166) 等也扮演強勢領漲指標，飛捷受惠在歐美專案大單持續出貨挹注下，5月自結合併營收達6.16億元改寫歷史新高，凌華 (6166) 則是5月營收雙成長，且預計6月會更好下，激勵盤中股價一度上漲約4%。
2017-06-13T00:57:00.000Z,日期：2017年 6月13日※本日焦點股康控-KY、新日興、茂達、創意、鎧勝-KY、智寶、豪勉、東聯、新光鋼、大億科、捷波、豪展、日揚、博智、中橡、宏益、彰源※昨日盤勢解析英國大選結果各黨均未過半，英國首相梅伊宣布將組成聯合政府、留任首相；週五西歐三大指數上漲。
2017-07-12T00:57:00.000Z,2.電機機械個股表現，亞德客-KY (1590) 、永大 (1507) 、直得 (1597) 、大億科 (8107) 等上漲。
2017-09-21T07:23:00.000Z,（中央社記者黃麗芸台北2017年9月21日電）科技部今天公布竹科等3個科學園區上半年營收為新台幣1兆1521億元，較去年同期成長6.87%、創歷史新高；展望下半年，預期全球景氣續強，有機會再創新高。
2017-09-21T07:23:00.000Z,根據科技部資料顯示，3大科學園區上半年營業額創下同期歷史新高，達到1兆1521億元，較去年同期成長6.87%；另外，園區出口額達7873億元，較去年同期成長23.09%，也創下同期歷年新高。
2018-01-05T01:31:00.000Z,CNBC、Inverse 4日報導，瑞波幣一度觸及歷史高3.84美元，這使Larsen身價上衝至599億美元，在美國「富比世」(Forbes)雜誌的400大億萬富翁排行榜中位居第五，擠下原本的甲骨文(Oracle)共同創始人艾利森(Larry Ellison、身價為584億美元)。
2018-11-02T07:14:00.000Z,川習1號晚間通話，貿易戰露曙光，緩和投資人的恐慌情緒，周四美股四大指數齊漲，周五亞股亦同步跟漲，激勵台股持股信心，今開盤報9871.4點，上揚26.66點或0.27%，惟蘋果將停止公布iPhone手機、Mac季度銷量，引發市場憂慮，連帶影響台灣蘋概股價，大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 三雄開低，大盤一度下滑至平盤之下，隨後三雄回神走高，被動元件、矽晶圓等跌深股持續強彈，尾盤甩高至9900點，終場收盤報9906.59點，漲61.85點或0.63%，成交金額1521.32億元，量能明顯放大，本周台股翻紅止連四黑，周漲417.41點。
2018-11-02T06:41:00.000Z,蘋果財報不如預期，盤後大跌6%，惟川普、習近平熱線，美中貿易之爭露出曙光，帶動亞股全面大反彈，新台幣強勢噴出大漲，午盤強升1.59角，暫收30.767元，台股今開高震盪走低後，櫃買強指數連5紅，強彈上月線，加權指數尾盤拉高，終場收漲61.85點、報在9906.59點、成交量為1521.32億元；台股周線翻紅、本周台股收漲417.41點。
2018-11-02T07:14:00.000Z,川習1號晚間通話，貿易戰露曙光，緩和投資人的恐慌情緒，周四美股四大指數齊漲，周五亞股亦同步跟漲，激勵台股持股信心，今開盤報9871.4點，上揚26.66點或0.27%，惟蘋果將停止公布iPhone手機、Mac季度銷量，引發市場憂慮，連帶影響台灣蘋概股價，大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 三雄開低，大盤一度下滑至平盤之下，隨後三雄回神走高，被動元件、矽晶圓等跌深股持續強彈，尾盤甩高至9900點，終場收盤報9906.59點，漲61.85點或0.63%，成交金額1521.32億元，量能明顯放大，本周台股翻紅止連四黑，周漲417.41點。
2018-11-02T06:41:00.000Z,蘋果財報不如預期，盤後大跌6%，惟川普、習近平熱線，美中貿易之爭露出曙光，帶動亞股全面大反彈，新台幣強勢噴出大漲，午盤強升1.59角，暫收30.767元，台股今開高震盪走低後，櫃買強指數連5紅，強彈上月線，加權指數尾盤拉高，終場收漲61.85點、報在9906.59點、成交量為1521.32億元；台股周線翻紅、本周台股收漲417.41點。
2019-08-07T02:03:00.000Z, 33.大億金 (8107) ：H1每股賺1.99元，超車去年同期，早盤爆量觸及漲停，一舉躍過5日線、季線。
2020-04-30T09:14:00.000Z,5.鴻海 (2317) ：每股成交價76.05元，成交量20萬股，成交金額1521萬元。
2020-04-30T09:14:00.000Z,5.鴻海 (2317) ：每股成交價76.05元，成交量20萬股，成交金額1521萬元。
