PublishDate,Sentence
2017-01-13T07:03:00.000Z,今日外資買超10.7472億元，投信賣超0.0188億元，自營商賣超1.2228億元，三大法人買超9.50億元。
2017-02-13T07:44:00.000Z,3. 傳產股: 週一以電器電纜、汽車與汽車零組件、玻陶、生技、塑膠等類股較為強勢；電器電纜看 1605 華新、1616 億泰、1612 宏泰、1603 華電的表現；汽車與汽車零組件由 4912 聯德控股 - KY、3346 麗清、2228 劍麟、3092 鴻碩、3665 貿聯 - KY、6605 帝寶、4529 昶洧、5288 豐祥 - KY、2204 中華領漲；玻陶看 1809 中釉、1802 台玻的表現；生技由 3164 景岳、4142 國光生、1729 必翔、1789 神隆領漲；塑膠看 1325 恆大、1310 台苯、1312 國喬、1314 中石化的表現。
2017-04-11T01:39:00.000Z,  9.劍麟 (2228) ：3月營收改寫單月新高紀錄，早盤漲逾5%。
2017-06-02T00:59:00.000Z,5.其他個股表現者，諸如裕日車 (2227) 、台灣高鐵 (2633) 、佳世達 (2352) 、元太 (8069) 、綠悅-KY (1262) 、訊芯-KY (6451) 、日勝生 (2547) 、智冠 (5478) 、大宇資 (6111) 、劍麟 (2228) 等。
2017-06-02T00:59:00.000Z,5.其他個股表現者，諸如裕日車 (2227) 、台灣高鐵 (2633) 、佳世達 (2352) 、元太 (8069) 、綠悅-KY (1262) 、訊芯-KY (6451) 、日勝生 (2547) 、智冠 (5478) 、大宇資 (6111) 、劍麟 (2228) 等。
2017-07-26T06:51:00.000Z,汽車零組件因基本面突出，不受台股回檔影響，劍麟 (2228) 漲幅接近4%，巧新 (1563) 、倉佑 (1568) 表現也優於大盤。
2017-10-13T01:46:00.000Z,  6.劍麟 (2228) ：Q4汽車事業可望維持穩定成長，早盤漲逾4.5%。
2019-08-05T03:47:00.000Z,　上周川普突然宣布自9月1日起對大陸銷售美國剩下3000億美元商品課徵10%關稅，且日韓貿易衝突未解，全球貿易戰火愈演愈烈，衝擊到市場信心，人民幣貶勢再起，台幣及亞幣也跟著重貶，亞股重挫讓上周失守季線及半年線的台股更為弱勢，儘管上周遭外資大賣的大立光 (3008) 今天盤中股價相對平穩，但台積電 (2330) 及鴻海 (2317) 等權值股跌勢難止，讓以小黑開出的台股指數愈走愈低，盤中僅有劍麟 (2228) 、精測 (6510) 等股價逆勢漲停，智邦 (2345) 等中小型股相對強勢，在多頭士氣潰散下，台股指數不僅未保守10500點，盤中更因大跌逾百點，失守10450點，截至11點30分為止，加權股價指數為10428.98點，下跌120.06點，成交量811.82億元；OTC指數為137.14點，下跌1.34點，成交量173.13億元。
2019-08-06T02:19:00.000Z, 8.劍麟 (2228) ：營運成長動能強，外資、投信連日擴大買超，早盤挾量逆漲至122元。
2019-08-20T02:07:00.000Z, 3.劍麟 (2228) ：本月以來外資持續偏多操作，推升股價一路向上，早盤再攻高逾9%、達141.5元。
