PublishDate,Sentence
2016-12-30T06:08:00.000Z,  政府在2016年最後一個交易日端出政策肥肉，行政院拍板當沖證交稅率由現行千分之3減半、至千分1.5，不僅帶動台股指數走強，新台幣匯價也反貶為升，午盤收漲1.6角。
2017-02-03T01:10:00.000Z,  「買進」15檔分別為：台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 、日月光 (2311) 、力成 (6239) 、亞德-KY (1590) 、京元電 (2449) 、致茂 (2360) 、為升 (2231) 、鑽全 (1527) 、巨大 (9921) 、大江 (8436) 、美食-KY (2723) 、中信金 (2891) 、國泰金 (2882) 。
2017-02-03T01:10:00.000Z,  「買進」15檔分別為：台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 、日月光 (2311) 、力成 (6239) 、亞德-KY (1590) 、京元電 (2449) 、致茂 (2360) 、為升 (2231) 、鑽全 (1527) 、巨大 (9921) 、大江 (8436) 、美食-KY (2723) 、中信金 (2891) 、國泰金 (2882) 。
2017-02-20T04:38:00.000Z,觀察法人動向，三大法人上周合計買超精材達4139張，其中以外資買超2231張最多。
2017-03-10T06:02:00.000Z,  今日盤面八大類股全面走跌，又以電子股、原物料概念股跌幅不輕，部分大型金控股則相對有撐，目前台股短線上再次跌破月線支撐，且跌時略見出量，現階段市場聚焦於美國升息與否，市場普遍認為升息機率超過9成，仍為短線最重要關注風向球。
2017-04-18T07:06:00.000Z,傳產股方面，榮成 (1909) 、正隆 (1904) 雙雙大漲4%，推升造紙類指勁彈3%，強扮多方領頭羊；為升 (2231) 打入ADAS市場帶動股價飆上漲停，拉升電機股類指大漲近2%，表現相對亮眼。
2017-04-18T06:32:00.000Z,台股今日在指標股台積電 (2330) 領軍電子族群持穩盤勢，加上為升 (2231) 等車電展概念股強攻的氛圍下，盤初一度來到9771點、站上5日線，惟富邦金 (2881) 、國泰金 (2882) 、彰銀 (2801) 等持續疲弱拖累金融類股壓低整理，牽制多頭上攻力道，終場集中市場上漲30.16點，收在9746.56點，離5日線仍差一步，總成交值則降至714.28億元；店頭市場小漲1.64點，收在131.63點，總成交值255.09億元。
2017-04-18T02:53:00.000Z,大同 (2371) 改選董事法律戰，台灣高等法院今日對新大同抗告案首度開庭，昨外資相挺買超784張，激勵大同今日股價強彈約4.35%、盤初最高達11.05元，加上為升 (2231) 打入ADAS市場，股價飆上300元，帶動力山 (1515) 、日馳 (1526) 等連袂走揚，推升電機類指上漲約1.7%。
2017-04-21T06:27:00.000Z,  除此之外，台北國際汽車零配件展與台北國際車用電子展正如火如荼展開，本周台股議題圍繞在車用相關概念股，但相關概念股今日漲跌互見，為升 (2231) 以大漲3.98%、326.5元作收，同致 (3552) 小幅上漲1.23%，勝麗 (6238) 、澄的 (4554) 和朋程 (8255) 漲幅皆約0.5%，而怡利電 (2497) 則下跌0.28%。
2017-04-24T01:00:00.000Z,3.車用電子個股表現，為升 (2231) 、啟?? (6285) 、新唐 (4919) 、茂達 (6138) 等上漲。
2017-06-12T03:19:00.000Z,三星電子則停留10奈米，近來才推出比10奈米略為升級的8奈米製程。
2017-06-27T06:39:00.000Z,  匯市方面，新台幣兌美元匯率昨日盤中強升逾一角後，今早開盤貶值2.5分，以30.36元開出，盤中轉貶為升，至12:00，新台幣兌美元為30.320元，升值1.5分。
2017-07-28T04:46:00.000Z,三星電子則停留10奈米，近來才推出比10奈米略為升級的8奈米製程。
2017-09-12T06:44:00.000Z,  匯率方面，新台幣匯價8日盤中一度見到「2字頭」，今日開盤，新台幣兌美元為30.055元，貶值2.9分，盤中貶幅收斂，上半場新台幣兌美元為30.030元，貶值0.4分，14:15，新台幣兌美元為30.014元，轉為升值1.2分。
2017-10-04T02:56:00.000Z,亞系外資推薦的11檔科技股個股包括台積電 (2330) 、鴻海 (2317) 、日月光 (2311) 、京元電 (2449) 、英業達 (2356) 、亞德客 (1590) 、力成 (6239) 、台光電 (2383) 、為升 (2231) 、樺漢 (6414) 、億光 (2393) 。
2017-10-04T02:56:00.000Z,亞系外資推薦的11檔科技股個股包括台積電 (2330) 、鴻海 (2317) 、日月光 (2311) 、京元電 (2449) 、英業達 (2356) 、亞德客 (1590) 、力成 (6239) 、台光電 (2383) 、為升 (2231) 、樺漢 (6414) 、億光 (2393) 。
2018-03-08T02:14:00.000Z,  12.為升 (2231) ：雷達產品可望助攻今、明年營運，受外資看好並調升目標價至426元，早盤股價漲逾5.5%，續創波段新高。
2018-04-12T07:12:00.000Z,傳產股中的電機股在高價族群上銀 (2049) 、為升 (2231) 、亞德-KY (1590) 點火下，帶動類指衝上歷史高點。
2018-04-12T03:03:00.000Z,另外，高價股的電機股上銀 (2049) 、為升 (2231) 、亞德-KY (1590) 續強。
2018-07-15T07:37:00.000Z,　本周另一個焦點是新一波除權息股，主要留意電子的環球晶、飛捷、晶電、瀚宇博，以及傳產的遠東新、為升、和泰車、瓦城、雄獅、豐泰、上緯投控等，環球晶股價達512元將除息10元，而為升、和泰車、瓦城、雄獅等高價位股除息也受到期待。
2018-10-29T00:08:00.000Z,　據CMoney統計，3家以上機構法人對今年及明年EPS提出預估數中，信驊、美律、緯創、譜瑞-KY、為升、貿聯-KY、聯發科、大立光、廣達、景碩、台達電、瑞昱、穩懋、世界、豐泰、亞德客-KY、台積電等，預估明年EPS均有14～45％的年成長。
2018-11-16T05:08:00.000Z, 環顧台灣車電產品導航、多媒體與車用影像項目發展居多，隨著國際發展趨勢、政府政策支持下，聯網、自動與電動車輛將帶出汽車電子成長的動能，工研院IEKConsulting報告指出，2018年台灣汽車電子產值預估可達新台幣2002億元，直逼台灣整車產值，同時也帶動資通訊和車電零組件對車輛新興科技應用，台灣ICT業者如台積電 (2330) 、華邦電 (2344) 、聯發科 (2454) 、凌陽 (2401) 、光寶 (2301) 、鴻海 (2317) 、為升 (2231) 、台達電 (2308) 、國際航電等都已進入車電領域，相較於國際廠商利用新創或併購儘速取得市場位置，石育賢建議台灣發展車輛電子產品從點、線、面的合作模式，也應結合法人研究單位與國內外業者建構其平台，讓不同層次的業者發展車電產品，以應用到自動、聯網、電動、與運輸服務來建立自己的優勢，以進入國際市場。
2019-01-08T07:21:00.000Z,電動車概念股受到特斯拉上海工廠動土消息激勵，乙盛-KY (5243) 、貿聯-KY (3665) 、美琪瑪 (4721) 、為升 (2231) 催油門。
2019-01-22T07:11:00.000Z,為升將併昇科可反映集團資源整合後的預期效益，股價來到一個月來高點。
