PublishDate,Sentence,Score
2018-05-11T07:10:00.000Z,周四美股四大指數強勁收紅，蘋果股價再創新高、市值逼近1兆美元，帶動亞股早盤滿面紅光，台股今日在電金傳龍頭股大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 、國泰金 (2882) 、富邦金 (2881) 及台塑四寶台塑 (1301) 、南亞 (1303) 、台化 (1326) 、台塑化 (6505) 同步點火下，呈現類股齊揚榮景，指數一度大漲逾百點，最高攻抵10874.63點，一舉站上半年線、季線與10800點大關，終場加權指數上漲98.77點為10858.98點，出現日K連6紅強勁走勢，成交值放大至1632.42億元，周線翻紅大漲329.61點。,14
2018-05-11T07:10:00.000Z,塑化股受惠國際油價續揚，台塑四寶台塑化 (6505) 、台化 (1326) 、台塑 (1301) 、南亞 (1303) 攜手喊衝。,2
2018-05-11T02:29:00.000Z,  今日八大類股齊揚，電子股持續扮演主流，成交量占比來到七成二，塑化股也因國際油價續揚，類股指數一度上漲0.9%，台塑化 (6505) 續創新高，台化 (1326) 漲幅達1.8%，台塑 (1301) 、南亞 (1303) 也同步上漲。,6
2018-05-18T07:08:00.000Z,台股今日受制台積電走弱及台塑化翻黑，加上國際消息變數增加，除美中貿易談判問題外，日本擬對美國祭出報復性關稅等，使追價買盤力道不足，盤勢續陷入震盪整理。,-7
2018-05-21T07:16:00.000Z,受到中美貿易戰休兵及台灣4月外銷接單持續暢旺激勵，法人、集團大股東等短多積極回補，使台股今日開高登高，在蘋果三劍客台積電、鴻海與大立光領軍電子股衝鋒，加上國泰金、兆豐金、台塑化 (6505) 、遠東新 (1402) 及統一 (1216) 等金融傳產權值股穩盤，帶動指數收復五日線與10900點等關卡。,8
2018-05-21T04:02:00.000Z, 　就技術面來看，上周五台股以上漲11點至10844點開出後，大型權值股包括台積電、鴻海 (2317) 、台塑化 (6505) 、南亞科 (2408) 賣壓仍然相對沈重，且盤中美國眾議院通過維持對中興通訊制裁影響，壓抑買盤，使指數壓回至平盤附近狹幅震盪整理，量能略為縮減，終場台股以10830.84點作收，累計一周跌28.14點，跌幅0.26%，周線又收黑K，5日均量1396億元，價跌量縮，櫃買市場表現較強，累計一周漲0.75%，收在152.03點。,-7
2018-05-24T00:19:00.000Z,台股萬一關頭壓力沉重，台灣50指數昨（23）日成為殺盤重心，跌0.54％，跌幅較大盤0.48％重，國巨 （2327） 、台塑化 （6505） 、台積電 （2330） 等成分股賣壓出籠，拖累台股失守5日均線，衝高卡關。,-7
2018-05-24T00:19:00.000Z,　台新投顧統計，昨日貢獻台股最多跌點的前十大台灣50成分股，分別是被動元件國巨、塑化股台塑化、電子股台積電、可成、大立光、廣達、鴻海、台達電、金融股國泰金、水泥股台泥，尤以國巨跌9.34％、貢獻近11點跌點最為慘烈。,-1
2018-05-24T00:19:00.000Z,　台新投顧副總黃文清表示，國巨利多出盡，一度打落跌停，影響科技股表現不佳，塑化龍頭股台塑化外資加大賣超力道，單日調節2千餘張，電金傳權值股表現皆疲，「萬一」當頭壓力增加。,-4
2018-05-30T07:11:00.000Z,　權值股表現方面，受到美股重挫拖累，內外資法人操作偏向保守，大立光 (3008) 、台積電 (2330) 及台塑 (1301) 、南亞 (1303) 、台化 (1326) 、台塑化 (6505) 、國泰金 (2882) 、富邦金 (2881) 等全面走弱。,-4
2018-05-31T07:11:00.000Z,義大利政治風險趨緩，油價攀升帶動能源類股，周三美股全面收高，台股今日在電金傳龍頭股台積電 (2330) 、國泰金 (2882) 、富邦金 (2881) 、台塑化 (6505) 等全面點火下，帶動指數盤中重返月線及季線，並一度收復10900點關卡，惟被動元件、矽晶圓、MOSFET等缺貨漲價股包括環球晶 (6488) 、杰力 (5299) 、國巨 (2327) 、禾伸堂 (3026) 等變臉翻黑，使盤中漲幅轉趨收斂，尾盤因MSCI季度調整盤後生效，爆出813億元大量，終場加權指數上漲53.79點為10874.96點，成交值擴大至2364.49億元；月線翻紅大漲217.08點。,10
2018-05-31T07:11:00.000Z,　台股今日由電金傳龍頭股領軍，包括台積電 (2330) 、南亞科 (2408) 、國泰金 (2882) 、富邦金 (2881) 、台塑化 (6505) 、統一 (1216) 全面勁揚；被動元件、矽晶圓、MOSFET缺貨漲價題材股上沖下洗，國巨 (2327) 翻黑重挫8%失守千元大關，環球晶 (6488) 、嘉晶 (3016) 、杰力 (5299) 、禾伸堂 (3026) 等震盪收低；記憶體模組廠威剛 (3260) 董座陳立白看好DRAM市場到2020年都是健康狀況，帶動南亞科 (2408) 、宇瞻 (8271) 、華邦電 (2344) 攜手勁揚。,5
2018-05-31T07:11:00.000Z,受惠周三美股勁揚，台股今在台積電、台塑化及南亞科等權值股點火，配合金融股國泰金、富邦金等助陣下，使指數順利收復月線及季線等關卡，無奈股王大立光、股后國巨及鴻海等走疲拖累，使10900點關卡得而復失。,1
2018-05-31T07:11:00.000Z,義大利政治風險趨緩，油價攀升帶動能源類股，周三美股全面收高，台股今日在電金傳龍頭股台積電 (2330) 、國泰金 (2882) 、富邦金 (2881) 、台塑化 (6505) 等全面點火下，帶動指數盤中重返月線及季線，並一度收復10900點關卡，惟被動元件、矽晶圓、MOSFET等缺貨漲價股包括環球晶 (6488) 、杰力 (5299) 、國巨 (2327) 、禾伸堂 (3026) 等變臉翻黑，使盤中漲幅轉趨收斂，尾盤因MSCI季度調整盤後生效，爆出813億元大量，終場加權指數上漲53.79點為10874.96點，成交值擴大至2364.49億元；月線翻紅大漲217.08點。,10
2018-05-31T07:11:00.000Z,　台股今日由電金傳龍頭股領軍，包括台積電 (2330) 、南亞科 (2408) 、國泰金 (2882) 、富邦金 (2881) 、台塑化 (6505) 、統一 (1216) 全面勁揚；被動元件、矽晶圓、MOSFET缺貨漲價題材股上沖下洗，國巨 (2327) 翻黑重挫8%失守千元大關，環球晶 (6488) 、嘉晶 (3016) 、杰力 (5299) 、禾伸堂 (3026) 等震盪收低；記憶體模組廠威剛 (3260) 董座陳立白看好DRAM市場到2020年都是健康狀況，帶動南亞科 (2408) 、宇瞻 (8271) 、華邦電 (2344) 攜手勁揚。,5
2018-05-31T07:11:00.000Z,受惠周三美股勁揚，台股今在台積電、台塑化及南亞科等權值股點火，配合金融股國泰金、富邦金等助陣下，使指數順利收復月線及季線等關卡，無奈股王大立光、股后國巨及鴻海等走疲拖累，使10900點關卡得而復失。,1
2018-05-30T07:11:00.000Z,　權值股表現方面，受到美股重挫拖累，內外資法人操作偏向保守，大立光 (3008) 、台積電 (2330) 及台塑 (1301) 、南亞 (1303) 、台化 (1326) 、台塑化 (6505) 、國泰金 (2882) 、富邦金 (2881) 等全面走弱。,-4
