PublishDate,Sentence,Score
2018-11-02T07:14:00.000Z,然油價續跌，塑化買氣持續縮手觀望，塑膠、食品、油電燃氣類股皆走疲，台塑 (1301) 、中石化 (1314) 、台化 (1326) 、統一 (1216) 、福懋油 (1225) 、台塑化 (6505) 股價黯淡。,-2
2018-11-02T02:31:00.000Z, 八大類股漲多跌少，受到油價續跌，且景氣趨緩擔憂風險升溫，使得原物料相關塑化、橡膠、食品、油電燃氣等走弱，台塑四寶今全數走弱，以台化 (1326) 跌幅最深，逾2.5%，台塑 (1301) 走跌近1%，南亞 (1326) 、台塑化 (6505) 跌幅約在0.5%附近跳動。,-6
2018-11-16T06:55:00.000Z,　傳產、金融權值股表現則相對較強，中信金 （2891） 尾盤漲勢擴大、收漲1.93％，統一 （1216） 、中鋼 （2002） 分別上漲1.63％、1.45％，台塑化 （6505） 、南亞 （1303） 、台化 （1326） 亦小漲，僅統一超 （2912） 續跌1.25％較弱。,1
2018-11-16T03:25:00.000Z,　權值股走勢分歧，股王大立光 （3008） 、日月光投控 （3711） 及中鋼 （2002） 漲逾1％，統一 （1216） 、中信金 （2891） 、台塑化 （6505） 漲逾0.5％。,0
2018-11-22T07:21:00.000Z,國際原油彈升，台塑四寶的台塑 (1301) 、台化 (1326) 、台塑化 (6505) 股價走揚，台塑化更是撐起油電燃氣族群一片天。,2
2018-11-26T07:15:00.000Z,塑化股南亞 (1303) 、台塑化 (6505) 、台化 (1326) 在油價暴跌衝擊下走弱。,-3
2018-11-26T02:21:00.000Z,　除了藍營概念股大漲外，台股中的股王大立光 （3008） 、台積電 （2330） 也持續反彈，油價大跌導致台塑化 （6505） 走跌，但油價大跌受惠股長榮 （2603） 、長榮航 （2618） 、華航 （2610） 等則走揚。,3
2018-11-27T06:24:00.000Z,　權值股中以台達電 （2308） 大漲3.69％領攻，股王大立光 （3008） 、日月光投控 （3711） 漲幅擴大至逾1％，聯發科 （2454） 、台積電 （2330） 由黑翻紅，分別收漲1.75％、0.45％，台塑四寶中僅台塑化 （6505） 獨紅、收漲0.44％。,6
2018-11-27T03:05:00.000Z,　權值股今日普遍綠油油，僅台達電 （2308） 勁揚近3％，股王大立光 （3008） 、日月光投控 （3711） 、台塑化 （6505） 力守紅盤。,3
2018-11-30T07:28:00.000Z,反之油價有撐，台塑 (1301) 、台塑化 (6505) 、台化 (1326) 、南亞 (1303) 、山隆 (2616) 股價表現相對有成色。,0
2018-11-30T07:28:00.000Z,反之油價有撐，台塑 (1301) 、台塑化 (6505) 、台化 (1326) 、南亞 (1303) 、山隆 (2616) 股價表現相對有成色。,0
