PublishDate,Sentence
2017-12-18T07:07:00.000Z,今日外資賣超1.2616億元，投信買超10.1309億元，自營商賣超1.7881億元，三大法人買超7.08億元。
2018-11-30T07:28:00.000Z,反之油價有撐，台塑 (1301) 、台塑化 (6505) 、台化 (1326) 、南亞 (1303) 、山隆 (2616) 股價表現相對有成色。
2018-11-30T07:28:00.000Z,反之油價有撐，台塑 (1301) 、台塑化 (6505) 、台化 (1326) 、南亞 (1303) 、山隆 (2616) 股價表現相對有成色。
2019-04-23T07:03:00.000Z, 美國加強制裁伊朗，油價升至半年來高點，油電股走揚，台塑化 (6505) 收高來到115.5元，可望突破上檔壓力，進而帶動同類股的山隆 (2616) 、台汽電 (8926) 、欣天然 (9918) 一起收高，類股指數上漲1.24%，居冠。
2019-08-26T09:17:19.000Z,"
8.山隆 (2616) ：每股成交價27.9元，成交量50萬股，成交金額1395萬元。"
2019-09-27T09:15:01.000Z,"
8.山隆 (2616) ：每股成交價29元，成交量50萬股，成交金額1450萬元。"
2019-09-27T09:15:01.000Z,"
8.山隆 (2616) ：每股成交價29元，成交量50萬股，成交金額1450萬元。"
2019-10-09T09:13:57.000Z,"
6.山隆 (2616) ：每股成交價29.6元，成交量50萬股，成交金額1480萬元。"
2019-12-16T09:14:29.000Z,"
19.山隆 (2616) ：每股成交價29.65元，成交量50萬股，成交金額1482萬5000元。"
2020-01-03T09:23:37.000Z,8.山隆 (2616) ：每股成交價30.25元，成交量50萬股，成交金額1512萬5000元。
2020-01-03T09:23:37.000Z,8.山隆 (2616) ：每股成交價30.25元，成交量50萬股，成交金額1512萬5000元。
2020-01-08T09:28:07.000Z,6.山隆 (2616) ：每股成交價29.7元，成交量50萬股，成交金額1485萬元。
2020-02-06T09:11:53.000Z,"
10.山隆 (2616) ：每股成交價29.55元，成交量62萬股，成交金額1832萬1000元。"
2020-03-24T07:09:00.000Z,"
類股向上齊步走，其中油電族群股價已跌到甜蜜點，類股指數漲幅超過7%，台塑化 (6505) 一馬當先大漲8%，觸及78元；台汽電 (8926) 、山隆 (2616) 、大台北 (9908) 等齊揚走高2~3%。"
2020-03-27T09:11:41.000Z,12.山隆 (2616) ：每股成交價31元，成交量56萬股，成交金額1736萬元。
2021-11-10T06:31:23.000Z,早在今年中旬，市場傳出台積電將進駐高雄的聲浪後，高雄房地產就隨護國神山隆起一波的市場熱潮，由於台積電即將落腳楠梓中油高雄煉油廠舊址，根據台灣房屋集團統計，楠梓區房價從去年每坪均價15.3萬元，至今年每坪均價來到16.2萬元，漲幅達6%！
