PublishDate,Sentence
2017-03-17T07:00:00.000Z,Fed升息1碼塵埃落定，周四美股漲跌互見，台股延續昨日強攻態勢開高走高，盤中突破前波高點9869.59點，蘋概股為盤面領漲先鋒，尾盤在金融股衝高補量下，終場加權指數收在今日最高點9908.69點、上漲70.86點，創下2015年4月以來近2年新高，成交值放大至1051.04億元；周線上漲280點，終止連3黑。
2017-03-17T06:05:00.000Z,（中央社記者吳家豪台北2017年3月17日電）台股今天百花齊放，蘋概股全面翻多，終場收在最高9908.69點，寫下2015年4月以來的高點，成交量能突破千億；投顧表示，台股短線走勢偏多，攻高仍有賴量能維持擴增。
2017-03-17T06:05:00.000Z,台股加權指數今天收在9908.69點，上漲70.86點，漲幅0.72%，成交金額為新台幣1051.04億元。
2017-03-17T05:58:00.000Z,美國Fed升息一碼，利空出盡後，台股今開高震盪，衝破前波高點9869點，寫下近兩年以來的波段高點後，整場多呈現高檔整理態勢，尾盤在金融股衝高補量上攻下，指數收在整場最高，台股今收漲70.86點、報在9908.69點、成交量1051.04億元；台股本周周線收紅，終止連3黑、指數周漲280點，預計在Fed釋出緩步升息訊號下，熱錢回流帶動台幣回升，台股距離萬點大關只剩不到百點距離。
2017-03-20T04:03:00.000Z, 　就技術面來看，上週五台股於以上漲8點9845點開出後，早盤持續盤堅震盪，午盤過後指數開始走揚，尾盤在權值類股買氣回籠，台積電 (2330) 、台達電 (2308) 、統一 (1216) 等個股拉尾盤下，終場指數以9908.69點作收，累計一週大漲280.8點，漲幅為2.92%，終止週線連三黑，創下2015年5月8日當週以來新高，日均量為897億元，價漲量增；櫃買市場漲幅2.69%，雖然稍遜，亦是多頭一路挺進，強勢不減；今天台股因萬點關卡前獲利了結賣壓出籠，指數以小黑開出，但逢低買盤不弱，盤中指數在9900點震盪；上週五加權指數在權值類股普漲格局下緩步走升，尾盤更一舉突破9900點大關再創新高，距萬點僅一步之遙，今天早盤雖然以低盤開出，但台幣持續走升，熱錢湧入趨勢未變，且上週五台股以千億元成交量站上9900點，顯示多頭直取萬點企圖心強烈，由於台股短線指標轉強，日KD、RSI指標重返80超買區，指標已至高檔區，因此短線震盪難免，只是除非國際股市出現重大利空，台股站上萬點已是時間問題，若本週全球股市持穩，預估台股將在9900點上下250點攻防。
2017-05-18T01:10:00.000Z,（中央社台北2017年5月18日電）美國總統川普身陷彈劾風暴，歐美股市跳水，日、韓股市早盤同步重挫，近日重回萬點的台股也挫跌百點，至9908.02點。
2017-07-20T07:01:00.000Z,今日外資賣超10.7641億元，投信賣超8.9908億元，自營商賣超3.6513億元，三大法人賣超23.4億元。
2018-10-19T03:27:00.000Z,截至10時55分，加權指數來到9908.40點，跌45.33點，成交量新台幣664.35億元。
2018-10-22T07:04:00.000Z,受惠上周五國際原油期貨反彈收漲，今日台塑化 (6505) 、台汽電 (8926) 、大台北 (9908) 、欣高 (9931) 皆亮眼，推升油電燃氣類股指數收漲2.81%，列台股漲幅首位。
2018-11-07T07:18:00.000Z,亞股早盤鬆一口氣，台股在蘋概股三天王台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 回神，被動元件族群國巨 (2327) 、華新科 (2492) 、禾伸堂 (3026) 打起精神力抗空頭，矽晶圓族群由環球晶 (6488) 吹起反攻號角，聯手拉抬指數翻紅走高，盤中隨著美國期中選舉符合預期、美股指期翻紅消息鼓舞，大盤指數一度大漲90點、衝破9900點大關，終場加權指數上漲83.4點為9908.35點，重返5日線及月線之上，成交值為1162.91億元。
2018-11-07T06:46:00.000Z,　加權指數盤中最高上漲87.58點、觸及9912.53點，終場上漲83.4點、收於9908.35點，成交量小幅萎縮至1162.91億元。
2019-01-21T03:12:00.000Z,至10時51分，大盤指數來到9908.2點，漲72.14點，成交量約新台幣506億元。
2019-12-18T06:49:00.000Z, 中信金今天以22.5元收盤，漲0.45%，前4季EPS為2.17元，本益比10.36倍，外資買超10日計10萬9908張、投信賣超2日計1066張、自營商賣超1日1997張。
2020-03-10T06:59:00.000Z,然而沙國和俄羅斯的油價戰，導致塑化行情不妙，橡膠、油電燃氣類股指數續跌，雙雙寫下波段低點，南港 (2101) 、申豐 (6582) 跌幅曾逾3%，泰豐 (2102) 、台橡 (2103) 、中橡 (2104) 、厚生 (2107) 、台塑化 (6505) 、台汽電 (8926) 、大台北 (9908) 、新海 (9926) 等黯然演出。
2020-03-24T07:09:00.000Z,"
類股向上齊步走，其中油電族群股價已跌到甜蜜點，類股指數漲幅超過7%，台塑化 (6505) 一馬當先大漲8%，觸及78元；台汽電 (8926) 、山隆 (2616) 、大台北 (9908) 等齊揚走高2~3%。"
