PublishDate,Sentence
2017-02-11T07:42:00.000Z,　若以去年現金殖利率4％以上、近4年現金發放率高於6成，台股中就有好幾百檔，因此進一步以去年前3季EPS已經優於2015年全年者篩選，以及預估第4季EPS為正者，精選出包含台塑化、台化、全國電、新至陞、聚積、富晶通、友通、宏全、世界、崇友、長虹、泰銘、上奇，及已經公布股利的新唐等47檔。
2017-03-03T03:51:00.000Z,Switch於1月21日在日本全國開放預購，而當時東京都內所有接受預購的店鋪以及網路銷售通路皆在當日中午過後停止接受預購，顯示預定數量已全數售罄。
2017-03-03T03:51:00.000Z,Switch於1月21日在日本全國開放預購，而當時東京都內所有接受預購的店鋪以及網路銷售通路皆在當日中午過後停止接受預購，顯示預定數量已全數售罄。
2017-03-29T02:35:00.000Z,在以集成電路為核心的新一代信息通信領域取得創新突破，是明確列入《國家「十三五」規劃綱要》中的國家戰略，在今年全國兩會通過的《政府工作報告》中也指出，全面實施戰略性新興產業發展規劃，加快人工智慧(AI)、集成電路、第五代移動通信(5G)等技術研發和轉化，做大做強產業集群。
2017-05-08T06:38:00.000Z,  季報出色的GIS-KY (6456) ，以及大宇資 (6111) 、神盾 (6462) 、良得 (2462) 、華擎 (3515) 、辣椒 (4946) 及雙鴻 (3324) 等16家上市櫃公司強攻漲停，化解台股下探壓力，尾盤時台積電奮力拉高，大立光亦收上平盤，帶動台股指數擺尾，守住9900點，但未能站上5日線，終場加權股價指數為9937.25點，上漲37.31點，成交量為827.92億元；OTC指數為131.85點，下跌0.41點，成交量為265.37億元。
2017-05-08T06:38:00.000Z, 　就技術面來看，今天台股在上週五歐美股市續創新高帶動下，指數跳空開高，不過傳產股及中小型電子股普遍走弱，讓台股指數開高走低，所幸尾盤時在台積電站穩200元關卡帶動下，台股拉尾盤收高，終場台股上漲37.31點，以9937.25點作收，收復9900點關卡，但仍未站上5日線9940點；台股上週挑戰萬點失利，上週五指數不僅跌破5日線，也失守9900點關卡及5日均線，成交量能亦萎縮，今天雖然因歐美股市創高及亞股走強，台股指數一度攻抵9960點，但市場追價意願不足，僅台積電表現相對出色，讓台股呈現明顯弱勢格局，收盤指數收高，卻未能站上5日線，不過，雖然5月進入報稅旺季，且有520總統就職週年等議題影響，但歐美股市續創新高，對台股多頭仍有一定支撐作用，尤其是週KD指標黃金交叉向上，且季線尚未下彎，代表中期整理已經接近結束，只要能守住月線9818點，在季報完全公布後，台股有機會跟上國際股市腳步走高挑戰萬點，若本週國際股市持穩，台股指數可望在9900點上下150點震盪。
2017-05-19T10:32:00.000Z,為讓學生提早知道產業界需求，同時吸引更多學生投入半導體業，台積電與國立交通大學共同舉辦設備創意競賽，於去年10月向全國各大專院校徵件，邀請學生組隊參加。
2017-06-02T00:59:00.000Z,※未來注意事項1.週五(6/2)台股除權息公司：全國電 (6281) 、長華 (8070) 等。
2017-06-02T00:59:00.000Z,※未來注意事項1.週五(6/2)台股除權息公司：全國電 (6281) 、長華 (8070) 等。
2017-10-17T06:27:00.000Z,元大投顧資深副總經理杜富蓉表示，週三台指期結算、中國大陸將舉行中國共產黨第19次全國代表大會，近期國台辦人事調整偏向鷹派，投資人在台指期結算前，擔心兩岸關係較以往疏遠，先退場觀察也很正常。
2017-10-20T09:26:00.000Z,台積電今年發放1815.12億元現金股息，也是台股第一高，即便有超過1400億元的股息被外資拿走，不過，台積電繳交營業所得稅逾300億元，高居企業繳稅之冠，更占全國營所稅額超過10%。
2018-03-13T07:47:00.000Z,台積電與交大將於10月共同舉辦設備創意競賽，雙方合作將邁入第2年，台積電指出，競賽即日起開放報名至4月27日止，歡迎全國各大專院校相關科系師生組隊參加。
2018-03-27T03:19:00.000Z,張淑芬率台積電 （2330） 員工到花蓮拚觀光，得到全國熱烈好評，觀光慘兮兮的屏東墾丁看在眼裡，好生羡慕。
2018-07-26T07:02:00.000Z,經濟部今召開座談會，討論如何健全國內太陽能產業，政策利多護航，綠能 (3519) 早盤股價亮燈漲停，帶動太陽能族群反攻，元晶 (6443) 、安集 (6477) 、新日光 (3576) 、太極能 (4934) 、昱晶 (3514) 等都有半根漲停板。
2018-08-15T05:24:00.000Z,土耳其總統艾爾段（Recep Tayyip Erdogan）14日號召全國抵制蘋果iPhone及其他美國電子產品，改用其他廠牌手機，藉此表示在美土交鋒當中，絕不退讓的立場。
2018-12-04T06:00:00.000Z,MoneyDJ新聞 2018-12-04 14:00:05 記者 蔡承啟 報導日本IT相關調查公司BCN公布調查報告(彙整日本全國主要家電量販店和網路商店的實際銷售量數據)指出，今年來日本無線耳機銷售強強滾，1-4月期間的銷售量年增幅皆達8倍(800%)以上水準(分別月增889%、829%、924%和868%)，之後增幅雖縮小，不過最低仍有2倍(200%)以上增幅。
2018-12-04T06:00:00.000Z,MoneyDJ新聞 2018-12-04 14:00:05 記者 蔡承啟 報導日本IT相關調查公司BCN公布調查報告(彙整日本全國主要家電量販店和網路商店的實際銷售量數據)指出，今年來日本無線耳機銷售強強滾，1-4月期間的銷售量年增幅皆達8倍(800%)以上水準(分別月增889%、829%、924%和868%)，之後增幅雖縮小，不過最低仍有2倍(200%)以上增幅。
2018-12-12T00:14:00.000Z,在中國企業的官方SNS上，已有20家以上企業進行上述內部通知，業種從IT到餐飲都有，而據地方政府幹部指出，「全國預估達數百家企業」。
2018-12-22T07:02:00.000Z,今日外資(不含外資自營商)賣超10.8421億元，投信買超1.8066億元，自營商賣超7.9937億元，三大法人賣超17.02億元。
2019-01-30T04:28:00.000Z,其中，多達32頁都在描述「中國製造2025」如何於全國執行。
2019-01-30T04:28:00.000Z,其中，多達32頁都在描述「中國製造2025」如何於全國執行。
2019-05-16T01:58:00.000Z,　美國總統川普宣布全國進入緊急狀態，禁止企業使用對國家安全構成危險的公司所生產電信設備，雖然未明指中國電信巨頭華為，但這項行政命令將為禁止華為與美國企業商業往來鋪路。
2020-01-20T02:51:00.000Z,由於正值春運期間，武漢肺炎是否可能演變成大陸全國性疫情？疾管署副署長莊人祥表示「不無可能」。
2020-01-21T00:42:00.000Z,　台積電為鼓勵在台灣的年輕學子進入先進製程佈局領域，首度舉辦全國性的「前瞻佈局」校園競賽，獲得學界極大的迴響，吸引大量的年輕學子投身半導體產業，並提供推動未來IC創新的下一世代工程師及學者紮實的實務經驗。
2020-01-21T00:42:00.000Z,　台積電亦提供來自全國各地的參賽同學超過7個小時的線上課程及為期12週的雲端VDE實作練習環境，並且透過於北中南三地舉行的三場研習營，提供參賽者與業界專家面對面的機會，學習先進製程上的前瞻佈局技術與創新案例，使其知識與產業需求進一步接軌。
2020-09-17T14:08:43.000Z,"
對於人才培育，魏哲家說，培養下一代好的人才是政府與每家公司的責任，台積電在育才方面也做了一些事，要讓年輕人能夠放心成家立業，因為讓年輕人養育得起，台積電員工的生育率是全國的5倍。"
2020-12-02T21:51:44.000Z,MUFG 紐約首席經濟學家 Chris Rupkey 提到，該新冠病毒在全國範圍內的迅速傳播讓美國人在今年秋天很難找到工作，如果國會不能在會議結束前對新的刺激法案進行討論與表決，這將使整個經濟處於危險之中。
2020-12-02T21:51:44.000Z,MUFG 紐約首席經濟學家 Chris Rupkey 提到，該新冠病毒在全國範圍內的迅速傳播讓美國人在今年秋天很難找到工作，如果國會不能在會議結束前對新的刺激法案進行討論與表決，這將使整個經濟處於危險之中。
2020-12-21T14:57:30.000Z,（中央社記者蘇思云台北2020年12月21日電）4年一次的全國科學技術會議今天登場，產業關注如何吸引國際化人才。
2020-12-21T14:57:30.000Z,第11次全國科學技術會議今天起連3天在台北國際會議中心登場，今天上午首場會議主題為人才與價值創造。
2020-12-21T14:57:30.000Z,不過，簡立峰以芬蘭為例，雖然芬蘭全國人口僅550萬人，一年4.5萬新生兒，但如果台灣讓每個小孩都有差異化，同樣有機會在全球脫穎而出；他也認為，在後疫情時代，遠距工作成為趨勢，台灣企業要透過遠距技術與數位能力，讓國際人才也能為台灣所用。
2021-01-11T03:14:00.000Z,不是新聞》） 而台南市善化區的蓮潭里，又被稱作「台積村」，從西拉雅大道轉入南科LM特區，每一棟房子都是新的，以前一棟房子500萬就能入手，現在1500萬起跳；區內有全國最大的7-11、全家及全聯，住戶多是南科工程師，平均所得為168.7萬元，在全台前10名最有錢的里中排名第6，是榜上唯一一個不在新竹的里。
2021-01-29T08:01:24.000Z,晶圓代工龍頭台積電 (2330-TW) 透過綠色採購制度，支持綠建材及低耗能、無毒性、可回收且具環保標章的辦公區用品，去年綠色採購金額連續 3 年超過全國 20%，居國內企業之冠，辦公區綠色採購比例達 99％，再創新高。
2021-01-29T08:01:24.000Z,晶圓代工龍頭台積電 (2330-TW) 透過綠色採購制度，支持綠建材及低耗能、無毒性、可回收且具環保標章的辦公區用品，去年綠色採購金額連續 3 年超過全國 20%，居國內企業之冠，辦公區綠色採購比例達 99％，再創新高。
2021-02-26T04:59:14.000Z,為持續降低自來水用水量，台積電積極承諾並使用工業廢水與民生汙水的再生水，民國104年開始發展再生水技術，於105年打造全國第1條半導體工業再生水試產線，回收處理工業放流水。
2021-02-27T01:23:42.000Z,為降低自來水用水量，台積電積極承諾並使用工業廢水與民生汙水的再生水，2015年開始發展再生水技術，於2016年打造全國第1條半導體工業再生水試產線，回收處理工業放流水。
2021-03-02T08:34:14.000Z,中華民國全國商業總會主席賴正鎰表示，台灣缺工並非新聞，只是在台商回台建廠、政府陸續啟動公共工程以及台積電建廠下，問題變得更加嚴峻。
2021-02-27T01:23:42.000Z,為降低自來水用水量，台積電積極承諾並使用工業廢水與民生汙水的再生水，2015年開始發展再生水技術，於2016年打造全國第1條半導體工業再生水試產線，回收處理工業放流水。
2021-02-26T04:59:14.000Z,為持續降低自來水用水量，台積電積極承諾並使用工業廢水與民生汙水的再生水，民國104年開始發展再生水技術，於105年打造全國第1條半導體工業再生水試產線，回收處理工業放流水。
2021-03-02T08:34:14.000Z,中華民國全國商業總會主席賴正鎰表示，台灣缺工並非新聞，只是在台商回台建廠、政府陸續啟動公共工程以及台積電建廠下，問題變得更加嚴峻。
2021-03-13T03:49:31.000Z,劉德音表示，缺水是全國性的問題，台積電節水一直都在做，相信今年的困難一定可以克服。
2021-03-26T06:42:37.000Z,美國渴望保全國內半導體供應鏈，英特爾仍有地利之便。
2021-05-20T23:40:41.000Z,與此同時，竹科、中科和南科園區管理局也發函科學園區所有廠商，表示為協助降低全國電力系統負載，在19日至21日節約用電，配合啟動發電機。
