PublishDate,Sentence,Score
2017-06-01T07:09:00.000Z,操作建議以基本面、流通性且展望佳的個股為依歸，電子看好半導體、網通、被動元件、線上手遊、手機零組件等，非電族群之金融及低基期中概與消費零售族群將為下半年主流。,2
2017-06-01T00:57:00.000Z,櫃買指數週三由於半導體、生技醫療等族群撐盤抗跌，日  K 震盪收黑、形成三日橫盤整理，仍堅守各級均線之上，在均線結構仍未完全多頭排列的情況下，緩步盤堅墊高反而有利長多發展，中小型題材股可留意基本面、擇優操作。,4
2017-06-01T00:57:00.000Z,2.週四美國重要經濟數據：ISM 製造業採購經理人指數、全球半導體銷售金額、CHALLENGER企業裁員報告、初次領取失業救濟人數、汽車銷售量、營建支出、天然氣儲存報告等。,1
2017-06-02T07:13:00.000Z,現階段選股可留意半導體股、蘋果供應鏈、車用電子股以及補漲型電子股。,2
2017-06-02T02:26:00.000Z,  今日盤面續強股集中在市場缺料題材，包括記憶體、半導體、PCB等概念股；因編碼型快閃記憶體(NOR Flash)供不應求，市場需求火熱，美系外資首納旺宏 (2337) 、目標價上看22元，今旺宏帶量衝高，漲幅逾7.5%，華邦電 (2344) 也獲三大法人同步喊進下，漲幅達2.5%，PCB概念股則有華通 (2313) 大漲近4.5%，股價再創新高。,12
2017-06-02T00:59:00.000Z,3.半導體個股表現，華邦電 (2344) 、旺宏 (2337) 、茂矽 (2342) 、台積電 (2330) 等上漲。,1
2017-06-02T00:59:00.000Z,櫃買指數週四在光電、網通、半導體等權值上漲帶動下，日  K 量縮收紅、再創反彈波段新高 135.46 點，仍堅守各級均線之上，在均線結構仍未完全多頭排列的情況下，緩步盤堅墊高反而有利長多發展，中小型題材股可留意基本面、擇優操作。,11
2017-06-01T07:09:00.000Z,操作建議以基本面、流通性且展望佳的個股為依歸，電子看好半導體、網通、被動元件、線上手遊、手機零組件等，非電族群之金融及低基期中概與消費零售族群將為下半年主流。,2
2017-06-01T00:57:00.000Z,櫃買指數週三由於半導體、生技醫療等族群撐盤抗跌，日  K 震盪收黑、形成三日橫盤整理，仍堅守各級均線之上，在均線結構仍未完全多頭排列的情況下，緩步盤堅墊高反而有利長多發展，中小型題材股可留意基本面、擇優操作。,4
2017-06-01T00:57:00.000Z,2.週四美國重要經濟數據：ISM 製造業採購經理人指數、全球半導體銷售金額、CHALLENGER企業裁員報告、初次領取失業救濟人數、汽車銷售量、營建支出、天然氣儲存報告等。,1
2017-06-02T07:13:00.000Z,現階段選股可留意半導體股、蘋果供應鏈、車用電子股以及補漲型電子股。,2
2017-06-02T02:26:00.000Z,  今日盤面續強股集中在市場缺料題材，包括記憶體、半導體、PCB等概念股；因編碼型快閃記憶體(NOR Flash)供不應求，市場需求火熱，美系外資首納旺宏 (2337) 、目標價上看22元，今旺宏帶量衝高，漲幅逾7.5%，華邦電 (2344) 也獲三大法人同步喊進下，漲幅達2.5%，PCB概念股則有華通 (2313) 大漲近4.5%，股價再創新高。,12
2017-06-02T00:59:00.000Z,3.半導體個股表現，華邦電 (2344) 、旺宏 (2337) 、茂矽 (2342) 、台積電 (2330) 等上漲。,1
2017-06-02T00:59:00.000Z,櫃買指數週四在光電、網通、半導體等權值上漲帶動下，日  K 量縮收紅、再創反彈波段新高 135.46 點，仍堅守各級均線之上，在均線結構仍未完全多頭排列的情況下，緩步盤堅墊高反而有利長多發展，中小型題材股可留意基本面、擇優操作。,11
2017-06-05T03:32:00.000Z,　觀察類股指數，以造紙股大漲逾1.7％最為強勢，油電燃氣、電機、汽車、生技、塑膠、電腦周邊設備、半導體等類股亦維持逾0.5％漲幅，成交值最大的電子類股亦漲近0.5％。,4
