PublishDate,Sentence,Score
2017-07-10T06:52:00.000Z,　　展望第三季，因為進入產業旺季，加上蘋果與安卓陣營均有新機要在下半年上市，啟動零組件的拉貨潮，另外最受矚目的是台積電以十奈米製程替蘋果代工生產的A11核心處理器也將在七月的下旬開始出貨，為此，法人圈預估，台積電第三季營收可望季增15%到20%，甚至有可能更好。,2
2017-07-10T06:09:00.000Z,法人預期，隨著時序步入傳統旺季，加上蘋果新iPhone處理器A11量產出貨，台積電10奈米可望顯著放大，整體第3季合併營收將可季增15%至20%水準。,2
2017-07-10T05:55:00.000Z,  展望第三季，預期隨著蘋果(Apple)新iPhone處理器A11出貨，加上步入傳統旺季，台積電本季起10奈米出貨量可望顯著放大，並將帶動整體業績強勁成長，法人估第三季營收可較第二季成長達15%左右。,4
2017-07-10T05:19:00.000Z,展望2018年，法人也預計台積電7奈米將進入正軌，並繼續獲得蘋果2018年的訂單，也將密切關注2018年的幾個關鍵客戶狀況，例如重新獲得高通的訂單和新客戶的潛在貢獻。,3
2017-07-10T05:15:00.000Z,展望2018年，法人也預計台積電7奈米將進入正軌，並繼續獲得蘋果2018年的訂單，也將密切關注2018年的幾個關鍵客戶狀況，例如重新獲得高通的訂單和新客戶的潛在貢獻。,3
2017-07-11T02:26:00.000Z,歐系外資預估台積電第3季營收將季增17%，雖然蘋果（Apple）10奈米處理器將大幅放量，但也面臨產業庫存調整尚未回到正常水準的風險，加上大客戶高通的數據機與中階處理器訂單仍交給三星代工，推估今明年每股盈餘（EPS）為12.9元、14元，低於市場預期的13.56元、14.93元，維持「中立」評等及目標價202元。,0
2017-07-11T02:26:00.000Z,另一家歐系外資重申「買進」評等與目標價233元，預期台積電下半年營收將比上半年成長21%，主因各產業庫存回補需求，並看好明年僅台積電具備7奈米製程，有利於提升高通、超微（AMD）、輝達（Nvidia）的市占率，明年營收成長率上看12%。,6
2017-07-11T02:26:00.000Z,新辦公室內設有clean room，用於處理台積電 (2330) 12奈米及7奈米製程等先進技術，此外亦擴建一處寬敞的工程設計空間，專供韓國技術團隊使用。,0
2017-07-12T07:29:00.000Z,S3預定今年底啟用，將生產7、8、10奈米製程晶圓。,1
2017-07-13T09:03:00.000Z,台積電各主要先進製程的進度，7奈米今年有13個設計定案，10奈米第三季營收占比拉升到一成，22奈米明年量產，至於28奈米需求優於預期，產能也增加。,4
2017-07-13T09:03:00.000Z,　　首先就7奈米部份，今年有13個設計定案，預計明年量產，10奈米占第二季營收占比僅1%，但拜手機通訊晶片大舉產出(蘋果A11核心處理器)，第三季營收占比會提高到一成，只是隨10奈米營收占比提高，將稀釋台積電下半年獲利約2%到3%。,2
2017-07-13T09:03:00.000Z,　　28奈米部份，客戶需求比預期好，與去年相比，今年產出將增加15%(其中5%取自產能增加，10%來自生產力的提高)。,3
2017-07-13T09:03:00.000Z,而先前28奈米多為手機晶片使用，但手機晶片已經推進到16奈米甚至10奈米，即使如此，手機的基頻晶片、WIFI晶片和RF晶片也開始大舉導入使用28奈米。,1
2017-07-13T09:03:00.000Z,　　另外台積電發展中的22奈米，明年量產，包括物聯網、ISP和5G相關晶片會使用。,2
2017-07-13T09:03:00.000Z,至於5奈米的部份，目前研發進度符合預期，預計2019年上半年試產。,1
2017-07-13T09:03:00.000Z,而關於台積電3奈米的生產基地，公司提到會以台灣優先，但也不放棄美國的評估，落腳地點將會在明年上半年決定。,1
2017-07-13T08:45:00.000Z,2017年第二季，10奈米製程出貨佔台積公司第二季晶圓銷售金額的1%；16/20奈米製程出貨佔全季晶圓銷售金額的26%。,-1
2017-07-13T08:45:00.000Z,總體而言，先進製程(包含28奈米及更先進製程)的營收達到全季晶圓銷售金額的54%。,1
2017-07-13T08:45:00.000Z,邁入第三季，台積公司預期業績表現將因使用10奈米製程的行動裝置新產品之推出而受惠。,2
2017-07-13T08:37:00.000Z,台積電表示，因10奈米製程將快速量產，第 3季製程比重可望達10%，恐將影響獲利2至3個百分點，第3季毛利率將約48.5%至50.5%，營業利益率將約37%至39%。,3
2017-07-13T08:37:00.000Z,至於生產 3奈米的新廠將落腳何處，台積電表示，將以台灣優先，預計明年上半年決定，目前並無赴美國設廠計畫，不過，仍會持續評估。,2
2017-07-13T08:18:00.000Z,台積電(2330)提到，最壞的時間點已經過去，第三季營收季增近16%，第四季會持續成長，而且會很強，並可望創下單季營收的歷史新高；而10奈米預計可以貢獻第三季營收1成，但也將稀釋台積電下半年獲利2%到3%。,4
2017-07-13T08:18:00.000Z,　　此外公司也提到，10奈米本季產出將快速提升，可以貢獻第三季營收約1成，但隨著10奈米營收占比拉高，將稀釋台積電下半年獲利2%到3%。,2
2017-07-13T08:10:00.000Z,台積電 (2330) 10奈米製程將自第三季大量產出，預估占營收比重達10%，下半年影響毛利率約2~3%，並維持台積電今年營運目標，以美元計營收將較去年成長5%至10%。,2
2017-07-13T08:10:00.000Z,  台積電總經理暨共同執行長魏哲家表示，今年10奈米製程將貢獻10%營收。,1
