PublishDate,Sentence,Score
2017-01-03T10:05:00.000Z,鉅亨台北資料中心◆盤勢分析上週五美股三大指數皆呈現回檔，週二為台股新年開紅盤之日，台指期雖以小漲 4 點開出，但獲利了結賣壓隨即湧現，並於 9:35 左右跌至 9231 的低點，所幸低接買盤仍在，而在美股期指於亞洲盤時段呈現反彈，及權值股台積電等力守紅盤下，台指期終場上漲 19 點以 9280 點作收；在各大期指表現上，晶圓代工龍頭台積電傳出第一季 7 奈米製程將量產，拉開與對手三星的差距，以上漲近 1% 作收，面板廠群創除受惠近期面板報價續漲，母公司鴻海集團近期更積極於中國佈局，股價上漲逾 4%，電子期收漲 0.51%；金融期尾盤拉高，以平盤作收；傳產族群部份，雖然台塑、台化漲幅約 1%，但上週五封關日大漲的台塑化獲利回吐下跌逾 2%，鋼鐵、汽車族群回檔程度亦較大，非金電期收跌 0.25%，表現相對偏弱；另觀察期現貨正價差由 9 點微減至 7 點，市場情緒仍偏向正面。,8
2017-01-04T06:28:00.000Z,台股小漲，權值股晶圓代工龍頭台積電 (2330) 收在平盤價183元，鴻海 (2317) 收在84.2元，小跌0.1%，蘋果光學鏡頭供應商大立光 (3008) 收在3780元，下跌0.39%。,-1
2017-01-04T06:02:00.000Z,  中國掀起半導體晶圓廠、面板廠的建廠熱潮，漢唐在手工程訂單案量無虞，隨著大客戶台積電由16奈米轉入10奈米，漢唐也順利獲得相關設備訂單，除大客戶的需求持續外，還有其餘半導體相關廠商需求，預料後續接單仍樂觀。,6
2017-01-04T03:29:00.000Z,鴻海 (2317) 、群創 (3481) 、業成 (6456) 等鴻海家族盤中股價持平，晶圓代工龍頭台積電 (2330) 也在平盤183元附近。,0
2017-01-04T02:05:00.000Z,　中國最大晶圓代工中芯國際上月21日於在港交所公布，蔣尚義已與公司簽訂服務合約，獨立非執行董事職位任期自本月20日開始。,1
2017-01-05T00:01:00.000Z,  所幸清晨美國股市持續以上漲作收，以摩台電子盤的收盤來看，台股應是以平高盤開出，而要開平走高或是開高走高，首先量能仍是不可少，月均量已下滑到604億元，月均量以上才會有其他權值撐盤的機會，此外指標股應放在聯發科 (2454) 上，畢竟以台積電 (2330) 這兩天的行情來看，就是180~185的區間整理差異不會太大，而聯發科與聯電 (2303) 是這波離前低最近的電子權值股，而聯發科還是IC設計的權王，重要性又更勝聯電在晶圓代工的代表地位，因此要走高除了金融不能太拖後腿外，聯發科的走強勢不可少。,0
2017-01-06T00:37:00.000Z,"2.晶圓代工為積體電路業成長之主力：按產品觀察，晶圓代工產值占積體電路八成以上，由於我國先進製程技術持續精進，國際各大品牌行動裝置推陳出新，通訊晶片需求強勁，累計105年1至10月產值達9,035億元(年增8.6%)，為積體電路業成長之最主要貢獻來源；DRAM產值居次，因價格相對較104年為低而年減12.5%。",4
2017-01-06T00:37:00.000Z,4.國內業者為保持領先優勢提高資本支出：為提升競爭優勢，國內業者積極進行研發及投資，尤以晶圓代工廠投入資本支出最為可觀。,6
2017-01-06T00:37:00.000Z,5.我國晶圓代工市占穩居全球第一：根據國際研調機構顧能(Gartner)統計，104年全球晶圓代工銷售市場為489億美元，其中台積電市占率高達54.3%，較103年增加0.5個百分點，穩居全球晶圓代工市場之第一名寶座，聯電、力晶科技、世界先進等亦名列全球晶圓代工前十大廠商，市占率合占67.2%，與103年相近。,5
2017-01-07T02:22:00.000Z,　大慶投顧協理許博傑分析，台股新年首周連續走揚，表現最佳是內資買盤已明顯回流，從之前弱勢的生技股浩鼎回穩反彈，到近期漲價效應的銅箔、矽晶圓、面板以及DRAM等，都獲得積極性買盤追價，造紙股及塑化股也接續轉強。,9
2017-01-08T01:26:00.000Z,第1季雖為台積電傳統營運淡季，不過，法人預期，在28奈米、40奈米與8吋晶圓需求依然熱絡下，台積電第1季淡季效應應不明顯，業績將僅較去年第4季略減中高個位數百分點。,0
2017-01-09T04:19:00.000Z,以汽車電子化及AR等為例，未來每年可能至少成長5~15%，將帶動Sensor(感測器)、繪圖處理其等晶片的需求，對半導體產業今年成長帶來相當大的幫助，尤其是對晶圓代工大廠。,3
