PublishDate,Sentence,Score
2017-01-03T10:05:00.000Z,鉅亨台北資料中心◆盤勢分析上週五美股三大指數皆呈現回檔，週二為台股新年開紅盤之日，台指期雖以小漲 4 點開出，但獲利了結賣壓隨即湧現，並於 9:35 左右跌至 9231 的低點，所幸低接買盤仍在，而在美股期指於亞洲盤時段呈現反彈，及權值股台積電等力守紅盤下，台指期終場上漲 19 點以 9280 點作收；在各大期指表現上，晶圓代工龍頭台積電傳出第一季 7 奈米製程將量產，拉開與對手三星的差距，以上漲近 1% 作收，面板廠群創除受惠近期面板報價續漲，母公司鴻海集團近期更積極於中國佈局，股價上漲逾 4%，電子期收漲 0.51%；金融期尾盤拉高，以平盤作收；傳產族群部份，雖然台塑、台化漲幅約 1%，但上週五封關日大漲的台塑化獲利回吐下跌逾 2%，鋼鐵、汽車族群回檔程度亦較大，非金電期收跌 0.25%，表現相對偏弱；另觀察期現貨正價差由 9 點微減至 7 點，市場情緒仍偏向正面。,8
2017-01-03T10:05:00.000Z,"週二台指期以留有下影線的小紅 K 棒作收，顯示下檔支撐不弱；而現貨成交量僅有 453 億元，從籌碼面分項觀察，外資於現貨部位轉為小幅賣超 2.6 億元，期貨淨多單減碼 3,185 口至 59,418 口，在假期結束後外資參與度並未明顯回升；研究部認為雖然量能仍嫌不足，但台股守穩在季線之上，整體多頭架構不變，配合 1/5 日即將舉行的美國消費性電子展 (CES)，1 月中旬台積電法說預期將對先進製程的進度將有更明確的說明等，都有利於台指期後續的發展。",6
2017-01-04T07:13:00.000Z,台股今日小幅開高，中鋼 (2002) 領軍鋼鐵股撐盤，電子金融股中場後回穩，台積電 (2330) 收平盤，台股收盤漲14點至9286點，連三日收紅，今日成交值增至559億元。,3
2017-01-04T07:13:00.000Z,  今早台積電一度下跌1.5元致電子類股指數率先翻黑，電子仰賴具利多題材的中小型股撐盤，像是昱晶 (3514) 、光鋐 (4956) 及智原 (3035) 都逆勢上揚。,-1
2017-01-04T07:13:00.000Z,  整體來看，台股在2016年封關日拉出上漲百點的長紅棒，並回到季線以及所有均線之上，為今年元旦行情打下好的基礎，今日早盤以電子的光電族群以及鋼鐵股逆勢上攻突圍。,3
2017-01-04T06:59:00.000Z,　盤面上，台積電 (2330) 爆出收賄弊案，股價一度翻黑，電子股仰賴具利多題材的中小型股撐盤，昱晶 (3514) 、光鋐 (4956) 及智原 (3035) 聯袂上攻；CES車聯網當道，概念股受矚目，明泰 (3380) 、仲琦 (2419) 、中磊 (5388) 、昇達科 (3491) 、威潤 (6465) 、啟碁 (6285) 表現硬頸。,-2
2017-01-04T06:59:00.000Z,在欠缺動能的震盪盤勢中，建議以指數箱型操作或選股不選市策略因應，目前指數在箱型相對低檔，逢震盪或拉回可選股作多，上半月操作可相對較積極，下半月除了川普1月20日上任後的變數外，農曆春節即將來臨，市場可能陷入觀望氣氛，不利大盤表現；選股可留意塑化、金融、鋼鐵、面板、汽車零組件、美國消費性電子展（CES）題材股和中小型電子業績成長股等。,3
2017-01-04T06:28:00.000Z,8大類股當中，造紙、電子、金融、塑化類股小漲，營建類股持平，紡織、食品、泥窯類股下跌。,-1
2017-01-04T06:13:00.000Z,MoneyDJ新聞 2017-01-04 14:13:19 記者 蔡承啟 報導之前早就盛傳三星電子將在今年(2017年)推出螢幕可以對折的摺疊式智慧手機，之後傳出三星在推出可摺疊智慧機之前可能會先推出雙螢幕智慧手機試水溫，而最新則有消息指稱，三星可能最快會在今年Q3開賣摺疊式智慧手機。,3
2017-01-04T06:13:00.000Z,"根據嘉實XQ全球贏家系統報價，截至台北時間4日13點28分為止，三星電子跌0.82%至1,809,000韓圜；三星昨日收盤價1,824,000韓圜創下歷史收盤新高紀錄。",1
