PublishDate,Sentence,Score
2017-10-02T14:14:00.000Z,（中央社記者鍾榮峰台北2017年10月2日電）台積電 (2330) 董事長張忠謀將於明年6月退休，趕在退休前，張忠謀為台積電拍板決定3奈米新廠投資案，預料台積電未來營運仍穩健，晶圓代工龍頭地位穩固，台灣半導體領先優勢可維持。,7
2017-10-02T11:44:00.000Z,（中央社記者鍾榮峰新竹2017年10月2日電）台灣積體電路製造股份有限公司 (2330) 董事長張忠謀今天談及接班人劉德音與魏哲家時表示，劉德音想得多、魏哲家決策快，未來台積電由兩人平行領導，可望一加一大於二。,0
2017-10-02T11:18:00.000Z,不過，在陳偉望接班的過程中仍不免有小插曲，當年陳偉望在美國密西根大學拿到工業工程博士後，指導教授原本想說服他當教授，還親自到台灣看了永光的營運，才願意放手讓陳偉望回台。,3
2017-10-02T10:56:00.000Z,張忠謀指出，台積電創新的商業模式是毀壞性的商業模式，只是在做了10多年後，台積電的毀壞性才被大家看到；如今台灣已經是半導體重鎮，台積電的功勞相當大。,1
2017-10-02T10:56:00.000Z,台積電一開始只有100多位員工，張忠謀表示，員工待遇固然還不錯，但跟當時台灣員工待遇差不多，目前台積電有4.7萬名員工，遠在台灣平均薪資水準之上，有近15萬人生活水準因為有了台積電改善不少。,3
2017-10-02T10:07:00.000Z,（中央社記者鍾榮峰新竹2017年10月2日電）台灣積體電路製造股份有限公司 (2330) 董事長張忠謀今天表示，明年退休後，不再擔任台積電任何職務；退休後首先要做的是完成自傳下冊。,1
2017-10-02T09:46:00.000Z,（中央社記者韓婷婷台北2017年10月2日電）晶圓代工龍頭台灣積體電路製造股份有限公司 (2330) 董事長張忠謀宣布將於西元2018年6月退休。,0
2017-10-02T09:46:00.000Z,義美總經理高志明今天表示，感謝張忠謀為台灣高科技業的貢獻。,3
2017-10-02T09:46:00.000Z,網擎資訊軟體股份有限公司董事長高志明在台灣數位科技與政策協進會成立大會後受訪表示，感謝張忠謀多年來貢獻台灣高科技產業，但畢竟年齡已大，世代交替、企業傳承是必然過程，相信張忠謀長時間培養訓練出的人才會做得很好，不會讓台積電競爭力下降，這是台灣之福與台灣之光。,2
2017-10-03T03:06:00.000Z,例如被挑出來的汽車產業、半導體產業等，過去台灣有過這樣的例子，有的成功，有的失敗。,-1
2017-10-03T03:06:00.000Z,目標是將台灣傳統代工模式，轉型為具高附加價值、以服務為主軸的商業模式。,0
2017-10-04T03:33:00.000Z,　李政諺表示，半導體產業鏈從上而下因而吃香，在全世界市場潛力大，今年來美股費半指數上漲達30％，輝達（NVIDIA）更有67％的漲幅，台灣則以台積電領軍的衛星廠商與供應鏈受惠。,4
2017-10-02T14:14:00.000Z,（中央社記者鍾榮峰台北2017年10月2日電）台積電 (2330) 董事長張忠謀將於明年6月退休，趕在退休前，張忠謀為台積電拍板決定3奈米新廠投資案，預料台積電未來營運仍穩健，晶圓代工龍頭地位穩固，台灣半導體領先優勢可維持。,7
2017-10-02T11:44:00.000Z,（中央社記者鍾榮峰新竹2017年10月2日電）台灣積體電路製造股份有限公司 (2330) 董事長張忠謀今天談及接班人劉德音與魏哲家時表示，劉德音想得多、魏哲家決策快，未來台積電由兩人平行領導，可望一加一大於二。,0
2017-10-02T11:18:00.000Z,不過，在陳偉望接班的過程中仍不免有小插曲，當年陳偉望在美國密西根大學拿到工業工程博士後，指導教授原本想說服他當教授，還親自到台灣看了永光的營運，才願意放手讓陳偉望回台。,3
2017-10-02T10:56:00.000Z,張忠謀指出，台積電創新的商業模式是毀壞性的商業模式，只是在做了10多年後，台積電的毀壞性才被大家看到；如今台灣已經是半導體重鎮，台積電的功勞相當大。,1
2017-10-02T10:56:00.000Z,台積電一開始只有100多位員工，張忠謀表示，員工待遇固然還不錯，但跟當時台灣員工待遇差不多，目前台積電有4.7萬名員工，遠在台灣平均薪資水準之上，有近15萬人生活水準因為有了台積電改善不少。,3
2017-10-02T10:07:00.000Z,（中央社記者鍾榮峰新竹2017年10月2日電）台灣積體電路製造股份有限公司 (2330) 董事長張忠謀今天表示，明年退休後，不再擔任台積電任何職務；退休後首先要做的是完成自傳下冊。,1
2017-10-02T09:46:00.000Z,（中央社記者韓婷婷台北2017年10月2日電）晶圓代工龍頭台灣積體電路製造股份有限公司 (2330) 董事長張忠謀宣布將於西元2018年6月退休。,0
2017-10-02T09:46:00.000Z,義美總經理高志明今天表示，感謝張忠謀為台灣高科技業的貢獻。,3
2017-10-02T09:46:00.000Z,網擎資訊軟體股份有限公司董事長高志明在台灣數位科技與政策協進會成立大會後受訪表示，感謝張忠謀多年來貢獻台灣高科技產業，但畢竟年齡已大，世代交替、企業傳承是必然過程，相信張忠謀長時間培養訓練出的人才會做得很好，不會讓台積電競爭力下降，這是台灣之福與台灣之光。,2
2017-10-03T03:06:00.000Z,例如被挑出來的汽車產業、半導體產業等，過去台灣有過這樣的例子，有的成功，有的失敗。,-1
2017-10-03T03:06:00.000Z,目標是將台灣傳統代工模式，轉型為具高附加價值、以服務為主軸的商業模式。,0
2017-10-04T03:33:00.000Z,　李政諺表示，半導體產業鏈從上而下因而吃香，在全世界市場潛力大，今年來美股費半指數上漲達30％，輝達（NVIDIA）更有67％的漲幅，台灣則以台積電領軍的衛星廠商與供應鏈受惠。,4
2017-10-05T06:54:00.000Z,  至於中鋼 （2002） 上漲0.82％，台灣大 （2882） 、國泰金 （2882） 亦上漲約0.5％，鴻海 （2317） 、台塑 （1301） 、日月光 （2311） 、兆豐金 （2886） 以平盤作收。,1
2017-10-05T05:15:00.000Z,（中央社記者張建中新竹2017年10月5日電）電子顯微鏡廠台灣電鏡進駐新竹科學工業園區，不僅成功打進晶圓代工龍頭廠台積電 (2330) 供應鏈，並獲前台股股后漢微科大股東漢民科技旗下的漢民投資青睞入股。,4
2017-10-05T05:15:00.000Z,台灣電鏡今天舉辦竹科辦公室開幕典禮，由董事長林俊吉主持，包括竹科管理局長王永壯、工業技術研究院協理段家瑞與漢民科技總經理許金榮等人到場致意。,2
2017-10-05T05:15:00.000Z,林俊吉表示，台灣電鏡是由清華大學、工研院與漢民科技合作，結合產、學、研界所成立，期望未來能在全球電鏡儀器占一席之地。,3
2017-10-05T05:15:00.000Z,他並透露，台灣電鏡產品已獲台積電採用，應用於特殊研發管理方面。,0
2017-10-05T05:15:00.000Z,許金榮表示，台灣電鏡雖然產品應用與漢微科不同，不能互相比較，不過，台灣電鏡有成功的機會，成長空間大。,3
2017-10-05T05:15:00.000Z,許金榮指出，台灣電鏡不僅是台灣設備業的好典範，，同時樹立台灣創新風氣與產學研合作模式的好典範，包括串聯學界、半導體業與創投業。,3
2017-10-08T02:12:00.000Z,台積電 (2330) 3奈米投資預計落腳南科，將創下台灣科技史上最大投資案。,2
2017-10-08T02:12:00.000Z,」　張忠謀認為，中國晶圓代工業者短期內不太可能追上台積電；他強調，南韓、台灣及美國等業者已擁有豐富經驗，中國技術要超車並不容易。,4
2017-10-08T02:12:00.000Z,　張忠謀在本月2日宣布退休計畫，明年6月之後將裸退，當時的記者招待會僅台灣媒體到場，6日張忠謀再接受多家外電媒體專訪。,2
2017-10-09T08:22:00.000Z,（中央社台北2017年10月9日電）台積電董事長張忠謀接受彭博專訪時指出，未來台積電的擴張仍將以台灣為主，「台灣仍是我們的根據地，光以經濟考量來說，我們在台灣有新竹、台中和台南三個據點，規模很大」。,2
2017-10-09T08:22:00.000Z,彭博今天刊登6日的專訪指出，張忠謀當年在台灣政府協助下創立台灣積體電路製造股份有限公司（TSMC），他所構建的半導體產業模式不只讓蘋果的iPhone成為可能，也創造了一個世代的企業領袖，提振了台灣經濟。,4
2017-10-09T08:22:00.000Z,張忠謀說，台積電 (2330) 在台灣有新竹、台中和台南三個據點，規模很大，這幾個廠區都在通勤距離內，方便員工和工程師移動，創造了經濟規模，「我們在南京或中國大陸的其他城市不會有這樣的優勢」。,2
2017-10-09T08:22:00.000Z,與美國類似，台灣禁止晶圓業者赴大陸設廠採用先進製程，擔心技術外流風險。,-4
2017-10-09T08:22:00.000Z,為了因應三星與英特爾搶食晶圓代工的大餅，台積電準備斥資最高逾200億美元在南台灣打造先進的三奈米新廠，以技術保持領先距離。,3
2017-10-09T07:28:00.000Z,蔡政府力推「5加2」創新產業，引發台積電 (2330) 董事長張忠謀批評，多位機械者則認為，智慧機械產業列入創新產業是戰略正確，惟戰術格局太小，機械產業遍及北中南，政府僅將台中打造為智慧機械之都，企圖心遠不及台灣機械工業公會希望打造為智慧王國，前景堪憂。,5
2017-10-09T07:28:00.000Z,　機械公會理事長柯拔希、友嘉集團總裁朱志洋等多位大老表示，世界各國都在積極推動工業4.0，台灣以中小企業居多，要從工業2.0逐步升級至4.0，是條漫長的路，可能要花上30～40年時間，但歐洲推動產業數位化速度遠不及亞洲，台灣機械業加上擅長的資通訊及物聯網，是發展智慧機械產業很好的優勢。,8
2017-10-10T01:37:00.000Z,  原本各界期望蘋果執行長庫克能夠親臨台灣，然最後庫克指派營運長Jeff Williams前來致意，雖然少了庫克這位超級ＶＶＩＰ，但包含輝達創辦人兼執行長黃仁勳、高通執行長莫倫科夫等八位半導體重量級人士，都將前來站台，預料將掀起全球注目。,3
2017-10-11T11:08:00.000Z,根據台灣證券交易所統計，外資上週在集中市場買超40.38億元，累計至10月6日止，外資買超1966.47億元，總持股市值13兆548.65億元、占全體上市股票市值41.76%，較9月30日增加2625.46億元。,5
2017-10-11T11:08:00.000Z,摩根台灣金磚基金經理人葉鴻儒指出，台股站穩萬點的天數不斷向百日靠攏，多方氣勢持續占上風，依目前美股持續走強態勢來看，有利於本周指數表現，並大幅提振加權指數10月萬點行情的熱度。,1
2017-10-11T06:42:00.000Z,美股在台灣國慶連假表現續強。,0
2017-10-11T02:47:00.000Z,美股在台灣國慶連假表現續強，周二美股道瓊指數再創新高。,4
2017-10-11T02:47:00.000Z,台灣國慶假期期間亞股攀高，今在台積電 (2330) 大漲並再創新高價，台股增量開高走高，加上蘋果三強將以及金融股上攻，台股盤中漲逾百點，指數最高10668點，突破9月19日高點，也創下27年來新高，台股也將創下連續100天在萬點之上的最長紀錄。,11
2017-10-11T02:38:00.000Z,報告指出，可留意台灣廠商包括鴻海 (2317) 、大立光 (3008) 、台積電 (2330) 、精測 (6510) 、穩懋 (3105) 、同欣電 (6271) 與GIS-KY (6456) 等。,1
2017-10-12T05:49:00.000Z,  分析師表示，目前台股技術面有撐，自回測半年線後即開始一波反彈，不僅向上攻克月線及季線，更帶量創下27年以來新高，目前台股各期均線均已翻正，且月線及季線所處的10470點位置，更形成有力的下檔支撐，另外，因為台灣9月出口大增逾二成，也使得市場對第四季景氣較為樂觀，也有利於台股有望再創佳績，接下來關注重點將落在第三季獲利有望成長的個股，以及第四季進入出貨旺季的族群等，建議還是以具基本面的個股操作為宜。,14
2017-10-12T04:03:00.000Z,台積電 (2330) 再締台灣之光紀錄，挾營運穩定成長，長期具人工智慧（AI）題材、半導體景氣維持正向等多重利多，昨（11）日獲外資買盤簇擁，股價大漲3.79％收233元，市值一舉突破6兆元大關，雙雙改寫新高，全球企業市值排名更躍升至前25大。,13
2017-10-13T06:50:00.000Z,華新集團旗下瀚宇博 (5469) 及台灣精星 (8183) 朝工業4.0、IoT、車用電子等佈局效益顯現，股價長期整理後爆發，雙雙強攻以漲停板作收。,2
2017-10-16T10:44:00.000Z,（中央社記者田裕斌台北2017年10月16日電）根據台灣證券交易所統計，外資上週在集中市場買超新台幣184.6億元、買超台積電 (2330) 居冠，累計今年至10月13日止，買超回到2000億元之上，達2151.07億元。,1
2017-10-16T10:44:00.000Z,中國信託台灣活力基金經理人周俊宏說，上週雖逢雙十連假，但台股表現強勁，加權指數續漲並突破10700點，創27年以來新高水位。,6
2017-10-16T06:53:00.000Z,  昱晶、昇陽光、新日光三家台灣太陽能公司宣布通過簽署「合併意向書」，推動三家公司合併為一家公司。,1
2017-10-16T01:58:00.000Z,  在政府注資讓台灣太陽能電池大聯盟成軍的消息激勵下，今早太陽能群體向上反攻，茂迪 (6244) 、達能 (3686) 、益通 (3452) 、綠能 (3519) 及國碩 (2406) 等盤中都觸及漲停價。,4
2017-10-17T07:54:00.000Z,MarketWatch、barron`s.com、Zero Hedge等外電報導，KeyBanc Capital分析師Andy Hargreaves發表研究報告指出，蘋果採用類似訂閱用戶的策略，將市場加以細分(market segmentation)，有望拉高每位用戶的平均利潤，這將抵銷iPhone銷售量成長趨緩所帶來的衝擊。,3
2017-10-17T06:30:00.000Z,張忠謀之後在台灣創立台積電，同樣也不在他原本規劃內。,1
2017-10-17T06:30:00.000Z,他曾說，1985年來到台灣擔任工研院院長，當時並沒有想到要成立公司。,-2
2017-10-17T06:27:00.000Z,雖然台股漲多後，技術性拉回，短線恐震盪整理，但中線來看，台股還是會跟著美國景氣復甦、美股續創新高，及台灣9月出口成長等利多上漲。,7
2017-10-17T00:06:00.000Z,"根據台灣證券交易所統計，上週（2017/10/11~2017/10/13）外資在集中市場總買進金額為1,332.66億元，總賣出金額為1,148.06億元，累計買超為184.60億元，另統計自2017年年初至10月13日止，外資總買進金額為5兆678.91億元，總賣出金額為4兆8,527.84億元，累計買超為2,151.07億元。",1
2017-10-17T00:01:00.000Z,"　台積電實際行動落實環保愛台灣，累計台積電自2015年迄今，已認購4億度綠電，相當於2,116萬顆樹一年的碳吸收量。",1
2017-10-18T08:26:00.000Z,台積電30週年系列報導（中央社記者張建中新竹2017年10月18日電）台積電 (2330) 成立滿30週年，創新的晶圓代工經營模式，對全世界半導體產業影響深遠，在董事長張忠謀帶領下，台積電業績迭創新高，對台灣經濟也有重大貢獻。,8
2017-10-18T06:32:00.000Z,簡伯儀指出，值得投資人注意的是，台股資金行情仍在，但台積電明天法說會中所釋出的訊息及後續影響；此外，中共19大會議今天起舉行，目前看來對台談話內容沒有太強烈語氣，對台股影響力道趨緩，盤面上仍要觀察19大之後的政經變化對台灣帶來的影響。,3
2017-10-18T03:12:00.000Z,類股方面，值得注意的是，新日光 (3576) 、昱晶 (3514) 和昇陽科 (3266) 3大太陽能廠三合一組聯盟後，國內太陽能電池龍頭廠茂迪 (6244) 與碩禾 (3691) 也宣布共組「台灣太陽能模組製造公司」搶攻下游模組市場。,5
2017-10-19T09:57:00.000Z,張忠謀55歲才走上創業之路，於1987年創立台灣積體電路製造公司。,1
2017-10-20T10:03:00.000Z,報告表示，可留意包括台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 、穩懋 (3105) 、精材 (3374) 、同欣電 (6271) 等台灣相關供應鏈，嘉聯益 (6153) 有機會在2018年下半年成為新款iPhone天線軟板供應商。,3
2017-10-20T09:26:00.000Z,台積電30週年系列報導.DBP.FOUN.2330.（中央社記者張建中新竹2017年10月20日電）台積電 (2330) 營運績效卓著，被視為是台灣的驕傲，卻有高達8成左右的成果(股利)落入外資口袋，連董事長張忠謀也深感無奈，不過台積電30年來對台灣經濟的貢獻有目共睹。,-2
2017-10-20T09:26:00.000Z,台積電2015年對台灣國內生產毛額(GDP)貢獻比例約3.8%，2016年更進一步提升到4%。,4
2017-10-20T09:26:00.000Z,此外，台積電一開始員工待遇只跟當時台灣一般員工待遇差不多，現在員工待遇已遠在台灣平均薪資水準之上，張忠謀估計，有近15萬名台積電員工及家屬生活水準，因為台積電改善不少，這也是張忠謀自認屬於台積電的成就之一。,2
2017-10-20T09:26:00.000Z,台積電創新的晶圓代工模式，建立產業獨霸地位，並堅持以台灣為研發及生產基地，對台灣半導體封測業能夠位居全球龍頭，IC設計業居全球第3大，有絕對關係，帶動上下游及週邊產業在台灣投資的效益相當可觀。,6
2017-10-20T09:26:00.000Z,台積電帶動供應鏈與週邊產業就業人數達32萬人，創造就業倍數達8.12倍，台積電無疑是台灣經濟產業發展中最重要的一大支柱。,8
2017-10-20T03:39:00.000Z,  SEMI台灣區總裁曹世綸表示，雖然9月的出貨金額相較於今年6月的單月新高紀錄下滑了約12%來到20億美元，2017年前三季的累計出貨金額已經超越2016年整年的水準，是半導體設備出貨表現相當亮眼的一年。,1
2017-10-20T02:59:00.000Z,  蘋果iPhone 8新機出現多起電池問題，加上銷售不如前代，市場普遍傾向等待iPhone X，使得相關零組件出現轉單甚至砍單傳聞，蘋概族群今漲跌互見，鴻海 (2317) 壓低，和碩 (4938) 上漲1.5%，可成 (2474) 走揚約0.5%；軟板廠嘉聯益 (6153) 上漲2.5%，嘉聯益除蘋果概念外，昨宣布與達邁 (3645) 、創新應材、妙印精機攜手組成「捲對捲全加成軟板生產聯盟」，發表國內首創「捲對捲 (Roll to Roll) 全加成軟板生產線」，將有助於提升台灣軟板產業的競爭力，致伸 (4915) 於盤上狹幅小漲，美律 (2439) 受到法人調節因素，股價小跌0.5%~1%。,0
2017-10-21T02:37:00.000Z,台積電30週年系列報導（中央社記者張建中新竹2017年10月21日電）台灣積體電路製造股份有限公司 (2330) 稱霸全球晶圓代工市場，是許多產業廠商學習典範，但台積電不是永遠的贏家，也曾在LED（發光二極體）與太陽能領域挫敗。,0
