PublishDate,Sentence,Score
2017-04-05T06:54:00.000Z,清明節過後台股大翻身！雖然長假期間美股表現平淡，然鴻海 (2317) 繳出亮麗財報，吸引外資按讚，今日開盤一舉跳上96元，並上攻至98.4元，漲幅高達8%，帶動台股上漲逾百點，成功拿下9900點大關。,10
2017-04-05T06:54:00.000Z,  台股4月首個交易日強棒出擊，外資轉多，買超118.912億元，台股5日RSI為69.48，10日RSI為64.84，9日K值為55.57，9日D值為53.66，20日乖離率為1.23。,1
2017-04-05T06:54:00.000Z,目前技術面、籌碼面有利多方，台股再度逼近萬點，不過由於新台幣首季升值幅度大，季報反映在即，且週四舉行川習會，後續還有美國外匯報告談操縱匯率問題與法國大選，國際變數讓市場屏息以待，樂觀中仍需謹慎。,3
2017-04-05T06:44:00.000Z,法人看好台股有上萬點機會，但成交量仍是關鍵。,4
2017-04-05T06:44:00.000Z,薛舜日說，台股在第2季有機會突破萬點，但第3季進入除息旺季，指數預估將扣除360至400點；鴻海為iPhone代工，是蘋果供應鏈的風向球，因去年第4季獲利優於預期，成為台股上攻萬點的領頭羊。,5
2017-04-05T04:51:00.000Z,"看台股上周拉回修正，不過，外資仍呈現買超，根據台灣證券交易所統計，上周外資在集中市場總買進金額為1,482.04億元，總賣出金額為1,231.06億元，累計買超250.98億元。",2
2017-04-05T03:29:00.000Z,凱基投顧分析師許高銘指出，鴻海、台積電 (2330) 等權值股上漲，帶動台股大漲，且量能明顯放大，若接下來幾天成交量維持1200億元左右，指數有機會上攻萬點。,5
2017-04-05T01:49:00.000Z,美股持續於高檔狹盤，台股於清明長假後首日，今跳空開高，鴻海 (2317) 、台積電 (2330) 等蘋果概念股領軍，金融類股指數亦開高，早盤台股漲逾百點突破9900點，克服短期均線壓力，多頭蓄勢再向萬點攻擊。,4
2017-04-05T01:49:00.000Z,  美股於台股清明連假期間表現平淡，周二美股收盤漲勢互見，道瓊工業指數、標準普爾500指數、那斯達克指數均小漲，但費城半導體指數跌0.5%。,2
2017-04-05T01:49:00.000Z,  美股表現普普，但台積電ADR穩在歷史高峰附近整理，台積電 (2330) 今跳空開高，鴻海 (2317) 挾業績利多強漲，股王大立光 (3008) ，以及蘋果供應鏈的可成 (2474) 、台郡 (6269) 等全面上攻，加上華邦電 (2344) 、群創 (3481) 等雙D族群續強，電子股買氣熱絡，帶動台股於連假後發動攻勢，早盤攻上9900點，重新站上5日及10日線，短期技術面轉強。,7
2017-04-05T01:49:00.000Z,  台股於清明節前受到長假效應影響，指數受壓抑，上周五台股開高走低以下跌36點收在9811點，成交量為1005億元。,-5
2017-04-05T01:49:00.000Z,  今為清明節四天連假後首日，台股多頭展現攻勢，帶量上攻，電子主攻，國泰金 (2882) 、兆豐金 (2886) 等大型金控上揚，中鋼 (2002) 、台塑 (1301) 等原物料股走勢亦穩；今早僅航空股的華航 (2610) 、長榮航 (2618) 受到利空打壓，股價走跌。,1
