PublishDate,Sentence,Score
2018-11-01T07:22:00.000Z,今日外資(不含外資自營商)買超40.9186億元，投信買超0.4943億元，自營商買超11.2084億元，三大法人買超52.62億元。,1
2018-11-01T07:22:00.000Z,分析師指出，美中貿易出現轉機，10月來成為外資提款機的台股壓力鍋終於獲得紓解，目前類股普遍出現低接買盤進場；籌碼面上，融資餘額維持低檔，中長線的借券賣出並未大幅回補，在籌碼轉多且跌深負乖離偏高之下，有助於短線反彈行情。,3
2018-11-01T02:17:00.000Z,1.南亞科 (2408) ：昨獲外資、自營商持續買超，激勵早盤股價大漲近5%。,5
2018-11-01T02:17:00.000Z, 14.寶齡富錦 (1760) ：市場看好大陸雙11美容商機，連兩日獲外資反手買超相挺，激勵早盤急拉大漲7.5%。,6
2018-11-01T02:17:00.000Z, 17.映泰 (2399) ：下半年出貨不看淡，營運有撐，外資連4日相挺，晨盤續漲一度觸及漲停價，站上月線。,4
2018-11-01T02:17:00.000Z, 20.國巨 (2327) ：第3季稅後盈餘創下單季新高、每股盈餘34.35元，前3季每股盈餘70.29元，外資昨買超908張，股價漲逾8.5%。,4
2018-11-01T02:17:00.000Z, 22.華新科 (2492) ：昨日外資買超5244張，盤中攻漲停143.5元。,5
2018-11-01T02:17:00.000Z, 28.信昌電 (6173) ：昨外資雖賣超373張，但股價隨被動元件股反彈，觸及漲停。,0
2018-11-02T07:14:00.000Z,今日外資(不含外資自營商)買超55.4827億元，投信賣超2.7168億元，自營商賣超1.24億元，三大法人買超51.52億元。,0
2018-11-02T07:14:00.000Z,而融資餘額包袱過重、月線前出現爆量收黑、中美貿易戰受害焦點與外資持續調節等4類個股，建議反彈調節，而10月抗跌股則相對抗漲。,-1
2018-11-02T02:31:00.000Z, 大型權值股方面，低價電信資費殺不停，中華電 (2412) 受到今年恐首度無法達成財測的衝擊，昨遭外資大賣逾4000張，今股價續挫約1%，台灣大 (3045) 跌幅更逾2%。,-3
2018-11-02T02:31:00.000Z, 分析師表示，美國科技類股連續三日跌深反彈，也讓受到拉抬，只是產業增速放緩的隱憂未有消除，非農就業數據、期中選舉結果、美中談判等變數仍在，加上台股連日反彈後上檔恐遭遇壓力，籌碼面上，外資連日趁指數拉升減碼期貨多單，顯示台股弱勢格局尚未出現反轉訊號，故建議逢高減碼勿搶反彈，短線支撐來是需觀察台股何時站回月線。,1
2018-11-02T00:04:00.000Z,　美股再度上揚，周四亞洲股市漲跌互見，台股在外資買盤歸隊下，台積電 (2330) 站回年線，指數站上10日均線，電子股以跌深矽晶圓與被動元件較強，傳產則以水泥表現較佳，終場指數上漲42.61點，以9844.74點作收，成交量1277.35億元。,3
2018-11-16T06:55:00.000Z,半導體股後市遭外資持續看淡，科技權值股表現疲弱，拖累台股加權指數今日回測9800點關卡，中小型股表現明顯較強勢，帶動櫃買指數走勢續強，走勢明顯分歧。,-1
2018-11-16T06:55:00.000Z,遭外資下修目標價的台積電 （2330） 、聯發科 （2454） 尾盤跌勢加劇，終場再度失守9800點關卡。,-4
2018-11-16T06:55:00.000Z,　科技權值股表現偏弱，遭外資下修目標價的聯發科、台積電分別重挫4.97％、2.16％，鴻海 （2317） 小跌0.27％，僅由日月光投控 （3711） 上漲1.34％、股王大立光 （3008） 上漲1.13％表現較強勢，台達電 （2308） 亦上漲0.78％。,-1
2018-11-16T06:55:00.000Z,　而觀察法人近期動向，外資操作雖相對偏多，但多集中買超金融，以及傳產的航空、電子的面板及載板等低位階族群，操作仍屬保守，投信亦有類似情況。,0
2018-11-16T06:55:00.000Z,整體而言，內外資皆以低位階族群為主要買超標的，短線操作可在相關族群中偏多操作。,1
2018-11-16T03:25:00.000Z,聯發科 （2454） 與台積電 （2330） 遭外資下修目標價分別下跌近4％及2％，表現最為弱勢。,-4
2018-11-16T03:15:00.000Z,美系外資持續看淡半導體產業，半衰期持續擴大中，一口氣調降台積電 (2330) 、聯發科 (2454) 、聯電 (2303) 、聯詠 (3034) 等評等，主要原因包括蘋果iPhone的不振加上整體智慧型手機的弱勢，外資更直言，若明年iPhone沒有更吸引人的功能，則衝擊恐將擴大。,2
2018-11-16T03:15:00.000Z, 美系外資指出，目前全球半導體產業的半衰期持續擴大中，過去幾個月中，包括汽車、工業和雲端半導體等市況持續疲軟，現在也開始在智慧手機供應鏈中看到壞消息，這將擴大半導體產業半衰期，與美國半導體公司相比，大中華區的半導體公司更多地依賴智慧手機的需求，例如台積電45%的收入來自智慧手機半導體，而聯發科的收入則是40%來自智慧型手機需求。,2
2018-11-16T03:15:00.000Z, 美系外資指出，儘管先前已經削減了蘋果iPhone供應鏈預測，但整體智慧手機需求的下滑恐將緊接著來，大陸的智慧手機出貨量在第三季相較去年同期下降了兩位數，而且在第四季將繼續疲軟，儘管大多數大陸智慧手機設備製造商仍然看好2019年的前景，但在5G尚未推出，換機週期將延長，根據最新的IDC數據，印度智慧手機的出貨量也從18年上半年的20%年增率到第三季只剩下9%，此外，美系外資也預測其晶片組出貨量將在2019年下降10%，這顯示智慧手機晶片組出貨正在萎縮。,-1
2018-11-16T03:15:00.000Z, 美系外資更指出，擔心近期iPhone供應鏈訂單削減可能只是第一波，如果明年iPhone沒有更吸引人的功能，蘋果的弱訂單可能成為台積電的新常態，反映2019年非Apple智能手機需求下滑，台積電評級下調至中立，目標價格為239元。,-2
2018-11-16T03:15:00.000Z,美系外資表示，晶片產業和AI半導體、AMD CPU這樣長期增長動力不同，有鑑於芯片組庫存不斷增加，預計聯發科技的智慧手機晶片組出貨量將在第一季下降20%，評等降至減碼，目標價205元，另外，還將聯詠 (3034) 和聯電 (2303) 從持有降級為減碼。,-1
2018-11-16T02:59:00.000Z,被動元件股龍頭國巨 (2327) 延續翻多態勢，今天上漲2.56%，收復10日線；奇力新 (2456) 漲逾2%，站上5日線；大毅 (2478) 漲逾5%，站上5日、10日線和月線；華新科 (2492) 跳空開高，外資由賣轉買，盤中成交張數破3.5萬張，股價漲幅超過4%，來到171.5元，也站上5日線、10日線及月線。,4
2018-11-16T02:00:00.000Z,"Coinmarketcap.com數據顯示，比特幣市值跌破1,000億美元，為2017年10月以來首見，等於回到去年底狂飆時的起漲點。",1
2018-11-19T07:15:00.000Z,今日外資(不含外資自營商)買超42.3043億元，投信買超3.3934億元，自營商買超7.2014億元，三大法人買超52.89億元。,1
2018-11-19T06:35:00.000Z,擺脫台積電 (2330) 帶衰，台股守穩月線！受到蘋果砍單及Nvidia財報與財測利空衝擊，外資唱衰半導體類股，台積電 (2330) 首當其衝，今天股價延續上週五弱勢開低走低，也壓抑了台股整場表現，不過台積電無力，內資及法人將重心放在中小型股、車用零組件及跌深的蘋果概念股，立敦 (6175) 、凱美 (5317) 、羅昇 (8374) 、麗清 (3346) 、達邦蛋白 (6578) 、VHQ-KY (4803) 、智原 (3037) 、東哥遊艇 (8478) 、良維 (6290) 、聯鈞 (3450) 、神隆 (1789) 聯袂以漲停板作收，股王—大立光 (3008) 大漲105元，站回3200元關卡，華通 (2313) 、穩懋 (3105) 、康控-KY (4943) 及玉晶光 (3406) 同步收高，讓台股指數在收盤擺尾收高，不僅守住月線，也站回9800點關卡。,-6
2018-11-19T06:35:00.000Z,　就技術面來看，今天台股受到選前觀望氣氛濃厚及外資看空半導體類股，台積電股價下挫拖累，指數以小黑開出後一直在平盤附近震盪，不過中小型股及蘋概股續強，帶動台股指數在尾盤強勢收高，終場上漲31.6點，以9828.69點作收；台股上週來回震盪，雖然曾因美股重挫短暫回測9600點支撐，隨即反彈回到短均與月線糾結所在位置9750點到9850點間整理，由於台股在上週二一度壓回至10月31日所形成長紅K之接近下緣位置，而終場以帶有逾百點的紅K作收，短線暫可將該紅K視為下檔支撐，而11月8日曾觸及萬點關卡卻隨即遭到壓回，至今尚未能出現較強勢的彈升力道，意謂短線上低接買盤有餘而追漲意願不強，由此可見，目前台股尚處於上有壓、下有撐的區間格局，且受制於中美貿易戰、英國脫歐及九合一大選等國內外政經變數存在，本週觀望心態似乎更趨濃厚，目前指數來到短均與月線所在糾結位置附近，亦為月初以來的整理區間所在，震盪區間有縮窄的傾向，考量現階段市場心態仍顯謹慎，預料本週台股指數將延續狹幅盤整走勢，除非國際股市強勢大漲，否則本週台股指數區間將在9800點上下100點整理。,4
