PublishDate,Sentence,Score
2018-02-01T06:11:00.000Z,　國泰證期顧問處協理簡伯儀指出，雖然大盤今天出現上漲，但反觀在中小的櫃買市場卻是呈現開高走低的走勢，顯示盤面上漲主要來自於權值股的反彈。,-1
2018-02-01T06:11:00.000Z,　大盤昨天指數站穩月線支撐後，今天持續維持反彈走勢，但收盤仍舊無法有效站穩10日線，由於10日線是大盤從去年年底上漲以來從未跌破，但目前指數已有三天無法站回10日線，且今天的上漲也無法扭轉5日均線下彎，加上近期亞洲股市上漲的幅度並未明顯過大，指標近期仍持續回檔整理中，建議操作上不宜過度躁進。,-1
2018-02-01T00:09:00.000Z,Coinmarketcap.com數據顯示，一月份比特幣市值蒸發了600億美元。,0
2018-02-02T06:46:00.000Z,  台股今權值股普遍熄火，成為壓抑大盤指數的最主要元兇，蘋果財報公布，儘管2018會計年度第一季財報，優於市場預期，每股純益也創歷年新高，只是執行長庫克並未對蘋果展望作出明確說明，導致市場對於蘋果前景依舊存疑，蘋果三傑今並無發揮領軍作用，股王大立光 (3008) 小跌震盪，終場收跌100元、報在3980元，失守4000元大關，台積電 (2330) 開低震盪，午盤後一度拉回平盤附近，終場也收在平盤價259.5元，鴻海 (2317) 則在消息面題材加溫下，股價逆勢小漲，收在95.2元；反倒是股價基期較低的面板雙虎友達 (2409) 、群創 (3481) 今成交量名列前茅，其中群創更是逆勢抗跌收紅。,8
2018-02-02T02:05:00.000Z,  分析師表示，後續國際股市發展關注今晚的就業數據以及未來的升息、通膨預期，勢必將牽動美股表現，由於波段漲多，加上目前市場持續調整資金流向，研判美股將維持高檔震盪整理趨勢不變；就台股來說，目前日線連二紅，MACD柱狀體負值加長，現階段面臨年關前結帳壓力，加上1月營收在10日前將陸續公布，雖然大盤態勢依然偏多，但中小型股一日行情的走勢恐持續上演，看好族群包括矽晶圓、AI、3D感測、原物料等概念族群。,5
2018-02-01T06:11:00.000Z,　國泰證期顧問處協理簡伯儀指出，雖然大盤今天出現上漲，但反觀在中小的櫃買市場卻是呈現開高走低的走勢，顯示盤面上漲主要來自於權值股的反彈。,-1
2018-02-01T06:11:00.000Z,　大盤昨天指數站穩月線支撐後，今天持續維持反彈走勢，但收盤仍舊無法有效站穩10日線，由於10日線是大盤從去年年底上漲以來從未跌破，但目前指數已有三天無法站回10日線，且今天的上漲也無法扭轉5日均線下彎，加上近期亞洲股市上漲的幅度並未明顯過大，指標近期仍持續回檔整理中，建議操作上不宜過度躁進。,-1
2018-02-01T00:09:00.000Z,Coinmarketcap.com數據顯示，一月份比特幣市值蒸發了600億美元。,0
2018-02-02T06:46:00.000Z,  台股今權值股普遍熄火，成為壓抑大盤指數的最主要元兇，蘋果財報公布，儘管2018會計年度第一季財報，優於市場預期，每股純益也創歷年新高，只是執行長庫克並未對蘋果展望作出明確說明，導致市場對於蘋果前景依舊存疑，蘋果三傑今並無發揮領軍作用，股王大立光 (3008) 小跌震盪，終場收跌100元、報在3980元，失守4000元大關，台積電 (2330) 開低震盪，午盤後一度拉回平盤附近，終場也收在平盤價259.5元，鴻海 (2317) 則在消息面題材加溫下，股價逆勢小漲，收在95.2元；反倒是股價基期較低的面板雙虎友達 (2409) 、群創 (3481) 今成交量名列前茅，其中群創更是逆勢抗跌收紅。,8
2018-02-02T02:05:00.000Z,  分析師表示，後續國際股市發展關注今晚的就業數據以及未來的升息、通膨預期，勢必將牽動美股表現，由於波段漲多，加上目前市場持續調整資金流向，研判美股將維持高檔震盪整理趨勢不變；就台股來說，目前日線連二紅，MACD柱狀體負值加長，現階段面臨年關前結帳壓力，加上1月營收在10日前將陸續公布，雖然大盤態勢依然偏多，但中小型股一日行情的走勢恐持續上演，看好族群包括矽晶圓、AI、3D感測、原物料等概念族群。,5
