PublishDate,Sentence,Score
2017-11-04T05:16:00.000Z,對於產業景氣展望，張忠謀指出，今年記憶體成長非常強勁，邏輯半導體將成長約6%，雖然不算很強勁，不過，仍高於預期的成長4%至5%水準。,4
2017-11-04T05:16:00.000Z,對於產業景氣展望，張忠謀指出，今年記憶體成長非常強勁，邏輯半導體將成長約6%，雖然不算很強勁，不過，仍高於預期的成長4%至5%水準。,4
2017-11-05T02:36:00.000Z,（中央社記者張建中新竹2017年11月5日電）蘋果iPhone X正式出貨，加上非蘋陣營手機需求也同步成長，可望支撐今年第4季半導體產業景氣淡季不淡。,4
2017-11-06T02:53:00.000Z,法人認為，台股近期進入第3季財報密集公布期，加上10月營收陸續公布，短線個股股價受到消息面影響成分大，後續表現需觀察產業第4季景氣及明年產業前景，具發展潛力的產業較具表現空間。,1
2017-11-06T01:25:00.000Z,  對於半導體產業景氣展望，張忠謀指出，今年記憶體成長非常強勁，邏輯半導體將成長約6%，雖然不算很強勁，不過，仍高於預期的成長4%至5%水準。,4
2017-11-20T06:24:00.000Z,元大投顧分析師薛舜日表示，上週第3季財報結束，第4季財報與年報要至明年3月底前才公布，也形成財報空窗期，法人與市場仍緊盯個別上市櫃公司基本面，以及產業面景氣變化，包含對第4季及明年營運展望。,1
2017-11-20T03:54:00.000Z,　王嘉豪表示，從景氣面來看，主計總處概估台灣第三季經濟成長率年增3.11%，較8月預測的年增1.89%大幅上修1.22個百分點，目前全球主要經濟體的ISM製造業指數維持50在之上，且iPhoneX遞延出貨、明年第一季淡季不淡，出口強勁下，9月景氣對策燈號續亮綠燈，預估明年第一季前有望挑戰黃紅燈，這波景氣循環逐漸邁向高峰，有利股市未來的表現。,6
2017-11-23T06:12:00.000Z,從景氣面來看，王嘉豪預估明年第1季前有望挑戰黃紅燈，這波景氣循環逐漸邁向高峰，有利股市未來表現。,2
2017-11-24T07:12:00.000Z,分析師表示，隨全球景氣持穩回升，年底作帳行情逐漸啟動，使指數在技術面仍呈多頭排列下，盤勢續於高檔穩步趨堅的架構行進。,4
2017-11-27T07:35:00.000Z,景氣好轉，製造業營運狀況轉佳。,1
2017-11-30T06:30:00.000Z,林成蔭認為，台股今年多頭上漲以來，一直未明顯出現中期回檔休息，在景氣並未反轉向下之際，股市漲多回檔是良性換手的健康走勢，更可以為明年挑戰更高點打基礎。,6
2017-11-30T06:30:00.000Z,林成蔭認為，台股今年多頭上漲以來，一直未明顯出現中期回檔休息，在景氣並未反轉向下之際，股市漲多回檔是良性換手的健康走勢，更可以為明年挑戰更高點打基礎。,6
