PublishDate,Sentence,Score
2018-12-01T01:54:00.000Z,法人也普遍預期，譜瑞-KY明年第1季業績可能季減2位數百分點水準。,-1
2018-12-01T01:54:00.000Z,台積電與譜瑞-KY明年第1季營運雖同步面臨修正壓力，不過，法人仍對兩家公司明年整體營運展望樂觀，看好台積電在超微(AMD)與高通(Qualcomm)7奈米訂單挹注下，明年業績可望維持成長趨勢，將續創歷史新高。,6
2018-12-03T06:59:00.000Z,今日外資(不含外資自營商)買超56.9057億元，投信買超9.1595億元，自營商買超26.9161億元，三大法人買超92.98億元。,1
2018-12-03T06:59:00.000Z,法人認為，中美貿易戰獲得緩解，90天的壓力解除將有助於國際股市反彈，雖美元維持強勢，但美股反彈仍可激勵亞股表現，預期台股維持相對強勢格局不變，加上年底作夢行情加持，12月指數表現多呈現正向，短線指數有望持續反彈，挑戰站穩萬點關卡。,5
2018-12-03T05:52:00.000Z,中美貿易戰悶氣吐光光，台股收復10100點！儘管壓抑全球股市逾半年的中美貿易戰仍有變數尚未落幕，但美國總統川普及大陸國家主席習近平願意就中美貿易紛爭在90天內持續協商，美國暫緩對大陸商品加徵25%關稅，讓美股及亞股歡聲雷動，美股今天雖然休市，但美國期指大漲，亞股及陸股一開盤就上演慶祝行情，讓台股未開盤就紅光滿面，軋空手與空單，以及投信法人作帳買盤大爆發，讓一開盤就跳空站上萬點的台股指數氣勢如虹，一路過關斬將。,7
2018-12-03T03:54:00.000Z, 台股今天也跟著同樂，今天一開盤就跳空開高站上萬點，軋空手與空單，以及投信法人作帳買盤大爆發，股王—大立光 (3008) 盤中強攻漲停板，台積電 (2330) 大漲，被動元件廠—國巨 (2327) 、華新科 (2492) 、奇力新 (2456) 同步亮燈，搭配5G題材概念股聯茂 (6213) 、台燿 (6274) 、亞德客-KY (1590) 等相繼亮燈，帶動台股指數開高走高，盤中大漲逾230點，站上10100點，截至11點35分為止，加權股價指數為10135.49點，上漲247.46點，成交量為1205.21億元；OTC指數為130.83點，上漲3.55點，成交量為318.23億元。,8
2018-12-03T03:54:00.000Z,未來120~122點有支撐，先期法人著墨較深的族群為PA、矽晶圓與被動元件等持續走穩有利於多方，在KD技術指標開口持續向上，短線仍有利多方，但9日K值已達90，未來相對上漲空間已縮小，短線留意個股籌碼變化。,5
2018-12-03T03:09:00.000Z,只是受蘋果iPhone訂單減少，及Android智慧手機市場持續低迷影響，法人預期，台積電明年第1季營收恐將季減14%至16%水準。,-1
2018-12-03T02:10:00.000Z, 15.中美晶 (5483) ：因持有環球晶股權而受惠，近期矽晶圓股看俏，法人開始加碼，股價漲5.44%。,3
2018-12-03T02:10:00.000Z, 23.大榮 (2608) ：桃園觀音物流中心啟用，法人估明年業績將有高成長，股價走高逾3%。,2
2018-12-03T02:10:00.000Z, 24.長榮海 (2603) ：三大法人近3日共賣超11906張，股價頹勢後，今受貿易戰暫歇、買方墊高，晨盤帶量漲逾3%。,2
2018-12-03T02:10:00.000Z, 27.強茂 (2481) ：二極體需求熱，不甩列入注意股，法人近3日相挺買超逾1.2萬張，早盤續近6%。,2
2018-12-03T02:10:00.000Z, 29.上銀 (2049) 上周五獲三大法人聯手買超485張，加上貿易戰暫緩90天，早盤爆量強漲逾8.5%。,2
2018-12-04T07:15:00.000Z,權值指標如台積電、大立光、鴻海、國泰金 (2882) 、富邦金 (2881) 、統一 (1216) 等回檔停歇，盤中指數跌幅擴大一度觸及10061.7點，部分個股法人作帳行情可期，且裕隆領軍汽車股成今日強悍類股，守穩萬點之上，但類股跌多漲少，貿易戰和緩的受惠股遭買方收手而滑落，午後跌勢再度下拉，終場收盤報10083.54點，下跌54.33點或0.54%，成交金額1437.63億元。,0
2018-12-04T07:15:00.000Z,今日外資(不含外資自營商)賣超37.285億元，投信買超7.476億元，自營商賣超8.7736億元，三大法人賣超38.58億元。,0
2018-12-04T07:15:00.000Z,車市12月可望回溫，營運交接無虞的裕隆 (2201) 也獲法人逐步回補，股價衝上漲停拉長紅K線，帶領中華車 (2204) 、和泰車 (2207) 、裕日車 (2227) 、廣華-KY (1338) 、麗清 (3346) 逆勢收紅盤。,11
2018-12-04T07:15:00.000Z,法人指出，美中貿易戰暫時休兵，加上12月進入集團、投信作帳旺季，雙利多加持下，台股可望站穩萬點，若不跌破前波10014點，宜可維持市場買氣，不過仍須注意短線過熱，且上方套牢賣壓尚待消除，預估指數短期將於10140-10500點區間震盪，中長線應觀察美中貿易談判協議、OPEC延長限產原油協議以及美國聯準會利率會議，以及台股萬點穩定度。,-1
2018-12-04T06:42:00.000Z,法人表示，台股若不跌破前波10014點，即可維持市場買氣。,-2
2018-12-04T03:09:00.000Z,法人表示，不確定因素消失，指數盤堅可期。,-2
2018-12-04T02:36:00.000Z,分析師表示，由於美中貿易戰暫歇，因此全球資金再度回流到股市，加上進入2018年最後一個月，法人作帳行情可期，仍有益大盤反彈。,1
2018-12-04T02:36:00.000Z, 分析師表示，美中達成初步共識，未來將持續協商，市場投資信心漸回升，法人集團年底作帳行情加溫，不過，台股連續漲了6天，短線須提防漲多股獲利了結賣壓，短線可聚焦集團龍頭股、中小型人氣股等。,8
2018-12-04T02:11:00.000Z,1.威剛 (3260) ：近兩周內記憶卡價格急漲15~20％，模組廠雨露均霑，昨獲三大法人合計買超781張，激勵早盤股價續漲至45.3元，收復季線。,6
2018-12-04T02:11:00.000Z, 8.晶電 (2448) ：法人看好晶電明年Mini LED產品與半導體代工業務並進，有機會重回成長軌道，昨獲三大法人聯手買超15230張，早盤股價衝過30元關卡，突破季線。,7
2018-12-04T02:11:00.000Z, 20.台光電 (2383) ：身居5G CCL族群，雖Q4營運審慎看待，但表示將持續優化產品組合以帶動毛利表現，昨獲三大法人聯手買超1685張，早盤觸及漲停88.1元。,4
2018-12-05T07:13:00.000Z,今日外資(不含外資自營商)賣超91.8559億元，投信賣超13.2396億元，自營商賣超12.6781億元，三大法人賣超117.77億元。,-1
2018-12-05T06:24:00.000Z,法人則點出，上市櫃公司近期進入11月營收公告期，短線股價將受到營收數字刺激，不過由於至農曆年前進入財報空窗期，明年產業展望透明度高、具有成長力道的產業，將較容易獲得資金青睞。,6
2018-12-05T05:58:00.000Z, 周二台股收小黑K線，呈現急漲後拉回整理，三大法人中，外資仍偏空操作。,0
2018-12-05T03:13:00.000Z, 台積電今年第四季業績可如預期創新高，但隨著中美貿易戰影響，終端市場買氣驟降，法人預期台積公司明年第一季淡季更淡，衝擊股價表現，今早盤中跌8元，跌幅約3.42%，市值縮水2074億元，失守6兆元關卡，滑落至5.86兆元。,0
2018-12-05T03:13:00.000Z, 法人指出，近期終端客戶庫存增加、iPhone下修訂單影響，預計台積電2019年第一季成熟製程產能利用率將明顯下滑。,0
2018-12-05T03:13:00.000Z,"土洋法人保守看台積公司第一季展望，預估台積電第一季營收約為2,450億元，季減15%，年減1%，較原本預期下修。",-3
2018-12-05T03:04:00.000Z, 周二台股收小黑K線，呈現急漲後拉回整理，三大法人中，外資仍偏空操作。,0
2018-12-05T02:31:00.000Z,法人也認為，國際股市動盪難免影響台股短線表現，不過由於進入年底法人作帳旺季，加上至農曆年前處於財報空窗期，近期內資進場意願明顯高於外資，受到內資青睞的族群可望下檔相對有撐，明年產業景氣能見度較佳的類股，也可望較具買盤進駐。,5
2018-12-05T01:54:00.000Z, 16.世芯-KY (3661) ：三大法人聯手賣超，且受大盤頹勢影響，晨盤大跌逾5%。,-2
2018-12-06T08:44:00.000Z, 儘管受到蘋果與非蘋手機銷售轉淡影響，法人已對台積公司明年第一季看法保守。,-2
2018-12-06T07:20:00.000Z,台積電受到蘋果與非蘋手機銷售轉淡影響，法人已對公司明年第一季看法保守。,-2
2018-12-06T07:20:00.000Z, 法人指出，近期終端客戶庫存增加、iPhone下修訂單影響，預計台積電2019年第一季成熟製程產能利用率將明顯下滑。,0
2018-12-06T07:20:00.000Z,"土洋法人保守看台積公司第一季展望，預估台積電第一季營收在2,500億元上下，季減14~16%，較原本預期的季減10%以內擴大。",0
2018-12-06T07:18:00.000Z,今日外資(不含外資自營商)賣超206.9537億元，投信賣超5.3278億元，自營商賣超29.009億元，三大法人賣超241.29億元。,-1
2018-12-06T02:42:00.000Z,法人表示，收盤若未能站回月線9830，應保守操作。,-1
2018-12-06T02:06:00.000Z,1.台積電 (2330) ：昨遭三大法人聯手賣超9121張，早盤股價續跌至220元。,-3
2018-12-07T07:12:00.000Z,今日外資(不含外資自營商)賣超51.1333億元，投信買超0.3523億元，自營商買超2.2073億元，三大法人賣超48.57億元。,0
2018-12-07T06:40:00.000Z,PCB族群中有欣興 (3037) 、金像電 (2368) 攻上漲停，燿華 (2367) 、嘉聯益 (6153) 、華通 (2313) 等也都大漲；MOSFET族群在價漲缺貨行情帶動下，杰力 (5299) 一度衝上漲停120元，也帶動大中 (6435) 、富鼎 (8261) 、尼克森 (3317) 等同步走揚；網通族群則在5G題材下，以智易 (3596) 漲幅最為剽悍，法人看好智易第四季營收可望挑戰新高，尾盤股價更是逼近漲停。,9
2018-12-07T02:14:00.000Z, 7.智易 (3596) ：前三季已賺贏去年全年，法人看好下季營收維持高檔，獲外資連日買超，早盤股價衝75元波段新高。,6
2018-12-10T07:18:00.000Z,今日外資(不含外資自營商)賣超90.5379億元，投信賣超10.9425億元，自營商賣超14.6479億元，三大法人賣超116.12億元。,-1
2018-12-10T06:47:00.000Z,　雖然內資力挺中小型股的立凱-KY (5227) 、公準 (3178) 、類比科 (3438) 、霈方 (6574) 及傳奇 (4994) 強攻漲停板作收，法人作帳標的如台光電 (2383) 、雙鴻 (3324) 、欣興 (3037) 、聚積 (3527) 、易華電 (6552) 、亞德客-KY (1590) 、台燿 (6274) 及杰力 (5299) 強攻，但11月營收表現不佳的國巨 (2327) 及康控-KY (4943) ，被台灣50指數刪除的華新科 (2492) 同步重挫，台股指數開低走低，大跌逾百點作收，失守9650點，終場加權股價指數為9647.54點，下跌113.34點，成交量為980.67億元；OTC指數為123.74點，下跌1.72點，成交量為283.87億元。,-5
2018-12-10T06:09:00.000Z,台積電10月與11月營收合計已達1999.39億元，法人預期，台積電第4季營運目標應可順利達成，季營收將約2880億至2910億元，將改寫單季營收歷史新高紀錄。,3
2018-12-10T06:09:00.000Z,隨著蘋果處理器訂單減緩，加上Android智慧手機市場需求持續低迷，車用及挖礦等非手機客戶下單也趨於謹慎，法人預期，台積電明年第1季業績恐將面臨下滑壓力，季營收將季減15%左右水準。,-1
2018-12-11T07:24:00.000Z,國內法人認為，近期半導體景氣雖然略有雜音，仍維持台積電「買進」評等，主要原因為半導體庫存水位並未如預期嚴重，整體庫存調整可望在1到2個季度完成；加上台積電7奈米製程進展順利，主要客戶近期投片並無下修計畫，將使台積電明年第一季營運淡季不淡，毛利率將進一步提升，建議投資人買進，但為反映第3季毛利率不如預期，將目標價由277元下修到273元。,4
2018-12-11T07:08:00.000Z,今日外資(不含外資自營商)賣超50.8211億元，投信買超2.7231億元，自營商買超1.9733億元，三大法人賣超46.12億元。,0
2018-12-11T06:21:00.000Z,法人認為，在上市櫃公司11月營收公布完畢後，資金有機會挑選產業仍處上升趨勢的族群進場，加上集團作帳行情起跑、農曆年前仍屬財報空窗期，只要國際股市趨穩，台股仍有持續反彈的空間。,3
2018-12-11T02:45:00.000Z,法人認為，短線台股走勢以國際股市為依歸，雖然外資在現貨市場持續大賣，但卻有回補台指期市場的動作，加上內資作帳行情啟動，明年較具題材的族群較能吸引資金著墨。,1
2018-12-10T23:42:00.000Z,法人看好台積電第四季營收將改寫歷史紀錄，全年可望破兆。,2
2018-12-10T23:42:00.000Z,　■法人預期全年突破兆元　台積電公告11月合併營收達983.89億元，月減3.1％，年增5.6％。,1
2018-12-10T23:42:00.000Z,法人預期台積電全年營收將突破1兆元大關，並改寫年度營收歷史新高紀錄。,3
2018-12-10T23:42:00.000Z,　法人表示，由於蘋果iPhone零組件備貨潮進入尾聲，台積電第四季7奈米A12應用處理器晶圓出貨逐月下降，但高通、超微、海思等其它客戶訂單補上，7奈米利用率維持滿載，12吋及8吋晶圓廠整體產能利用率維持高檔。,-2
2018-12-10T23:42:00.000Z,　■明年首季7奈米訂單有壓　台積電將在明年1月中旬召開法人說明會，由董事長劉德音及總裁魏哲家說明景氣展望。,2
2018-12-10T23:42:00.000Z,不過，設備業界及法人圈傳出，台積電明年第一季仍面臨主要客戶下修7奈米訂單壓力，包括蘋果依慣例減少A12處理器投片，高通及海思等客戶7奈米預計投片量低於第四季初的預估值。,-3
2018-12-12T07:17:00.000Z,今日外資(不含外資自營商)賣超20.3641億元，投信賣超2.295億元，自營商買超4.0552億元，三大法人賣超18.60億元。,0
2018-12-12T03:11:00.000Z,周二，三大法人合計賣超46.12億元，其中，外資賣超50.82億元，可見得外資仍是台股上攻的阻力之一。,-1
2018-12-12T00:04:00.000Z,法人看好，台積電本季營收有機會改寫歷史紀錄，全年可望突破兆元大關。,5
2018-12-13T07:13:00.000Z,今日外資(不含外資自營商)買超31.3579億元，投信賣超1.3324億元，自營商買超7.8695億元，三大法人買超37.89億元。,0
2018-12-12T23:05:00.000Z,三星位於天津的當地法人已向員工招開說明會、告知停產的消息。,1
2018-12-14T07:18:00.000Z,今日外資(不含外資自營商)賣超68.1598億元，投信賣超6.6176億元，自營商賣超10.3267億元，三大法人賣超85.10億元。,-1
2018-12-14T07:18:00.000Z,分析師表示，外資年底長假將至，台股轉由內資法人主導，有望出現作帳行情，操作上可留意集團龍頭股、5G題材股及中小型漲價股。,4
2018-12-14T02:18:00.000Z, 7.神盾 (6462) ：法人作帳效應，三大法人近3日買超3661張，晨盤挾量續攻逾3%，觸及220元再闖進波段新高價。,0
2018-12-14T02:18:00.000Z, 9.國巨 (2327) ：大摩說未來12個月目標價僅260元，本益比僅給3.7倍，而未來兩年EPS將先蹲後跳，加上昨遭三大法人擴大賣超，早盤股價一度跌破300元關卡。,-2
2018-12-14T02:18:00.000Z, 18.興能高 (6558) ：穿戴裝置普及化助益營運，本土法人連續買超，早盤挾量續攻，進逼漲停。,4
2018-12-15T09:40:00.000Z,大立光明年第1季業績需觀察華為事件後續影響，不過，本土投顧法人預期，明年第1季大立光可受惠三鏡頭業務拉動、以及明年2月底全球行動通訊大會（MWC）各品牌手機商新機推出效應，預期明年第1季業績可望年增9%到10%區間。,4
2018-12-15T09:40:00.000Z,從被動元件來看，美系外資法人報告指出，智慧型手機、個人電腦和其他消費性電子終端產品的需求有下行風險，可能會牽動積層陶瓷電容（MLCC）拉貨需求，拉長庫存去化的時程。,1
2018-12-15T09:40:00.000Z,本土法人日前預期，包括MLCC以及晶片電阻（R-Chip）價格報價，明年第1季可能有10%到20%幅度下跌空間。,-2
2018-12-15T09:40:00.000Z,從汽車傳動系統看，和大 (1536) 部分客戶12月底前庫存調整完成後，預期明年1月可恢復正常拉貨，加上電動車減速齒輪箱精密齒輪件需求維持強勁，法人預期明年1月業績可再回到上升軌道。,5
2018-12-15T07:10:00.000Z,從供應鏈來看，本土投顧及外資法人報告分析，台灣有不少廠商與華為有關，包括台積電 (2330) 、大立光 (3008) 、聯發科 (2454) 、日月光投控 (3711) 、鴻海集團 (2317) 、南亞科 (2408) 、欣興電子 (3037) 、景碩 (3189) 、旺宏 (2337) 、聯亞 (3081) 、晶技 (3042) 等。,0
2018-12-15T07:10:00.000Z,以半導體產業為例，法人指出，華為集團旗下晶片廠海思半導體（Hisilicon）在台積電投片生產晶圓，也採用台積電7奈米製程。,1
2018-12-15T07:10:00.000Z,在組裝代工部分，法人指出，鴻海集團旗下富智康（FIH Mobile Limited）提供代工服務給華為手機，但比重不高。,-1
2018-12-15T07:10:00.000Z,從影響程度來看，外資法人報告預估，華為占台灣供應鏈廠商直接銷售的比重，大約在低個位數百分點到15%左右不等，其中光通訊元件廠商影響程度相對較高，曝險比重占相關廠商業績比重約15%到20%區間，電子代工服務（EMS）廠相關比重偏低，大約低個位數百分點。,0
2018-12-15T07:10:00.000Z,外資法人評估，華為事件對於台廠供應鏈的影響較不直接，不過，華為事件的不確定性可能會牽動相關供應鏈台廠的訂單能見度。,-1
2018-12-15T05:52:00.000Z,　法人認為，以此成交比重來看，被動元件類股還是人氣所在，加上最弱勢的蘋概股康控-KY （4943） 並沒有鎖住跌停，未來大盤走勢應不用太悲觀，但會以中小型個股表現為主。,-6
2018-12-17T07:09:00.000Z,今日外資(不含外資自營商)賣超1.6655億元，投信賣超8.4335億元，自營商賣超12.318億元，三大法人賣超22.41億元。,-1
2018-12-17T06:03:00.000Z,法人也認為，台股短期均線糾結在9788點至9812點之間，短期要突破9800點之上，才有機會進一步挑戰季線10091點；且由於至明年農曆年前屬財報空窗期，上市櫃公司也進入尾牙旺季，可望釋出更多產業展望訊息，具有題材性的產業較有機會率先突圍。,5
2018-12-17T01:30:00.000Z,"華為在2005年設立日本法人，2009年在日本市場的(零件)採購額約340億日圓，2017年增至近5,000億日圓，2018年預估將達6,800億日圓，也就是說採購額10年來飆增至20倍。",1
2018-12-16T23:57:00.000Z,三大法人外資及陸資、投信和自營商同步賣超，合計賣超新台幣85.10億元。,-1
2018-12-16T23:57:00.000Z,法人認為，近期法人動態仍與國際股市漲跌密不可分，不過，由於台股籌碼面相對穩定，還有集團作帳行情加持，除非國際股市出現連續性大跌，不然今年低點9400點仍有相當的支撐力道。,0
2018-12-18T07:21:00.000Z,今日外資(不含外資自營商)賣超56.5954億元，投信賣超1.5347億元，自營商賣超24.1597億元，三大法人賣超82.29億元。,-1
2018-12-18T03:10:00.000Z,法人表示，內資年底作帳行情持續，利基型中小型個股表現。,0
2018-12-18T03:10:00.000Z,國泰證期顧問處協理簡伯儀表示，儘管美股道瓊重挫507點，但亞洲主要股市盤中表現穩健，中國大陸股市逆勢上揚，台股跌幅收斂，而由於外資法人放長假在即，預估今天台股量能大約在800億元左右。,-1
2018-12-18T03:10:00.000Z,簡伯儀指出，外資法人將放長假，不過台股今天盤中櫃買OTC指數表現持穩，顯示本地內資年底作帳行情持續，利基型中小型個股表現。,0
2018-12-18T02:36:00.000Z, 在盤面表現方面，蘋概股三巨頭中的大立光今日開低後，逢低買盤進駐，股價曾由黑翻紅，多空在平盤附近展開對峙；台積電及鴻海等壓低在平盤下方整理；水泥股挾著Q4旺季及中美貿易戰，大陸強化基建刺激內需，法人看好Q4營運，台泥 (1101) 、亞泥 (1102) 及嘉泥 (1103) 聯袂揚升，帶動水泥族群表現相對強勢。,3
2018-12-18T02:36:00.000Z, 分析師指出，目前市場等待聯準會利率決策，多方買盤謹慎觀望，台股量能不足，三大法人連二日同步賣超，不過，外資在期貨操作上偏多，三大期指轉為正價差，隱隱透出止跌跡象。,0
2018-12-18T00:16:00.000Z,"　台積電11月合併營收983.89億元，年增幅5.6％，符合市場預期，累計前11月合併營收為9,416.43億元，較去年同期年增6.1％，公司預估第4季營收介於2,879.8到2910.6億元，較第3季業績季增10.6到11.8％，以10月及11月兩個月的業績表現，12月營收達880億元以上就可達陣營運展望目標；法人預期台積電全年營收將突破1兆元，可望改寫營收歷史新高。",7
2018-12-18T00:16:00.000Z,　因蘋果iPhone零組件備貨潮近尾聲，台積電第4季7奈米A12應用處理器晶圓出貨逐月降低，但高通、超微、海思等客戶訂單挹注，使得7奈米利用率滿載，12吋及8吋晶圓廠整體產能利用率維持高檔；法人預估，台積電明年第1季營收約季減15％，與今年第一季大致持平。,-2
2018-12-19T07:11:00.000Z,今日外資(不含外資自營商)買超32.0066億元，投信賣超1.2784億元，自營商賣超12.4636億元，三大法人買超18.26億元。,0
2018-12-19T02:10:00.000Z,三大法人合計賣超82.29億元，其中，外資賣超56.59億元。,-2
2018-12-19T01:54:00.000Z, 2.同欣電 (6271) ：凱美以6.4%溢價取得股權效益續燒，且董事會推賴錫湖任新董座救火，法人聯手回頭大買超，早盤股價上漲近4%。,2
2018-12-19T01:54:00.000Z, 8.可成 (2474) ：股價沿220元打底未再創低，本土法人進場加碼，今早攀高，漲幅逾1%。,7
2018-12-19T01:54:00.000Z, 14.華通 (2313) ：昨三大法人合計買超2964張，股價漲3.33%，收復5日線。,2
2018-12-19T01:54:00.000Z, 20.華航 (2610) ：迎農曆年旺季，且受惠國際油價續重挫，三大法人連2日齊心回補買超，晨盤帶量走揚，拚前波11.35元高價。,2
2018-12-19T00:50:00.000Z,在台指期淨部位方面，三大法人淨多單減少2621口至8743口，其中外資空單加碼超過多單加碼，淨多單減少1500口至39202口；十大交易人中的特定法人全月份台指期淨多單減少1431口至4511口。,-2
2018-12-20T02:54:00.000Z,權值電子股台積電 (2330) 下跌1.77%，報221.5元，貢獻大盤跌點逾30點；昨天三大法人同步買超的鴻海 (2317) 下方有10日線支撐，今天股價開低走高，拉回平盤71.8元整理；股王大立光 (3008) 近期股價站回5日線和10日線後止穩，但上方仍面臨月線、季線壓力，今天股價下跌0.9%，報3290元。,2
