PublishDate,Sentence,Score
2017-09-01T06:42:00.000Z,  蘋果確定將在美國時間9月12日舉辦新品發表會，市場預期將一口氣端出iPhone 8、iPhone 7s/7s Plus，蘋概股也成為盤面亮點之一，股王大立光 (3008) 再獲外資調高目標價到6680元，今股價收漲0.69%，報在5870元，台積電 (2330) 、鴻海 (2317) 則聯袂收在平盤位置，大型龍頭股表現平穩，反倒是中小型蘋果概念股明顯點火，軟板廠致伸 (4915) 、嘉聯益 (6153) 大漲約4%，光學族群更有玉晶光 (3406) 漲停再創新天價，不僅站上500元，終場更收在漲停價546元，也帶動佳凌 (4976) 、先進光 (3362) 強勢大漲。,15
2017-09-01T06:00:00.000Z,美國蘋果(Apple)發出邀請函，確定12日舉行新品發表會，外界預料將會公開新款iPhone手機，除玉晶光強漲外，其餘蘋果概念股表現持平，鴻海 (2317) 與台積電 (2330) 平盤作收，可成 (2474) 小跌0.5元。,3
2017-09-01T02:52:00.000Z,美國靜待就業指數報告，蘋果股價再創新高，帶動美股指數持續走強，四大指數全面收漲，亞股漲多跌少，僅韓股相對壓抑，台股在挑戰月線9連紅成功後，今受惠低接買盤支撐，指數開低後震盪拉高，台股盤中更成功挑戰前波高點10619點，登上27年新高位置，這將更有利於後市台股攻堅。,8
2017-09-01T02:52:00.000Z,  蘋果股價再創歷史新高，也確定在美國時間9月12日上午10點於新總部Apple Park內的「Steve Jobs Theater」舉行特別發表會，蘋果並在邀請函上標記著「Let`s meet at our place」，蘋概股表現今日集中在中小型類股較為突出，呈現漲跌互見，嘉聯益 (6153) 大漲5%，致伸 (4915) 漲幅也一度近3%，後續在蘋果股價緩步創高下，蘋概族群是否有所表態，可以持續關注。,8
2017-09-01T02:52:00.000Z,  盤中多頭指標持續聚焦中小型類股，個股挾自身消息面利多題材發揮，智邦 (2345) 獲買盤簇擁，8月起持續會外資加碼下，股價衝上逾10年新高，爆量大漲8%；宣德 (5457) )傳出打進美國電動車大廠特斯拉(Tesla)供應鏈，帶動股價大漲逾4%；光聖 (6442) 也在與PCT之追討貨款案獲賠663萬美元下大漲近5%，成功站上季線位置；低價面板股彩晶 (6116) 也帶量上漲近1.5%。,14
2017-09-01T02:33:00.000Z,「LF-S50G」將在10月於美國開賣，除主打高音質之外，還能藉由手勢進行操作，美國市場售價為199美元；「SC-GA10」有黑色和白色兩種色款可選擇，將在今年冬天於英法德開賣，售價未定。,0
2017-09-01T02:33:00.000Z,據美國調查公司Gartner指出，2021年智慧音箱市場規模有望擴大至35.2億美元、將達2016年的4.9倍。,4
2017-09-04T06:57:00.000Z,國際鋼鐵原物料行情持續發燒、美國德州又遭「哈維」颶風侵襲，影響廢鋼出貨，鋼市持續發燙，鋼鐵業股價臉紅紅，大成鋼 (2027) 、威致 (2028) 、三星 (5007) 均有2%以上漲幅，中鋼 (2002) 穩在25元，中鴻 (2014) 漲幅接近1%。,0
2017-09-04T04:06:00.000Z, 　台新台灣中小基金經理人王仲良表示，近期台股持續維持高姿態整理格局，時序進入9月，需提防漲高個股出現獲利了結賣壓，主要理由有二，首先，因總體經濟穩定回升，美國、歐洲將於9月後討論縮表議題，資金消息面偏空；再者，外資期貨、選擇權及現貨多頭力道趨緩。,2
2017-09-04T01:42:00.000Z,蘋果預計在美國時間9月12日（台灣時間13日凌晨）舉行發表會活動，市場一般推測蘋果將宣布iPhone新品。,1
