PublishDate,Sentence,Score
2018-09-03T06:15:00.000Z,（中央社記者韋樞台北2018年9月3日電）台股今天受到美國可能宣布對中國2000億美元商品課高關稅，以及被動元件傳出供需失衡，造成類股股價重挫，台股開高走低跌百點，11000點失守。,-5
2018-09-03T06:15:00.000Z,林成蔭指出，美國對中國課徵2000億美元高關稅的評議期將於9月6日結束，川普計畫屆時啟動相關關稅措施，市場還在觀察貿易戰的變化；此外蘋果將於下週推出新機，法人將關注新的價格、功能，以及一週內的銷售業績，也將影響蘋果概念股。,1
2018-09-03T00:21:00.000Z,法人指出，美國總統川普打算對中國輸美2000億美元商品課徵更多關稅，引發投資人憂慮，使得歐洲股市上週五第2天收黑，英德法股均下跌逾1%；美股上週五漲跌互見，美加兩國在週末前未達成貿易協議，股市成交量縮，道瓊工業指數收低，那斯達克指數小漲。,-4
2018-09-03T00:21:00.000Z,法人強調，美國對中國課徵2000億美元高關稅的評議期將於9月6日結束，川普計畫屆時啟動相關關稅措施，陸股將首當其衝，台股在中國大陸設廠的電子股將受影響，後續表現仍須再觀察。,1
2018-09-02T23:48:00.000Z,　此外，黃文清也認為，傳產原物料股中鋼鐵股的中鋼、中鴻及水泥股的亞泥等，都是受惠於中國大陸供給側改革，中石化的己內醯胺（CPL）產品及遠東新的純對苯二甲酸（PTA）等，都有漲價及利差擴大的利多題材。,6
2018-09-04T00:07:00.000Z,川普將對中國第二階段的2000億美元商品提前課稅，時間可能將於9/6本周四開始實施。,0
2018-09-04T00:07:00.000Z,由於中國一年對美出口5000億美元商品，故在先前的500億及本次2000億課稅之後，未來可能尚有2500億美元商品會遭到課稅，此外，人民幣今年貶幅高達10%下，勢必也會被川普政府列入下波檢討清單，故短期內美國對中國一連串的貿易制裁，很難見到停止跡象。,0
2018-09-04T00:07:00.000Z,※投資策略美中貿易戰持續干擾市場，川普政府最快將在本周四(9/6)對中國第二階段2000億美元商品清單進行課稅；加上指數於11100點套牢區賣壓沉重，指數難有表現；不過，下檔10900點位置有季線與半年線支撐，故短線上台股將形成上有壓、下有撐的弱勢震盪格局，建議謹慎保守操作，可逢低布局業績題材股，如晶圓代工、蘋概股、自行車、水泥及塑膠等。,-4
2018-09-17T06:09:00.000Z,美股上週五終場持平，媒體報導總統川普打算繼續對中國進口貨品加徵新關稅，導致美中可能重啟新一輪貿易談判的利多受挫。,0
2018-09-17T04:47:00.000Z,報告指出，XS Max具有金色外殼、雙Sim卡、大螢幕，中國市場需求暢旺，估計XS Max在今年iPhone新機的出貨比重將佔25~30%。,0
2018-09-17T04:33:00.000Z,郭明錤在最新評論中指出，iPhone XS Max符合預期代表Apple高價策略成功，因具備金色機殼、雙卡與大螢幕，來自中國需求強勁，與2017年下半年的iPhoneX相較，XS Max平均出貨時間縮短，這是因為XS Max供貨改善，維持XS Max占今年下半年新機出貨比重25%到30%的預測。,4
2018-09-17T04:33:00.000Z,至於iPhone XR，因價格更具競爭力且在中國市場支援雙卡，出貨展望正向，郭明錤上修XR占今年下半年新機出貨比重自50%-55%至55%-60%。,2
2018-09-17T02:56:00.000Z,美股上週五終場持平，媒體報導總統川普打算繼續對中國進口貨品加徵新關稅，導致美中可能重啟新一輪貿易談判的利多受挫。,0
2018-09-17T02:44:00.000Z,根據香港市場調查公司Counterpoint發表的智慧手機市場分析報告指出，上季(2018年4-6月)全球智慧手機行業(約600家智慧手機廠商)整體獲利中、蘋果一家就拿下62%比重穩居獲利王，而三星獲利則遭中國「4強(華為、OPPO、VIVO和小米)」超越。,6
2018-09-17T02:44:00.000Z,上季中國「4強」獲利合計為20億美元、佔全球市場比重為20%，超越三星的17%。,2
2018-09-17T02:44:00.000Z,2年前(2016年4-6月)中國「4強」在獲利面還無法成為三星的對手，當時蘋果、三星獲利佔比分別達62.8%、28.8%，合計為91.6%，而中國「4強」佔比僅7.9%。,-1
2018-09-17T02:44:00.000Z,SA指出，會預估三星智慧手機銷售量跌破3億支，主要是因為旗艦機種Galaxy S9和Note 9銷售不振，加上受到競爭對手中國廠商急速抬頭的影響。,-3
2018-09-17T02:41:00.000Z,MoneyDJ新聞 2018-09-17 10:36:01 記者 賴宏昌 報導華爾街日報9月16日引述消息人士談話報導，川普政府準備在本週初公布中國2千億美元進口品課徵關稅的最終名單，但稅率可能是10%、而非8月初所說的25%。,1
2018-09-17T02:41:00.000Z,知情人士指出，美國總統川普(Donald Trump)在內部會議上說，他允許美國財長梅努欽(Steven T. Mnuchin)與北京尋求重啟協商是應中國的要求。,-1
2018-09-17T02:41:00.000Z,部分北京領導階層顧問建議將中國組裝的蘋果iPhone納入禁止銷往美國的清單。,-1
2018-09-17T02:41:00.000Z,中國前財長樓繼偉9月16日也表示，中國可以採取出口限制來做為報復美國的武器。,-3
2018-09-17T02:41:00.000Z,中國日報(China Daily)英文版9月13日晚間發表社論指出，川普政府不應該誤以為中國會屈服於美國的要求，即使貿易戰延長、中國也有足夠的燃料來推動經濟發展。,0
2018-09-17T02:41:00.000Z,  川普於美東時間9月13日上午10時15分(台北時間9月13日下午10時15分，見圖)推文表示，華爾街日報搞錯了，因壓力而被迫坐上貿易談判桌的是中國、不是美國。,-2
2018-09-17T02:41:00.000Z,他還說，美國股市大漲的同時、中國股市則是呈現崩跌。,1
2018-09-17T02:41:00.000Z,蘇世民當時指出，21世紀的中國不再是選修課程、而是核心科目。,0
2018-09-17T02:41:00.000Z,紐約時報9月16日引述知情人士報導，蘇世民是梅努欽與中國國務院副總理劉鶴可能在本月稍後進行談判的幕後關鍵推手。,1
2018-09-17T02:41:00.000Z,嘉實XQ全球贏家報價系統顯示，投資中國中小企業創業板的VanEck Vectors ChinaAMC SME-ChNext ETF(CNXT.US)9月14日下跌2.14%，收24.0733美元，創2014年7月24日開始交易以來最低收盤紀錄；今年迄今下跌30.42%。,-2
2018-09-17T02:41:00.000Z,X-trackers Harvest滬深300中國A股ETF(ASHR.US)9月14日跌2.02%、收23.74美元；今年迄今下跌23.49%。,-2
2018-09-17T02:41:00.000Z,日經亞洲評論9月7日報導，科磊(KLA-Tencor Corporation)行銷長Oreste Donzella 6日在「SEMICON Taiwan」國際半導體展表示，美國半導體業者將在兩週後赴華盛頓、希望能說服川普政府不要對中國實施晶片/晶片設備出口管制。,2
2018-09-18T06:30:00.000Z,美中新一輪貿易戰開打，市場擔心中國大陸會以打擊蘋果供應鏈做為反擊，台股今日跳空走低，年線再度失守，蘋果三巨頭皆墨，股王大立光更跌破4000元大關，重摔跌停收在3860元，終場加權指數收在10760.21點，下跌68.4點，成交值1169.64億元，較前日增加259.36億元，櫃買指數收在132.21點，下跌2.03點，成交值255.39億元。,-8
2018-09-18T06:03:00.000Z,（中央社記者鍾榮峰台北2018年9月18日電）美國對2000億美元的中國商品加徵10%關稅，台股今失守年線和10800點關卡，大立光跌停。,-3
2018-09-18T06:03:00.000Z,美國總統川普今天表示，將針對約2000億美元的中國商品加徵10%關稅，並警告若中國針對美國農民或工業採取報復措施，將立即尋求第三階段，也就是針對額外約2670億美元的進口商品加徵關稅。,-3
2018-09-18T06:03:00.000Z,兆豐國際投顧表示，台股今天受到川普針對約2000億美元的中國商品加徵10%關稅影響走跌，儘管台積電修正、大立光跌停，不過走勢比預期好，傳產包括水泥、鋼鐵、塑膠等，以及金融股表現相對佳。,-2
2018-09-18T02:56:00.000Z,（中央社記者鍾榮峰台北2018年9月18日電）川普將對2000億美元的中國商品加徵10%關稅，台股暫失年線，回落10800點之下。,-1
2018-09-18T02:56:00.000Z,美國總統川普表示，將針對約2000億美元的中國商品加徵10%關稅，並警告若中國針對美國農民或工業採取報復措施，將立即尋求第三階段，也就是針對額外約2670億美元的進口商品加徵關稅。,-3
2018-09-18T02:56:00.000Z,簡伯儀說，包括中國大陸等亞股跌深反彈，若台股今天能守住5日線上，短線上攻可期。,-1
