PublishDate,Sentence,Score
2018-07-02T07:12:00.000Z,分析師表示，被動元件族群國巨、華新科、奇力新、禾伸堂與信昌電等今日無畏大盤在高檔大震盪，持續改寫波段新高價，更吸引法人等資金進駐，形成盤面上強者恆強之局面。,5
2018-07-02T06:02:00.000Z,（中央社記者江明晏台北2018年7月2日電）台股今天開高震盪，被動元件族群續揚，盤中台積電走跌，指數翻黑跌勢擴大，終場收在10777.94點，下跌58.97點，失守10800點關卡，分析師指出，本週多變數，7月中後利空出盡有望。,-2
2018-07-03T02:55:00.000Z,　分析師指出，國際股市受到中美貿易戰陰影依舊動盪，仍是短期不確定因素，短線仍將持續干擾股市。,-4
2018-07-03T01:00:00.000Z,MoneyDJ新聞 2018-07-03 09:00:43 記者 郭妍希 報導Susquehanna Financial Group分析師Mehdi Hosseini將台積電(2330)的投資評等從「中立」調高至「正面」，聲稱客製化人工智慧(AI)晶片、5G掀起的浪潮，將使公司大為受惠，台積電ADR 2日跌幅應聲收斂。,4
2018-07-04T07:06:00.000Z,分析師表示，台股進入除權息旺季，指數原本就受壓抑，加上新台幣兌美元匯價Q3持續看貶，且中美衝突恐引發全球貿易戰一觸即發，使短期追價意願相對薄弱，係近期盤勢在年線附近呈現高不成、低不就窘境。,-8
2018-07-02T07:12:00.000Z,分析師表示，被動元件族群國巨、華新科、奇力新、禾伸堂與信昌電等今日無畏大盤在高檔大震盪，持續改寫波段新高價，更吸引法人等資金進駐，形成盤面上強者恆強之局面。,5
2018-07-02T06:02:00.000Z,（中央社記者江明晏台北2018年7月2日電）台股今天開高震盪，被動元件族群續揚，盤中台積電走跌，指數翻黑跌勢擴大，終場收在10777.94點，下跌58.97點，失守10800點關卡，分析師指出，本週多變數，7月中後利空出盡有望。,-2
2018-07-03T02:55:00.000Z,　分析師指出，國際股市受到中美貿易戰陰影依舊動盪，仍是短期不確定因素，短線仍將持續干擾股市。,-4
2018-07-03T01:00:00.000Z,MoneyDJ新聞 2018-07-03 09:00:43 記者 郭妍希 報導Susquehanna Financial Group分析師Mehdi Hosseini將台積電(2330)的投資評等從「中立」調高至「正面」，聲稱客製化人工智慧(AI)晶片、5G掀起的浪潮，將使公司大為受惠，台積電ADR 2日跌幅應聲收斂。,4
2018-07-04T07:06:00.000Z,分析師表示，台股進入除權息旺季，指數原本就受壓抑，加上新台幣兌美元匯價Q3持續看貶，且中美衝突恐引發全球貿易戰一觸即發，使短期追價意願相對薄弱，係近期盤勢在年線附近呈現高不成、低不就窘境。,-8
2018-07-05T07:07:00.000Z,分析師表示，在外資偏空操作，加上全球貿易戰烏雲籠罩下，預料短期台股呈量縮觀望整理的局面。,-1
2018-07-05T03:06:00.000Z,　分析師指出，台股本周表現弱勢，周二日K線出現帶有長上影線的黑K棒，量能放大至1700億元以上，不但季線未過，昨日再探年線支撐，顯示短線試圖反彈失敗，導致這兩日賣壓出籠。,-4
2018-07-05T02:58:00.000Z,分析師表示，新台幣持續貶值、國際股市表現不穩，影響台股近期表現，雖然外資昨天短期轉買，但在台指期多單部位已降至3萬口以下的低水位，顯示外資尚無翻多跡象，隨時可能再賣台股，外資持股較高的權值股首當其衝。,1
2018-07-05T02:58:00.000Z,不過，關於台股中長期表現，分析師認為，下半年台股仍有不少機會，其中，電子股進入傳統旺季，蘋果(Apple)新機進入備貨期，部分蘋果供應鏈的電子零組件族群優先受惠；漲價概念股多頭也持續著墨，包括被動元件、矽晶圓、二極體都見多方點火力道；此外，挖礦概念股由於中國大陸四川洪患，激勵短線需求，帶動跌深的挖礦概念股出現強勁反彈。,9
2018-07-05T00:32:00.000Z,"　外資分析師日前出示提高台積電投資評等至「買進」報告，認為AI人工智慧與5G基礎建設增溫，有助台積電分散客群，由智慧型手機轉向Google、微軟等雲端解決方案廠商，未來占營收比重將逐漸成長；國際資金近兩日對台積電賣超力道已明顯減緩，昨加碼2,031張，創6月14日以來最大買超張數，股價上漲1.5元，收216元，力拚邁向填息。",13
2018-07-13T07:15:00.000Z,分析師表示，中美貿易戰已無短期威脅，目前正處貿易戰空檔期，使市場轉而聚焦科技大廠將陸續召開法說會，加上第2季財報與第3季展望利多可期，有望吸引法人逢低回補，及美股超級財報周也將登場等，使台股短期維持高檔震盪偏多整理格局。,3
2018-07-16T06:21:00.000Z,分析師表示，台股今天大半場在平盤附近整理，不過受到陸股轉跌影響，包括韓股、台股都受到壓抑，櫃買指數表現相對強勢，指數一度挑戰季線152.7點反壓，收盤仍站上半年線152.15點，顯示內資相對積極，外資仍恐站在賣方。,-2
2018-07-16T06:21:00.000Z,分析師指出，由於美元維持強勢，外資持續流出動作明顯，使得台股在經過2日強彈後，後續買盤不濟，指數短線仍將陷入盤整，估在10600點至10900點之間來回震盪，除非國際股市走強，台股才有向上突破空間。,4
2018-07-17T07:13:00.000Z,台股今日受制權王台積電、股王大立光與股后國巨表現不振，加上台塑四寶、中信金 (2891) 、台泥 (1101) 等集團也軟腳，盤中指數摔落10800點、五日線與月線，分析師表示，被動元件、MOSFET等相關概念股，成短線殺盤重心，惟大盤今最低點10758點，在年線之前即止跌，並守住月線關卡，顯示低檔年線支撐相對強韌，後市不必過分悲觀。,-6
2018-07-17T06:36:00.000Z,分析師表示，台股仍在打底的階段，短線恐難脫狹盤格局。,1
2018-07-17T06:36:00.000Z,  分析師表示，台股繼昨日開高走低後今天持續震盪狹盤，目前半年線仍是上檔最大壓力，台股量能略為不足較難突破壓力區，星期四台積電法說值得觀察。,-3
2018-07-17T02:47:00.000Z,分析師表示，美在WTO對中、歐等五國提出申訴，全球貿易戰風險加溫，台股強勢股輪動快速，續航力不足，台股仍在打底的階段，難脫狹幅整理格局，預期今日量能約在1400億元附近。,-1
2018-07-17T02:47:00.000Z,  分析師指出，由於美元維持強勢，外資持續流出動作明顯，台股短線估在10600~10900點間來回震盪，除非國際股市走強，台股才有向上突破空間。,3
2018-07-18T07:12:00.000Z,分析師表示，近期台股仍靠內資撐盤，待美中貿易消息釐清及外資歸隊前，短期將呈現上有壓下有撐的狹幅整理格局。,-1
2018-07-18T06:37:00.000Z,根據Thomson Reuters的調查，分析師原先預期艾司摩爾第2季營收、純益分別為25.6億歐元、5.24億歐元。,0
2018-07-19T10:49:00.000Z,分析師王兆立認為，台積電雖然第3季營運表現恐將旺季不旺，並二度調降今年營運成長目標；不過，這些都是市場已知的利空，預期台積電股價不排除有機會利空出盡表現。,1
2018-07-19T07:13:00.000Z,分析師表示，因市場靜待台積電法說會呈現觀望氣氛，使台股短期陷入上有壓下有撐的震盪整理走勢，而其第二季業績表現與未來展望，將是牽動台股後續走勢的關鍵。,0
2018-07-20T07:10:00.000Z,分析師表示，外資近期資金似有回流跡象，且持續買超台積電、鴻海 (2317) 與群創 (3481) 等電子股，時序進入下半年電子產業旺季及蘋果新機拉貨效應，使短期台股續於高檔震盪整理偏多的格局仍不變，惟中美貿易戰火升溫、人民幣貶值等國際政經局勢變化，仍可能使指數有拉回風險。,2
2018-07-20T07:05:00.000Z,  分析師指出，台積電法說二度調降今年財測，但成長動能略優於空方預期，在外資回頭大買下利空出盡、一舉完成填息並超標10元，單台積電一檔就貢獻加權指數漲幅達112點。,7
2018-07-20T07:05:00.000Z,  分析師認為，台股短期在年線10700點附近有撐，若不跌破，可望持續盤整蓄勢向上動能，若跌破則可能再度轉弱。,-1
