PublishDate,Sentence,Score
2017-07-03T07:18:00.000Z,16.與交易金額比較有重大差異原因及會計師意見:不適用。,-1
2017-07-04T01:27:00.000Z,19.本次交易會計師出具非合理性意見:否或不適用20.其他敘明事項:無。,1
2017-07-03T07:18:00.000Z,16.與交易金額比較有重大差異原因及會計師意見:不適用。,-1
2017-07-04T01:27:00.000Z,19.本次交易會計師出具非合理性意見:否或不適用20.其他敘明事項:無。,1
2017-07-11T05:39:00.000Z,16.與交易金額比較有重大差異原因及會計師意見:不適用。,-1
2017-07-12T06:04:00.000Z,16.與交易金額比較有重大差異原因及會計師意見:不適用。,-1
2017-07-17T00:55:00.000Z,16.與交易金額比較有重大差異原因及會計師意見:不適用。,-1
2017-07-18T07:25:00.000Z,16.與交易金額比較有重大差異原因及會計師意見:不適用。,-1
2017-07-20T06:30:00.000Z,16.與交易金額比較有重大差異原因及會計師意見:不適用。,-1
2017-07-20T06:29:00.000Z,16.與交易金額比較有重大差異原因及會計師意見:不適用。,-1
2017-07-26T07:58:00.000Z,16.與交易金額比較有重大差異原因及會計師意見:不適用。,-1
