PublishDate,Sentence,Score
2017-01-03T10:05:00.000Z,鉅亨台北資料中心◆盤勢分析上週五美股三大指數皆呈現回檔，週二為台股新年開紅盤之日，台指期雖以小漲 4 點開出，但獲利了結賣壓隨即湧現，並於 9:35 左右跌至 9231 的低點，所幸低接買盤仍在，而在美股期指於亞洲盤時段呈現反彈，及權值股台積電等力守紅盤下，台指期終場上漲 19 點以 9280 點作收；在各大期指表現上，晶圓代工龍頭台積電傳出第一季 7 奈米製程將量產，拉開與對手三星的差距，以上漲近 1% 作收，面板廠群創除受惠近期面板報價續漲，母公司鴻海集團近期更積極於中國佈局，股價上漲逾 4%，電子期收漲 0.51%；金融期尾盤拉高，以平盤作收；傳產族群部份，雖然台塑、台化漲幅約 1%，但上週五封關日大漲的台塑化獲利回吐下跌逾 2%，鋼鐵、汽車族群回檔程度亦較大，非金電期收跌 0.25%，表現相對偏弱；另觀察期現貨正價差由 9 點微減至 7 點，市場情緒仍偏向正面。,8
2017-01-04T10:17:00.000Z,"（中央社台北2017年1月4日電）加權指數今天開盤為9,279.52點，盤中最高9,299.62點，最低9,266.03點，收盤指數9,286.96點，上漲14.08點，成交值為新台幣559.28億元；不含金融保險股指數7,841.01點，上漲13.45點。",1
2017-01-04T07:13:00.000Z,台股今日小幅開高，中鋼 (2002) 領軍鋼鐵股撐盤，電子金融股中場後回穩，台積電 (2330) 收平盤，台股收盤漲14點至9286點，連三日收紅，今日成交值增至559億元。,3
2017-01-04T07:13:00.000Z,  台積電昨天帶領台股2017年開紅盤小幅上漲，但今早台積電盤中翻黑，金融類股指數亦乏力，台股早盤曾跌至平盤之下，鋼鐵股挺身而出，台股力守所有均線之上，早盤維持9260點之上高檔格局。,2
2017-01-04T07:13:00.000Z,金融類股指數早盤開高後翻黑，富邦金 (2881) 等大型金控股小跌，中信金 (2891) 、兆豐金 (2886) 翻紅，帶動金融股指數收紅。,1
2017-01-04T06:59:00.000Z,台股今日小幅開高，鋼鐵股掛帥領軍，帶動指數一度衝至9299.62點，進逼9300點大關，惟台積電 (2330) 未能延續攻勢，金融股也欲振乏力，在盤面群龍無首下，量能無法有效放大，終場加權指數上漲14.08點為9286.96點，成交值為559.29億元。,4
2017-01-04T06:59:00.000Z,金融股開高震盪，富邦金 (2881) 、國泰金 (2882) 小跌，兆豐金 (2886) 、三商壽 (2867) 相對強勢。,0
2017-01-04T06:59:00.000Z,在欠缺動能的震盪盤勢中，建議以指數箱型操作或選股不選市策略因應，目前指數在箱型相對低檔，逢震盪或拉回可選股作多，上半月操作可相對較積極，下半月除了川普1月20日上任後的變數外，農曆春節即將來臨，市場可能陷入觀望氣氛，不利大盤表現；選股可留意塑化、金融、鋼鐵、面板、汽車零組件、美國消費性電子展（CES）題材股和中小型電子業績成長股等。,3
2017-01-04T06:28:00.000Z,8大類股當中，造紙、電子、金融、塑化類股小漲，營建類股持平，紡織、食品、泥窯類股下跌。,-1
2017-01-04T03:29:00.000Z,8大類股當中，以造紙類股走勢最強，電子小漲、金融持平，營建、紡織、泥窯類股下跌。,-1
2017-01-04T01:56:00.000Z,台股今日小幅開高，但昨日撐盤的台積電 (2330) 翻黑，金融類股指數亦乏力，台股早盤盤中跌至平盤之下，鋼鐵股挺身而出，台股仍力守所有均線之上，維持9260點之上高檔格局。,-1
2017-01-04T01:56:00.000Z,金融類股指數早盤亦開高後翻黑，富邦金 (2881) 、中信金 (2891) 等金控股小跌。,-2
2017-01-04T01:43:00.000Z,　至於陸方說歡迎台灣企業到大陸上市，釋出的訊號為何？曾銘宗傾向不要有政治因素解讀，他認為，台灣和大陸的經濟或金融，應互相合作才能雙贏，對抗只會雙輸。,3
2017-01-05T11:43:00.000Z,在各大期指表現上，雖然台積電與鴻海等權值股表現平平，但在大立光大漲逾 7% 激勵下，電子期收漲 0.74%；金融龍頭國泰金上揚逾 1%，推升金融期上漲 0.58%；傳產族群則在台塑化、南亞為主的塑化類股帶動下，非金電期以上漲 0.82% 作收。,7
2017-01-05T08:16:00.000Z,"（中央社台北2017年 1月 5日電）加權指數今天開盤為9,282.56點，盤中最高9,358.42點，最低9,282.45點，收盤指數9,358.14點，上漲71.18點，成交值為新台幣760.01億元；不含金融保險股指數7,901.10點，上漲60.09點。",1
2017-01-05T00:01:00.000Z,  誠如4日所提，台股要挑戰去年12月19日的空方缺口必須達成兩個條件，包括金融走高與量到月均量，而金融指數4日一開盤就創下波段新高，但卻是開高走低，指標股的國泰金 (2882) 、富邦金 (2881) 均是以小跌作收，而成交量雖有擴增，但仍不足月均量的量能，在客觀條件未配合下，台股自然也喪失了進一步推高的機會。,0
2017-01-05T00:01:00.000Z,  所幸清晨美國股市持續以上漲作收，以摩台電子盤的收盤來看，台股應是以平高盤開出，而要開平走高或是開高走高，首先量能仍是不可少，月均量已下滑到604億元，月均量以上才會有其他權值撐盤的機會，此外指標股應放在聯發科 (2454) 上，畢竟以台積電 (2330) 這兩天的行情來看，就是180~185的區間整理差異不會太大，而聯發科與聯電 (2303) 是這波離前低最近的電子權值股，而聯發科還是IC設計的權王，重要性又更勝聯電在晶圓代工的代表地位，因此要走高除了金融不能太拖後腿外，聯發科的走強勢不可少。,0
2017-01-06T08:26:00.000Z,"（中央社台北2017年 1月 6日電）加權指數今天開盤為9,371.41點，盤中最高9,381.11點，最低9,351.25點，收盤指數9,372.22點，上漲14.08點，成交值為新台幣692.72億元；不含金融保險股指數7,912.77點，上漲11.67點。",1
2017-01-07T02:22:00.000Z,"　許博傑表示，下周市場關注大立光以及台積電兩龍頭公司法說會內容，而股王大立光本周領漲後，下周包含台積電、鴻海等蘋果供應鏈最好能夠接棒轉強，近期高姿態整理的金融股也要適時輪動，有助於指數突破前高9,430點後持續挑戰9,500點壓力關卡，其後接續有台指期結算以及川普將上任美國總統，屆時盤勢震盪會趨於劇烈。",3
2017-01-09T11:48:00.000Z,"（中央社台北2017年 1月 9日電）加權指數今天開盤為9,376.48點，盤中最高9,404.90點，最低9,328.19點，收盤指數9,342.42點，下跌29.80點，成交值為新台幣638.48億元；不含金融保險股指數7,885.81點，下跌26.96點。",-2
2017-01-09T11:48:00.000Z,產業別指數方面，漲幅以造紙類指數上漲14.43%為最大，跌幅以油電燃氣類指數下跌2.53%為最大，未含金融類指數上漲103.90點，漲幅約為1.33%，未含電子類指數上漲109.05點，漲幅約為0.83%，未含金融電子類指數上漲87.06點，漲幅約為0.77%。,-1
2017-01-09T06:38:00.000Z,展望2017年類股表現，隨原物料價格回升，以及美國總統當選人川普上台後將力推基礎建設，伴隨企業減稅與管制鬆綁等利多、Fed升息利差擴大，包括金融、能源及工業等舊經濟產業都將有投資機會；新科技包括iPhone 8、汽車電子化及物聯網供應鏈等則是電子股布局亮點。,8
2017-01-09T05:58:00.000Z,台股早盤觸及9400點大關後震盪壓回翻黑，股王大立光盤中交易異常，股價一度衝新高到4245元後拉回到4000元以下；加上電子金融走弱，台股區間震盪整理，尾盤收黑。,-1
2017-01-09T05:58:00.000Z,台股加權股價指數終場收在9342.42點，下跌29.8點，跌幅0.32%，成交值新台幣638.48億元，電子股跌0.35%，金融股小跌0.17%。,-3
2017-01-09T05:51:00.000Z,英國金融時報報導，Waymo(Alphabet旗下自駕車公司)執行長John Krafcik 8日在底特律車展宣布，旗下自駕車所有的感應器硬體都是自行開發。,1
2017-01-09T02:59:00.000Z,台股早盤走堅，一度站上9400點大關，盤中電子金融翻黑，櫃買指數走弱，大盤呈現壓回走勢。,0
2017-01-09T02:59:00.000Z,電子股盤中跌0.3%，金融股盤中跌0.3%。,-1
2017-01-10T08:52:00.000Z,"（中央社台北2017年 1月10日電）加權指數今天開盤為9,344.19點，盤中最高9,353.60點，最低9,319.45點，收盤指數9,349.64點，上漲7.22點，成交值為新台幣597.05億元；不含金融保險股指數7,889.84點，上漲4.03點。",1
2017-01-10T07:05:00.000Z,金融股開低走高，富邦金 (2881) 、國泰金 (2882) 、兆豐金 (2886) 同步收高。,1
2017-01-10T07:05:00.000Z,台股今日由股王大立光當家，配合國泰金、富邦金與兆豐金等金融族群趨堅，化解台塑四寶、統一等權值股拉回壓力，指數終場力守5日線之上。,2
2017-01-10T03:27:00.000Z,觀察類股族群表現，今天紡織強勢，盤中漲逾1%，電子族群小漲，金融族群疲軟。,2
2017-01-10T02:58:00.000Z,昨夜美股漲跌互見，亞股今偏空，台股三大期指晨盤聯袂開低，而大盤指數開盤則小漲1.77點，以9344.19點開出，隨後雖台積電 (2330) 、大立光 (3008) 等權值股多數守穩高檔，惟投資人觀望美國總統當選人川普周三記者會訊息，成交量能無法有效放大，加上金融、塑膠類股賣壓稍重，多空於是陷入僵持，指數持續於9340處狹盤。,-5
2017-01-11T11:24:00.000Z,"（中央社台北2017年1月11日電）加權指數今天開盤為9,370.17點，盤中最高9,384.00點，最低9,333.49點，收盤指數9,345.74點，下跌3.90點，成交值為新台幣726.93億元；不含金融保險股指數7,884.05點，下跌5.79點。",-2
2017-01-11T07:35:00.000Z,金融沿 5 日線上漲、電子狹幅震盪、非金電挑戰 5 日線1. 電子股：電子指數週三以下跌 0.64 點的 374.60 點作收，近期在 373.78~377.47 點間狹幅整理；週三較強的電子股包括: IC 設計的 3529 力旺、6462 神盾、5269 祥碩、2379 瑞昱、6202 盛群、3035 智原；封測的 8150 南茂、3374 精材、3264 欣銓； PC 相關的 3231 緯創、3005 神基、2377 微星、2382 廣達、2352 佳世達、3706 神達；LED 的 3346 麗清、6271 同欣電、2301 光寶科；電腦周邊的 3032 偉訓、2421 建準、5264 鎧勝 - KY、6188 廣明；光通訊的 6426 統新、4984 科納 - KY、3363 上詮、3163 波若威；網通的 2345 智邦、3596 智易；被動元件的 2327 國巨、6175 立敦、2478 大毅、2456 奇力新… 等。,-2
2017-01-11T07:35:00.000Z,2. 金融股: 金融指數週三以上漲 1.77 點的 1089.87 點作收，持續沿 5 日線上漲，挑戰去年高點壓力區；留意: 2801 彰銀、2880 華南金、2881 富邦金、2882 國泰金、2885 元大金、2892 第一金、5880 合庫金等指標股的走勢。,0
2017-01-11T07:05:00.000Z,金融股表現平穩，台新金 (2887) 、新光金 (2888) 、國票金 (2889) 相對強勢。,2
2017-01-11T06:42:00.000Z,美股仍在高檔整理，台股今早開高，但「權值王」台積電 (2330) 翻黑壓抑漲勢，股王大立光 (3008) 以及金融股、中鋼 (2002) 領軍鋼鐵股為多頭提供奧援。,2
2017-01-11T06:42:00.000Z,  美股金融股上漲，周二美股標普500指數收平。,1
2017-01-11T06:42:00.000Z,  金融股以新光金 (2888) 、元大金 (2885) 、玉山金 (2884) 等股上揚，類股指數收高穩住台股。,0
2017-01-11T06:05:00.000Z,電子股跌0.17%，金融股漲0.16%。,0
2017-01-11T06:05:00.000Z,金融股漲跌互見，連續8年當上金控獲利王的富邦金 (2881) 跌0.58%，收51.7元；國泰金 (2882) 跌0.41%，收49元；兆豐金 (2886) 漲0.42%，收23.7元；中信金 (2891) 平盤，收18元。,1
2017-01-11T03:07:00.000Z,電子股跌0.08%，金融股漲0.03%。,0
2017-01-11T02:30:00.000Z,  美股IBM股價下挫，能源股續跌，金融股上漲，周二美股標普500指數收平。,-2
2017-01-12T11:06:00.000Z,鉅亨台北資料中心◆盤勢分析美國三大指數週三震盪收高，週四台指期早盤則以上漲 16 點開出，輕原油收漲近 3%，早盤由台塑集團率先發起攻勢，台積電與大立光下午法說會在即，市場預期偏向樂觀，股價正面表態，而美元指數因川普記者會無新意而走貶，亞幣早盤普遍反彈，盤中新台幣兌美元匯率更升值逾 2 角，外資熱錢流入有加溫的跡象，期指於 9:40 左右攻克 9400 點關卡，之後便一路在 9400 點之上震盪，終場上漲 73 點以 9411 點作收；在各類期指的表現上，台積電走出連日盤整的格局，大立光收盤再創歷史新高，激勵電子期收高 0.91%，表現相對強勁；傳產族群中，台塑三寶漲幅介於 1.3~2.4% 之間，中國發改委宣布今年水泥產業將加速去產能，台泥、亞泥延續前一日的強勢，非金電期上漲 0.71%；富邦金上漲近 1%，帶動金融期緩步墊高向上。,17
2017-01-12T10:26:00.000Z,"（中央社台北2017年 1月12日電）加權指數今天開盤為9,356.12點，盤中最高9,430.58點，最低9,356.12點，收盤指數9,410.18點，上漲64.44點，成交值為新台幣751.93億元；不含金融保險股指數7,942.27點，上漲58.22點。",1
2017-01-12T10:03:00.000Z,年中在 iphone 8 拉貨潮助攻下，加上 Fed 升息帶動金融股走高，台股今年必上萬點。,5
2017-01-12T08:39:00.000Z,權值股轉強 電子仍為主軸 金融與原物料維持強勢1. 電子股指數領先大盤過高，周四再度創波段新高，為目前市場主流，指標股 2330 台積電、3008 大立光下午法說，市場預期以利多解讀，觀察法人對利多反應，電子近期下游走勢有轉強跡象，包括 2357 華碩、2382 廣達、3231 緯創等，由於銅箔價格維持強勢，2383 台光電、6274 台燿、6213 聯茂等法人買盤仍持續進駐，被動元件 2327 國巨在實施庫藏以及去年營收表現優異之下，帶領被動元件轉強，電業法三讀，未來綠能業者可直銷與用戶，帶動太陽能族群反彈，面板報價有望續強到第三季，2409 友達、3481 群創高檔強勢整理。,11
2017-01-12T08:39:00.000Z,3. 金融股 2801 彰銀今年董監改選題材推升股價走強，帶動 2892 第一金、2886 兆豐金股價上漲，壽險 2881 富邦金、2882 國泰金等仍為多方指標。,3
2017-01-13T11:17:00.000Z,"鉅亨台北資料中心◆盤勢分析週四美國股市轉弱，川普在記者會上沒有告知新財政政策的詳細內容，令市場失望氣氛籠罩；而台積電在法說會上公布第 1 季營收預測，受到淡季影響，營收預期會季減 8.9% 至 10%，衰退幅度高於市場預期，週四盤後 ADR 下跌超過 3%，引發週五股價遭到空方摜壓，並成為領跌盤勢的重心，配合金融權重股國泰金和富邦金回落，台指期盤初旋即拉回到 9400 點之下，不過空方下殺的力道並不強，代表投資人觀望氣氛還是較濃厚，10:00 後期指波動逐漸縮小，終場便以下跌 37 點至 9375 點作收；從籌碼面來看，外資雖然持續買超現貨 10.7 億元，不過期貨淨多單水位卻減少 6,645 口至 64,937 口，顯示外資有獲利出場的跡象，導致台指期無力追價，幸好整體來看跌幅不算重，下方的 5 日均線也還支撐盤勢，尚不須過於恐慌；另外台積電雖然第 1 季營收預期偏弱，但毛利率表現相對較好，說明公司的製程和良率有機會改善，10 奈米製程在第 1 季量產後也可望挹注營收，中長線的展望依舊樂觀，因此研究部認為台指期短期應該能維持高檔震盪的格局。",0
2017-01-13T09:56:00.000Z,"（中央社台北2017年 1月13日電）加權指數今天開盤為9,373.70點，盤中最高9,387.68點，最低9,352.08點，收盤指數9,378.83點，下跌31.35點，成交值為新台幣685.95億元；不含金融保險股指數7,918.13點，下跌24.14點。",-2
2017-01-13T06:47:00.000Z,台股今天類股表現跌多於漲，其中以半導體類股跌幅最重，達 1.27%，玻陶、貿易百貨、金融、橡膠、電器電纜、水泥、其他類、建材營造、造紙、生醫、電子零組件、電機機械、紡纖、電子通路、化學生醫、航運、其他電子等也均收黑。,-3
2017-01-13T06:04:00.000Z,整體電子類股指數收跌0.46%，金融類股指數也跌0.52%，為影響大盤走弱的主因。,-3
2017-01-16T00:26:00.000Z,年中在iphone 8拉貨潮助攻下，加上Fed升息帶動金融股走高，台股今年必上萬點。,5
2017-01-17T11:34:00.000Z,"鉅亨台北資料中心◆盤勢分析英國首相梅伊預定於台灣時間週二晚上 19:45 說明脫歐方案，硬脫歐可能性高，歐股週一普遍收跌，不過英鎊在重挫逾 1% 後，週二早盤跌勢止穩，市場情緒趨於緩和，台指期早盤以小跌 3 點開出後，由股王大立光領軍反彈，台積電亦終止連續 2 日的跌勢，力守在平盤之上，加上金融、傳產重要權值股止跌回穩，台指期一路震盪走高，終場上漲 56 點以 9340 點作收；在各類期指的表現上，市場持續看好大立光將受惠於智慧型手機搭載雙鏡頭的趨勢，股價再創天價以 4,400 元作收，漲幅達 3.5%，並帶動可成等蘋概股上漲，台積電則反彈上漲近 1%，推升電子期收盤上跌 0.66%；金融股以龍頭富邦金上漲近 2% 表現最佳，金融期收漲 0.37%；傳產族群中，台塑四寶止跌反彈，汽車、橡膠類股表現相對強勢，非金電期上漲 0.60%。",14
2017-01-17T11:32:00.000Z,"（中央社台北2017年 1月17日電）加權指數今天開盤為9,301.96點，盤中最高9,354.53點，最低9,294.68點，收盤指數9,354.53點，上漲62.20點，成交值為新台幣570.07億元；不含金融保險股指數7,905.35點，上漲55.60點。",1
2017-01-18T10:56:00.000Z,"（中央社台北2017年1月18日電）加權指數今天開盤為9,344.74點，盤中最高9,350.95點，最低9,322.44點，收盤指數9,341.97點，下跌12.56點，成交值為新台幣763.14億元；不含金融保險股指數7,899.32點，下跌6.03點。",-2
2017-01-18T08:18:00.000Z,金融類股的走弱，致使台股拉回修正，但在台積電止跌穩盤下，台股便一路橫盤有守呈現小跌。,-2
2017-01-18T06:23:00.000Z,金融股則在國泰金 (2882) 、富邦金 (2881) 下跌致金融股指數收黑。,-3
2017-01-19T10:42:00.000Z,"（中央社台北2017年 1月19日電）加權指數今天開盤為9,324.83點，盤中最高9,337.64點，最低9,287.54點，收盤指數9,318.12點，下跌23.85點，成交值為新台幣786.16億元；不含金融保險股指數7,880.15點，下跌19.17點。",-2
2017-01-19T06:52:00.000Z,金融股弱勢整理，富邦金 (2881) 、國泰金 (2882) 、中信金 (2891) 等全面下跌。,-2
2017-01-19T06:10:00.000Z,台股今走勢震盪，早盤一度失守9300點大關，股王大立光 (3008) 18日股價創新高，今天明顯回檔，金融弱勢，近日衝高的人氣指標光學二線股今天也開始出現明顯賣壓；不過中小型個股成為撐盤要角，終場台股守住9300點之上。,7
2017-01-19T06:10:00.000Z,台股加權股價指數終場收在9318.12點，下跌23.85點，跌幅0.26%，成交值新台幣786.16億元，電子股跌0.2%，金融股跌0.34%。,-3
2017-01-19T03:08:00.000Z,台股盤中走勢震盪整理，股王大立光 (3008) 走弱，金融疲軟，光學、太陽能等中小型族群個股表現。,-1
2017-01-19T03:08:00.000Z,電子股在平盤附近震盪，金融股盤中跌0.34%。,-1
2017-01-20T11:43:00.000Z,"（中央社台北2017年1月20日電）加權指數今天開盤為9,326.80點，盤中最高9,350.07點，最低9,317.62點，收盤指數9,331.46點，上漲13.34點，成交值為新台幣669.31億元；不含金融保險股指數7,891.06點，上漲10.91點。",1
2017-01-20T06:43:00.000Z,今年強勢股換人做！去年11月川普當選美國總統之後，金融和能源類股帶頭狂飆，不過進入2017年後，這兩大類股的漲勢暫歇，走勢持平，換成生技和科技股引領風騷。,2
2017-01-20T06:43:00.000Z,英國金融時報(FT)10日報導，Convergex首席市場策略師Nicholas Colas表示，生技股在新的一年反彈，與「一月效應」有關；第一年跌最多的股票，隔一年往往會反彈，先前投資人為了稅務因素賠本賣出，如今又進場撿回。,-1
2017-01-20T06:43:00.000Z,RBC Capital Markets首席股票策略師Jonathan Golub說，如今投資人的問題是，這是否代表健康照護類股和科技股出現新的輪動，或是原先的強勢股(金融、能源)進入盤整，準備再次衝高。,3
2017-01-20T06:29:00.000Z,台股今天類股呈現漲跌互見，其中漲幅最高的是造紙類股，達 3.75%，光電漲幅也超過 1%，塑膠、電子零組件、觀光、電器電纜、玻陶、水泥、其他類、其他電子、金融、半導體、電機機械、建材營造、生醫、化學生醫、化學等也均收紅。,3
2017-01-20T06:25:00.000Z,  今日盤面包括電子、金融、傳產等類股都小幅走揚，但多維持在題材股各自發揮的格局，權值股方面，晶圓雙雄中台積電 (2330) 小漲作收，聯電 (2303) 則收在平盤附近，蘋概股中機殼廠可成 (2474) 受惠啟動擴廠計畫利多，吸引買盤回歸，收盤大漲4.5%。,8
2017-01-20T03:06:00.000Z,  因為美國即將上任的新總統川普，先前多次指責美元過度強勢，恐不利於美國出口，且更是數度直指中國官方干預匯率，也使市場擔憂國際貨幣戰爭即將開打，造成國際金融局勢動盪不安，國際股市昨幾乎全數回跌，顯示市場對這位新上的的總統感到相當程度的憂慮。,-11
2017-01-23T11:14:00.000Z,而在春節期間雖然中國和台灣休市，不過歐美股市的交易依然不會中斷，休假期間美國和歐元區都將公布第 4 季的 GDP 年增率，剛就任的美國總統川普也可能會提出新政策的詳細內容，故而國際金融情勢的不確定性依然很高，如果投資人傾向留倉過年，春節時最好多關注國際局勢變化和經濟數據的表現，亦可考量運用外期和外選進場布局賺取短線波動的機會。,2
