PublishDate,Sentence,Score
2018-04-09T06:37:00.000Z,  觀察盤面類股走勢，以電器電纜股受惠風電題材大漲5.74％最強勢，生技、塑膠股勁揚逾3％居次，油電燃氣、鋼鐵股亦漲逾2％，金融股小漲0.74％。,5
2018-04-11T06:48:00.000Z,鋼鐵股仍以風電最強勁，中鋼構 (2013) 再漲停，世紀鋼 (9958) 震盪收高。,3
2018-04-16T06:28:00.000Z, 　今日上市各類股以電子零組件類股表現最佳，上漲2.1%，其次是電子其他類股及食品類股，分別上漲0.64%及0.61%，表現較差者為電腦周邊類股、油電氣類股及營造類股，電腦周邊類股下跌1.21%，油電氣類股下跌1.17%、營造類股下跌0.79%；上櫃部分，表現最佳為半導體類股，上漲1.83%，表現最差為鋼鐵類股，下跌1.74%。,0
2018-04-16T03:56:00.000Z, 　今日上市各類股以電子零組件類股表現最佳，上漲2.01%，其次是光電類股及資訊服務類股，分別上漲0.85%及0.8%，表現較差者為造紙類股、電腦週邊類股及金融類股，造紙類股下跌1.11%，電腦週邊類股下跌1.01%、金融類股下跌0.59%；上櫃部分，表現最佳為導體類股，上漲1.34%，表現最差為鋼鐵類股，下跌1.07%。,0
2018-04-20T06:04:00.000Z,  分析師表示，智慧型手機市場疲弱成為台股欲振乏力的關鍵因素，電子權值股持續偏弱，台灣50破半年線，台股下周仍恐面臨偏弱整理，短線預計中小型股還是相對抗跌，包括被動元件、矽晶圓族群依舊為盤面焦點，另外，生技族群在整理過後也再次上攻，其他包含鋼鐵、食品、紡織、水泥等族群等原物料族群也可以留意，顯示盤面輪動仍以業績及漲價題材的個股、族群為主，預計短線恐出現年線和季線的橫向破底，惟下周的反彈與否，還是要看國際股市。,2
2018-04-23T03:50:00.000Z,美國科技股及台積電 (2330) 帶衰，台股10700點守不住！  台積電法說會釋出因智慧型手機需求疲弱及挖礦需求不確定，第2季營運展望保守，不僅台積電股價重挫，蘋果股價也連兩天下跌，讓台股多空氣勢逆轉，上週五台股一舉失守半年線，今天雖然有被動元件—華新科 (2492) 、日電貿 (3090) 分別挾3月及第1季季報亮眼，凱美 (5317) 、智寶 (2375) 、堡達 (3537) 因高股息，與華新科同步逆勢強攻漲停板，日電貿亦創下掛牌新高價，且金融類股、生醫類股及鋼鐵類股轉強，中裕 (4147) 、美時 (1795) 及大成鋼 (2027) 等強勢攻高，但大立光 (3008) 、台積電、鴻海 (2317) 、智邦 (2345) 及撼訊 (6150) 續弱，銅箔基板廠—聯茂 (6213) 、台燿 (6274) ，以及工具機指標股—直得 (1597) 盤中被打至跌停板，下午即將舉行法說會的穩懋 (3105) 盤中股價下探Avago入股價，致使台股指數開低走低，盤中指數失守10700點，截至11點35分為止，加權股價指數為10699.94點，下跌79.74點，成交量為847.21億元；OTC指數為153.24點，下跌0.75點，成交量為269.73億元。,-4
2018-04-26T06:07:00.000Z,  今日電子權值股普遍弱勢，以題材族群、紡織、電纜、生醫以及鋼鐵等較為有撐，被動元件搶回主流，龍頭股國巨 (2327) 駁斥行賄日商村田，今股價終止連2黑，一度大漲逾5%，其餘華新科 (2492) 、禾伸堂 (3062) 也同步大漲，二線塑化股國喬 (1312) 則是受惠大陸ABS內銷報價穩，股價創下2000年4月來新高。,0
2018-04-26T03:28:00.000Z,鋼鐵與造紙類股則相對弱勢，類股指數同步走跌。,-2
2018-04-27T06:11:00.000Z,他表示，被動元件、矽晶圓報價上漲，帶動相關股票走強；原物料報價上漲，也帶動塑化、鋼鐵、水泥類股走揚。,3
2018-04-27T06:11:00.000Z,他表示，被動元件、矽晶圓報價上漲，帶動相關股票走強；原物料報價上漲，也帶動塑化、鋼鐵、水泥類股走揚。,3
