PublishDate,Sentence
2016-12-31T04:00:00.000Z,　京元電也同步有海思、聯發科的晶片測試訂單奧援，加上英特爾子公司英特爾移動通信的4G LTE數據機晶片的測試訂單支撐，法人指出，除了第四季合併營收將季減個位數水準外，今年全年合併營收更有機會衝上200億元，創下歷史新高，目前客戶訂單更已經看到明年第一季，讓京元電訂單滿手，產能利用率維持8成以上的高水準表現。
2017-01-05T04:50:00.000Z,過去十多年來，發表CES主題演說的重量級人物包括微軟兩位執行長比爾蓋茲(Bill Gates)、Steve Ballmer以及英特爾(Intel)、三星(Samsung)、高通(Qualcomm)等重量級廠商。
2017-01-06T07:21:00.000Z,在台積電 (2330) 和三星去年底紛紛宣布量產10奈米製程後，美國半導體巨擘英特爾不甘示弱，在今年CES展前記者會宣告10奈米推出產品就緒，大有技術恢復領先的氣勢，也意謂著半導體三強將正式開戰。
2017-01-06T07:21:00.000Z,　消費電子大展(CES)於美國時間5日揭開序幕，英特爾執行長Brian Krzanich搶先端出新驚喜，發表會上手拿搭載10奈米的桌上型電腦，預告今年將推出多款10奈米「Cannon Lake」晶片，引發市場熱議。
2017-01-06T07:21:00.000Z,　國際三大半導體廠在奈米製程上競爭激烈，英特爾去年未透露10奈米產品進程，反觀台積電去年第四季量產10奈米處理器，因此，市場大多看好，台積電會從10奈米的競爭開始領先英特爾；沒想到，英特爾惦惦吃三碗公迅速推出新品，業界人士表示，英特爾目前不僅與台積電、三星並駕齊驅，更有可能恢復領先地位。
2017-01-08T01:26:00.000Z,此外，台積電10奈米製程技術與三星（Samsung）及英特爾（Intel）間的競爭態勢，還有7奈米等先進製程技術進展、今年資本支出及股利政策等也都將是台積電法說會法人關注的重點。
2017-01-09T05:51:00.000Z,BMW自駕部資深副總Elmar Frickenstein表示，BMW、英特爾以及Delphi希望在2021年以前創造出標準化自駕系統，藉此降低成本並加快開發、普及化速度。
2017-01-10T06:20:00.000Z,"Business Insider、巴倫(Barronˋs)報導，歐巴馬總統的科學暨科技顧問委員會(President!@!s Council of Advisors on Science and Technology,PCAST)，收集谷歌、前英特爾、前高通高層的意見，撰寫報告，建議採取行動，對抗中國半導體崛起威脅。"
2017-01-19T02:05:00.000Z,台積電表示，此為台積5奈米製程基地，最快將在今年動工，目標2020年量產，迎戰強敵三星和英特爾。
2017-01-19T02:05:00.000Z,  台積電今年第一季10奈米製程開始量產，將逐步挹注業績，下一世代7奈米晶片預計於2018年第一季量產，將正式超越英特爾（Intel），為台積電首度在先進晶片科技上站上領導地位。
2017-01-19T01:41:00.000Z,台積電 (2330) 樂觀表示，5奈米製程基地有著落，最快今年動工，目標2020年量產，有望拉開與三星、英特爾的距離，獨步全球。
2017-02-03T00:59:00.000Z,MoneyDJ新聞 2017-02-03 08:59:20 記者 陳苓 報導蘋果行動裝置已經全面採用自家處理器，但是桌電和筆電仍使用英特爾(Intel)晶片，有許多不便之處。
2017-02-03T00:59:00.000Z,據傳蘋果悄悄研發協同處理器(co-processor)，準備逐步擺脫英特爾。
2017-02-03T00:59:00.000Z,分析師推斷，此計畫一兩年內不至於衝擊英特爾，但是等蘋果研發完成，英特爾營收可能驟減30億美元。
2017-02-03T00:59:00.000Z,ZDNet、巴倫(Barronˋs)報導，外媒引述消息人士說法，指稱蘋果正在研發代號「T310」的協同處理器，將與英特爾晶片共同用於Mac筆電。
2017-02-03T00:59:00.000Z,T310採用ARM架構，可在低功耗模式時處理運算工作，分擔英特爾CPU的負荷。
2017-02-03T00:59:00.000Z,RBC Capital的Amit Daryanani認為，蘋果的T310晶片，2017年還不至於威脅英特爾，或許到2018年也是如此，不過要是蘋果持續研發，T310又順利發揮效用，蘋果最終可能會踢開英特爾獨立。
2017-02-03T00:59:00.000Z,他預估倘若英特爾完全痛失蘋果筆電生意，年度營收可能大減20~30億美元、營益將減7.5~10億美元。
2017-02-03T00:59:00.000Z,據傳去年英特爾的Kaby Lake處理器延後問世，害得新版MacBook Pro只能使用舊晶片，讓蘋果相當不滿。
2017-02-03T00:59:00.000Z,MoneyDJ新聞 2017-02-03 08:59:20 記者 陳苓 報導蘋果行動裝置已經全面採用自家處理器，但是桌電和筆電仍使用英特爾(Intel)晶片，有許多不便之處。
2017-02-03T00:59:00.000Z,據傳蘋果悄悄研發協同處理器(co-processor)，準備逐步擺脫英特爾。
2017-02-03T00:59:00.000Z,分析師推斷，此計畫一兩年內不至於衝擊英特爾，但是等蘋果研發完成，英特爾營收可能驟減30億美元。
2017-02-03T00:59:00.000Z,ZDNet、巴倫(Barronˋs)報導，外媒引述消息人士說法，指稱蘋果正在研發代號「T310」的協同處理器，將與英特爾晶片共同用於Mac筆電。
2017-02-03T00:59:00.000Z,T310採用ARM架構，可在低功耗模式時處理運算工作，分擔英特爾CPU的負荷。
2017-02-03T00:59:00.000Z,RBC Capital的Amit Daryanani認為，蘋果的T310晶片，2017年還不至於威脅英特爾，或許到2018年也是如此，不過要是蘋果持續研發，T310又順利發揮效用，蘋果最終可能會踢開英特爾獨立。
2017-02-03T00:59:00.000Z,他預估倘若英特爾完全痛失蘋果筆電生意，年度營收可能大減20~30億美元、營益將減7.5~10億美元。
2017-02-03T00:59:00.000Z,據傳去年英特爾的Kaby Lake處理器延後問世，害得新版MacBook Pro只能使用舊晶片，讓蘋果相當不滿。
2017-02-07T06:24:00.000Z,經濟部智慧財產局公布105年專利申請及公告發證統計排名，本國法人申請件數，由台積電 (2330) 以873件首度排名第1，而連續14年穩坐專利王寶座的鴻海 (2317) 則以400件，落居第3名，但在獲准件數仍以982件仍續居首位，外國法人則仍由英特爾分別在申請件數與獲准件數蟬聯首位。
2017-02-07T06:24:00.000Z,  外國法人部分，英特爾以905件申請案居首，高通公司申請616件，較上年成長1.6倍，名次由104年第13名竄升至105年第2名，在台灣布局相當積極；日本半導體能源研究所申請470件，年增3成，名列第3。
