PublishDate,Sentence
2016-12-30T02:39:00.000Z,美股道瓊近2萬點近關情怯，今日為2016年封關日，陸港股相對開高、韓股休市，日股卻是相對走弱，台股今將齊收日線、周線、月線、季線以及年線，今指數開高走高，漲幅一度站上百點，指數不僅順利站上季線，甚至一舉翻紅月線，指數漲幅傲視亞股，根據歷史經驗顯示，近10年封關日上漲機率為8成，紅盤日上漲機率為6成，在指數開高下顯示今日封關行情仍值得期待，另外，下周在外資全數歸隊後，台股是否有機會挾量重新發動攻勢，也值得關注。
2016-12-30T02:39:00.000Z,  分析師說，國際股市方面，昨美股四大指數均在平盤附近游走，道瓊開平高後而走低，終場下跌13.9點，指數收在19819.78點，究竟在新曆年前是否有辦法突破2萬點的重要心理關卡，這將是今明兩天所觀察的重點，台股今日9200點關卡失而復得，後市宜密切關注外資收假後的歸隊狀況，將是影響台股發展的重要關鍵。
2017-01-03T10:05:00.000Z,鉅亨台北資料中心◆盤勢分析上週五美股三大指數皆呈現回檔，週二為台股新年開紅盤之日，台指期雖以小漲 4 點開出，但獲利了結賣壓隨即湧現，並於 9:35 左右跌至 9231 的低點，所幸低接買盤仍在，而在美股期指於亞洲盤時段呈現反彈，及權值股台積電等力守紅盤下，台指期終場上漲 19 點以 9280 點作收；在各大期指表現上，晶圓代工龍頭台積電傳出第一季 7 奈米製程將量產，拉開與對手三星的差距，以上漲近 1% 作收，面板廠群創除受惠近期面板報價續漲，母公司鴻海集團近期更積極於中國佈局，股價上漲逾 4%，電子期收漲 0.51%；金融期尾盤拉高，以平盤作收；傳產族群部份，雖然台塑、台化漲幅約 1%，但上週五封關日大漲的台塑化獲利回吐下跌逾 2%，鋼鐵、汽車族群回檔程度亦較大，非金電期收跌 0.25%，表現相對偏弱；另觀察期現貨正價差由 9 點微減至 7 點，市場情緒仍偏向正面。
2017-01-04T07:13:00.000Z,美股2017年開紅盤，道瓊大漲逾百點再度逼近2萬點大關。
2017-01-04T06:59:00.000Z,美股2017年開紅盤，道瓊大漲逾百點再度逼近2萬點大關。
2017-01-04T06:28:00.000Z,（中央社台北2017年1月4日電）美股大漲119.16點，但台股在農曆年長假前出現觀望氣氛，成交量能不足，雖以平高盤開出，指數一度逼近9300點，但仍以小漲收盤，惟新年開紅盤已連兩天收小紅。
2017-01-04T06:28:00.000Z,華南投顧董事長儲祥生表示，台股農曆年前呈現量縮整理格局，外資休假尚未完全歸隊，即便美股跌深反彈，台股集中市場也只跟著小漲，但櫃買市場已突破短線高點，主要來自小型股的漲勢，甚至多檔股票盤中即漲停。
2017-01-04T03:29:00.000Z,（中央社台北2017年1月4日電）美股道瓊工業指數大漲逾百點，台股以平高盤開出後，盤中漲勢並未擴大，但指數進逼9300點整數關卡，投資人在農曆年前的保守心態，讓成交量能明顯偏低。
2017-01-04T01:56:00.000Z,美股2017年開紅盤，道瓊大漲逾百點再度逼近2萬點大關。
2017-01-04T01:56:00.000Z,  臉書等科技股勁揚帶動，美股周二收高。
2017-01-04T01:56:00.000Z,  今日台股為2017年第二個交易日，雖美股收高，但台積電反向開平走低，顯示外資對台股仍偏保守，今日預估量能比昨天增加，預計今日將呈現量增震盪整理的走勢。
2017-01-05T11:43:00.000Z,"鉅亨台北資料中心◆盤勢分析週三美股震盪收漲，美國聯準會 (Fed) 公佈 12 月會議記錄，多數聯儲官員都認為川普新政策可望加速經濟成長，對 2017 年展望偏向正面；週四台指期早盤以平盤開出，股王大立光下午公佈的 12 月營收市場預期正面，摩根史丹利看好在產能吃緊下，有利於大立光第一季營運動能成長，將目標價調高至 5,000 元，引領期指上攻；美元指數回貶，新台幣盤中勁揚逾 2 角，外資資金有重新加碼台股的跡象，使得近日觀望的市場信心回復；台指期一路震盪走高，終場上漲 69 點以 9342 點作收。"
2017-01-05T07:03:00.000Z,美股收高，今日台股同步開高，重回9300點之上。
2017-01-05T03:20:00.000Z,台股開年前 2天交易受限於量能不振，指數僅於平盤上狹幅震盪整理，成交量約500餘億元；今天開盤仍平淡，也未受美股上漲激勵，但開盤十餘分鐘後，指數開始上漲，帶領大盤越過9300點，最高9333點，創2016年12月19日以來高點。
2017-01-05T03:20:00.000Z,考量大盤在台股元月行情普遍易跌難漲，美股財報週偏向負面，指數不易持續走強；目前仍應保守看待後市表現，建議逢高減碼操作，選股上僅在回檔時留意基本面佳的塑化、集團股等族群。
2017-01-05T00:01:00.000Z,台股4日雖有美股反彈激勵，早盤卻僅以小高盤開出，高點來到9299點後，在9300點關卡之前仍是近鄉情怯，與3日行情差異不大，整場都在平盤附近震盪整理、高低點僅差約35點，終場以上漲14點的9286點作收，成交量則是較3日略增，來到560億元。
